"year","cbsasub","state","bedrooms","rent"
"2006","METRO41180M41180",17,0,513
"2006","METRO41180N17005",17,0,361
"2006","METRO41180N17117",17,0,426
"2006","METRO44100M44100",17,0,402
"2006","NCNTY17001N17001",17,0,342
"2006","NCNTY17003N17003",17,0,436
"2006","NCNTY17009N17009",17,0,340
"2006","NCNTY17011N17011",17,0,373
"2006","NCNTY17015N17015",17,0,392
"2006","NCNTY17017N17017",17,0,396
"2006","NCNTY17021N17021",17,0,343
"2006","NCNTY17023N17023",17,0,340
"2006","NCNTY17025N17025",17,0,362
"2006","NCNTY17029N17029",17,0,362
"2006","NCNTY17033N17033",17,0,343
"2006","NCNTY17035N17035",17,0,356
"2006","NCNTY17039N17039",17,0,421
"2006","NCNTY17041N17041",17,0,344
"2006","NCNTY17045N17045",17,0,342
"2006","NCNTY17047N17047",17,0,436
"2006","NCNTY17049N17049",17,0,458
"2006","NCNTY17051N17051",17,0,436
"2006","NCNTY17055N17055",17,0,339
"2006","NCNTY17057N17057",17,0,353
"2006","NCNTY17059N17059",17,0,436
"2006","NCNTY17061N17061",17,0,359
"2006","NCNTY17065N17065",17,0,436
"2006","NCNTY17067N17067",17,0,416
"2006","NCNTY17069N17069",17,0,436
"2006","NCNTY17071N17071",17,0,349
"2006","NCNTY17075N17075",17,0,365
"2006","NCNTY17077N17077",17,0,352
"2006","NCNTY17079N17079",17,0,362
"2006","NCNTY17081N17081",17,0,453
"2006","NCNTY17085N17085",17,0,435
"2006","NCNTY17087N17087",17,0,436
"2006","NCNTY17095N17095",17,0,355
"2006","NCNTY17099N17099",17,0,415
"2006","NCNTY17101N17101",17,0,341
"2006","NCNTY17103N17103",17,0,362
"2006","NCNTY17105N17105",17,0,384
"2006","NCNTY17107N17107",17,0,440
"2006","NCNTY17109N17109",17,0,347
"2006","NCNTY17121N17121",17,0,434
"2006","NCNTY17125N17125",17,0,340
"2006","NCNTY17127N17127",17,0,437
"2006","NCNTY17135N17135",17,0,436
"2006","NCNTY17137N17137",17,0,375
"2006","NCNTY17139N17139",17,0,346
"2006","NCNTY17141N17141",17,0,425
"2006","NCNTY17145N17145",17,0,340
"2006","NCNTY17149N17149",17,0,340
"2006","NCNTY17151N17151",17,0,436
"2006","NCNTY17153N17153",17,0,436
"2006","NCNTY17155N17155",17,0,351
"2006","NCNTY17157N17157",17,0,341
"2006","NCNTY17159N17159",17,0,363
"2006","NCNTY17165N17165",17,0,341
"2006","NCNTY17169N17169",17,0,340
"2006","NCNTY17171N17171",17,0,359
"2006","NCNTY17173N17173",17,0,434
"2006","NCNTY17177N17177",17,0,386
"2006","NCNTY17181N17181",17,0,436
"2006","NCNTY17185N17185",17,0,436
"2006","NCNTY17187N17187",17,0,352
"2006","NCNTY17189N17189",17,0,421
"2006","NCNTY17191N17191",17,0,341
"2006","NCNTY17193N17193",17,0,436
"2006","NCNTY17195N17195",17,0,394
"2006","NCNTY17199N17199",17,0,342
"2006","METRO11300M11300",18,0,514
"2006","METRO14020M14020",18,0,479
"2006","METRO14020N18055",18,0,385
"2006","METRO14020N18119",18,0,454
"2006","METRO16980MM2960",18,0,535
"2006","METRO16980N18073",18,0,532
"2006","METRO17140M17140",18,0,459
"2006","METRO18020M18020",18,0,598
"2006","METRO21140M21140",18,0,555
"2006","METRO21780M21780",18,0,396
"2006","METRO21780N18051",18,0,448
"2006","METRO23060M23060",18,0,483
"2006","METRO26900M26900",18,0,519
"2006","METRO26900N18133",18,0,493
"2006","METRO29020M29020",18,0,477
"2006","METRO29140M29140",18,0,486
"2006","METRO29140N18015",18,0,368
"2006","METRO31140M31140",18,0,448
"2006","METRO31140N18175",18,0,390
"2006","METRO33140M33140",18,0,420
"2006","METRO34620M34620",18,0,503
"2006","METRO43780M43780",18,0,492
"2006","METRO45460M45460",18,0,388
"2006","METRO45460N18153",18,0,345
"2006","NCNTY18001N18001",18,0,432
"2006","NCNTY18009N18009",18,0,453
"2006","NCNTY18017N18017",18,0,375
"2006","NCNTY18023N18023",18,0,458
"2006","NCNTY18025N18025",18,0,367
"2006","NCNTY18027N18027",18,0,444
"2006","NCNTY18031N18031",18,0,498
"2006","NCNTY18033N18033",18,0,425
"2006","NCNTY18037N18037",18,0,361
"2006","NCNTY18041N18041",18,0,371
"2006","NCNTY18045N18045",18,0,364
"2006","NCNTY18049N18049",18,0,449
"2006","NCNTY18053N18053",18,0,463
"2006","NCNTY18065N18065",18,0,464
"2006","NCNTY18069N18069",18,0,405
"2006","NCNTY18071N18071",18,0,509
"2006","NCNTY18075N18075",18,0,348
"2006","NCNTY18077N18077",18,0,394
"2006","NCNTY18079N18079",18,0,382
"2006","NCNTY18083N18083",18,0,364
"2006","NCNTY18085N18085",18,0,406
"2006","NCNTY18087N18087",18,0,471
"2006","NCNTY18093N18093",18,0,377
"2006","NCNTY18099N18099",18,0,405
"2006","NCNTY18101N18101",18,0,378
"2006","NCNTY18103N18103",18,0,347
"2006","NCNTY18107N18107",18,0,387
"2006","NCNTY18113N18113",18,0,522
"2006","NCNTY18117N18117",18,0,346
"2006","NCNTY18121N18121",18,0,452
"2006","NCNTY18123N18123",18,0,347
"2006","NCNTY18125N18125",18,0,356
"2006","NCNTY18131N18131",18,0,467
"2006","NCNTY18135N18135",18,0,443
"2006","NCNTY18137N18137",18,0,504
"2006","NCNTY18139N18139",18,0,477
"2006","NCNTY18143N18143",18,0,373
"2006","NCNTY18147N18147",18,0,356
"2006","NCNTY18149N18149",18,0,458
"2006","NCNTY18151N18151",18,0,444
"2006","NCNTY18155N18155",18,0,428
"2006","NCNTY18161N18161",18,0,376
"2006","NCNTY18169N18169",18,0,376
"2006","NCNTY18171N18171",18,0,379
"2006","NCNTY18177N18177",18,0,390
"2006","NCNTY18181N18181",18,0,404
"2006","METRO11180M11180",19,0,532
"2006","METRO16300M16300",19,0,414
"2006","METRO16300N19011",19,0,342
"2006","METRO16300N19105",19,0,436
"2006","METRO19340M19340",19,0,436
"2006","METRO19780M19780",19,0,489
"2006","METRO20220M20220",19,0,385
"2006","METRO26980M26980",19,0,465
"2006","METRO26980N19183",19,0,345
"2006","METRO36540M36540",19,0,502
"2006","METRO43580M43580",19,0,413
"2006","METRO47940M47940",19,0,392
"2006","METRO47940N19017",19,0,352
"2006","NCNTY19001N19001",19,0,360
"2006","NCNTY19003N19003",19,0,360
"2006","NCNTY19005N19005",19,0,365
"2006","NCNTY19007N19007",19,0,342
"2006","NCNTY19009N19009",19,0,435
"2006","NCNTY19015N19015",19,0,413
"2006","NCNTY19019N19019",19,0,434
"2006","NCNTY19021N19021",19,0,393
"2006","NCNTY19023N19023",19,0,365
"2006","NCNTY19025N19025",19,0,400
"2006","NCNTY19027N19027",19,0,364
"2006","NCNTY19029N19029",19,0,400
"2006","NCNTY19031N19031",19,0,368
"2006","NCNTY19033N19033",19,0,384
"2006","NCNTY19035N19035",19,0,435
"2006","NCNTY19037N19037",19,0,365
"2006","NCNTY19039N19039",19,0,357
"2006","NCNTY19041N19041",19,0,341
"2006","NCNTY19043N19043",19,0,365
"2006","NCNTY19045N19045",19,0,351
"2006","NCNTY19047N19047",19,0,435
"2006","NCNTY19051N19051",19,0,360
"2006","NCNTY19053N19053",19,0,360
"2006","NCNTY19055N19055",19,0,368
"2006","NCNTY19057N19057",19,0,394
