"year","fips","state","county","bedrooms","rent"
"2006",900560750,9,5,0,591
"2006",900565930,9,5,0,591
"2006",900566420,9,5,0,591
"2006",900567960,9,5,0,591
"2006",900575730,9,5,0,591
"2006",900576570,9,5,0,591
"2006",900579510,9,5,0,591
"2006",900579720,9,5,0,591
"2006",900580490,9,5,0,591
"2006",900586440,9,5,0,591
"2006",900587910,9,5,0,591
"2006",900714300,9,7,0,669
"2006",900715350,9,7,0,748
"2006",900718080,9,7,0,669
"2006",900719130,9,7,0,748
"2006",900720810,9,7,0,669
"2006",900722280,9,7,0,669
"2006",900722490,9,7,0,669
"2006",900726270,9,7,0,748
"2006",900735230,9,7,0,669
"2006",900740710,9,7,0,748
"2006",900747080,9,7,0,669
"2006",900747360,9,7,0,669
"2006",900757320,9,7,0,748
"2006",900761800,9,7,0,669
"2006",900781680,9,7,0,748
"2006",900901220,9,9,0,841
"2006",900903250,9,9,0,841
"2006",900904580,9,9,0,732
"2006",900907310,9,9,0,732
"2006",900914160,9,9,0,732
"2006",900919550,9,9,0,841
"2006",900922910,9,9,0,732
"2006",900934950,9,9,0,732
"2006",900935650,9,9,0,732
"2006",900944560,9,9,0,732
"2006",900946520,9,9,0,732
"2006",900946940,9,9,0,540
"2006",900947535,9,9,0,841
"2006",900949950,9,9,0,540
"2006",900952070,9,9,0,732
"2006",900953890,9,9,0,732
"2006",900954870,9,9,0,732
"2006",900957600,9,9,0,732
"2006",900958300,9,9,0,841
"2006",900962290,9,9,0,540
"2006",900967610,9,9,0,841
"2006",900969640,9,9,0,540
"2006",900978740,9,9,0,732
"2006",900980070,9,9,0,540
"2006",900982870,9,9,0,732
"2006",900987560,9,9,0,540
"2006",900987700,9,9,0,732
"2006",901106820,9,11,0,614
"2006",901115910,9,11,0,655
"2006",901123400,9,11,0,614
"2006",901129910,9,11,0,614
"2006",901133900,9,11,0,614
"2006",901134250,9,11,0,614
"2006",901142390,9,11,0,655
"2006",901142600,9,11,0,614
"2006",901143230,9,11,0,614
"2006",901144210,9,11,0,614
"2006",901148900,9,11,0,614
"2006",901152350,9,11,0,614
"2006",901155500,9,11,0,614
"2006",901156270,9,11,0,614
"2006",901157040,9,11,0,614
"2006",901162150,9,11,0,614
"2006",901166210,9,11,0,614
"2006",901171670,9,11,0,614
"2006",901173770,9,11,0,614
"2006",901178600,9,11,0,614
"2006",901180280,9,11,0,614
"2006",901301080,9,13,0,669
"2006",901306260,9,13,0,669
"2006",901316400,9,13,0,669
"2006",901317800,9,13,0,669
"2006",901325360,9,13,0,669
"2006",901337910,9,13,0,669
"2006",901344910,9,13,0,669
"2006",901369220,9,13,0,669
"2006",901372090,9,13,0,669
"2006",901376290,9,13,0,669
"2006",901377830,9,13,0,669
"2006",901378250,9,13,0,669
"2006",901385950,9,13,0,669
"2006",901501430,9,15,0,540
"2006",901509190,9,15,0,540
"2006",901512130,9,15,0,540
"2006",901513810,9,15,0,540
"2006",901521860,9,15,0,540
"2006",901536000,9,15,0,540
"2006",901540500,9,15,0,540
"2006",901559980,9,15,0,540
"2006",901561030,9,15,0,540
"2006",901562710,9,15,0,540
"2006",901567400,9,15,0,540
"2006",901573420,9,15,0,540
"2006",901575870,9,15,0,540
"2006",901586790,9,15,0,540
"2006",901588190,9,15,0,540
"2006",1000199999,10,1,0,612
"2006",1000399999,10,3,0,694
"2006",1000599999,10,5,0,563
"2006",1100199999,11,1,0,948
"2006",1200199999,12,1,0,515
"2006",1200399999,12,3,0,346
"2006",1200599999,12,5,0,528
"2006",1200799999,12,7,0,347
"2006",1200999999,12,9,0,498
"2006",1201199999,12,11,0,702
"2006",1201399999,12,13,0,445
"2006",1201599999,12,15,0,503
"2006",1201799999,12,17,0,465
"2006",1201999999,12,19,0,617
"2006",1202199999,12,21,0,729
"2006",1202399999,12,23,0,455
"2006",1202799999,12,27,0,461
"2006",1202999999,12,29,0,443
"2006",1203199999,12,31,0,617
"2006",1203399999,12,33,0,512
"2006",1203599999,12,35,0,554
"2006",1203799999,12,37,0,445
"2006",1203999999,12,39,0,534
"2006",1204199999,12,41,0,515
"2006",1204399999,12,43,0,468
"2006",1204599999,12,45,0,445
"2006",1204799999,12,47,0,443
"2006",1204999999,12,49,0,448
"2006",1205199999,12,51,0,469
"2006",1205399999,12,53,0,622
"2006",1205599999,12,55,0,478
"2006",1205799999,12,57,0,622
"2006",1205999999,12,59,0,441
"2006",1206199999,12,61,0,494
"2006",1206399999,12,63,0,361
"2006",1206599999,12,65,0,534
"2006",1206799999,12,67,0,445
"2006",1206999999,12,69,0,671
"2006",1207199999,12,71,0,622
"2006",1207399999,12,73,0,534
"2006",1207599999,12,75,0,443
"2006",1207799999,12,77,0,445
"2006",1207999999,12,79,0,445
"2006",1208199999,12,81,0,625
"2006",1208399999,12,83,0,509
"2006",1208599999,12,85,0,592
"2006",1208699999,12,86,0,702
"2006",1208799999,12,87,0,777
"2006",1208999999,12,89,0,617
"2006",1209199999,12,91,0,513
"2006",1209399999,12,93,0,486
"2006",1209599999,12,95,0,671
"2006",1209799999,12,97,0,671
"2006",1209999999,12,99,0,702
"2006",1210199999,12,101,0,622
"2006",1210399999,12,103,0,622
"2006",1210599999,12,105,0,482
"2006",1210799999,12,107,0,444
"2006",1210999999,12,109,0,617
"2006",1211199999,12,111,0,592
"2006",1211399999,12,113,0,512
"2006",1211599999,12,115,0,625
"2006",1211799999,12,117,0,671
"2006",1211999999,12,119,0,443
"2006",1212199999,12,121,0,347
"2006",1212399999,12,123,0,443
"2006",1212599999,12,125,0,444
"2006",1212799999,12,127,0,559
"2006",1212999999,12,129,0,508
"2006",1213199999,12,131,0,485
"2006",1213399999,12,133,0,441
"2006",1300199999,13,1,0,410
"2006",1300399999,13,3,0,411
"2006",1300599999,13,5,0,411
"2006",1300799999,13,7,0,473
"2006",1300999999,13,9,0,365
"2006",1301199999,13,11,0,432
"2006",1301399999,13,13,0,677
"2006",1301599999,13,15,0,677
"2006",1301799999,13,17,0,321
"2006",1301999999,13,19,0,394
"2006",1302199999,13,21,0,495
"2006",1302399999,13,23,0,348
"2006",1302599999,13,25,0,472
"2006",1302799999,13,27,0,473
"2006",1302999999,13,29,0,597
"2006",1303199999,13,31,0,442
"2006",1303399999,13,33,0,484
"2006",1303599999,13,35,0,359
"2006",1303799999,13,37,0,411
"2006",1303999999,13,39,0,491
"2006",1304399999,13,43,0,410
"2006",1304599999,13,45,0,677
"2006",1304799999,13,47,0,502
"2006",1304999999,13,49,0,411
"2006",1305199999,13,51,0,597
"2006",1305399999,13,53,0,498
"2006",1305599999,13,55,0,323
"2006",1305799999,13,57,0,677
"2006",1305999999,13,59,0,474
"2006",1306199999,13,61,0,411
"2006",1306399999,13,63,0,677
"2006",1306599999,13,65,0,411
"2006",1306799999,13,67,0,677
"2006",1306999999,13,69,0,384
"2006",1307199999,13,71,0,410
"2006",1307399999,13,73,0,484
"2006",1307599999,13,75,0,410
"2006",1307799999,13,77,0,677
"2006",1307999999,13,79,0,495
"2006",1308199999,13,81,0,410
"2006",1308399999,13,83,0,502
"2006",1308599999,13,85,0,677
"2006",1308799999,13,87,0,348
"2006",1308999999,13,89,0,677
"2006",1309199999,13,91,0,371
"2006",1309399999,13,93,0,412
"2006",1309599999,13,95,0,473
"2006",1309799999,13,97,0,677
"2006",1309999999,13,99,0,411
"2006",1310199999,13,101,0,473
"2006",1310399999,13,103,0,597
"2006",1310599999,13,105,0,411
"2006",1310799999,13,107,0,322
"2006",1310999999,13,109,0,410
"2006",1311199999,13,111,0,327
"2006",1311399999,13,113,0,677
"2006",1311599999,13,115,0,426
"2006",1311799999,13,117,0,677
"2006",1311999999,13,119,0,432
"2006",1312199999,13,121,0,677
"2006",1312399999,13,123,0,487
"2006",1312599999,13,125,0,343
"2006",1312799999,13,127,0,472
"2006",1312999999,13,129,0,492
"2006",1313199999,13,131,0,322
"2006",1313399999,13,133,0,411
"2006",1313599999,13,135,0,677
"2006",1313799999,13,137,0,472
"2006",1313999999,13,139,0,626
"2006",1314199999,13,141,0,411
"2006",1314399999,13,143,0,396
"2006",1314599999,13,145,0,498
"2006",1314799999,13,147,0,410
"2006",1314999999,13,149,0,677
"2006",1315199999,13,151,0,677
"2006",1315399999,13,153,0,535
"2006",1315599999,13,155,0,411
"2006",1315799999,13,157,0,497
"2006",1315999999,13,159,0,677
"2006",1316199999,13,161,0,410
"2006",1316399999,13,163,0,343
"2006",1316599999,13,165,0,343
"2006",1316799999,13,167,0,365
"2006",1316999999,13,169,0,495
"2006",1317199999,13,171,0,460
"2006",1317399999,13,173,0,473
"2006",1317599999,13,175,0,398
"2006",1317799999,13,177,0,473
"2006",1317999999,13,179,0,453
"2006",1318199999,13,181,0,411
"2006",1318399999,13,183,0,409
"2006",1318599999,13,185,0,473
"2006",1318799999,13,187,0,427
"2006",1318999999,13,189,0,484
"2006",1319199999,13,191,0,472
"2006",1319399999,13,193,0,412
"2006",1319599999,13,195,0,474
"2006",1319799999,13,197,0,498
"2006",1319999999,13,199,0,424
"2006",1320199999,13,201,0,427
"2006",1320599999,13,205,0,412
"2006",1320799999,13,207,0,495
"2006",1320999999,13,209,0,368
"2006",1321199999,13,211,0,417
"2006",1321399999,13,213,0,441
"2006",1321599999,13,215,0,498
"2006",1321799999,13,217,0,677
"2006",1321999999,13,219,0,474
"2006",1322199999,13,221,0,474
"2006",1322399999,13,223,0,677
"2006",1322599999,13,225,0,426
"2006",1322799999,13,227,0,677
"2006",1322999999,13,229,0,411
"2006",1323199999,13,231,0,677
"2006",1323399999,13,233,0,381
"2006",1323599999,13,235,0,363
"2006",1323799999,13,237,0,324
"2006",1323999999,13,239,0,411
"2006",1324199999,13,241,0,480
"2006",1324399999,13,243,0,411
"2006",1324599999,13,245,0,484
"2006",1324799999,13,247,0,677
"2006",1324999999,13,249,0,412
"2006",1325199999,13,251,0,343
"2006",1325399999,13,253,0,427
"2006",1325599999,13,255,0,677
"2006",1325799999,13,257,0,322
"2006",1325999999,13,259,0,411
"2006",1326199999,13,261,0,361
"2006",1326399999,13,263,0,470
"2006",1326599999,13,265,0,411
"2006",1326799999,13,267,0,412
"2006",1326999999,13,269,0,412
"2006",1327199999,13,271,0,367
"2006",1327399999,13,273,0,473
"2006",1327599999,13,275,0,446
"2006",1327799999,13,277,0,422
"2006",1327999999,13,279,0,323
"2006",1328199999,13,281,0,480
"2006",1328399999,13,283,0,368
"2006",1328599999,13,285,0,456
"2006",1328799999,13,287,0,411
"2006",1328999999,13,289,0,495
"2006",1329199999,13,291,0,480
"2006",1329399999,13,293,0,345
"2006",1329599999,13,295,0,502
"2006",1329799999,13,297,0,677
"2006",1329999999,13,299,0,388
"2006",1330199999,13,301,0,411
"2006",1330399999,13,303,0,343
"2006",1330599999,13,305,0,352
"2006",1330799999,13,307,0,412
"2006",1330999999,13,309,0,368
"2006",1331199999,13,311,0,482
"2006",1331399999,13,313,0,475
"2006",1331599999,13,315,0,368
"2006",1331799999,13,317,0,411
"2006",1331999999,13,319,0,365
"2006",1332199999,13,321,0,473
"2006",1500199999,15,1,0,695
"2006",1500399999,15,3,0,836
"2006",1500599999,15,5,0,747
"2006",1500799999,15,7,0,808
