MSA,State,County,rent50_2,rent50_0,rent50_1,rent50_3,rent50_4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
10000,5,27,418,275,326,554,619,AR,Columbia,25691,40,,ARKANSAS,500027
10000,5,29,448,271,334,559,627,AR,Conway,19151,40,,ARKANSAS,500029
10000,5,37,418,285,361,562,663,AR,Cross,19225,40,,ARKANSAS,500037
10000,5,39,418,275,326,554,619,AR,Dallas,9614,40,,ARKANSAS,500039
10000,5,41,418,275,326,554,619,AR,Desha,16798,40,,ARKANSAS,500041
10000,5,43,464,269,347,642,653,AR,Drew,17369,40,,ARKANSAS,500043
10000,5,47,418,287,326,554,619,AR,Franklin,14897,40,,ARKANSAS,500047
10000,5,49,418,284,326,554,619,AR,Fulton,10037,40,,ARKANSAS,500049
10000,5,51,472,277,353,659,779,AR,Garland,73397,40,,ARKANSAS,500051
10000,5,53,418,285,339,554,625,AR,Grant,13948,40,,ARKANSAS,500053
10000,5,55,418,294,326,554,619,AR,Greene,31804,40,,ARKANSAS,500055
10000,5,57,418,275,326,554,619,AR,Hempstead,21621,40,,ARKANSAS,500057
10000,5,59,418,275,326,554,619,AR,Hot Spring,26115,40,,ARKANSAS,500059
10000,5,61,418,275,326,554,619,AR,Howard,13569,40,,ARKANSAS,500061
10000,5,63,418,288,334,554,619,AR,Independence,31192,40,,ARKANSAS,500063
10000,5,65,418,275,326,554,619,AR,Izard,11364,40,,ARKANSAS,500065
10000,5,67,418,284,326,554,619,AR,Jackson,18944,40,,ARKANSAS,500067
10000,5,71,418,275,326,554,619,AR,Johnson,18221,40,,ARKANSAS,500071
10000,5,73,418,287,326,554,619,AR,Lafayette,9643,40,,ARKANSAS,500073
10000,5,75,418,275,326,554,619,AR,Lawrence,17457,40,,ARKANSAS,500075
10000,5,77,418,302,326,554,619,AR,Lee,13053,40,,ARKANSAS,500077
10000,5,79,425,296,326,567,619,AR,Lincoln,13690,40,,ARKANSAS,500079
10000,5,81,426,275,327,591,697,AR,Little River,13966,40,,ARKANSAS,500081
10000,5,83,418,287,326,554,619,AR,Logan,20557,40,,ARKANSAS,500083
10000,5,87,420,310,322,547,611,AR,Madison,11618,40,,ARKANSAS,500087
10000,5,89,418,275,326,554,619,AR,Marion,12001,40,,ARKANSAS,500089
