State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",461,477,553,784,807,AR,82148
5,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",309,389,474,631,710,AR,25614
5,METRO30780M30780,"Little Rock-North Little Rock, AR HUD Metro FMR Area",528,587,654,893,972,AR,594054
5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",422,424,508,736,759,AR,16464
5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",592,641,714,952,1000,AR,50866
5,METRO38220M38220,"Pine Bluff, AR MSA",405,479,587,718,804,AR,107341
5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",467,468,574,723,789,AR,40443
5,NCNTY05001N05001,"Arkansas County, AR",343,398,524,692,712,AR,20749
5,NCNTY05003N05003,"Ashley County, AR",374,429,539,658,677,AR,24209
5,NCNTY05005N05005,"Baxter County, AR",389,443,546,715,959,AR,38386
5,NCNTY05009N05009,"Boone County, AR",427,436,514,657,727,AR,33948
5,NCNTY05011N05011,"Bradley County, AR",363,370,489,610,662,AR,12600
5,NCNTY05013N05013,"Calhoun County, AR",354,442,494,628,787,AR,5744
5,NCNTY05015N05015,"Carroll County, AR",428,429,547,671,960,AR,25357
5,NCNTY05017N05017,"Chicot County, AR",363,370,489,610,662,AR,14117
5,NCNTY05019N05019,"Clark County, AR",435,436,524,694,715,AR,23546
5,NCNTY05021N05021,"Clay County, AR",374,393,474,634,653,AR,17609
5,NCNTY05023N05023,"Cleburne County, AR",475,476,570,735,1004,AR,24046
5,NCNTY05027N05027,"Columbia County, AR",335,428,516,656,784,AR,25603
5,NCNTY05029N05029,"Conway County, AR",431,433,519,663,694,AR,20336
5,NCNTY05037N05037,"Cross County, AR",424,425,510,742,776,AR,19526
5,NCNTY05039N05039,"Dallas County, AR",354,442,494,628,787,AR,9210
5,NCNTY05041N05041,"Desha County, AR",363,370,489,627,662,AR,15341
5,NCNTY05043N05043,"Drew County, AR",375,473,578,755,1005,AR,18723
5,NCNTY05049N05049,"Fulton County, AR",386,387,488,641,741,AR,11642
5,NCNTY05055N05055,"Greene County, AR",363,456,504,736,757,AR,37331
5,NCNTY05057N05057,"Hempstead County, AR",376,433,518,620,717,AR,23587
5,NCNTY05059N05059,"Hot Spring County, AR",420,421,506,674,813,AR,30353
