MSA,State,County,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4
2580,5,7,153406,Benton County,"Fayetteville--Springdale--Rogers, AR MSA",40,Arkansas,AR,351,443,582,786,813
2580,5,143,157715,Washington County,"Fayetteville--Springdale--Rogers, AR MSA",40,Arkansas,AR,351,443,582,786,813
2720,5,33,53247,Crawford County,"Fort Smith, AR--OK MSA",40,Arkansas,AR,385,389,513,685,719
2720,5,131,115071,Sebastian County,"Fort Smith, AR--OK MSA",40,Arkansas,AR,385,389,513,685,719
3700,5,31,82148,Craighead County,"Jonesboro, AR MSA",40,Arkansas,AR,414,451,530,729,771
4400,5,45,86014,Faulkner County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,434,482,574,792,925
4400,5,85,52828,Lonoke County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,434,482,574,792,925
4400,5,119,361474,Pulaski County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,434,482,574,792,925
4400,5,125,83529,Saline County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,434,482,574,792,925
4920,5,35,50866,Crittenden County,"Memphis, TN--AR--MS MSA",40,Arkansas,AR,494,577,676,940,986
6240,5,69,84278,Jefferson County,"Pine Bluff, AR MSA",40,Arkansas,AR,330,391,515,650,842
8360,5,91,40443,Miller County,"Texarkana, TX--Texarkana, AR MSA",40,Arkansas,AR,356,435,532,701,744
10000,5,1,20749,Arkansas County,,40,Arkansas,AR,301,326,418,571,619
10000,5,3,24209,Ashley County,,40,Arkansas,AR,275,326,418,554,655
10000,5,5,38386,Baxter County,,40,Arkansas,AR,276,350,466,599,730
10000,5,9,33948,Boone County,,40,Arkansas,AR,315,321,426,593,699
10000,5,11,12600,Bradley County,,40,Arkansas,AR,275,326,418,554,619
10000,5,13,5744,Calhoun County,,40,Arkansas,AR,275,326,418,554,619
10000,5,15,25357,Carroll County,,40,Arkansas,AR,323,352,418,554,661
10000,5,17,14117,Chicot County,,40,Arkansas,AR,275,326,418,554,619
10000,5,19,23546,Clark County,,40,Arkansas,AR,305,332,430,562,679
10000,5,21,17609,Clay County,,40,Arkansas,AR,275,326,418,554,619
10000,5,23,24046,Cleburne County,,40,Arkansas,AR,310,326,418,554,627
10000,5,25,8571,Cleveland County,,40,Arkansas,AR,275,326,418,554,619
10000,5,27,25603,Columbia County,,40,Arkansas,AR,275,326,418,554,619
10000,5,29,20336,Conway County,,40,Arkansas,AR,271,334,448,560,627
10000,5,37,19526,Cross County,,40,Arkansas,AR,285,361,418,561,663
10000,5,39,9210,Dallas County,,40,Arkansas,AR,275,326,418,554,619
10000,5,41,15341,Desha County,,40,Arkansas,AR,275,326,418,554,619
10000,5,43,18723,Drew County,,40,Arkansas,AR,269,348,464,642,654
10000,5,47,17771,Franklin County,,40,Arkansas,AR,288,326,418,554,619
10000,5,49,11642,Fulton County,,40,Arkansas,AR,284,326,418,554,619
10000,5,51,88068,Garland County,,40,Arkansas,AR,277,352,472,659,779
10000,5,53,16464,Grant County,,40,Arkansas,AR,285,338,418,554,625
10000,5,55,37331,Greene County,,40,Arkansas,AR,294,326,418,554,619
10000,5,57,23587,Hempstead County,,40,Arkansas,AR,275,326,418,554,619
10000,5,59,30353,Hot Spring County,,40,Arkansas,AR,275,326,418,554,619
10000,5,61,14300,Howard County,,40,Arkansas,AR,275,326,418,554,619
10000,5,63,34233,Independence County,,40,Arkansas,AR,289,334,418,554,619
10000,5,65,13249,Izard County,,40,Arkansas,AR,275,326,418,554,619
10000,5,67,18418,Jackson County,,40,Arkansas,AR,284,326,418,554,619
10000,5,71,22781,Johnson County,,40,Arkansas,AR,275,326,418,554,619
10000,5,73,8559,Lafayette County,,40,Arkansas,AR,288,326,418,554,619
10000,5,75,17774,Lawrence County,,40,Arkansas,AR,275,326,418,554,619
10000,5,77,12580,Lee County,,40,Arkansas,AR,302,326,418,554,619
10000,5,79,14492,Lincoln County,,40,Arkansas,AR,297,327,425,568,620
10000,5,81,13628,Little River County,,40,Arkansas,AR,276,328,426,591,697
10000,5,83,22486,Logan County,,40,Arkansas,AR,288,326,418,554,619
10000,5,87,14243,Madison County,,40,Arkansas,AR,311,323,420,548,613
10000,5,89,16140,Marion County,,40,Arkansas,AR,275,326,418,554,619
10000,5,93,51979,Mississippi County,,40,Arkansas,AR,313,338,453,597,670
10000,5,95,10254,Monroe County,,40,Arkansas,AR,279,326,418,554,619
10000,5,97,9245,Montgomery County,,40,Arkansas,AR,275,326,418,554,619
10000,5,99,9955,Nevada County,,40,Arkansas,AR,275,326,418,572,619
10000,5,101,8608,Newton County,,40,Arkansas,AR,275,326,418,554,619
10000,5,103,28790,Ouachita County,,40,Arkansas,AR,321,326,418,576,680
10000,5,105,10209,Perry County,,40,Arkansas,AR,275,326,418,554,619
10000,5,107,26445,Phillips County,,40,Arkansas,AR,275,326,418,554,619
10000,5,109,11303,Pike County,,40,Arkansas,AR,275,326,418,554,619
10000,5,111,25614,Poinsett County,,40,Arkansas,AR,275,326,418,554,619
10000,5,113,20229,Polk County,,40,Arkansas,AR,275,326,418,554,619
10000,5,115,54469,Pope County,,40,Arkansas,AR,274,358,452,627,723
10000,5,117,9539,Prairie County,,40,Arkansas,AR,275,326,418,554,619
10000,5,121,18195,Randolph County,,40,Arkansas,AR,275,326,418,554,619
