"fips_st","fips_puma","owner_occ","total","per_owner"
6,6108,305,372,81.989247311828
6,6109,212,298,71.1409395973154
6,6110,385,520,74.0384615384615
6,6111,236,378,62.4338624338624
6,6112,223,390,57.1794871794872
6,6113,98,326,30.0613496932515
6,6114,131,323,40.5572755417957
6,6115,195,379,51.4511873350923
6,6116,182,353,51.5580736543909
6,6117,315,422,74.6445497630332
6,6118,439,570,77.0175438596491
6,6119,236,386,61.139896373057
6,6120,254,323,78.6377708978328
6,6121,327,430,76.046511627907
6,6122,345,594,58.0808080808081
6,6123,196,417,47.0023980815348
6,6124,119,330,36.0606060606061
6,6125,408,1031,39.5732298739088
6,6126,295,369,79.9457994579946
6,6200,292,452,64.6017699115044
6,6300,263,412,63.8349514563107
6,6400,338,431,78.4222737819025
6,6500,399,500,79.8
6,6601,279,417,66.9064748201439
6,6602,420,513,81.8713450292398
6,6701,500,776,64.4329896907217
6,6702,446,766,58.22454308094
6,6801,273,585,46.6666666666667
6,6802,326,479,68.0584551148226
6,6900,206,427,48.2435597189695
6,7000,309,488,63.3196721311475
6,7100,288,433,66.512702078522
6,7200,590,840,70.2380952380952
6,7300,450,746,60.3217158176944
6,7400,338,463,73.0021598272138
6,7501,227,367,61.8528610354223
6,7502,206,419,49.1646778042959
6,7601,572,741,77.1929824561403
6,7602,704,843,83.5112692763938
6,7603,531,714,74.3697478991597
6,7604,611,845,72.3076923076923
6,7605,552,758,72.8232189973615
6,7606,485,718,67.5487465181058
6,7607,668,961,69.5109261186264
6,7700,327,417,78.4172661870504
6,7801,248,371,66.8463611859838
6,7802,326,508,64.1732283464567
6,7900,350,474,73.8396624472574
6,8001,936,1172,79.863481228669
6,8002,914,1079,84.708063021316
6,8003,682,890,76.629213483146
6,8004,1184,1583,74.7946936197094
6,8005,492,688,71.5116279069768
6,8101,404,1032,39.1472868217054
6,8102,211,378,55.8201058201058
6,8103,455,564,80.6737588652482
6,8104,472,727,64.9243466299862
6,8105,330,560,58.9285714285714
6,8106,287,396,72.4747474747475
6,8107,218,514,42.4124513618677
6,8108,488,821,59.4397076735688
6,8109,615,945,65.0793650793651
6,8110,299,592,50.5067567567568
6,8111,407,568,71.6549295774648
6,8112,569,731,77.8385772913817
6,8113,593,803,73.8480697384807
6,8114,445,647,68.7789799072643
6,8115,535,762,70.2099737532808
6,8116,364,610,59.672131147541
6,8200,290,485,59.7938144329897
8,101,357,460,77.6086956521739
8,102,454,550,82.5454545454545
8,103,405,529,76.5595463137996
8,200,336,508,66.1417322834646
8,300,731,948,77.1097046413502
8,400,680,873,77.8923253150057
8,501,472,595,79.327731092437
8,502,462,595,77.6470588235294
8,600,635,815,77.9141104294479
8,700,275,387,71.0594315245478
8,801,431,516,83.5271317829457
8,802,392,516,75.968992248062
8,803,265,439,60.3644646924829
8,804,391,488,80.1229508196721
8,805,318,447,71.1409395973154
8,806,359,456,78.7280701754386
8,807,361,441,81.859410430839
8,808,510,583,87.4785591766724
8,809,273,395,69.1139240506329
8,810,228,376,60.6382978723404
8,811,389,458,84.934497816594
8,812,335,489,68.5071574642127
8,813,206,387,53.2299741602067
8,814,283,491,57.6374745417515
8,815,377,654,57.6452599388379
8,816,269,368,73.0978260869565
8,817,365,462,79.004329004329
8,818,246,405,60.7407407407407
8,819,493,609,80.952380952381
8,820,374,513,72.9044834307992
8,821,426,484,88.0165289256198
8,822,546,641,85.179407176287
8,901,412,499,82.565130260521
8,902,306,442,69.2307692307692
8,903,285,433,65.8198614318707
8,904,427,532,80.2631578947368
8,905,251,363,69.1460055096419
8,1000,345,425,81.1764705882353
9,100,753,922,81.6702819956616
9,200,548,647,84.6986089644513
9,300,297,448,66.2946428571429
9,400,597,730,81.7808219178082
9,500,342,442,77.3755656108597
9,600,244,380,64.2105263157895
9,700,403,483,83.4368530020704
9,800,106,370,28.6486486486486
9,900,431,540,79.8148148148148
9,1000,390,494,78.9473684210526
9,1100,446,544,81.985294117647
9,1200,433,583,74.2710120068611
9,1300,513,644,79.6583850931677
9,1400,427,477,89.517819706499
9,1500,361,489,73.8241308793456
9,1600,345,445,77.5280898876404
9,1700,377,493,76.4705882352941
9,1800,379,450,84.2222222222222
9,1900,225,398,56.5326633165829
9,2000,158,422,37.4407582938389
9,2100,599,717,83.5425383542538
9,2200,730,823,88.6998784933171
9,2300,741,922,80.3687635574837
9,2400,205,392,52.2959183673469
9,2500,285,416,68.5096153846154
10,101,372,547,68.0073126142596
10,102,376,451,83.370288248337
10,103,263,370,71.0810810810811
10,104,331,377,87.7984084880637
10,200,421,547,76.9652650822669
10,300,899,1065,84.4131455399061
11,101,316,513,61.598440545809
11,102,239,429,55.7109557109557
11,103,317,553,57.3236889692586
11,104,209,533,39.2120075046904
11,105,237,601,39.4342762063228
12,101,559,799,69.9624530663329
12,102,367,465,78.9247311827957
12,200,497,603,82.4212271973466
12,300,608,828,73.4299516908213
12,400,584,715,81.6783216783217
12,500,573,773,74.1267787839586
12,600,411,509,80.746561886051
12,701,431,769,56.0468140442133
12,702,486,587,82.793867120954
12,800,405,524,77.2900763358779
12,900,312,423,73.758865248227
12,1001,223,423,52.7186761229314
12,1002,437,617,70.8265802269044
12,1101,444,547,81.1700182815356
12,1102,357,555,64.3243243243243
12,1103,321,465,69.0322580645161
12,1104,378,516,73.2558139534884
12,1105,383,560,68.3928571428571
12,1106,298,413,72.1549636803874
12,1107,529,746,70.911528150134
12,1200,644,776,82.9896907216495
12,1300,613,733,83.6289222373806
12,1400,593,722,82.1329639889197
12,1501,391,526,74.3346007604563
12,1502,887,996,89.0562248995984
12,1600,820,941,87.1413390010627
12,1700,640,721,88.7656033287101
12,1801,677,788,85.9137055837564
12,1802,473,566,83.5689045936396
12,1901,796,919,86.6158868335147
12,1902,400,583,68.6106346483705
12,1903,540,660,81.8181818181818
12,2001,558,746,74.798927613941
12,2002,362,506,71.5415019762846
12,2003,356,454,78.4140969162996
12,2101,687,823,83.4750911300121
12,2102,496,616,80.5194805194805
12,2103,486,613,79.2822185970636
12,2104,425,505,84.1584158415842
12,2201,369,440,83.8636363636364
12,2202,731,964,75.8298755186722
12,2203,346,546,63.3699633699634
12,2204,286,590,48.4745762711864
12,2205,347,524,66.2213740458015
12,2206,335,569,58.8752196836555
12,2207,447,576,77.6041666666667
12,2300,600,845,71.0059171597633
12,2401,565,780,72.4358974358974
12,2402,584,752,77.6595744680851
12,2403,497,597,83.249581239531
12,2404,454,548,82.8467153284672
12,2501,659,782,84.2710997442455
12,2502,593,673,88.112927191679
12,2503,455,590,77.1186440677966
12,2601,521,616,84.577922077922
12,2602,489,603,81.094527363184
12,2603,445,612,72.7124183006536
12,2604,369,521,70.8253358925144
12,2605,354,436,81.1926605504587
12,2606,349,476,73.3193277310924
12,2607,459,683,67.203513909224
12,2608,588,729,80.6584362139918
12,2701,365,546,66.8498168498168
12,2702,453,690,65.6521739130435
12,2703,456,582,78.3505154639175
12,2704,506,698,72.4928366762178
12,2705,300,555,54.0540540540541
12,2706,416,509,81.7288801571709
12,2707,529,718,73.6768802228412
12,2708,647,748,86.4973262032086
12,2801,488,657,74.2770167427702
12,2802,704,827,85.1269649334945
12,2901,769,971,79.1967044284243
12,2902,909,1061,85.6738925541942
12,3000,649,729,89.0260631001372
12,3100,663,795,83.3962264150943
12,3200,641,777,82.4967824967825
12,3300,882,1094,80.6215722120658
12,3400,589,704,83.6647727272727
12,3501,830,1044,79.5019157088123
12,3502,413,628,65.7643312101911
12,3503,386,521,74.088291746641
12,3504,374,502,74.5019920318725
12,3505,623,751,82.9560585885486
12,3506,575,682,84.3108504398827
12,3507,462,580,79.6551724137931
12,3508,423,497,85.1106639839034
12,3509,718,863,83.1981460023175
12,3601,393,518,75.8687258687259
12,3602,360,442,81.447963800905
12,3603,358,451,79.3791574279379
12,3604,372,512,72.65625
12,3605,418,629,66.4546899841017
12,3606,547,700,78.1428571428572
