"fips_st","fips_puma","owner_occ","total","per_owner","year"
23,500,533,647,82.3802163833076,2005
25,500,660,748,88.235294117647,2005
26,500,938,1062,88.3239171374765,2005
27,500,992,1126,88.0994671403197,2005
28,500,349,490,71.2244897959184,2005
29,500,648,823,78.7363304981774,2005
30,500,349,474,73.6286919831224,2005
31,500,469,592,79.222972972973,2005
33,500,439,551,79.6733212341198,2005
35,500,630,732,86.0655737704918,2005
36,500,671,909,73.8173817381738,2005
37,500,489,610,80.1639344262295,2005
38,500,355,464,76.5086206896552,2005
40,500,706,923,76.489707475623,2005
41,500,573,749,76.502002670227,2005
42,500,738,909,81.1881188118812,2005
44,500,424,573,73.9965095986038,2005
45,500,603,783,77.0114942528736,2005
46,500,422,543,77.7163904235727,2005
53,500,520,825,63.030303030303,2005
54,500,459,576,79.6875,2005
55,500,511,631,80.9825673534073,2005
8,501,483,621,77.7777777777778,2005
24,501,449,513,87.5243664717349,2005
32,501,514,730,70.4109589041096,2005
34,501,251,443,56.6591422121896,2005
39,501,368,505,72.8712871287129,2005
47,501,378,470,80.4255319148936,2005
48,501,217,401,54.1147132169576,2005
49,501,388,676,57.396449704142,2005
51,501,504,591,85.2791878172589,2005
8,502,453,610,74.2622950819672,2005
24,502,268,398,67.3366834170854,2005
32,502,265,403,65.75682382134,2005
34,502,565,682,82.8445747800587,2005
39,502,560,640,87.5,2005
47,502,390,452,86.283185840708,2005
48,502,464,620,74.8387096774194,2005
49,502,309,353,87.5354107648725,2005
51,502,511,651,78.494623655914,2005
24,503,365,502,72.7091633466136,2005
32,503,354,508,69.6850393700787,2005
49,503,292,372,78.494623655914,2005
24,504,345,497,69.4164989939638,2005
32,504,230,582,39.5189003436426,2005
49,504,349,466,74.892703862661,2005
24,505,356,454,78.4140969162996,2005
32,505,403,548,73.5401459854015,2005
49,505,276,353,78.1869688385269,2005
24,506,361,489,73.8241308793456,2005
32,506,538,653,82.3889739663093,2005
49,506,289,343,84.2565597667638,2005
24,507,314,424,74.0566037735849,2005
32,507,419,562,74.5551601423488,2005
49,507,327,401,81.5461346633416,2005
32,508,297,518,57.3359073359073,2005
32,509,208,440,47.2727272727273,2005
32,510,464,679,68.3357879234168,2005
32,511,719,968,74.2768595041322,2005
1,600,492,594,82.8282828282828,2005
4,600,659,842,78.2660332541568,2005
5,600,254,361,70.3601108033241,2005
6,600,643,965,66.6321243523316,2005
8,600,609,769,79.1937581274382,2005
9,600,263,414,63.5265700483092,2005
12,600,410,501,81.8363273453094,2005
13,600,507,647,78.3616692426584,2005
16,600,445,644,69.0993788819876,2005
17,600,431,552,78.0797101449275,2005
18,600,499,619,80.6138933764136,2005
19,600,729,912,79.9342105263158,2005
21,600,621,779,79.7175866495507,2005
22,600,506,642,78.816199376947,2005
23,600,345,432,79.8611111111111,2005
25,600,179,337,53.1157270029674,2005
26,600,826,935,88.3422459893048,2005
27,600,684,767,89.1786179921773,2005
28,600,252,415,60.722891566265,2005
29,600,339,518,65.4440154440154,2005
30,600,367,461,79.6095444685466,2005
31,600,686,861,79.6747967479675,2005
33,600,421,470,89.5744680851064,2005
36,600,498,642,77.5700934579439,2005
37,600,556,691,80.4630969609262,2005
40,600,834,1081,77.1507863089732,2005
41,600,561,827,67.8355501813785,2005
42,600,764,897,85.1727982162765,2005
44,600,579,734,78.882833787466,2005
45,600,450,543,82.8729281767956,2005
46,600,393,493,79.7160243407708,2005
47,600,695,872,79.7018348623853,2005
48,600,730,877,83.2383124287343,2005
51,600,1117,1325,84.3018867924528,2005
54,600,632,795,79.496855345912,2005
55,600,1590,1872,84.9358974358974,2005
20,601,353,466,75.7510729613734,2005
24,601,437,484,90.2892561983471,2005
34,601,130,453,28.6975717439294,2005
35,601,548,708,77.4011299435028,2005
39,601,440,523,84.1300191204589,2005
49,601,326,434,75.1152073732719,2005
53,601,377,466,80.9012875536481,2005
20,602,316,394,80.2030456852792,2005
24,602,296,409,72.3716381418093,2005
34,602,150,333,45.045045045045,2005
35,602,271,419,64.6778042959427,2005
39,602,401,575,69.7391304347826,2005
49,602,139,282,49.290780141844,2005
53,602,385,516,74.6124031007752,2005
20,603,300,386,77.720207253886,2005
35,603,387,488,79.3032786885246,2005
39,603,265,386,68.6528497409326,2005
49,603,459,529,86.7674858223062,2005
20,604,306,381,80.3149606299213,2005
35,604,279,444,62.8378378378378,2005
39,604,382,485,78.7628865979381,2005
35,605,288,361,79.7783933518006,2005
39,605,462,537,86.0335195530726,2005
39,606,190,377,50.3978779840849,2005
39,607,188,427,44.0281030444965,2005
39,608,231,423,54.6099290780142,2005
39,609,336,452,74.3362831858407,2005
39,610,258,409,63.080684596577,2005
39,611,301,408,73.7745098039216,2005
39,612,403,481,83.7837837837838,2005
1,700,427,567,75.3086419753086,2005
4,700,503,649,77.5038520801233,2005
5,700,306,448,68.3035714285714,2005
6,700,410,507,80.8678500986193,2005
8,700,291,420,69.2857142857143,2005
9,700,406,480,84.5833333333333,2005
13,700,539,651,82.7956989247312,2005
16,700,439,506,86.7588932806324,2005
17,700,554,664,83.433734939759,2005
18,700,499,652,76.5337423312884,2005
19,700,239,349,68.4813753581662,2005
20,700,296,427,69.3208430913349,2005
21,700,312,385,81.038961038961,2005
22,700,654,877,74.5724059293044,2005
23,700,236,322,73.2919254658385,2005
24,700,410,524,78.2442748091603,2005
25,700,349,529,65.9735349716446,2005
26,700,1062,1218,87.192118226601,2005
27,700,740,860,86.046511627907,2005
28,700,273,420,65,2005
29,700,572,733,78.0354706684857,2005
30,700,291,430,67.6744186046512,2005
33,700,287,337,85.1632047477745,2005
35,700,196,253,77.4703557312253,2005
36,700,280,574,48.780487804878,2005
37,700,480,605,79.3388429752066,2005
40,700,706,866,81.5242494226328,2005
42,700,290,365,79.4520547945205,2005
44,700,423,521,81.190019193858,2005
45,700,582,731,79.6169630642955,2005
46,700,232,348,66.6666666666667,2005
47,700,442,546,80.952380952381,2005
48,700,398,559,71.1985688729875,2005
49,700,799,987,80.952380952381,2005
51,700,687,934,73.5546038543897,2005
53,700,424,611,69.3944353518822,2005
54,700,358,489,73.2106339468303,2005
55,700,1190,1418,83.9210155148096,2005
12,701,453,784,57.7806122448980,2005
31,701,385,473,81.3953488372093,2005
34,701,156,381,40.9448818897638,2005
39,701,374,473,79.0697674418605,2005
41,701,474,579,81.8652849740933,2005
12,702,440,536,82.089552238806,2005
31,702,280,371,75.4716981132076,2005
34,702,146,438,33.3333333333333,2005
39,702,337,413,81.5980629539952,2005
41,702,548,883,62.0611551528879,2005
34,703,191,397,48.1108312342569,2005
39,703,399,446,89.4618834080718,2005
1,800,666,797,83.5633626097867,2005
4,800,910,1098,82.8779599271403,2005
5,800,413,561,73.6185383244207,2005
6,800,436,631,69.0966719492868,2005
9,800,116,372,31.1827956989247,2005
12,800,388,470,82.5531914893617,2005
13,800,616,715,86.1538461538462,2005
16,800,510,664,76.8072289156626,2005
17,800,739,923,80.0650054171181,2005
18,800,581,705,82.4113475177305,2005
19,800,515,659,78.1487101669196,2005
20,800,454,602,75.4152823920266,2005
21,800,345,475,72.6315789473684,2005
22,800,819,1092,75,2005
23,800,576,684,84.2105263157895,2005
25,800,380,485,78.3505154639175,2005
26,800,729,866,84.1801385681293,2005
27,800,646,764,84.5549738219895,2005
28,800,344,471,73.036093418259,2005
29,800,602,743,81.0228802153432,2005
33,800,211,378,55.8201058201058,2005
34,800,520,600,86.6666666666667,2005
35,800,372,474,78.4810126582278,2005
37,800,704,877,80.2736602052452,2005
39,800,324,418,77.511961722488,2005
40,800,739,940,78.6170212765958,2005
41,800,504,687,73.3624454148472,2005
45,800,480,608,78.9473684210526,2005
48,800,525,688,76.3081395348837,2005
51,800,455,532,85.5263157894737,2005
53,800,564,731,77.1545827633379,2005
54,800,927,1182,78.4263959390863,2005
55,800,861,1046,82.3135755258126,2005
8,801,417,498,83.7349397590361,2005
24,801,209,338,61.8343195266272,2005
31,801,233,386,60.3626943005181,2005
36,801,511,621,82.2866344605475,2005
42,801,229,365,62.7397260273973,2005
47,801,367,456,80.4824561403509,2005
8,802,380,503,75.5467196819085,2005
24,802,234,386,60.6217616580311,2005
31,802,280,352,79.5454545454545,2005
36,802,430,538,79.9256505576208,2005
42,802,650,777,83.6550836550836,2005
47,802,385,505,76.2376237623762,2005
8,803,275,456,60.3070175438597,2005
24,803,292,405,72.0987654320988,2005
36,803,519,659,78.7556904400607,2005
8,804,383,460,83.2608695652174,2005
24,804,250,489,51.1247443762781,2005
36,804,580,712,81.4606741573034,2005
8,805,316,433,72.9792147806005,2005
24,805,143,326,43.8650306748466,2005
8,806,339,432,78.4722222222222,2005
24,806,217,358,60.6145251396648,2005
8,807,323,405,79.753086419753,2005
8,808,516,574,89.8954703832753,2005
8,809,291,396,73.4848484848485,2005
8,810,248,381,65.0918635170604,2005
8,811,376,462,81.3852813852814,2005
8,812,281,437,64.3020594965675,2005
8,813,193,374,51.6042780748663,2005
8,814,294,486,60.4938271604938,2005
8,815,373,650,57.3846153846154,2005
8,816,267,359,74.3732590529248,2005
8,817,363,450,80.6666666666667,2005
8,818,254,400,63.5,2005
8,819,483,601,80.3660565723794,2005
8,820,383,521,73.5124760076775,2005
8,821,405,462,87.6623376623377,2005
8,822,489,557,87.7917414721723,2005
4,900,673,896,75.1116071428571,2005
5,900,415,626,66.2939297124601,2005
6,900,430,691,62.2286541244573,2005
9,900,444,546,81.3186813186813,2005
12,900,343,439,78.132118451025,2005
13,900,330,407,81.0810810810811,2005
16,900,502,643,78.0715396578538,2005
17,900,754,982,76.7820773930754,2005
18,900,529,776,68.1701030927835,2005
19,900,424,530,80,2005
20,900,546,674,81.0089020771513,2005
21,900,336,436,77.0642201834862,2005
22,900,574,734,78.2016348773842,2005
23,900,596,769,77.5032509752926,2005
25,900,347,455,76.2637362637363,2005
26,900,688,834,82.494004796163,2005
27,900,914,1017,89.8721730580138,2005
28,900,275,396,69.4444444444444,2005
33,900,269,369,72.89972899729,2005
35,900,430,611,70.3764320785597,2005
40,900,781,970,80.5154639175258,2005
41,900,538,750,71.7333333333333,2005
45,900,493,611,80.6873977086743,2005
47,900,590,738,79.9457994579946,2005
48,900,465,602,77.2425249169435,2005
51,900,460,598,76.923076923077,2005
54,900,452,575,78.6086956521739,2005
55,900,285,372,76.6129032258064,2005
1,901,191,369,51.7615176151762,2005
8,901,370,454,81.4977973568282,2005
24,901,386,450,85.7777777777778,2005
29,901,636,763,83.3551769331586,2005
31,901,328,446,73.542600896861,2005
34,901,555,674,82.3442136498516,2005
