"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"TX",2008,2,193.2,191.34
"TX",2008,3,193.68,191.57
"TX",2008,4,190.28,190.2
"TX",2009,1,188.73,189.22
"UT",2000,1,192.04,192
"UT",2000,2,194.2,192.35
"UT",2000,3,194.67,193.91
"UT",2000,4,194.7,194.62
"UT",2001,1,195.64,195.51
"UT",2001,2,197.81,196.13
"UT",2001,3,197.27,196.44
"UT",2001,4,198.22,198
"UT",2002,1,198.81,198.75
"UT",2002,2,200.22,198.7
"UT",2002,3,200.16,199.13
"UT",2002,4,202.93,202.62
"UT",2003,1,202.29,202.36
"UT",2003,2,205.74,204.32
"UT",2003,3,208.1,206.83
"UT",2003,4,207.68,207.28
"UT",2004,1,210.39,210.69
"UT",2004,2,216.2,214.75
"UT",2004,3,220.07,218.44
"UT",2004,4,224.01,223.65
"UT",2005,1,228.24,228.79
"UT",2005,2,237.36,235.7
"UT",2005,3,248.37,246.28
"UT",2005,4,256.53,256.26
"UT",2006,1,265.66,266.54
"UT",2006,2,278.34,276.24
"UT",2006,3,289.52,286.81
"UT",2006,4,300.59,300.55
"UT",2007,1,309.08,310.26
"UT",2007,2,321.41,318.74
"UT",2007,3,325.05,321.88
"UT",2007,4,317.43,317.61
"UT",2008,1,315.35,316.67
"UT",2008,2,315.13,312.3
"UT",2008,3,307.69,304.56
"UT",2008,4,295.44,295.84
"UT",2009,1,286.13,287.37
"VA",2000,1,123.5,123.55
"VA",2000,2,127.56,126.37
"VA",2000,3,129.86,128.82
"VA",2000,4,130.93,131.04
"VA",2001,1,134.48,134.61
"VA",2001,2,138.87,137.51
"VA",2001,3,141.9,140.68
"VA",2001,4,142.81,143.02
"VA",2002,1,145.76,145.9
"VA",2002,2,151.66,150.17
"VA",2002,3,154.77,153.39
"VA",2002,4,156.63,156.89
"VA",2003,1,160.83,161
"VA",2003,2,166.69,165.02
"VA",2003,3,171.04,169.51
"VA",2003,4,175.81,176.17
"VA",2004,1,180.3,180.44
"VA",2004,2,188.43,186.51
"VA",2004,3,195.78,194.03
"VA",2004,4,201.99,202.54
"VA",2005,1,209.44,209.52
"VA",2005,2,219.05,216.76
"VA",2005,3,227.14,224.98
"VA",2005,4,231.76,232.85
"VA",2006,1,238.27,238.04
"VA",2006,2,244.59,242.03
"VA",2006,3,243.42,240.85
"VA",2006,4,245.64,247.53
"VA",2007,1,247.13,246.42
"VA",2007,2,250.79,248.16
"VA",2007,3,248.18,245.27
"VA",2007,4,239.83,242.47
"VA",2008,1,237.55,236.36
"VA",2008,2,233.62,231.2
"VA",2008,3,229.04,226.17
"VA",2008,4,215.47,218.39
"VA",2009,1,217.54,216.08
"VT",2000,1,116.56,117.78
"VT",2000,2,119.87,119.78
"VT",2000,3,123.56,122.79
"VT",2000,4,125.13,126.21
"VT",2001,1,126.07,127.7
"VT",2001,2,132.75,132.53
"VT",2001,3,134.31,133.5
"VT",2001,4,135.63,136.49
"VT",2002,1,137.98,140.21
"VT",2002,2,142.82,142.43
"VT",2002,3,146.83,145.93
"VT",2002,4,147.5,148.22
"VT",2003,1,148.08,150.83
"VT",2003,2,153.99,153.43
"VT",2003,3,158.76,157.84
"VT",2003,4,161.77,162.24
"VT",2004,1,164.8,168.27
"VT",2004,2,177.39,176.59
"VT",2004,3,180.48,179.48
"VT",2004,4,186.12,186.49
"VT",2005,1,186.76,190.9
"VT",2005,2,197.91,196.78
"VT",2005,3,205.24,204.43
"VT",2005,4,205.28,205.57
"VT",2006,1,202.01,206.36
"VT",2006,2,211.31,209.95
"VT",2006,3,213.03,212.59
"VT",2006,4,216.13,216.56
"VT",2007,1,212.33,216.39
"VT",2007,2,220.33,218.8
"VT",2007,3,220.48,220.56
"VT",2007,4,217.55,218.14
"VT",2008,1,218.81,222.34
"VT",2008,2,218.14,216.65
"VT",2008,3,211.68,212.1
"VT",2008,4,211.59,212.39
"VT",2009,1,211.63,214.51
"WA",2000,1,149.98,149.36
"WA",2000,2,151.96,150.31
"WA",2000,3,153.38,151.96
"WA",2000,4,154.61,154.14
"WA",2001,1,157.03,156.33
"WA",2001,2,159.7,157.98
"WA",2001,3,161.87,160.41
"WA",2001,4,161.78,161.25
"WA",2002,1,165.13,164.45
"WA",2002,2,168.07,166.26
"WA",2002,3,169.58,167.94
"WA",2002,4,171.82,171.29
"WA",2003,1,173.69,173.12
"WA",2003,2,177.66,175.68
"WA",2003,3,181.26,179.37
"WA",2003,4,183.99,183.43
"WA",2004,1,189.6,189.22
"WA",2004,2,197.27,194.99
"WA",2004,3,202.05,199.72
"WA",2004,4,207.64,207.08
"WA",2005,1,213.15,213
"WA",2005,2,225.88,223.16
"WA",2005,3,236.67,233.67
"WA",2005,4,242.44,241.89
"WA",2006,1,250.56,250.64
"WA",2006,2,261.5,258.34
"WA",2006,3,267.78,263.95
"WA",2006,4,270.36,270
"WA",2007,1,274.65,274.89
"WA",2007,2,281.19,277.77
"WA",2007,3,283.28,278.91
"WA",2007,4,279.13,278.99
"WA",2008,1,274.8,275.09
"WA",2008,2,275.38,272.06
"WA",2008,3,271.73,267.28
"WA",2008,4,258.17,258.23
"WA",2009,1,256.58,256.85
"WI",2000,1,159.52,159.78
"WI",2000,2,163.45,162.15
"WI",2000,3,166.09,164.38
"WI",2000,4,166.66,166.26
"WI",2001,1,168.77,168.99
"WI",2001,2,172.43,171.15
"WI",2001,3,174.97,173.11
"WI",2001,4,176.72,176.3
"WI",2002,1,177.48,177.69
"WI",2002,2,181.39,180.1
"WI",2002,3,185.76,183.74
"WI",2002,4,187.28,186.83
"WI",2003,1,189.42,189.68
"WI",2003,2,193.32,191.93
"WI",2003,3,197.23,195.05
"WI",2003,4,199.18,198.73
"WI",2004,1,202.14,202.53
"WI",2004,2,207.35,205.68
"WI",2004,3,211.78,209.47
"WI",2004,4,213.56,213.18
"WI",2005,1,213.18,213.67
"WI",2005,2,220.68,218.62
"WI",2005,3,223.92,221.53
"WI",2005,4,224.09,223.93
"WI",2006,1,224.71,225.22
"WI",2006,2,228.82,226.34
"WI",2006,3,229.22,226.87
"WI",2006,4,228.25,228.44
"WI",2007,1,227.19,227.54
"WI",2007,2,231.48,228.69
"WI",2007,3,231.12,228.85
"WI",2007,4,227.87,228.41
"WI",2008,1,227.6,227.74
"WI",2008,2,228.95,226.01
"WI",2008,3,225.97,223.82
"WI",2008,4,221.18,222
"WI",2009,1,225.76,225.67
"WV",2000,1,132.19,130.09
"WV",2000,2,136.43,133
"WV",2000,3,135.88,133.27
"WV",2000,4,134.68,132.96
"WV",2001,1,137.96,135.63
"WV",2001,2,135.69,132.3
"WV",2001,3,136.04,133.49
"WV",2001,4,138.72,137.02
"WV",2002,1,141.07,138.57
"WV",2002,2,143.41,139.83
"WV",2002,3,143.8,141.08
"WV",2002,4,144.74,143.11
"WV",2003,1,147.19,144.51
"WV",2003,2,151.91,148.12
"WV",2003,3,151.06,148.05
"WV",2003,4,150.37,148.93
"WV",2004,1,155.74,152.79
"WV",2004,2,158.24,154.35
"WV",2004,3,162.34,158.87
"WV",2004,4,165.92,164.59
"WV",2005,1,165.02,161.84
"WV",2005,2,172.03,167.88
"WV",2005,3,174.45,170.45
"WV",2005,4,174.41,173.19
"WV",2006,1,178.98,175.55
"WV",2006,2,182.82,178.45
"WV",2006,3,184.61,180.25
"WV",2006,4,181.79,180.48
"WV",2007,1,187.79,184.35
"WV",2007,2,187.94,183.43
"WV",2007,3,190.73,186.17
"WV",2007,4,188.73,187.27
"WV",2008,1,190.52,187.22
"WV",2008,2,193.1,188.4
"WV",2008,3,187.63,183.17
"WV",2008,4,192.08,190.45
"WV",2009,1,182.54,179.52
"WY",2000,1,163.25,163.02
"WY",2000,2,167.35,165.44
"WY",2000,3,166.93,164.57
"WY",2000,4,170.62,169.84
"WY",2001,1,169.09,168.92
"WY",2001,2,173.67,171.79
"WY",2001,3,177.5,175.01
"WY",2001,4,181.5,180.52
"WY",2002,1,183.82,183.64
"WY",2002,2,189.33,187.43
"WY",2002,3,192.93,190.21
"WY",2002,4,194.92,193.83
"WY",2003,1,194.31,193.92
"WY",2003,2,203.52,201.73
"WY",2003,3,209.11,206.19
"WY",2003,4,209.76,208.48
"WY",2004,1,217.18,216.56
"WY",2004,2,220.71,219.05
"WY",2004,3,228.47,225.27
"WY",2004,4,230.24,228.79
"WY",2005,1,236.51,235.52
"WY",2005,2,243.7,242.23
"WY",2005,3,254.46,251.01
"WY",2005,4,260.96,258.98
"WY",2006,1,269.55,268.36
"WY",2006,2,276.1,274.64
"WY",2006,3,284.44,280.86
"WY",2006,4,294.55,291.88
"WY",2007,1,297.79,296.43
"WY",2007,2,306.86,305.39
"WY",2007,3,312.81,309.28
"WY",2007,4,306,302.58
"WY",2008,1,312.99,311.86
"WY",2008,2,310.62,309.05
"WY",2008,3,313.18,309.93
"WY",2008,4,310.54,306.78
"WY",2009,1,292.58,291.57
