CONTROL,SMSA,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000001480','1840',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001480','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001480','5000',2,'3','-6','3','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000001481','6440',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000001482','3760',1,'3','-6','3','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001484','1520',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001484','3760',1,'3','-6','2','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001484','6440',1,'3','-6','1','2','-9',2,'2','3','1','1','-9','-9','-9','-9','-9'
'000000001485','5000',1,'2','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001486','1840',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001487','1840',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001487','5000',1,'4','-6','2','2','-9',-7,'2','2','2','1','-9','-9','-9','-9','-9'
'000000001488','1520',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001488','6440',1,'3','-6','3','1','-9',6,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001489','1520',1,'1','1','1','1','-9',2,'-6','1','2','1','-9','-9','-9','-9','-9'
'000000001489','5000',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001489','5000',2,'3','-6','1','1','-9',-7,'-6','2','2','2','-9','-9','-9','1','-9'
'000000001489','6440',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001490','1520',1,'2','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000001490','6440',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001491','6440',1,'3','-6','2','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001491','6440',2,'3','-6','1','2','-9',5,'2','2','1','2','-9','-9','-9','-9','-9'
'000000001492','3760',1,'3','-6','2','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001492','5000',1,'3','-6','-7','2','-9',3,'1','2','2','1','-9','-9','-9','-9','-9'
'000000001492','6440',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001493','5000',1,'3','-6','3','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'000000001494','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001494','6440',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001495','5000',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'000000001496','1520',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001496','3760',1,'2','-6','1','2','-9',5,'1','2','2','1','-9','-9','-9','-9','-9'
'000000001496','3760',2,'2','-6','1','1','-9',4,'-6','1','1','2','-9','-9','-9','-9','-9'
'000000001497','3760',1,'3','-6','3','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001497','5000',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001498','1840',1,'3','-6','3','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001498','3760',1,'3','-6','3','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001498','5000',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001500','5000',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001501','6440',1,'3','-6','1','1','-9',2,'-6','3','2','1','-9','-9','-9','-9','-9'
'000000001502','6440',1,'3','-6','3','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001503','1840',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001503','6440',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000001504','3760',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000001505','6440',1,'3','-6','3','2','-9',3,'2','2','2','1','-9','-9','-9','-9','-9'
'000000001506','1520',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001507','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001509','3760',1,'-8','-6','-7','-8','-9',-8,'-6','1','1','1','-9','1','1','-9','-9'
'000000001509','6440',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001510','1520',1,'2','-6','2','2','-9',3,'2','1','1','1','-9','-9','-9','-9','-9'
'000000001511','3760',1,'3','-6','1','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001511','5000',1,'4','-6','-7','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'000000001513','1520',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001513','3760',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001513','6440',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001514','1520',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
