CONTROL,SMSA,OWNHERE,JWNHER
'000000000150','6440','-6','-9'
'000000000151','1840','-6','-9'
'000000000151','3760','-6','-9'
'000000000151','6440','1','-9'
'000000000152','6440','1','-9'
'000000000153','1840','2','-9'
'000000000153','6440','1','-9'
'000000000155','3760','1','-9'
'000000000156','1520','-6','-9'
'000000000156','6440','1','-9'
'000000000157','6440','1','-9'
'000000000159','1840','-6','-9'
'000000000159','3760','-6','-9'
'000000000161','6440','2','-9'
'000000000163','1520','-6','-9'
'000000000163','3760','-6','-9'
'000000000163','6440','2','-9'
'000000000166','5000','2','-9'
'000000000166','6440','2','-9'
'000000000167','1520','-6','-9'
'000000000167','6440','1','-9'
'000000000168','3760','-6','-9'
'000000000169','1520','-6','-9'
'000000000169','5000','2','-9'
'000000000169','6440','2','-9'
'000000000170','6440','1','-9'
'000000000171','1520','-6','-9'
'000000000171','3760','-6','-9'
'000000000172','3760','1','2'
'000000000174','1840','-6','-9'
'000000000174','6440','1','2'
'000000000175','1520','2','-9'
'000000000175','6440','1','-9'
'000000000177','1520','-6','-9'
'000000000181','1840','-6','-9'
'000000000182','1520','-6','-9'
'000000000182','5000','-6','-9'
'000000000185','1840','2','-9'
'000000000188','1520','2','-9'
'000000000188','1840','2','-9'
'000000000190','1840','-6','-9'
'000000000191','1840','-6','-9'
'000000000192','6440','1','-9'
'000000000193','3760','-6','-9'
'000000000194','1840','2','-9'
'000000000195','1520','-6','-9'
'000000000195','1840','2','-9'
'000000000196','1520','2','-9'
'000000000197','6440','2','-9'
'000000000198','1520','2','-9'
'000000000198','1840','-6','-9'
'000000000198','5000','-6','-9'
'000000000198','6440','-6','-9'
'000000000201','6440','2','2'
'000000000202','1520','-6','-9'
'000000000202','6440','-6','-9'
'000000000203','1520','2','-9'
'000000000205','5000','-6','-9'
'000000000206','1520','2','-9'
'000000000207','1840','2','-9'
'000000000208','1840','2','-9'
'000000000210','1840','2','-9'
'000000000211','5000','2','-9'
'000000000211','6440','1','-9'
'000000000214','5000','-6','-9'
'000000000216','1520','2','-9'
'000000000216','6440','-6','-9'
'000000000217','1840','1','-9'
'000000000219','6440','1','-9'
'000000000220','1520','-6','-9'
'000000000220','1840','-6','-9'
'000000000220','6440','1','-9'
'000000000221','6440','-6','-9'
'000000000222','6440','1','-9'
'000000000223','1520','-6','-9'
'000000000226','1840','-6','-9'
'000000000226','6440','1','-9'
'000000000227','6440','1','-9'
'000000000228','1840','2','-9'
'000000000229','5000','-6','-9'
'000000000229','6440','-6','-9'
'000000000230','1520','2','-9'
'000000000232','1520','-6','-9'
'000000000232','6440','1','-9'
'000000000234','1520','1','-9'
'000000000234','1840','-6','-9'
'000000000235','1520','-6','-9'
'000000000236','1840','2','-9'
'000000000236','6440','2','-9'
'000000000237','1520','1','-9'
'000000000237','5000','1','-9'
'000000000238','6440','-6','-9'
'000000000239','1840','2','-9'
'000000000239','3760','-6','-9'
'000000000240','1520','-6','-9'
'000000000240','3760','-6','-9'
'000000000244','6440','2','-9'
'000000000245','1840','-6','-9'
'000000000245','6440','-6','-9'
'000000000246','6440','1','-9'
'000000000248','1520','-6','-9'
'000000000249','1520','-6','-9'
'000000000250','1840','-6','-9'
'000000000250','6440','-6','-9'
'000000000251','3760','-6','-9'
'000000000252','6440','1','-9'
'000000000253','1840','2','-9'
'000000000256','6440','1','-9'
'000000000257','5000','2','-9'
'000000000258','1520','-6','-9'
'000000000259','6440','-6','-9'
'000000000261','1840','2','-9'
'000000000261','5000','2','-9'
'000000000262','1520','-6','-9'
'000000000263','1520','-6','-9'
'000000000264','1840','2','-9'
'000000000264','6440','2','-9'
'000000000265','1520','-6','-9'
'000000000265','1840','-6','-9'
'000000000265','3760','-6','-9'
'000000000265','5000','-6','-9'
'000000000266','1840','-6','-9'
'000000000267','6440','-6','-9'
'000000000268','1520','-6','-9'
'000000000268','5000','-6','-9'
'000000000269','6440','-6','-9'
'000000000270','1520','-6','-9'
'000000000270','1840','-6','-9'
'000000000271','1520','2','-9'
'000000000271','3760','-6','-9'
'000000000272','1520','2','-9'
'000000000273','1520','-6','-9'
'000000000274','1520','2','-9'
'000000000274','5000','2','2'
'000000000276','1520','-6','-9'
'000000000278','5000','-6','-9'
'000000000280','6440','-6','-9'
'000000000282','3760','-6','-9'
'000000000282','6440','2','-9'
'000000000287','1520','-6','-9'
'000000000287','5000','1','-9'
'000000000288','1520','1','-9'
'000000000289','1520','2','-9'
'000000000289','5000','2','-9'
'000000000290','1840','-6','-9'
'000000000290','3760','1','-9'
'000000000291','3760','-6','-9'
'000000000291','6440','1','-9'
'000000000292','1520','2','-9'
'000000000292','3760','-6','-9'
'000000000292','6440','1','-9'
'000000000293','1520','2','-9'
'000000000293','3760','-6','-9'
'000000000294','3760','2','-9'
'000000000295','6440','-6','-9'
'000000000296','1520','2','-9'
'000000000297','1520','2','2'
'000000000297','5000','-6','-9'
'000000000298','1520','2','-9'
'000000000299','1520','2','-9'
'000000000301','5000','-6','-9'
'000000000303','6440','1','-9'
'000000000305','5000','-6','-9'
'000000000306','1840','-6','-9'
'000000000306','5000','-6','-9'
'000000000306','6440','1','-9'
'000000000307','1840','-6','-9'
'000000000308','1840','2','-9'
'000000000310','5000','2','-9'
'000000000310','6440','1','2'
'000000000312','1840','2','-9'
'000000000314','5000','1','-9'
'000000000315','1840','-6','-9'
'000000000315','5000','-6','-9'
'000000000317','1520','-6','-9'
'000000000317','1840','1','-9'
'000000000318','1520','2','2'
'000000000322','1840','2','-9'
'000000000322','3760','2','-9'
'000000000322','5000','2','-9'
'000000000323','6440','1','-9'
'000000000325','3760','-6','-9'
'000000000325','5000','2','-9'
'000000000326','5000','-6','-9'
'000000000327','1840','-6','-9'
'000000000327','6440','1','-9'
'000000000329','5000','2','-9'
'000000000331','3760','-6','-9'
'000000000331','6440','1','-9'
'000000000334','6440','1','-9'
'000000000335','1840','2','-9'
'000000000336','1840','-6','-9'
'000000000336','5000','-6','-9'
'000000000336','6440','1','-9'
'000000000337','6440','1','-9'
'000000000338','6440','1','-9'
'000000000339','1520','-6','-9'
'000000000342','3760','2','-9'
'000000000342','6440','1','-9'
'000000000343','3760','-6','-9'
'000000000344','1520','2','-9'
'000000000344','3760','2','-9'
'000000000345','1520','-6','-9'
'000000000346','3760','2','2'
'000000000346','5000','-6','-9'
'000000000347','1840','-6','-9'
'000000000349','1840','2','-9'
'000000000351','5000','-6','-9'
'000000000352','1840','-6','-9'
'000000000352','5000','-6','-9'
'000000000353','5000','2','-9'
'000000000354','3760','-6','-9'
'000000000355','6440','1','-9'
'000000000356','3760','-6','-9'
'000000000357','1840','-6','-9'
'000000000357','5000','-6','-9'
'000000000359','5000','1','-9'
'000000000359','6440','2','-9'
'000000000360','5000','-6','-9'
'000000000360','6440','2','-9'
'000000000361','5000','2','-9'
'000000000362','5000','2','-9'
'000000000363','6440','1','-9'
'000000000364','3760','-6','-9'
'000000000364','5000','1','-9'
'000000000365','5000','2','2'
'000000000366','5000','2','-9'
'000000000367','6440','1','-9'
'000000000368','3760','-6','-9'
'000000000368','6440','2','-9'
'000000000370','6440','2','-9'
'000000000371','6440','1','-9'
'000000000372','5000','1','-9'
'000000000372','6440','1','-9'
'000000000373','3760','-6','-9'
'000000000374','5000','1','-9'
'000000000377','6440','-6','-9'
'000000000379','6440','1','-9'
'000000000380','3760','-6','-9'
'000000000381','5000','2','-9'
'000000000381','6440','-6','-9'
'000000000382','5000','1','-9'
'000000000382','6440','1','-9'
'000000000383','5000','2','2'
'000000000384','5000','2','-9'
'000000000385','5000','1','2'
'000000000386','5000','2','-9'
'000000000387','3760','-6','-9'
'000000000387','6440','1','-9'
'000000000389','1520','2','-9'
'000000000390','1520','2','-9'
'000000000391','3760','-6','-9'
'000000000393','1840','-6','-9'
'000000000395','5000','2','2'
'000000000395','6440','1','-9'
'000000000396','6440','-6','-9'
'000000000399','1840','-6','-9'
'000000000401','5000','2','-9'
'000000000405','5000','-6','-9'
'000000000405','6440','-6','-9'
'000000000408','6440','-6','-9'
'000000000409','3760','2','-9'
'000000000410','5000','-6','-9'
'000000000410','6440','1','2'
'000000000412','5000','1','-9'
'000000000413','5000','-6','-9'
'000000000414','5000','-6','-9'
'000000000416','1840','-6','-9'
'000000000416','5000','2','-9'
'000000000417','1520','-6','-9'
'000000000417','1840','-6','-9'
'000000000418','5000','2','-9'
'000000000419','5000','2','-9'
'000000000421','5000','1','-9'
'000000000421','6440','1','-9'
'000000000422','5000','2','-9'
'000000000422','6440','-6','-9'
'000000000423','6440','-6','-9'
'000000000425','1840','1','-9'
'000000000426','6440','1','-9'
'000000000427','1520','-6','-9'
'000000000428','5000','-6','-9'
'000000000429','1840','2','-9'
'000000000430','1840','1','-9'
'000000000431','1840','1','-9'
'000000000431','3760','-6','-9'
'000000000432','6440','1','-9'
'000000000433','1840','2','-9'
'000000000433','5000','2','-9'
'000000000436','1840','2','-9'
'000000000436','5000','2','2'
'000000000437','1520','-6','-9'
'000000000438','3760','2','-9'
'000000000439','5000','1','2'
'000000000441','1840','-6','-9'
'000000000441','3760','2','-9'
'000000000442','1520','-6','-9'
'000000000442','6440','1','-9'
'000000000443','3760','-6','-9'
'000000000443','6440','-6','-9'
'000000000444','1840','2','-9'
'000000000445','1840','-6','-9'
'000000000446','3760','-6','-9'
'000000000448','1840','2','2'
'000000000448','3760','-6','-9'
'000000000448','5000','2','-9'
'000000000449','1840','-6','-9'
'000000000449','3760','-6','-9'
'000000000449','6440','-6','-9'
'000000000452','1840','-6','-9'
'000000000452','6440','1','-9'
'000000000453','3760','2','-9'
'000000000455','1840','2','-9'
'000000000456','6440','1','-9'
'000000000460','1840','2','-9'
'000000000461','1520','2','-9'
'000000000461','1840','-6','-9'
'000000000462','1840','2','-9'
'000000000462','5000','-6','-9'
'000000000463','5000','2','-9'
'000000000464','5000','-6','-9'
'000000000466','3760','-6','-9'
'000000000466','5000','2','-9'
'000000000469','5000','1','-9'
'000000000469','6440','2','-9'
'000000000471','5000','2','-9'
'000000000472','5000','2','-9'
'000000000473','1840','-6','-9'
'000000000473','5000','-6','-9'
'000000000474','1840','-6','-9'
'000000000474','5000','1','-9'
'000000000475','3760','2','-9'
'000000000476','5000','2','-9'
'000000000478','1840','-6','-9'
'000000000478','5000','1','-9'
'000000000479','5000','1','-9'
'000000000479','6440','2','2'
'000000000480','6440','2','-9'
'000000000481','5000','-6','-9'
'000000000485','3760','-6','-9'
'000000000485','5000','1','-9'
'000000000486','3760','2','-9'
'000000000487','3760','-6','-9'
'000000000487','6440','-6','-9'
'000000000488','1520','-6','-9'
'000000000488','1840','2','-9'
'000000000488','6440','-6','-9'
'000000000489','1840','-6','-9'
'000000000489','5000','2','-9'
'000000000490','5000','1','-9'
'000000000491','1840','2','-9'
'000000000492','1520','1','-9'
'000000000492','1840','2','-9'
'000000000493','1840','2','2'
'000000000494','1840','-6','-9'
'000000000494','5000','1','-9'
'000000000495','1840','2','-9'
'000000000497','1520','-6','-9'
'000000000497','6440','2','-9'
'000000000498','1840','-6','-9'
'000000000498','5000','2','-9'
'000000000499','5000','-6','-9'
'000000000499','6440','-6','-9'
'000000000500','1840','-6','-9'
'000000000502','1520','-6','-9'
'000000000502','5000','2','-9'
'000000000503','1840','-6','-9'
'000000000504','1520','2','-9'
'000000000504','6440','2','-9'
'000000000505','1840','-6','-9'
'000000000505','3760','-6','-9'
'000000000506','1520','-6','-9'
'000000000506','6440','2','-9'
'000000000507','1840','-6','-9'
'000000000507','3760','-6','-9'
'000000000507','6440','-6','-9'
'000000000508','1520','-6','-9'
'000000000508','1840','2','-9'
'000000000509','1840','1','-9'
'000000000509','3760','-6','-9'
'000000000509','6440','-6','-9'
'000000000510','1840','2','-9'
'000000000511','6440','2','-9'
'000000000512','1520','-6','-9'
'000000000513','1840','-6','-9'
'000000000513','3760','2','-9'
'000000000514','6440','2','2'
'000000000516','6440','1','-9'
'000000000518','5000','-6','-9'
'000000000520','1520','-6','-9'
'000000000520','5000','-6','-9'
'000000000522','5000','1','-9'
'000000000524','1840','2','-9'
'000000000525','5000','-6','-9'
'000000000526','1520','2','-9'
'000000000527','5000','2','-9'
'000000000528','5000','2','-9'
'000000000529','1840','2','-9'
'000000000529','5000','-6','-9'
'000000000531','1840','-6','-9'
'000000000531','5000','1','-9'
'000000000532','1520','1','-9'
'000000000532','5000','2','-9'
'000000000533','1840','-6','-9'
'000000000534','1520','-6','-9'
'000000000534','5000','-6','-9'
'000000000535','5000','2','-9'
'000000000536','1520','-6','-9'
'000000000536','5000','-6','-9'
'000000000537','5000','-6','-9'
'000000000539','1520','-6','-9'
'000000000539','6440','1','-9'
'000000000540','5000','2','-9'
'000000000541','5000','1','-9'
'000000000542','1840','2','-9'
'000000000542','5000','-6','-9'
'000000000543','1840','-6','-9'
'000000000544','5000','2','-9'
'000000000545','3760','-6','-9'
'000000000546','1840','-6','-9'
'000000000546','3760','-6','-9'
'000000000547','1520','-6','-9'
'000000000547','3760','2','-9'
'000000000547','5000','2','2'
'000000000548','1840','-6','-9'
'000000000548','3760','-6','-9'
'000000000548','5000','1','-9'
'000000000549','1840','2','-9'
'000000000549','5000','-6','-9'
'000000000550','1520','2','-9'
'000000000550','1840','2','-9'
'000000000551','5000','1','-9'
'000000000552','1840','2','-9'
'000000000552','3760','-6','-9'
'000000000553','1520','2','-9'
'000000000553','3760','-6','-9'
'000000000554','1840','-6','-9'
'000000000554','6440','1','-9'
'000000000555','1840','-6','-9'
'000000000556','1520','-6','-9'
'000000000556','1840','-6','-9'
'000000000556','3760','2','-9'
'000000000556','6440','2','-9'
'000000000558','6440','-6','-9'
'000000000559','1840','-6','-9'
'000000000559','6440','-6','-9'
'000000000561','3760','-6','-9'
'000000000561','5000','2','-9'
'000000000561','6440','1','-9'
'000000000562','5000','2','-9'
'000000000562','6440','-6','-9'
'000000000563','1520','-6','-9'
'000000000563','3760','2','-9'
'000000000563','5000','2','2'
'000000000564','3760','-6','-9'
'000000000564','6440','2','-9'
'000000000566','5000','1','-9'
'000000000567','1520','-6','-9'
'000000000569','5000','-6','-9'
'000000000570','6440','1','-9'
'000000000571','1520','-6','-9'
'000000000571','1840','-6','-9'
'000000000572','1520','-6','-9'
'000000000573','1840','-6','-9'
'000000000576','1840','-6','-9'
'000000000577','5000','-6','-9'
'000000000578','1840','-6','-9'
'000000000578','5000','-6','-9'
'000000000578','6440','2','-9'
'000000000579','1520','-6','-9'
'000000000583','1840','-6','-9'
'000000000583','3760','-6','-9'
'000000000583','6440','-6','-9'
'000000000585','3760','-6','-9'
'000000000586','6440','-6','-9'
'000000000590','1840','-6','-9'
'000000000591','5000','-6','-9'
'000000000592','6440','-6','-9'
'000000000593','5000','2','-9'
'000000000594','5000','-6','-9'
'000000000595','1520','-6','-9'
'000000000596','5000','1','-9'
'000000000598','1520','-6','-9'
'000000000598','1840','1','-9'
'000000000599','1840','1','-9'
'000000000599','3760','-6','-9'
'000000000600','1840','-6','-9'
'000000000600','5000','-6','-9'
'000000000601','1520','-6','-9'
'000000000601','1840','-6','-9'
'000000000601','5000','2','-9'
'000000000604','1840','2','-9'
'000000000605','1840','2','2'
'000000000606','1520','-6','-9'
'000000000606','1840','-6','-9'
'000000000606','5000','2','-9'
'000000000607','1840','2','-9'
'000000000609','1840','2','-9'
'000000000610','1520','-6','-9'
'000000000610','1840','2','-9'
'000000000610','6440','1','-9'
'000000000612','1520','-6','-9'
'000000000612','6440','2','-9'
'000000000613','6440','-6','-9'
'000000000614','5000','-6','-9'
'000000000614','6440','-6','-9'
'000000000615','6440','-6','-9'
'000000000617','1840','-6','-9'
'000000000617','5000','-6','-9'
'000000000617','6440','1','-9'
'000000000620','1840','2','-9'
'000000000620','6440','2','-9'
'000000000621','5000','-6','-9'
'000000000623','1520','-6','-9'
'000000000623','5000','2','-9'
'000000000624','6440','1','-9'
'000000000626','6440','1','-9'
'000000000628','1840','1','-9'
'000000000628','5000','2','-9'
'000000000630','1840','-6','-9'
'000000000632','1840','-6','-9'
'000000000634','6440','2','-9'
'000000000636','1840','-6','-9'
'000000000636','5000','2','-9'
'000000000637','1520','-6','-9'
'000000000637','5000','2','-9'
'000000000638','1840','-6','-9'
'000000000639','1520','-6','-9'
'000000000640','1520','-6','-9'
'000000000642','5000','1','-9'
'000000000644','6440','-6','-9'
'000000000645','5000','-6','-9'
'000000000647','1840','-6','-9'
'000000000648','6440','-6','-9'
'000000000650','1840','-6','-9'
'000000000650','5000','1','2'
'000000000651','3760','-6','-9'
'000000000651','5000','-6','-9'
'000000000654','1840','-6','-9'
'000000000654','3760','-6','-9'
'000000000656','3760','2','-9'
'000000000657','1840','2','-9'
'000000000659','3760','-6','-9'
'000000000660','3760','1','-9'
'000000000661','1840','2','2'
'000000000662','1840','1','-9'
'000000000664','3760','-6','-9'
'000000000665','3760','2','-9'
'000000000665','6440','2','-9'
'000000000666','3760','-6','-9'
'000000000667','3760','2','-9'
'000000000668','3760','-6','-9'
'000000000669','1520','-6','-9'
'000000000669','1840','2','-9'
'000000000669','6440','1','-9'
'000000000670','3760','2','-9'
'000000000671','3760','-6','-9'
'000000000672','1840','-6','-9'
'000000000672','3760','-6','-9'
'000000000674','3760','-6','-9'
'000000000674','6440','2','-9'
'000000000675','1520','-6','-9'
'000000000675','6440','-6','-9'
'000000000676','6440','2','2'
'000000000678','6440','-6','-9'
'000000000679','1520','-6','-9'
'000000000679','5000','-6','-9'
'000000000680','6440','-6','-9'
'000000000681','6440','1','-9'
'000000000682','1840','-6','-9'
'000000000683','3760','1','-9'
'000000000684','1520','2','-9'
'000000000684','1840','1','-9'
'000000000684','5000','-6','-9'
'000000000684','6440','2','-9'
'000000000685','3760','-6','-9'
'000000000687','3760','-6','-9'
'000000000689','3760','-6','-9'
'000000000692','1520','-6','-9'
'000000000693','6440','-6','-9'
'000000000695','1520','-6','-9'
'000000000695','6440','-6','-9'
'000000000696','3760','-6','-9'
'000000000697','1840','-6','-9'
'000000000697','5000','-6','-9'
'000000000698','1520','2','-9'
'000000000699','1520','2','-9'
'000000000700','1520','2','-9'
'000000000701','1520','2','-9'
'000000000701','3760','-6','-9'
'000000000702','3760','1','2'
'000000000704','3760','-6','-9'
'000000000704','6440','2','-9'
'000000000705','5000','2','-9'
'000000000706','3760','-6','-9'
'000000000706','5000','-6','-9'
'000000000707','1520','2','-9'
'000000000707','5000','-6','-9'
'000000000709','1520','1','-9'
'000000000709','1840','-6','-9'
'000000000710','1520','2','-9'
'000000000711','1840','2','-9'
'000000000711','6440','-6','-9'
'000000000713','1520','-6','-9'
'000000000713','1840','-6','-9'
'000000000714','1840','2','-9'
'000000000714','6440','-6','-9'
'000000000715','1520','-6','-9'
'000000000716','6440','-6','-9'
'000000000717','1520','2','-9'
'000000000717','1840','-6','-9'
'000000000720','6440','-6','-9'
'000000000721','1520','-6','-9'
'000000000722','1840','-6','-9'
'000000000723','3760','-6','-9'
'000000000724','3760','-6','-9'
'000000000726','1840','-6','-9'
'000000000727','1520','2','-9'
'000000000728','1520','2','-9'
'000000000728','5000','-6','-9'
'000000000729','6440','1','-9'
'000000000730','6440','1','-9'
'000000000731','1520','-6','-9'
'000000000731','5000','-6','-9'
'000000000731','6440','2','-9'
'000000000732','1520','2','-9'
'000000000732','5000','1','-9'
'000000000733','1520','1','-9'
'000000000733','6440','-6','-9'
'000000000735','1520','-6','-9'
'000000000735','6440','2','-9'
'000000000736','5000','2','-9'
'000000000737','5000','2','-9'
'000000000738','6440','-6','-9'
'000000000739','1520','-6','-9'
'000000000739','1840','1','-9'
'000000000739','3760','-6','-9'
'000000000740','5000','-6','-9'
'000000000741','1840','-6','-9'
'000000000741','6440','-6','-9'
'000000000742','5000','2','-9'
'000000000743','1520','2','-9'
'000000000743','1840','2','-9'
'000000000744','1840','1','-9'
'000000000745','5000','-6','-9'
'000000000746','1520','1','-9'
'000000000746','1840','-6','-9'
'000000000747','1840','-6','-9'
'000000000747','5000','-6','-9'
'000000000748','1520','2','-9'
'000000000749','1840','-6','-9'
'000000000750','1840','-6','-9'
'000000000751','5000','-6','-9'
'000000000755','1840','-6','-9'
'000000000755','5000','-6','-9'
'000000000756','1840','-6','-9'
'000000000757','3760','-6','-9'
'000000000759','1840','2','-9'
'000000000759','5000','-6','-9'
'000000000759','6440','-6','-9'
'000000000760','1840','-6','-9'
'000000000762','1520','-6','-9'
'000000000765','1840','-6','-9'
'000000000765','3760','-6','-9'
'000000000768','1520','-6','-9'
'000000000768','6440','-6','-9'
'000000000770','6440','2','-9'
'000000000771','3760','-6','-9'
'000000000772','1840','-6','-9'
'000000000772','6440','-6','-9'
'000000000774','3760','1','-9'
'000000000774','5000','-6','-9'
'000000000775','1840','-6','-9'
'000000000778','3760','2','-9'
'000000000778','5000','-6','-9'
'000000000780','3760','-6','-9'
'000000000781','1520','2','-9'
'000000000782','6440','1','-9'
'000000000783','3760','-6','-9'
'000000000785','1520','-6','-9'
'000000000785','3760','1','2'
'000000000786','1520','-6','-9'
'000000000786','3760','-6','-9'
'000000000787','1840','-6','-9'
'000000000789','3760','1','-9'
'000000000790','3760','-6','-9'
'000000000791','1520','-6','-9'
'000000000791','1840','-6','-9'
'000000000794','1520','-6','-9'
'000000000794','3760','-6','-9'
'000000000794','5000','2','-9'
'000000000797','1840','-6','-9'
'000000000800','5000','-6','-9'
'000000000801','3760','-6','-9'
'000000000804','6440','-6','-9'
'000000000807','1520','-6','-9'
'000000000808','6440','-6','-9'
'000000000810','3760','-6','-9'
'000000000812','6440','-6','-9'
'000000000813','1520','-6','-9'
'000000000815','3760','-6','-9'
'000000000816','5000','-6','-9'
'000000000818','1520','-6','-9'
'000000000819','6440','-6','-9'
'000000000821','5000','-6','-9'
'000000000822','5000','2','-9'
'000000000822','6440','-6','-9'
'000000000824','6440','-6','-9'
'000000000828','6440','-6','-9'
'000000000830','6440','-6','-9'
'000000000833','1520','-6','-9'
'000000000833','6440','-6','-9'
'000000000834','6440','1','-9'
'000000000835','6440','2','-9'
'000000000838','6440','-6','-9'
'000000000840','5000','-6','-9'
'000000000841','1520','-6','-9'
'000000000841','3760','-6','-9'
'000000000841','6440','-6','-9'
'000000000842','3760','-6','-9'
