"state","puma5","cbsa","stab","cbsaname","pop2k","afact"
"FIPS state","puma5","cbsa","State Postal Code","CBSA Name","Total Pop, 2000 census","puma5 to cbsa alloc factor"
"06","01102","42220","CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area",115251,1 
"06","01103","42220","CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area",165822,1 
"06","01201","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",100916,1 
"06","01202","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",146373,1 
"06","01301","46700","CA","Vallejo-Fairfield, CA Metropolitan Statistical Area",146849,1 
"06","01302","46700","CA","Vallejo-Fairfield, CA Metropolitan Statistical Area",126603,1 
"06","01303","46700","CA","Vallejo-Fairfield, CA Metropolitan Statistical Area",121090,1 
"06","01401","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",127590,1 
"06","01402","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",108826,1 
"06","01403","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",170602,1 
"06","01501","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",133925,1 
"06","01502","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",106738,1 
"06","01503","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",142880,1 
"06","01504","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",169571,1 
"06","01505","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",162285,1 
"06","01506","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",101082,1 
"06","01601","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",135702,1 
"06","01602","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",112697,1 
"06","01700","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",156299,1 
"06","01800"," ","CA"," ",106845,0.596 
"06","01800","13860","CA","Bishop, CA Micropolitan Statistical Area",17945,0.1 
"06","01800","38020","CA","Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area",54501,0.304 
"06","01901","44700","CA","Stockton, CA Metropolitan Statistical Area",110315,1 
"06","01902","44700","CA","Stockton, CA Metropolitan Statistical Area",133456,1 
"06","02001","44700","CA","Stockton, CA Metropolitan Statistical Area",149825,1 
"06","02002","44700","CA","Stockton, CA Metropolitan Statistical Area",170002,1 
"06","02101","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",126004,1 
"06","02102","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",116435,1 
"06","02103","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",106258,1 
"06","02104","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",149173,1 
"06","02105","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",111307,1 
"06","02106","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",119237,1 
"06","02107","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",108255,1 
"06","02108","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",112147,1 
"06","02201","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",136975,1 
"06","02202","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",107285,1 
"06","02203","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",107054,1 
"06","02204","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",109355,1 
"06","02205","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",105532,1 
"06","02206","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",105194,1 
"06","02207","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",105338,1 
"06","02301","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",140752,1 
"06","02302","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",112191,1 
"06","02303","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",100602,1 
"06","02304","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",114773,1 
"06","02305","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",124010,1 
"06","02306","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",114833,1 
