"cbsatype","state","puma5","stab","pop2k","afact"
"cbsatype","FIPS state","puma5","State Postal Code","Total Pop, 2000 census","cbsatype to puma5 alloc factor"
" ","47","03000","TN",27101,0.001 
" ","48","00100","TX",90170,0.005 
" ","48","00400","TX",68853,0.004 
" ","48","00600","TX",62419,0.003 
" ","48","01000","TX",36820,0.002 
" ","48","01100","TX",30438,0.002 
" ","48","01200","TX",116521,0.006 
" ","48","01500","TX",22756,0.001 
" ","48","01600","TX",116186,0.006 
" ","48","01900","TX",90815,0.005 
" ","48","02700","TX",49527,0.003 
" ","48","02800","TX",37513,0.002 
" ","48","03000","TX",3864,0 
" ","48","03100","TX",60347,0.003 
" ","48","03400","TX",79198,0.004 
" ","48","03600","TX",88410,0.005 
" ","48","03900","TX",51827,0.003 
" ","48","04100","TX",78097,0.004 
" ","48","05000","TX",39600,0.002 
" ","48","05100","TX",61699,0.003 
" ","48","05700","TX",54087,0.003 
" ","48","05800","TX",16252,0.001 
" ","48","05900","TX",36302,0.002 
" ","48","06100","TX",34108,0.002 
" ","48","06200","TX",14391,0.001 
" ","48","06500","TX",25439,0.001 
" ","49","00100","UT",1961,0 
" ","49","00400","UT",49050,0.003 
" ","49","00700","UT",74740,0.004 
" ","50","00200","VT",79212,0.004 
" ","50","00300","VT",44216,0.002 
" ","50","00400","VT",35974,0.002 
" ","51","00400","VA",35075,0.002 
" ","51","00700","VA",68561,0.004 
" ","51","00800","VA",16803,0.001 
" ","51","01100","VA",65126,0.003 
" ","51","01900","VA",120672,0.006 
" ","51","02400","VA",13874,0.001 
" ","51","02500","VA",114319,0.006 
" ","51","02600","VA",33081,0.002 
" ","51","02700","VA",115447,0.006 
" ","51","03200","VA",106998,0.006 
" ","51","03300","VA",19407,0.001 
" ","51","03400","VA",100895,0.005 
" ","53","00200","WA",14077,0.001 
" ","53","00300","WA",39564,0.002 
" ","53","00400","WA",85670,0.004 
" ","53","00700","WA",6461,0 
" ","53","01100","WA",22985,0.001 
" ","53","01500","WA",20984,0.001 
" ","53","01600","WA",25953,0.001 
" ","54","00100","WV",17693,0.001 
" ","54","00400","WV",32164,0.002 
" ","54","00500","WV",113325,0.006 
" ","54","00600","WV",70963,0.004 
" ","54","00900","WV",79865,0.004 
" ","54","01000","WV",27582,0.001 
" ","54","01100","WV",53037,0.003 
" ","54","01200","WV",65963,0.003 
" ","55","00100","WI",137495,0.007 
" ","55","00400","WI",119839,0.006 
" ","55","00600","WI",131532,0.007 
" ","55","00700","WI",153325,0.008 
" ","55","00800","WI",34061,0.002 
" ","55","01300","WI",27961,0.001 
" ","55","01400","WI",155048,0.008 
" ","56","00100","WY",46279,0.002 
" ","56","00200","WY",15639,0.001 
" ","56","00300","WY",80042,0.004 
"?????","04","00300","AZ",97470,1 
"Metro","01","00100","AL",142950,0.001 
"Metro","01","00200","AL",157952,0.001 
"Metro","01","00300","AL",184424,0.001 
"Metro","01","00600","AL",145867,0.001 
"Metro","01","00800","AL",186479,0.001 
"Metro","01","00901","AL",103629,0 
"Metro","01","00902","AL",123233,0.001 
"Metro","01","00903","AL",154204,0.001 
"Metro","01","00904","AL",177089,0.001 
"Metro","01","00905","AL",103892,0 
"Metro","01","01000","AL",103459,0 
"Metro","01","01200","AL",112249,0 
"Metro","01","01300","AL",143293,0.001 
"Metro","01","01400","AL",164875,0.001 
"Metro","01","01500","AL",47985,0 
"Metro","01","01600","AL",39593,0 
"Metro","01","01700","AL",115092,0 
"Metro","01","01800","AL",66066,0 
"Metro","01","01900","AL",201568,0.001 
"Metro","01","02000","AL",131487,0.001 
"Metro","01","02100","AL",13473,0 
"Metro","01","02200","AL",198915,0.001 
"Metro","01","02300","AL",200928,0.001 
"Metro","01","02500","AL",25764,0 
"Metro","01","02600","AL",88787,0 
"Metro","02","00101","AK",118678,0.001 
"Metro","02","00102","AK",141605,0.001 
"Metro","02","00200","AK",59322,0 
"Metro","02","00300","AK",82840,0 
"Metro","04","00101","AZ",102745,0 
"Metro","04","00102","AZ",109336,0 
"Metro","04","00103","AZ",174453,0.001 
"Metro","04","00104","AZ",188935,0.001 
"Metro","04","00105","AZ",152743,0.001 
"Metro","04","00106","AZ",100324,0 
"Metro","04","00107","AZ",146150,0.001 
"Metro","04","00108","AZ",116247,0 
"Metro","04","00109","AZ",120787,0.001 
"Metro","04","00110","AZ",103499,0 
"Metro","04","00111","AZ",169069,0.001 
"Metro","04","00112","AZ",170752,0.001 
"Metro","04","00113","AZ",103984,0 
"Metro","04","00114","AZ",183523,0.001 
"Metro","04","00115","AZ",152860,0.001 
"Metro","04","00116","AZ",163902,0.001 
"Metro","04","00117","AZ",143876,0.001 
"Metro","04","00118","AZ",148303,0.001 
"Metro","04","00119","AZ",104352,0 
"Metro","04","00120","AZ",189676,0.001 
"Metro","04","00121","AZ",126516,0.001 
"Metro","04","00122","AZ",100117,0 
"Metro","04","00201","AZ",130097,0.001 
"Metro","04","00202","AZ",107604,0 
"Metro","04","00203","AZ",101880,0 
"Metro","04","00204","AZ",136739,0.001 
"Metro","04","00205","AZ",100961,0 
"Metro","04","00206","AZ",107307,0 
"Metro","04","00207","AZ",159158,0.001 
