"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"127","Johnstown* PA MSA","1",1,0,0,0,0
"128","Jonesboro* AR MSA","19",17,2,0,0,0
"129","Joplin* MO MSA","41",41,0,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","73",65,0,0,8,1
"131","Kansas City  MO-KS MSA","1321",613,24,12,672,81
"132","Killeen-Temple* TX MSA","205",133,4,68,0,0
"133","Knoxville* TN MSA","388",240,18,0,130,6
"134","Kokomo* IN MSA","28",28,0,0,0,0
"135","La Crosse* WI-MN MSA","10",10,0,0,0,0
"136","Lafayette* LA MSA","75",75,0,0,0,0
"137","Lafayette* IN MSA","137",38,0,0,99,3
"138","Lake Charles* LA MSA","131",51,2,0,78,11
"139","Lakeland-Winter Haven* FL MSA","295",295,0,0,0,0
"140","Lancaster* PA MSA","79",55,0,0,24,1
"141","Lansing-East Lansing* MI MSA","56",56,0,0,0,0
"142","Laredo* TX MSA","131",106,0,3,22,1
"143","Las Cruces* NM MSA","84",68,0,0,16,1
"144","Las Vegas  NV-AZ MSA","2527",1642,2,3,880,91
"145","Lawrence* KS MSA","140",21,26,0,93,6
"146","Lawton* OK MSA","10",10,0,0,0,0
"147","Lewiston-Auburn* ME MSA","8",6,2,0,0,0
"148","Lexington* KY MSA","175",147,12,16,0,0
"149","Lima* OH MSA","2",2,0,0,0,0
"150","Lincoln* NE MSA","85",57,2,0,26,3
"151","Little Rock-North Little  Rock* AR MSA","215",209,0,0,6,1
"152","Longview-Marshall* TX MSA","6",6,0,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","6298",3514,36,59,2689,104
"154","Louisville  KY-IN MSA","344",332,0,0,12,2
"155","Lubbock* TX MSA","117",51,2,0,64,5
"156","Lynchburg* VA MSA","88",88,0,0,0,0
"157","Macon* GA MSA","323",319,4,0,0,0
"158","Madison* WI MSA","280",145,10,9,116,9
"159","Mansfield* OH MSA","11",2,2,0,7,1
"160","McAllen-Edinburg-Mission*  TX MSA","416",365,6,34,11,2
"161","Medford-Ashland* OR MSA","145",102,2,12,29,4
