"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"172","Kokomo, IN","8",6,2,0,0,0
"173","La Crosse, WI-MN","25",17,2,0,6,1
"174","Lafayette, IN","75",44,0,0,31,1
"175","Lafayette, LA","133",130,0,3,0,0
"176","Lake Charles, LA","45",40,2,3,0,0
"177","Lake Havasu City-Kingman, AZ","167",165,2,0,0,0
"178","Lakeland,* FL","445",426,4,0,15,2
"179","Lancaster, PA","81",78,0,3,0,0
"180","Lansing-East Lansing, MI","76",56,0,0,20,2
"181","Laredo,* TX","138",121,0,3,14,2
"182","Las Cruces,* NM","169",169,0,0,0,0
"183","Las Vegas-Paradise,* NV","1995",1888,0,69,38,3
"184","Lawrence, KS","59",29,0,0,30,3
"185","Lawton, OK","10",10,0,0,0,0
"186","Lebanon, PA","32",32,0,0,0,0
"187","Lewiston, ID-WA","8",6,2,0,0,0
"188","Lewiston-Auburn, ME","14",14,0,0,0,0
"189","Lexington-Fayette, KY","315",291,0,0,24,2
"190","Lima, OH","1",1,0,0,0,0
"191","Lincoln, NE","88",72,2,0,14,2
"192","Little Rock-North Little Rock, AR","273",273,0,0,0,0
"193","Logan, UT-ID","42",34,0,3,5,1
"194","Longview, TX","17",17,0,0,0,0
"195","Longview, WA","23",23,0,0,0,0
"196","Los Angeles-Long Beach-Santa Ana,*  CA","3477",1108,72,186,2111,63
"197","Louisville-Jefferson County,* KY-IN","812",489,14,39,270,20
"198","Lubbock, TX","97",91,6,0,0,0
"199","Lynchburg, VA","101",101,0,0,0,0
"200","Macon, GA","71",71,0,0,0,0
"201","Madera, CA","47",41,2,4,0,0
"202","Madison,* WI","149",130,6,8,5,1
"203","Manchester-Nashua, NH","70",61,2,0,7,1
"204","Mansfield, OH","22",18,4,0,0,0
"205","McAllen-Edinburg-Mission,* TX","623",549,10,42,22,3
"206","Medford, OR","124",113,8,3,0,0
"207","Memphis,* TN-MS-AR","1137",655,72,0,410,38
"208","Merced, CA","90",90,0,0,0,0
