"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"196","Louisville,* KY-IN","231",228,0,3,0,0
"197","Lubbock, TX","82",60,22,0,0,0
"198","Lynchburg, VA","92",92,0,0,0,0
"199","Macon, GA","58",58,0,0,0,0
"200","Madera, CA","102",102,0,0,0,0
"201","Madison,* WI","207",114,30,18,45,4
"202","Manchester-Nashua, NH","139",130,2,0,7,1
"203","Mansfield, OH","7",7,0,0,0,0
"204","McAllen-Edinburg-Pharr,* TX","524",467,6,17,34,3
"205","Medford,* OR","181",123,0,0,58,7
"206","Memphis, TN-MS-AR","920",626,0,0,294,4
"207","Merced, CA","267",263,0,4,0,0
"208","Miami-Fort Lauderdale-Miami Beach,  FL","2868",1645,52,48,1123,52
"209","Michigan City-La Porte, IN","15",15,0,0,0,0
"210","Midland,* TX","33",33,0,0,0,0
"211","Milwaukee-Waukesha-West Allis,* WI","299",201,12,8,78,6
"212","Minneapolis-St. Paul-Bloomington,*  MN-WI","1507",1209,6,25,267,9
"213","Missoula,* MT","17",17,0,0,0,0
"214","Mobile, AL","179",179,0,0,0,0
"215","Modesto, CA","144",114,4,7,19,1
"216","Monroe, LA","42",40,2,0,0,0
"217","Monroe, MI","29",29,0,0,0,0
"218","Montgomery, AL","91",91,0,0,0,0
"219","Morgantown, WV","13",1,0,4,8,1
"220","Morristown, TN","35",33,2,0,0,0
"221","Mount Vernon-Anacortes, WA","76",76,0,0,0,0
"222","Muncie, IN","11",11,0,0,0,0
"223","Muskegon-Norton Shores, MI","11",11,0,0,0,0
"224","Myrtle Beach-Conway-North Myrtle Beach,  SC","777",492,8,35,242,5
"225","Napa, CA","51",51,0,0,0,0
"226","Naples-Marco Island,* FL","497",314,8,31,144,9
"227","Nashville-Davidson--Murfreesboro,*  TN","1036",950,20,4,62,5
"228","New Haven-Milford, CT","99",61,0,3,35,2
"229","New Orleans-Metairie-Kenner,* LA","156",154,2,0,0,0
"230","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","5117",1393,492,585,2647,111
"231","Niles-Benton Harbor, MI","6",6,0,0,0,0
"232","Norwich-New London,* CT","86",62,4,0,20,2
"233","Ocala,* FL","467",453,2,12,0,0
"234","Ocean City,* NJ","192",129,46,4,13,2
"235","Odessa,* TX","5",5,0,0,0,0
"236","Ogden-Clearfield, UT","344",315,2,22,5,1
"237","Oklahoma City,* OK","624",551,2,0,71,5
"238","Olympia, WA","146",146,0,0,0,0
"239","Omaha-Council Bluffs,* NE-IA","340",333,2,0,5,1
"240","Orlando,* FL","2105",1821,2,16,266,19
"241","Oshkosh-Neenah, WI","27",27,0,0,0,0
"242","Owensboro, KY","34",18,0,16,0,0
"243","Oxnard-Thousand Oaks-Ventura, CA","112",83,4,10,15,3
"244","Palm Bay-Melbourne-Titusville,* FL","579",450,0,0,129,6
"245","Panama City-Lynn Haven,* FL","626",60,8,4,554,19
"246","Parkersburg-Marietta, WV-OH","12",12,0,0,0,0
"247","Pascagoula, MS","8",8,0,0,0,0
"248","Pensacola-Ferry Pass-Brent, FL","314",289,0,0,25,5
"249","Peoria, IL","133",31,6,0,96,2
"250","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","1440",1083,10,20,327,19
"251","Phoenix-Mesa-Scottsdale, AZ","4703",3905,54,122,622,37
"252","Pine Bluff, AR","11",6,0,0,5,1
"253","Pittsburgh,* PA","389",287,2,7,93,10
"254","Pittsfield, MA","2",2,0,0,0,0
"255","Pocatello, ID","40",33,2,0,5,1
"256","Port St. Lucie-Fort Pierce,* FL","579",522,0,7,50,3
"257","Portland-South Portland-Biddeford,  ME","216",183,14,3,16,3
"258","Portland-Vancouver-Beaverton,* OR-WA","1338",831,4,8,495,NA
"259","Prescott, AZ","251",249,2,0,0,0
"260","Providence-New Bedford-Fall River,  RI-MA","744",210,60,3,471,21
"261","Provo-Orem, UT","373",345,6,10,12,1
"262","Pueblo,* CO","94",94,0,0,0,0
"263","Punta Gorda,* FL","350",231,10,68,41,5
"264","Racine, WI","117",39,0,0,78,2
"265","Raleigh-Cary,* NC","1162",988,0,15,159,2
"266","Rapid City, SD","155",59,0,96,0,0
"267","Reading, PA","52",48,4,0,0,0
"268","Redding,* CA","84",76,4,4,0,0
"269","Reno-Sparks,* NV","536",417,0,4,115,23
"270","Richmond,* VA","613",585,4,14,10,1
"271","Riverside-San Bernardino-Ontario,*  CA","3480",3232,22,15,211,21
"272","Roanoke, VA","204",108,0,0,96,2
"273","Rochester, MN","76",69,2,0,5,1
"274","Rochester, NY","109",97,2,3,7,1
"275","Rockford, IL","166",126,0,40,0,0
"276","Rocky Mount, NC","38",34,4,0,0,0
"277","Rome,* GA","42",30,6,0,6,1
"278","Sacramento--Arden-Arcade--Roseville,*  CA","1070",818,4,52,196,18
"279","Saginaw-Saginaw Township North, MI","13",13,0,0,0,0
"280","Salem,* OR","129",96,4,4,25,2
"281","Salinas, CA","43",43,0,0,0,0
"282","Salisbury, MD","113",39,0,0,74,5
"283","Salt Lake City,* UT","578",542,8,11,17,3
"284","San Angelo, TX","23",23,0,0,0,0
"285","San Antonio, TX","1659",1254,42,8,355,15
"286","San Diego-Carlsbad-San Marcos,* CA","653",364,10,37,242,17
"287","San Francisco-Oakland-Fremont,* CA","1228",538,12,59,619,19
"288","San Jose-Sunnyvale-Santa Clara,* CA","270",116,0,0,154,21
"289","San Luis Obispo-Paso Robles,* CA","82",66,2,9,5,1
"290","Sandusky, OH","0",0,0,0,0,0
"291","Santa Barbara-Santa Maria-Goleta,  CA","37",25,0,7,5,1
"292","Santa Cruz-Watsonville, CA","21",21,0,0,0,0
"293","Santa Fe,* NM","39",39,0,0,0,0
"294","Santa Rosa-Petaluma, CA","238",68,14,0,156,14
"295","Sarasota-Bradenton-Venice,* FL","1129",914,8,19,188,12
"296","Savannah, GA","227",201,2,4,20,2
"297","Scranton--Wilkes-Barre, PA","24",24,0,0,0,0
"298","Seattle-Tacoma-Bellevue,* WA","1926",1302,40,58,526,34
"299","Sheboygan, WI","26",10,8,8,0,0
"300","Sherman-Denison, TX","3",3,0,0,0,0
"301","Shreveport-Bossier City, LA","133",133,0,0,0,0
"302","Sioux City, IA-NE-SD","25",13,0,12,0,0
"303","Sioux Falls, SD","64",64,0,0,0,0
"304","South Bend-Mishawaka, IN-MI","49",44,0,0,5,1
"305","Spartanburg, SC","139",139,0,0,0,0
"306","Spokane, WA","181",114,6,0,61,4
"307","Springfield, IL","37",19,8,3,7,1
"308","Springfield, MA","67",61,6,0,0,0
"309","Springfield, MO","321",165,28,0,128,4
"310","Springfield, OH","12",12,0,0,0,0
"311","St. Cloud, MN","48",38,0,0,10,2
"312","St. George, UT","232",232,0,0,0,0
"313","St. Joseph, MO-KS","13",6,2,0,5,1
"314","St. Louis,* MO-IL","997",772,18,16,191,11
"315","State College, PA","23",21,2,0,0,0
"316","Stockton,* CA","343",333,10,0,0,0
"317","Sumter,* SC","44",44,0,0,0,0
"318","Syracuse, NY","49",49,0,0,0,0
"319","Tallahassee, FL","348",233,4,3,108,7
"320","Tampa-St. Petersburg-Clearwater,* FL","2048",1788,2,26,232,NA
"321","Texarkana, TX-Texarkana, AR","16",16,0,0,0,0
"322","Toledo, OH","175",115,4,0,56,2
"323","Topeka, KS","65",65,0,0,0,0
"324","Trenton-Ewing,* NJ","148",54,0,0,94,2
"325","Tucson, AZ","903",824,10,13,56,4
"326","Tulsa,* OK","384",380,4,0,0,0
"327","Tuscaloosa, AL","93",93,0,0,0,0
"328","Tyler, TX","42",34,0,0,8,1
"329","Utica-Rome, NY","2",2,0,0,0,0
"330","Valdosta, GA","48",48,0,0,0,0
"331","Vallejo-Fairfield, CA","175",173,2,0,0,0
"332","Vero Beach,* FL","408",374,10,24,0,0
"333","Victoria, TX","17",17,0,0,0,0
"334","Vineland-Millville-Bridgeton,* NJ","46",40,6,0,0,0
"335","Virginia Beach-Norfolk-Newport News,  VA-NC","930",649,28,15,238,7
"336","Visalia-Porterville, CA","268",259,2,7,0,0
"337","Waco, TX","251",46,6,4,195,6
"338","Warner Robins, GA","110",98,12,0,0,0
"339","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","2589",1337,2,0,1250,16
"340","Waterloo-Cedar Falls, IA","14",14,0,0,0,0
"341","Wausau, WI","40",40,0,0,0,0
"342","Weirton-Steubenville, WV-OH","3",3,0,0,0,0
"343","Wenatchee, WA","31",31,0,0,0,0
"344","Wheeling, WV-OH","0",0,0,0,0,0
"345","Wichita Falls, TX","22",22,0,0,0,0
"346","Wichita, KS","236",190,10,36,0,0
"347","Williamsport, PA","1",1,0,0,0,0
"348","Wilmington,* NC","682",550,20,11,101,9
"349","Winchester, VA-WV","59",59,0,0,0,0
"350","Winston-Salem, NC","284",231,0,0,53,3
"351","Worcester, MA","196",126,2,20,48,2
"352","Yakima, WA","19",19,0,0,0,0
"353","York-Hanover, PA","135",120,2,8,5,1
"354","Youngstown-Warren-Boardman, OH-PA","61",29,2,0,30,5
"355","Yuba City-Marysville, CA","27",27,0,0,0,0
"356","Yuma, AZ","168",168,0,0,0,0
