"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"204","McAllen-Edinburg-Pharr,* TX","745",530,20,99,96,8
"205","Medford,* OR","135",123,0,7,5,1
"206","Memphis, TN-MS-AR","801",721,0,0,80,5
"207","Merced, CA","280",276,4,0,0,0
"208","Miami-Fort Lauderdale-Miami Beach,  FL","4023",1793,40,34,2156,53
"209","Michigan City-La Porte, IN","30",30,0,0,0,0
"210","Midland,* TX","18",18,0,0,0,0
"211","Milwaukee-Waukesha-West Allis,* WI","518",331,34,18,135,12
"212","Minneapolis-St. Paul-Bloomington,*  MN-WI","2995",1835,54,92,1014,48
"213","Missoula,* MT","29",29,0,0,0,0
"214","Mobile, AL","127",127,0,0,0,0
"215","Modesto, CA","283",275,4,4,0,0
"216","Monroe, LA","33",31,2,0,0,0
"217","Monroe,* MI","100",90,4,0,6,1
"218","Montgomery, AL","131",131,0,0,0,0
"219","Morgantown, WV","15",0,0,3,12,2
"220","Morristown, TN","46",42,4,0,0,0
"221","Mount Vernon-Anacortes, WA","51",49,2,0,0,0
"222","Muncie, IN","22",22,0,0,0,0
"223","Muskegon-Norton Shores,* MI","74",64,10,0,0,0
"224","Myrtle Beach-Conway-North Myrtle Beach,  SC","537",360,4,22,151,15
"225","Napa,* CA","77",77,0,0,0,0
"226","Naples-Marco Island,* FL","405",345,12,4,44,5
"227","Nashville-Davidson--Murfreesboro,  TN","1158",942,14,4,198,11
"228","New Haven-Milford,* CT","132",118,6,3,5,1
"229","New Orleans-Metairie-Kenner, LA","584",533,46,0,5,1
"230","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","4515",1557,660,619,1679,94
"231","Niles-Benton Harbor, MI","26",26,0,0,0,0
"232","Norwich-New London,* CT","82",64,0,0,18,3
"233","Ocala,* FL","449",449,0,0,0,0
"234","Ocean City,* NJ","169",80,72,7,10,2
"235","Odessa,* TX","16",16,0,0,0,0
"236","Ogden-Clearfield, UT","402",351,2,49,0,0
"237","Oklahoma City, OK","698",634,4,0,60,1
"238","Olympia,* WA","191",161,2,0,28,3
"239","Omaha-Council Bluffs, NE-IA","513",476,2,0,35,2
"240","Orlando,* FL","3951",2226,10,7,1708,66
"241","Oshkosh-Neenah, WI","119",69,6,0,44,6
"242","Owensboro, KY","29",29,0,0,0,0
"243","Oxnard-Thousand Oaks-Ventura,* CA","265",150,0,16,99,8
"244","Palm Bay-Melbourne-Titusville,* FL","826",500,2,0,324,28
"245","Panama City-Lynn Haven,* FL","815",103,0,0,712,5
"246","Parkersburg-Marietta, WV-OH","13",13,0,0,0,0
"247","Pascagoula, MS","76",76,0,0,0,0
"248","Pensacola-Ferry Pass-Brent, FL","435",222,10,6,197,5
"249","Peoria, IL","112",79,6,0,27,2
"250","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","1536",1198,42,26,270,19
"251","Phoenix-Mesa-Scottsdale, AZ","5238",4510,28,42,658,52
"252","Pine Bluff, AR","20",7,2,3,8,1
"253","Pittsburgh, PA","462",381,6,45,30,6
"254","Pittsfield, MA","8",8,0,0,0,0
"255","Pocatello, ID","63",49,2,0,12,1
"256","Port St. Lucie-Fort Pierce,* FL","657",603,2,4,48,3
"257","Portland-South Portland-Biddeford,  ME","289",257,12,10,10,2
"258","Portland-Vancouver-Beaverton,* OR-WA","1455",894,10,68,483,NA
"259","Prescott, AZ","262",258,4,0,0,0
"260","Providence-New Bedford-Fall River,  RI-MA","364",236,12,35,81,6
"261","Provo-Orem, UT","308",267,0,13,28,2
"262","Pueblo,* CO","75",75,0,0,0,0
"263","Punta Gorda,* FL","272",216,10,4,42,1
"264","Racine,* WI","88",66,4,4,14,2
"265","Raleigh-Cary,* NC","1009",913,8,3,85,4
"266","Rapid City, SD","99",89,2,8,0,0
"267","Reading, PA","78",63,0,3,12,2
"268","Redding,* CA","72",69,0,3,0,0
"269","Reno-Sparks,* NV","564",562,2,0,0,0
"270","Richmond,* VA","732",697,2,8,25,5
"271","Riverside-San Bernardino-Ontario,*  CA","3867",3136,12,10,709,46
"272","Roanoke, VA","116",116,0,0,0,0
"273","Rochester, MN","145",143,2,0,0,0
"274","Rochester, NY","195",150,10,25,10,2
"275","Rockford, IL","198",156,26,16,0,0
"276","Rocky Mount, NC","57",55,2,0,0,0
"277","Rome,* GA","31",23,8,0,0,0
"278","Sacramento--Arden-Arcade--Roseville,*  CA","1981",1506,54,0,421,37
"279","Saginaw-Saginaw Township North, MI","79",79,0,0,0,0
"280","Salem,* OR","319",158,4,0,157,11
"281","Salinas, CA","82",76,0,6,0,0
"282","Salisbury, MD","76",65,0,0,11,1
"283","Salt Lake City, UT","633",552,2,14,65,9
"284","San Angelo, TX","17",15,2,0,0,0
"285","San Antonio, TX","1452",1004,48,0,400,18
"286","San Diego-Carlsbad-San Marcos,* CA","914",493,6,55,360,10
"287","San Francisco-Oakland-Fremont,* CA","954",749,8,12,185,5
"288","San Jose-Sunnyvale-Santa Clara,* CA","1031",200,4,47,780,8
"289","San Luis Obispo-Paso Robles,* CA","165",135,6,9,15,3
"290","Sandusky, OH","10",10,0,0,0,0
"291","Santa Barbara-Santa Maria-Goleta,  CA","112",91,0,0,21,2
"292","Santa Cruz-Watsonville,* CA","43",43,0,0,0,0
"293","Santa Fe,* NM","48",48,0,0,0,0
"294","Santa Rosa-Petaluma,* CA","94",94,0,0,0,0
"295","Sarasota-Bradenton-Venice,* FL","1078",824,2,32,220,14
"296","Savannah, GA","206",191,0,8,7,1
"297","Scranton--Wilkes-Barre, PA","72",64,0,8,0,0
"298","Seattle-Tacoma-Bellevue,* WA","1945",1233,32,67,613,21
"299","Sheboygan, WI","48",17,0,7,24,2
"300","Sherman-Denison, TX","11",5,6,0,0,0
"301","Shreveport-Bossier City, LA","147",147,0,0,0,0
"302","Sioux City, IA-NE-SD","32",26,6,0,0,0
"303","Sioux Falls, SD","203",184,0,0,19,2
"304","South Bend-Mishawaka, IN-MI","91",67,0,0,24,4
"305","Spartanburg, SC","140",140,0,0,0,0
"306","Spokane, WA","168",148,8,0,12,2
"307","Springfield, IL","77",45,16,0,16,1
"308","Springfield, MA","71",69,2,0,0,0
"309","Springfield, MO","363",211,32,0,120,13
"310","Springfield, OH","26",26,0,0,0,0
"311","St. Cloud, MN","118",97,0,0,21,2
"312","St. George, UT","266",264,2,0,0,0
"313","St. Joseph, MO-KS","14",10,4,0,0,0
"314","St. Louis, MO-IL","1049",993,30,10,16,3
"315","State College, PA","49",46,0,3,0,0
"316","Stockton,* CA","445",443,2,0,0,0
"317","Sumter,* SC","60",42,4,0,14,1
"318","Syracuse, NY","82",75,2,0,5,1
"319","Tallahassee, FL","214",196,6,4,8,1
"320","Tampa-St. Petersburg-Clearwater,* FL","2811",2191,52,59,509,NA
"321","Texarkana, TX-Texarkana, AR","17",13,4,0,0,0
"322","Toledo, OH","392",212,24,4,152,3
"323","Topeka, KS","100",100,0,0,0,0
"324","Trenton-Ewing,* NJ","95",59,0,0,36,4
"325","Tucson, AZ","736",662,8,0,66,3
"326","Tulsa, OK","355",323,0,0,32,1
"327","Tuscaloosa, AL","72",72,0,0,0,0
"328","Tyler, TX","45",32,0,3,10,2
"329","Utica-Rome, NY","9",9,0,0,0,0
"330","Valdosta, GA","298",86,0,0,212,15
"331","Vallejo-Fairfield,* CA","201",153,8,0,40,2
"332","Vero Beach,* FL","224",149,0,6,69,3
"333","Victoria, TX","14",14,0,0,0,0
"334","Vineland-Millville-Bridgeton,* NJ","24",24,0,0,0,0
"335","Virginia Beach-Norfolk-Newport News,  VA-NC","1031",782,0,15,234,7
"336","Visalia-Porterville, CA","196",166,12,11,7,1
"337","Waco, TX","68",68,0,0,0,0
"338","Warner Robins, GA","91",91,0,0,0,0
"339","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","3521",1861,2,0,1658,43
"340","Waterloo-Cedar Falls, IA","56",56,0,0,0,0
"341","Wausau, WI","203",83,4,0,116,9
"342","Weirton-Steubenville, WV-OH","5",5,0,0,0,0
"343","Wenatchee, WA","66",50,0,16,0,0
"344","Wheeling, WV-OH","3",3,0,0,0,0
"345","Wichita Falls, TX","18",18,0,0,0,0
"346","Wichita, KS","200",196,4,0,0,0
"347","Williamsport, PA","2",2,0,0,0,0
"348","Wilmington,* NC","586",502,4,0,80,8
"349","Winchester, VA-WV","123",123,0,0,0,0
"350","Winston-Salem,* NC","387",337,0,0,50,1
"351","Worcester, MA","249",236,4,4,5,1
"352","Yakima, WA","71",67,4,0,0,0
"353","York-Hanover, PA","236",215,0,0,21,3
"354","Youngstown-Warren-Boardman, OH-PA","104",90,14,0,0,0
"355","Yuba City-Marysville, CA","293",293,0,0,0,0
"356","Yuma, AZ","248",184,0,0,64,1
