"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"204","Rapid City* SD MSA","42",37,0,0,5,1
"205","Reading* PA MSA","57",57,0,0,0,0
"206","Redding* CA MSA","56",56,0,0,0,0
"207","Reno* NV MSA","376",358,0,11,7,1
"208","Richland-Kennewick-Pasco*  WA MSA","56",56,0,0,0,0
"209","Richmond-Petersburg  VA MSA","620",442,22,76,80,10
"210","Roanoke* VA MSA","67",67,0,0,0,0
"211","Rochester* MN MSA","106",70,8,7,21,1
"212","Rochester* NY MSA","153",148,0,0,5,1
"213","Rockford* IL MSA","137",103,6,16,12,1
"214","Rocky Mount* NC MSA","48",37,0,0,11,1
"215","Sacramento-Yolo  CA CMSA","1616",1049,4,8,555,26
"216","Saginaw-Bay City-Midland*  MI MSA","39",27,4,3,5,1
"217","St. Cloud* MN MSA","119",90,0,0,29,2
"218","St. Joseph* MO MSA","22",11,2,3,6,1
"219","St. Louis  MO-IL MSA","749",670,14,14,51,7
"220","Salinas* CA MSA","180",112,0,18,50,8
"221","Salt Lake City-Ogden  UT MSA","570",497,22,37,14,1
"222","San Angelo* TX MSA","18",18,0,0,0,0
"223","San Antonio* TX MSA","707",663,8,0,36,4
"224","San Diego  CA MSA","1052",678,8,19,347,26
"225","San Francisco-Oakland-San  Jose  CA CMSA","1919",1241,22,29,627,27
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","114",103,0,0,11,2
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","101",101,0,0,0,0
"228","Santa Fe* NM MSA","165",45,0,0,120,5
"229","Sarasota-Bradenton* FL MSA","635",485,6,11,133,10
"230","Savannah* GA MSA","245",96,0,0,149,13
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","52",43,0,4,5,1
"232","Seattle-Tacoma-Bremerton  WA CMSA","2290",1285,62,102,841,52
"233","Sharon* PA MSA","10",10,0,0,0,0
"234","Sheboygan* WI MSA","3",3,0,0,0,0
"235","Sherman-Denison* TX MSA","8",8,0,0,0,0
"236","Shreveport-Bossier City* LA  MSA","94",94,0,0,0,0
"237","Sioux City* IA-NE MSA","10",6,4,0,0,0
"238","Sioux Falls* SD MSA","334",157,2,4,171,7
"239","South Bend* IN MSA","113",55,2,0,56,6
"240","Spokane* WA MSA","225",117,0,4,104,8
"241","Springfield* IL MSA","53",51,2,0,0,0
"242","Springfield* MO MSA","160",139,0,0,21,1
"243","Springfield* MA MSA","73",63,2,8,0,0
"244","State College* PA MSA","16",16,0,0,0,0
"245","Steubenville-Weirton* OH-WV  MSA","3",3,0,0,0,0
"246","Stockton-Lodi* CA MSA","381",381,0,0,0,0
"247","Sumter* SC MSA","21",19,2,0,0,0
"248","Syracuse* NY MSA","58",58,0,0,0,0
"249","Tallahassee* FL MSA","175",84,0,7,84,2
