"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"154","Jackson, TN","40",40,0,0,0,0,92
"155","Jacksonville,  FL","618",518,4,0,96,7,100
"156","Jacksonville, NC","109",109,0,0,0,0,97
"157","Janesville, WI","16",16,0,0,0,0,79
"158","Jefferson City, MO","8",8,0,0,0,0,70
"159","Johnson City, TN","85",85,0,0,0,0,99
"160","Johnstown, PA","1",1,0,0,0,0,7
"161","Jonesboro, AR","122",122,0,0,0,0,92
"162","Joplin, MO","21",11,2,3,5,1,49
"163","Kalamazoo-Portage, MI","91",37,0,0,54,2,70
"164","Kankakee-Bradley, IL","11",11,0,0,0,0,30
"165","Kansas City,  MO-KS","438",263,4,12,159,14,100
"166","Kennewick-Pasco-Richland, WA","97",83,0,0,14,1,89
"167","Killeen-Temple-Fort Hood, TX","165",137,28,0,0,0,81
"168","Kingsport-Bristol-Bristol, TN-VA","60",43,0,12,5,1,58
"169","Kingston, NY","18",18,0,0,0,0,70
"170","Knoxville, TN","284",255,0,0,29,2,84
"171","Kokomo, IN","8",8,0,0,0,0,79
"172","La Crosse, WI-MN","71",27,0,0,44,4,3
"173","Lafayette, IN","60",60,0,0,0,0,90
"174","Lafayette, LA","91",79,0,0,12,1,85
"175","Lake Charles, LA","59",31,4,0,24,1,83
"176","Lake Havasu City-Kingman, AZ","47",47,0,0,0,0,100
"177","Lakeland-Winter Haven,  FL","249",227,22,0,0,0,100
"178","Lancaster, PA","73",41,0,0,32,2,63
"179","Lansing-East Lansing, MI","26",21,0,0,5,1,81
"180","Laredo,  TX","96",75,0,6,15,1,100
"181","Las Cruces,  NM","101",101,0,0,0,0,100
"182","Las Vegas-Paradise,  NV","1144",766,4,14,360,31,100
"183","Lawrence, KS","13",11,2,0,0,0,96
"184","Lawton, OK","12",10,2,0,0,0,89
"185","Lebanon, PA","37",37,0,0,0,0,92
"186","Lewiston, ID-WA","2",2,0,0,0,0,55
"187","Lewiston-Auburn, ME","19",19,0,0,0,0,71
"188","Lexington-Fayette, KY","154",144,2,3,5,1,98
"189","Lima, OH","4",4,0,0,0,0,11
"190","Lincoln, NE","84",80,4,0,0,0,87
"191","Little Rock-North Little Rock, AR","391",184,28,19,160,8,91
"192","Logan, UT-ID","64",59,0,0,5,1,3
"193","Longview, TX","14",14,0,0,0,0,73
"194","Longview, WA","27",27,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","2517",525,74,44,1874,54,NA
"196","Lubbock, TX","66",66,0,0,0,0,96
"197","Lynchburg, VA","76",66,0,0,10,1,86
"198","Macon, GA","46",29,0,0,17,1,54
"199","Madera, CA","26",26,0,0,0,0,89
"200","Madison,  WI","254",71,16,7,160,2,100
"201","Manchester-Nashua, NH","40",29,0,0,11,2,91
"202","Mansfield, OH","8",8,0,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","209",180,10,19,0,0,100
"204","Medford, OR","46",41,0,0,5,1,100
"205","Memphis,  TN-MS-AR","244",222,22,0,0,0,100
"206","Merced, CA","11",11,0,0,0,0,81
"207","Miami-Fort Lauderdale-Miami Beach,  FL","443",302,12,7,122,10,NA
"208","Midland,  TX","64",64,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","338",135,4,0,199,6,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","623",531,2,16,74,7,NA
"211","Mobile, AL","128",128,0,0,0,0,95
"212","Modesto, CA","73",52,0,0,21,1,85
"213","Monroe, LA","31",24,2,0,5,1,85
"214","Monroe, MI","8",8,0,0,0,0,54
"215","Montgomery, AL","52",52,0,0,0,0,91
"216","Morgantown, WV","7",1,0,0,6,1,91
"217","Morristown, TN","24",18,6,0,0,0,80
"218","Mount Vernon-Anacortes, WA","42",42,0,0,0,0,83
"219","Muncie, IN","3",3,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","18",16,2,0,0,0,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","261",211,0,0,50,4,99
"222","Napa, CA","21",21,0,0,0,0,69
"223","Naples-Marco Island,  FL","65",55,0,0,10,1,100
"224","Nashville-Davidson--Murfreesboro,  TN","566",554,4,3,5,1,NA
"225","New Orleans-Metairie-Kenner,  LA","536",229,28,3,276,8,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","5875",813,128,83,4851,200,NA
"227","Norwich-New London, CT","40",35,0,0,5,1,94
"228","Ocala,  FL","104",104,0,0,0,0,100
"229","Ocean City,  NJ","33",22,0,4,7,1,100
"230","Odessa,  TX","26",26,0,0,0,0,100
"231","Ogden-Clearfield, UT","173",165,0,8,0,0,84
"232","Oklahoma City,  OK","383",349,16,0,18,1,100
"233","Olympia, WA","127",127,0,0,0,0,82
"234","Omaha-Council Bluffs,  NE-IA","395",347,8,0,40,1,100
"235","Orlando-Kissimmee,  FL","1036",603,2,4,427,12,100
"236","Oshkosh-Neenah, WI","46",40,2,4,0,0,83
"237","Owensboro, KY","61",19,0,8,34,2,97
"238","Oxnard-Thousand Oaks-Ventura, CA","85",46,0,3,36,3,97
"239","Palm Bay-Melbourne-Titusville,  FL","133",109,0,0,24,2,100
"240","Palm Coast, FL","29",17,12,0,0,0,100
"241","Panama City-Lynn Haven, FL","26",26,0,0,0,0,97
"242","Parkersburg-Marietta-Vienna, WV-OH","5",5,0,0,0,0,0
"243","Pascagoula, MS","56",45,0,0,11,1,98
"244","Pensacola-Ferry Pass-Brent,  FL","112",112,0,0,0,0,100
"245","Peoria, IL","47",47,0,0,0,0,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","985",730,14,28,213,18,NA
"247","Pine Bluff, AR","7",5,2,0,0,0,89
"248","Pittsburgh,  PA","381",354,2,7,18,3,100
"249","Pittsfield, MA","0",0,0,0,0,0,19
"250","Pocatello, ID","27",27,0,0,0,0,92
"251","Port St. Lucie,  FL","121",106,2,4,9,1,100
"252","Portland-South Portland-Biddeford,  ME","143",115,0,3,25,3,89
"253","Portland-Vancouver-Beaverton,  OR-WA","880",473,4,0,403,5,NA
"254","Prescott, AZ","72",72,0,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","154",120,10,6,18,3,86
"256","Provo-Orem, UT","122",86,0,20,16,1,97
"257","Pueblo,  CO","46",44,2,0,0,0,100
"258","Punta Gorda,  FL","41",28,0,8,5,1,100
"259","Racine, WI","24",24,0,0,0,0,69
"260","Raleigh-Cary,  NC","708",706,2,0,0,0,100
"261","Rapid City, SD","54",48,0,0,6,1,98
"262","Reading, PA","39",39,0,0,0,0,48
"263","Redding, CA","46",44,2,0,0,0,93
"264","Reno-Sparks,  NV","91",71,0,3,17,2,100
"265","Richmond,  VA","402",390,0,6,6,1,100
"266","Riverside-San Bernardino-Ontario,  CA","1251",684,18,30,519,28,NA
"267","Rochester, MN","56",48,0,0,8,1,87
"268","Rochester, NY","127",101,4,12,10,2,62
"269","Rockford, IL","51",51,0,0,0,0,97
"270","Rocky Mount, NC","53",51,2,0,0,0,78
"271","Rome, GA","25",25,0,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","538",504,0,0,34,1,NA
"273","Salem, OR","63",58,2,3,0,0,85
"274","Salinas, CA","52",31,0,0,21,3,92
"275","Salisbury, MD","27",17,0,0,10,1,67
"276","Salt Lake City,  UT","336",229,4,17,86,5,100
"277","San Angelo,  TX","21",21,0,0,0,0,100
"278","San Antonio,  TX","1807",592,2,0,1213,64,100
"279","San Diego-Carlsbad-San Marcos,  CA","612",271,14,11,316,9,100
"280","San Francisco-Oakland-Fremont,  CA","325",177,10,10,128,10,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","525",74,0,3,448,5,100
"282","San Luis Obispo-Paso Robles, CA","107",50,2,3,52,6,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","11",7,4,0,0,0,71
"285","Santa Cruz-Watsonville, CA","25",25,0,0,0,0,64
