"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"179","Lansing-East Lansing, MI","11",11,0,0,0,0,81
"180","Laredo,  TX","45",37,0,8,0,0,100
"181","Las Cruces,  NM","43",43,0,0,0,0,100
"182","Las Vegas-Paradise,  NV","297",197,0,18,82,1,100
"183","Lawrence, KS","8",8,0,0,0,0,96
"184","Lawton, OK","7",7,0,0,0,0,89
"185","Lebanon, PA","23",23,0,0,0,0,92
"186","Lewiston, ID-WA","1",1,0,0,0,0,55
"187","Lewiston-Auburn, ME","11",11,0,0,0,0,71
"188","Lexington-Fayette, KY","257",79,10,0,168,6,98
"189","Lima, OH","1",1,0,0,0,0,11
"190","Lincoln, NE","30",28,2,0,0,0,87
"191","Little Rock-North Little Rock, AR","96",72,0,8,16,3,91
"192","Logan, UT-ID","17",9,0,3,5,1,3
"193","Longview, TX","7",7,0,0,0,0,73
"194","Longview, WA","10",10,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","1375",213,34,17,1111,30,NA
"196","Lubbock, TX","26",26,0,0,0,0,96
"197","Lynchburg, VA","31",26,0,0,5,1,86
"198","Macon, GA","13",13,0,0,0,0,54
"199","Madera, CA","18",18,0,0,0,0,89
"200","Madison,  WI","120",43,6,11,60,6,100
"201","Manchester-Nashua, NH","22",17,0,0,5,1,91
"202","Mansfield, OH","3",3,0,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","173",165,0,8,0,0,100
"204","Medford, OR","11",9,2,0,0,0,100
"205","Memphis,  TN-MS-AR","118",84,0,4,30,2,100
"206","Merced, CA","3",3,0,0,0,0,81
"207","Miami-Fort Lauderdale-Pompano Beach,  FL","255",138,18,6,93,10,NA
"208","Midland,  TX","22",22,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","88",64,4,0,20,1,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","214",192,2,8,12,2,NA
"211","Mobile, AL","74",74,0,0,0,0,95
"212","Modesto, CA","34",22,2,0,10,1,85
"213","Monroe, LA","15",10,0,0,5,1,85
"214","Monroe, MI","4",4,0,0,0,0,54
"215","Montgomery, AL","29",29,0,0,0,0,91
"216","Morgantown, WV","9",0,0,3,6,1,91
"217","Morristown, TN","8",8,0,0,0,0,80
"218","Mount Vernon-Anacortes, WA","19",19,0,0,0,0,83
"219","Muncie, IN","1",1,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","8",6,2,0,0,0,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","104",82,0,0,22,2,99
"222","Napa, CA","6",6,0,0,0,0,69
"223","Naples-Marco Island,  FL","26",26,0,0,0,0,100
"224","Nashville-Davidson--Murfreesboro,  TN","336",215,4,3,114,5,NA
