"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"190","Lincoln, NE","110",59,2,0,49,2,87
"191","Little Rock-North Little Rock, AR","235",198,14,15,8,1,91
"192","Logan, UT-ID","28",19,0,4,5,1,3
"193","Longview, TX","21",16,0,0,5,1,73
"194","Longview, WA","23",23,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","1424",623,38,44,719,45,NA
"196","Lubbock, TX","76",56,2,0,18,1,96
"197","Lynchburg, VA","96",85,0,0,11,1,86
"198","Macon, GA","59",38,0,0,21,1,54
"199","Madera, CA","23",23,0,0,0,0,89
"200","Madison,  WI","130",105,10,0,15,3,100
"201","Manchester-Nashua, NH","36",29,0,0,7,1,91
"202","Mansfield, OH","10",8,2,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","380",342,2,31,5,1,100
"204","Medford, OR","53",49,0,4,0,0,100
"205","Memphis,  TN-MS-AR","372",278,2,4,88,1,100
"206","Merced, CA","14",14,0,0,0,0,81
"207","Miami-Fort Lauderdale-Miami Beach,  FL","884",359,16,15,494,17,NA
"208","Midland,  TX","56",56,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","250",159,8,7,76,4,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","456",403,6,0,47,3,NA
"211","Mobile, AL","150",150,0,0,0,0,95
"212","Modesto, CA","99",59,4,0,36,3,85
"213","Monroe, LA","30",25,0,0,5,1,85
"214","Monroe, MI","9",9,0,0,0,0,54
"215","Montgomery, AL","47",47,0,0,0,0,91
"216","Morgantown, WV","33",1,0,0,32,1,91
"217","Morristown, TN","25",25,0,0,0,0,80
"218","Mount Vernon-Anacortes, WA","36",36,0,0,0,0,83
"219","Muncie, IN","9",9,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","10",8,2,0,0,0,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","263",209,0,0,54,4,99
"222","Napa, CA","3",3,0,0,0,0,69
"223","Naples-Marco Island,  FL","95",69,0,16,10,1,100
"224","Nashville-Davidson--Murfreesboro,  TN","801",687,4,0,110,3,NA
"225","New Orleans-Metairie-Kenner,  LA","294",256,38,0,0,0,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","3365",846,264,96,2159,119,NA
"227","Norwich-New London, CT","30",28,2,0,0,0,94
"228","Ocala,  FL","117",117,0,0,0,0,100
