"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"185","Lebanon, PA","37",37,0,0,0,0,92
"186","Lewiston, ID-WA","3",3,0,0,0,0,55
"187","Lewiston-Auburn, ME","16",16,0,0,0,0,71
"188","Lexington-Fayette, KY","323",151,0,4,168,7,98
"189","Lima, OH","4",4,0,0,0,0,11
"190","Lincoln, NE","78",57,0,3,18,2,87
"191","Little Rock-North Little Rock, AR","356",159,0,12,185,23,91
"192","Logan, UT-ID","87",78,0,4,5,1,3
"193","Longview, TX","14",14,0,0,0,0,73
"194","Longview, WA","20",20,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","1235",390,60,37,748,48,NA
"196","Lubbock, TX","112",94,18,0,0,0,96
"197","Lynchburg, VA","78",66,0,0,12,1,86
"198","Macon, GA","29",29,0,0,0,0,54
"199","Madera, CA","28",28,0,0,0,0,89
"200","Madison,  WI","118",90,2,7,19,3,100
"201","Manchester-Nashua, NH","86",40,4,0,42,2,91
"202","Mansfield, OH","8",8,0,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","446",267,4,47,128,9,100
"204","Medford, OR","41",41,0,0,0,0,100
"205","Memphis,  TN-MS-AR","237",237,0,0,0,0,100
"206","Merced, CA","5",5,0,0,0,0,81
"207","Miami-Fort Lauderdale-Miami Beach,  FL","494",334,6,3,151,18,NA
"208","Midland,  TX","48",48,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","250",111,2,8,129,6,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","604",424,2,23,155,7,NA
"211","Mobile, AL","136",136,0,0,0,0,95
"212","Modesto, CA","86",62,2,0,22,1,85
"213","Monroe, LA","28",23,0,0,5,1,85
"214","Monroe, MI","14",14,0,0,0,0,54
"215","Montgomery, AL","105",60,0,0,45,3,91
"216","Morgantown, WV","30",1,0,0,29,2,91
"217","Morristown, TN","23",23,0,0,0,0,80
"218","Mount Vernon-Anacortes, WA","44",44,0,0,0,0,83
"219","Muncie, IN","4",4,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","20",15,0,0,5,1,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","320",216,0,0,104,8,99
"222","Napa, CA","26",22,4,0,0,0,69
"223","Naples-Marco Island,  FL","91",59,0,16,16,2,100
