"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"185","Lebanon, PA","45",45,0,0,0,0
"186","Lewiston, ID-WA","6",4,2,0,0,0
"187","Lewiston-Auburn, ME","31",31,0,0,0,0
"188","Lexington-Fayette, KY","372",343,0,3,26,1
"189","Lima, OH","4",4,0,0,0,0
"190","Lincoln, NE","120",100,2,0,18,2
"191","Little Rock-North Little Rock, AR","336",310,0,0,26,1
"192","Logan, UT-ID","86",54,0,3,29,2
"193","Longview, TX","37",37,0,0,0,0
"194","Longview, WA","32",30,2,0,0,0
"195","Los Angeles-Long Beach-Santa Ana,*  CA","3350",1687,92,79,1492,77
"196","Louisville-Jefferson County,* KY-IN","757",637,4,12,104,4
"197","Lubbock, TX","108",108,0,0,0,0
"198","Lynchburg, VA","168",168,0,0,0,0
"199","Macon, GA","67",67,0,0,0,0
"200","Madera, CA","131",115,0,16,0,0
"201","Madison,* WI","329",190,6,20,113,12
"202","Manchester-Nashua, NH","95",65,2,4,24,1
"203","Mansfield, OH","17",15,2,0,0,0
"204","McAllen-Edinburg-Mission,* TX","791",757,2,32,0,0
"205","Medford, OR","118",113,0,0,5,1
"206","Memphis,* TN-MS-AR","854",819,4,0,31,1
"207","Merced, CA","220",218,2,0,0,0
"208","Miami-Fort Lauderdale-Miami Beach,*  FL","2661",1359,66,10,1226,82
"209","Michigan City-La Porte, IN","25",25,0,0,0,0
"210","Midland,* TX","36",36,0,0,0,0
"211","Milwaukee-Waukesha-West Allis,* WI","408",256,18,12,122,8
"212","Minneapolis-St. Paul-Bloomington,*  MN-WI","1804",1288,4,15,497,16
"213","Missoula,* MT","55",45,10,0,0,0
"214","Mobile, AL","220",203,0,0,17,2
"215","Modesto, CA","268",243,0,0,25,1
"216","Monroe, LA","61",47,0,0,14,2
"217","Monroe, MI","32",30,2,0,0,0
"218","Montgomery, AL","154",137,4,0,13,1
"219","Morgantown, WV","4",4,0,0,0,0
