"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"160","Johnstown, PA","0",0,0,0,0,0,7
"161","Jonesboro, AR","30",27,0,3,0,0,92
"162","Joplin, MO","7",7,0,0,0,0,49
"163","Kalamazoo-Portage, MI","72",35,2,0,35,2,70
"164","Kankakee-Bradley, IL","8",8,0,0,0,0,30
"165","Kansas City,  MO-KS","411",266,42,35,68,6,100
"166","Kennewick-Pasco-Richland, WA","73",63,2,0,8,1,89
"167","Killeen-Temple-Fort Hood, TX","152",114,38,0,0,0,81
"168","Kingsport-Bristol-Bristol, TN-VA","46",39,2,0,5,1,58
"169","Kingston, NY","72",18,0,0,54,1,70
"170","Knoxville, TN","139",133,6,0,0,0,84
"171","Kokomo, IN","5",5,0,0,0,0,79
"172","La Crosse, WI-MN","39",30,0,3,6,1,3
"173","Lafayette, IN","48",48,0,0,0,0,90
"174","Lafayette, LA","87",69,0,0,18,1,85
"175","Lake Charles, LA","66",28,4,0,34,1,83
"176","Lake Havasu City-Kingman, AZ","29",29,0,0,0,0,100
"177","Lakeland-Winter Haven,  FL","255",243,0,0,12,1,100
"178","Lancaster, PA","79",76,0,3,0,0,63
"179","Lansing-East Lansing, MI","33",23,0,0,10,2,81
"180","Laredo,  TX","94",69,0,4,21,1,100
"181","Las Cruces,  NM","64",64,0,0,0,0,100
"182","Las Vegas-Paradise,  NV","1160",715,0,18,427,6,100
"183","Lawrence, KS","339",13,2,0,324,14,96
"184","Lawton, OK","15",15,0,0,0,0,89
"185","Lebanon, PA","40",40,0,0,0,0,92
"186","Lewiston, ID-WA","2",2,0,0,0,0,55
"187","Lewiston-Auburn, ME","12",10,2,0,0,0,71
"188","Lexington-Fayette, KY","469",111,2,0,356,6,98
"189","Lima, OH","0",0,0,0,0,0,11
"190","Lincoln, NE","49",37,12,0,0,0,87
"191","Little Rock-North Little Rock, AR","343",125,2,0,216,10,91
"192","Logan, UT-ID","49",44,0,0,5,1,3
"193","Longview, TX","13",13,0,0,0,0,73
"194","Longview, WA","12",12,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","1133",333,56,14,730,22,NA
"196","Lubbock, TX","106",106,0,0,0,0,96
"197","Lynchburg, VA","96",82,0,0,14,1,86
"198","Macon, GA","28",28,0,0,0,0,54
"199","Madera, CA","30",30,0,0,0,0,89
"200","Madison,  WI","187",82,4,3,98,4,100
"201","Manchester-Nashua, NH","51",24,4,0,23,4,91
"202","Mansfield, OH","10",8,2,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","282",243,10,16,13,2,100
"204","Medford, OR","50",50,0,0,0,0,100
"205","Memphis,  TN-MS-AR","616",263,0,0,353,3,100
"206","Merced, CA","13",13,0,0,0,0,81
"207","Miami-Fort Lauderdale-Miami Beach,  FL","614",272,28,11,303,19,NA
"208","Midland,  TX","31",31,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","207",125,6,4,72,3,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","627",488,4,3,132,8,NA
"211","Mobile, AL","89",89,0,0,0,0,95
"212","Modesto, CA","37",34,0,3,0,0,85
"213","Monroe, LA","27",21,0,0,6,1,85
"214","Monroe, MI","5",5,0,0,0,0,54
"215","Montgomery, AL","49",49,0,0,0,0,91
"216","Morgantown, WV","2",2,0,0,0,0,91
"217","Morristown, TN","35",33,2,0,0,0,80
"218","Mount Vernon-Anacortes, WA","30",30,0,0,0,0,83
"219","Muncie, IN","10",6,4,0,0,0,77
