"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"328","Tyler, TX","45",38,0,0,7,1
"329","Utica-Rome, NY","10",10,0,0,0,0
"330","Valdosta, GA","110",85,2,0,23,1
"331","Vallejo-Fairfield,* CA","233",190,14,0,29,2
"332","Vero Beach,* FL","217",174,2,3,38,3
"333","Victoria, TX","121",5,0,116,0,0
"334","Vineland-Millville-Bridgeton,* NJ","46",44,2,0,0,0
"335","Virginia Beach-Norfolk-Newport News,  VA-NC","1291",675,40,21,555,12
"336","Visalia-Porterville, CA","184",174,2,8,0,0
"337","Waco, TX","72",50,14,0,8,1
"338","Warner Robins, GA","142",142,0,0,0,0
"339","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","4293",2659,2,3,1629,54
"340","Waterloo-Cedar Falls, IA","63",47,2,8,6,1
"341","Wausau, WI","107",89,2,0,16,1
"342","Weirton-Steubenville, WV-OH","9",9,0,0,0,0
"343","Wenatchee, WA","52",48,0,4,0,0
"344","Wheeling, WV-OH","4",4,0,0,0,0
"345","Wichita Falls, TX","28",28,0,0,0,0
"346","Wichita, KS","297",289,8,0,0,0
"347","Williamsport, PA","8",8,0,0,0,0
"348","Wilmington,* NC","656",566,4,11,75,6
"349","Winchester, VA-WV","105",100,0,0,5,1
"350","Winston-Salem,* NC","536",354,2,0,180,10
"351","Worcester, MA","267",246,8,3,10,2
"352","Yakima, WA","59",40,16,3,0,0
"353","York-Hanover, PA","259",240,0,0,19,3
"354","Youngstown-Warren-Boardman, OH-PA","129",118,8,3,0,0
"355","Yuba City-Marysville, CA","356",354,2,0,0,0
"356","Yuma, AZ","293",293,0,0,0,0
