"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"161","Jonesboro, AR","69",69,0,0,0,0,92
"162","Joplin, MO","9",7,2,0,0,0,49
"163","Kalamazoo-Portage, MI","23",15,0,3,5,1,70
"164","Kankakee-Bradley, IL","5",5,0,0,0,0,30
"165","Kansas City,  MO-KS","308",256,12,40,0,0,100
"166","Kennewick-Pasco-Richland, WA","67",59,0,0,8,1,89
"167","Killeen-Temple-Fort Hood, TX","137",133,4,0,0,0,81
"168","Kingsport-Bristol-Bristol, TN-VA","44",28,8,3,5,1,58
"169","Kingston, NY","28",18,10,0,0,0,70
"170","Knoxville, TN","175",165,0,0,10,1,84
"171","Kokomo, IN","3",3,0,0,0,0,79
"172","La Crosse, WI-MN","15",15,0,0,0,0,3
"173","Lafayette, IN","42",42,0,0,0,0,90
"174","Lafayette, LA","63",50,0,0,13,1,85
"175","Lake Charles, LA","56",26,4,3,23,1,83
"176","Lake Havasu City-Kingman, AZ","42",42,0,0,0,0,100
"177","Lakeland-Winter Haven,  FL","121",119,2,0,0,0,100
"178","Lancaster, PA","78",64,0,0,14,1,63
"179","Lansing-East Lansing, MI","17",17,0,0,0,0,81
"180","Laredo,  TX","70",53,0,3,14,1,100
"181","Las Cruces,  NM","56",54,2,0,0,0,100
"182","Las Vegas-Paradise,  NV","1050",481,0,15,554,21,100
"183","Lawrence, KS","26",26,0,0,0,0,96
"184","Lawton, OK","8",6,2,0,0,0,89
"185","Lebanon, PA","27",27,0,0,0,0,92
"186","Lewiston, ID-WA","3",1,2,0,0,0,55
"187","Lewiston-Auburn, ME","6",6,0,0,0,0,71
"188","Lexington-Fayette, KY","105",105,0,0,0,0,98
"189","Lima, OH","0",0,0,0,0,0,11
"190","Lincoln, NE","64",64,0,0,0,0,87
"191","Little Rock-North Little Rock, AR","139",139,0,0,0,0,91
"192","Logan, UT-ID","41",33,0,3,5,1,3
"193","Longview, TX","10",10,0,0,0,0,73
"194","Longview, WA","16",16,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","1147",335,56,6,750,40,NA
"196","Lubbock, TX","127",127,0,0,0,0,96
"197","Lynchburg, VA","52",52,0,0,0,0,86
"198","Macon, GA","11",11,0,0,0,0,54
"199","Madera, CA","15",11,4,0,0,0,89
"200","Madison,  WI","247",82,4,0,161,4,100
"201","Manchester-Nashua, NH","76",34,6,0,36,1,91
"202","Mansfield, OH","9",9,0,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","268",250,4,14,0,0,100
"204","Medford, OR","36",30,6,0,0,0,100
"205","Memphis,  TN-MS-AR","260",171,44,0,45,2,100
"206","Merced, CA","4",4,0,0,0,0,81
"207","Miami-Fort Lauderdale-Miami Beach,  FL","558",234,10,0,314,16,NA
"208","Midland,  TX","29",29,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","293",95,12,12,174,5,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","824",397,2,11,414,7,NA
"211","Mobile, AL","68",66,2,0,0,0,95
"212","Modesto, CA","32",32,0,0,0,0,85
"213","Monroe, LA","25",17,0,3,5,1,85
"214","Monroe, MI","7",7,0,0,0,0,54
"215","Montgomery, AL","42",42,0,0,0,0,91
"216","Morgantown, WV","30",6,0,0,24,1,91
"217","Morristown, TN","36",32,4,0,0,0,80
"218","Mount Vernon-Anacortes, WA","25",25,0,0,0,0,83
"219","Muncie, IN","6",6,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","5",5,0,0,0,0,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","176",143,0,0,33,2,99
"222","Napa, CA","5",5,0,0,0,0,69
"223","Naples-Marco Island,  FL","77",60,0,12,5,1,100
"224","Nashville-Davidson--Murfreesboro,  TN","710",434,10,0,266,18,NA
"225","New Orleans-Metairie-Kenner,  LA","852",159,44,361,288,29,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","2301",776,198,80,1247,58,NA
"227","Norwich-New London, CT","25",23,2,0,0,0,94
"228","Ocala,  FL","80",76,4,0,0,0,100
"229","Ocean City,  NJ","32",24,8,0,0,0,100
"230","Odessa,  TX","347",19,0,0,328,11,100
"231","Ogden-Clearfield, UT","93",74,0,7,12,1,84
"232","Oklahoma City,  OK","347",319,8,4,16,1,100
"233","Olympia, WA","86",74,0,0,12,1,82
"234","Omaha-Council Bluffs,  NE-IA","788",352,0,0,436,12,100
"235","Orlando-Kissimmee,  FL","850",324,2,27,497,32,100
"236","Oshkosh-Neenah, WI","50",18,0,0,32,4,83
"237","Owensboro, KY","26",26,0,0,0,0,97
"238","Oxnard-Thousand Oaks-Ventura, CA","38",23,0,0,15,1,97
"239","Palm Bay-Melbourne-Titusville,  FL","118",112,0,0,6,1,100
"240","Palm Coast, FL","22",22,0,0,0,0,100
"241","Panama City-Lynn Haven, FL","299",35,0,0,264,11,97
"242","Parkersburg-Marietta-Vienna, WV-OH","11",11,0,0,0,0,0
"243","Pascagoula, MS","40",28,0,0,12,1,98
"244","Pensacola-Ferry Pass-Brent,  FL","173",77,4,0,92,1,100
"245","Peoria, IL","44",44,0,0,0,0,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","727",533,8,0,186,18,NA
"247","Pine Bluff, AR","6",1,0,0,5,1,89
"248","Pittsburgh,  PA","259",240,8,6,5,1,100
"249","Pittsfield, MA","2",2,0,0,0,0,19
"250","Pocatello, ID","13",13,0,0,0,0,92
"251","Port St. Lucie,  FL","159",50,0,4,105,3,100
"252","Portland-South Portland-Biddeford,  ME","99",92,2,0,5,1,89
"253","Portland-Vancouver-Beaverton,  OR-WA","644",337,16,24,267,24,NA
"254","Prescott, AZ","37",37,0,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","137",107,10,6,14,2,86
"256","Provo-Orem, UT","93",77,4,0,12,2,97
"257","Pueblo,  CO","49",24,0,0,25,5,100
"258","Punta Gorda,  FL","39",31,0,8,0,0,100
"259","Racine, WI","39",39,0,0,0,0,69
"260","Raleigh-Cary,  NC","376",374,2,0,0,0,100
"261","Rapid City, SD","60",60,0,0,0,0,98
"262","Reading, PA","24",24,0,0,0,0,48
"263","Redding, CA","22",22,0,0,0,0,93
"264","Reno-Sparks,  NV","62",62,0,0,0,0,100
"265","Richmond,  VA","324",301,0,12,11,2,100
"266","Riverside-San Bernardino-Ontario,  CA","500",362,4,7,127,7,NA
"267","Rochester, MN","46",38,0,0,8,1,87
"268","Rochester, NY","113",86,4,12,11,2,62
"269","Rockford, IL","64",34,2,28,0,0,97
"270","Rocky Mount, NC","14",14,0,0,0,0,78
"271","Rome, GA","14",12,2,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","580",328,4,3,245,18,NA
"273","Salem, OR","39",31,0,0,8,1,85
"274","Salinas, CA","33",19,0,0,14,2,92
"275","Salisbury, MD","17",7,0,0,10,1,67
"276","Salt Lake City,  UT","375",148,2,0,225,12,100
"277","San Angelo,  TX","25",25,0,0,0,0,100
"278","San Antonio,  TX","787",453,10,0,324,14,100
"279","San Diego-Carlsbad-San Marcos,  CA","325",173,2,0,150,3,100
"280","San Francisco-Oakland-Fremont,  CA","596",164,4,20,408,7,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","175",110,42,0,23,4,100
"282","San Luis Obispo-Paso Robles, CA","18",18,0,0,0,0,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","29",15,2,0,12,2,71
"285","Santa Cruz-Watsonville, CA","6",6,0,0,0,0,64
"286","Santa Fe,  NM","11",11,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","46",32,2,12,0,0,92
"288","Savannah, GA","212",102,0,3,107,10,87
"289","Scranton--Wilkes-Barre, PA","19",19,0,0,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1109",454,60,61,534,17,100
"291","Sebastian-Vero Beach,  FL","57",57,0,0,0,0,100
"292","Sheboygan, WI","8",6,2,0,0,0,47
"293","Sherman-Denison, TX","1",1,0,0,0,0,2
"294","Shreveport-Bossier City, LA","78",78,0,0,0,0,98
"295","Sioux City, IA-NE-SD","11",9,2,0,0,0,96
"296","Sioux Falls, SD","199",54,6,32,107,4,88
"297","South Bend-Mishawaka, IN-MI","27",27,0,0,0,0,98
"298","Spartanburg, SC","68",68,0,0,0,0,94
"299","Spokane, WA","149",89,4,0,56,2,66
"300","Springfield, IL","19",15,4,0,0,0,53
"301","Springfield, MA","29",27,2,0,0,0,58
"302","Springfield, MO","132",40,12,0,80,2,83
"303","Springfield, OH","7",7,0,0,0,0,100
"304","St. Cloud, MN","38",33,0,0,5,1,74
"305","St. George, UT","44",44,0,0,0,0,96
"306","St. Joseph, MO-KS","7",7,0,0,0,0,0
"307","St. Louis,  MO-IL","512",363,8,10,131,9,100
"308","State College, PA","26",14,0,0,12,1,62
"309","Stockton,  CA","57",57,0,0,0,0,100
"310","Sumter,  SC","18",18,0,0,0,0,100
"311","Syracuse, NY","65",65,0,0,0,0,61
"312","Tallahassee, FL","118",71,4,0,43,2,100
"313","Tampa-St. Petersburg-Clearwater,  FL","858",449,2,0,407,15,NA
"314","Texarkana, TX-Texarkana, AR","6",4,2,0,0,0,100
"315","Toledo, OH","99",64,0,0,35,2,92
"316","Topeka, KS","46",38,0,8,0,0,90
"317","Trenton-Ewing,  NJ","41",31,0,0,10,1,100
"318","Tucson,  AZ","232",215,4,3,10,2,100
"319","Tulsa,  OK","234",230,4,0,0,0,100
"320","Tuscaloosa, AL","86",31,0,0,55,3,93
"321","Tyler, TX","17",12,0,0,5,1,79
"322","Utica-Rome, NY","3",3,0,0,0,0,5
"323","Valdosta, GA","33",33,0,0,0,0,87
"324","Vallejo-Fairfield, CA","13",13,0,0,0,0,92
"325","Victoria, TX","4",4,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","33",28,0,0,5,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","373",238,2,0,133,3,NA
"328","Waco, TX","233",17,0,0,216,9,77
"329","Warner Robins, GA","44",44,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","995",679,2,16,298,11,NA
"331","Wausau, WI","14",12,2,0,0,0,74
"332","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,53
"333","Wenatchee, WA","33",17,0,16,0,0,72
"334","Wheeling, WV-OH","1",1,0,0,0,0,68
"335","Wichita Falls, TX","9",9,0,0,0,0,89
"336","Wichita, KS","341",147,2,0,192,8,88
"337","Williamsport, PA","2",2,0,0,0,0,16
"338","Wilmington,  NC","297",291,0,0,6,1,100
"339","Winchester, VA-WV","18",18,0,0,0,0,84
"340","Winston-Salem, NC","127",127,0,0,0,0,90
"341","Worcester, MA","65",65,0,0,0,0,69
"342","Yakima, WA","21",21,0,0,0,0,40
"343","York-Hanover, PA","110",105,0,0,5,1,79
"344","Youngstown-Warren-Boardman, OH-PA","61",30,4,3,24,4,96
"345","Yuba City, CA","7",7,0,0,0,0,91
"346","Yuma, AZ","40",40,0,0,0,0,72
