"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"158","Janesville, WI","58",40,2,11,5,1
"159","Jefferson City, MO","67",64,0,3,0,0
"160","Johnson City, TN","62",59,0,3,0,0
"161","Johnstown, PA","1",1,0,0,0,0
"162","Jonesboro, AR","40",32,0,8,0,0
"163","Joplin, MO","19",17,2,0,0,0
"164","Kalamazoo-Portage, MI","63",63,0,0,0,0
"165","Kankakee-Bradley, IL","12",12,0,0,0,0
"166","Kansas City,* MO-KS","1453",1017,36,60,340,16
"167","Kennewick-Richland-Pasco, WA","221",135,0,12,74,4
"168","Killeen-Temple-Fort Hood, TX","263",241,8,0,14,1
"169","Kingsport-Bristol-Bristol, TN-VA","70",70,0,0,0,0
"170","Kingston, NY","31",31,0,0,0,0
"171","Knoxville, TN","360",331,0,0,29,1
"172","Kokomo, IN","16",16,0,0,0,0
"173","La Crosse, WI-MN","50",46,4,0,0,0
"174","Lafayette, IN","81",81,0,0,0,0
"175","Lafayette, LA","214",214,0,0,0,0
"176","Lake Charles, LA","41",32,2,0,7,1
"177","Lakeland,* FL","834",799,14,12,9,1
"178","Lancaster, PA","140",108,0,0,32,4
"179","Lansing-East Lansing, MI","137",109,2,0,26,2
"180","Laredo,* TX","167",131,2,3,31,1
"181","Las Cruces,* NM","397",225,4,0,168,15
"182","Las Vegas-Paradise,* NV","3324",1958,14,172,1180,89
"183","Lawrence, KS","97",60,0,0,37,1
"184","Lawton, OK","12",12,0,0,0,0
"185","Lebanon, PA","48",46,2,0,0,0
"186","Lewiston, ID-WA","8",8,0,0,0,0
"187","Lewiston-Auburn, ME","21",21,0,0,0,0
"188","Lexington-Fayette, KY","280",274,0,0,6,1
"189","Lima, OH","4",4,0,0,0,0
"190","Lincoln, NE","114",110,4,0,0,0
"191","Little Rock-North Little Rock, AR","271",271,0,0,0,0
"192","Logan, UT-ID","56",48,0,3,5,1
"193","Longview, TX","19",19,0,0,0,0
"194","Longview, WA","29",29,0,0,0,0
"195","Los Angeles-Long Beach-Santa Ana,*  CA","2748",1364,62,24,1298,45
"196","Louisville,* KY-IN","360",337,8,3,12,2
"197","Lubbock, TX","73",73,0,0,0,0
"198","Lynchburg, VA","142",142,0,0,0,0
"199","Macon, GA","67",67,0,0,0,0
"200","Madera, CA","130",114,0,4,12,2
"201","Madison,* WI","439",231,26,26,156,8
"202","Manchester-Nashua, NH","99",92,0,0,7,1
"203","Mansfield, OH","8",8,0,0,0,0
"204","McAllen-Edinburg-Pharr,* TX","587",526,0,56,5,1
"205","Medford,* OR","133",118,2,8,5,1
"206","Memphis, TN-MS-AR","789",779,0,0,10,2
"207","Merced, CA","181",181,0,0,0,0
"208","Miami-Fort Lauderdale-Miami Beach,  FL","3412",1831,36,23,1522,66
"209","Michigan City-La Porte, IN","20",20,0,0,0,0
"210","Midland,* TX","33",33,0,0,0,0
"211","Milwaukee-Waukesha-West Allis,* WI","411",266,20,32,93,8
"212","Minneapolis-St. Paul-Bloomington,*  MN-WI","2029",1251,20,56,702,13
"213","Missoula,* MT","5",5,0,0,0,0
"214","Mobile, AL","172",132,0,0,40,4
"215","Modesto, CA","226",195,2,4,25,1
"216","Monroe, LA","27",22,2,3,0,0
"217","Monroe, MI","34",32,2,0,0,0
"218","Montgomery, AL","664",124,0,0,540,40
"219","Morgantown, WV","8",8,0,0,0,0
"220","Morristown, TN","39",37,2,0,0,0
"221","Mount Vernon-Anacortes, WA","64",64,0,0,0,0
"222","Muncie, IN","16",12,4,0,0,0
"223","Muskegon-Norton Shores, MI","29",25,4,0,0,0
"224","Myrtle Beach-Conway-North Myrtle Beach,  SC","1111",567,8,0,536,18
"225","Napa, CA","34",30,4,0,0,0
"226","Naples-Marco Island,* FL","569",413,0,104,52,5
"227","Nashville-Davidson--Murfreesboro,*  TN","1225",1197,28,0,0,0
"228","New Haven-Milford, CT","131",84,0,0,47,3
"229","New Orleans-Metairie-Kenner,* LA","80",78,2,0,0,0
"230","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","5839",1557,516,722,3044,128
"231","Niles-Benton Harbor, MI","4",4,0,0,0,0
"232","Norwich-New London,* CT","91",70,14,7,0,0
"233","Ocala,* FL","536",522,2,12,0,0
"234","Ocean City,* NJ","206",91,54,8,53,7
"235","Odessa,* TX","15",9,0,0,6,1
"236","Ogden-Clearfield, UT","307",281,6,8,12,2
"237","Oklahoma City,* OK","667",609,4,0,54,6
"238","Olympia, WA","175",163,0,0,12,1
"239","Omaha-Council Bluffs,* NE-IA","429",397,24,3,5,1
"240","Orlando,* FL","2575",1812,0,112,651,25
"241","Oshkosh-Neenah, WI","43",35,4,4,0,0
"242","Owensboro, KY","40",40,0,0,0,0
"243","Oxnard-Thousand Oaks-Ventura, CA","427",92,0,28,307,12
"244","Palm Bay-Melbourne-Titusville,* FL","600",516,0,4,80,2
"245","Panama City-Lynn Haven,* FL","86",69,0,0,17,2
"246","Parkersburg-Marietta, WV-OH","19",11,0,8,0,0
"247","Pascagoula, MS","136",136,0,0,0,0
"248","Pensacola-Ferry Pass-Brent, FL","225",197,2,0,26,1
"249","Peoria, IL","144",51,12,4,77,9
"250","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","1907",1186,24,23,674,16
"251","Phoenix-Mesa-Scottsdale, AZ","3577",3405,10,51,111,12
"252","Pine Bluff, AR","12",10,2,0,0,0
"253","Pittsburgh,* PA","515",398,8,11,98,10
"254","Pittsfield, MA","3",3,0,0,0,0
"255","Pocatello, ID","64",55,0,4,5,1
"256","Port St. Lucie-Fort Pierce,* FL","727",550,0,60,117,15
"257","Portland-South Portland-Biddeford,  ME","229",188,4,3,34,3
"258","Portland-Vancouver-Beaverton,* OR-WA","1386",963,28,26,369,NA
"259","Prescott, AZ","311",308,0,3,0,0
"260","Providence-New Bedford-Fall River,  RI-MA","409",240,24,12,133,9
"261","Provo-Orem, UT","499",449,12,8,30,3
"262","Pueblo,* CO","86",86,0,0,0,0
"263","Punta Gorda,* FL","338",283,8,7,40,4
"264","Racine, WI","50",43,2,0,5,1
"265","Raleigh-Cary,* NC","900",854,2,0,44,2
"266","Rapid City, SD","92",61,0,8,23,1
"267","Reading, PA","45",40,0,0,5,1
"268","Redding,* CA","117",95,0,16,6,1
"269","Reno-Sparks,* NV","481",477,0,4,0,0
"270","Richmond,* VA","646",639,0,7,0,0
"271","Riverside-San Bernardino-Ontario,*  CA","2802",2633,34,41,94,10
"272","Roanoke, VA","129",103,2,0,24,2
"273","Rochester, MN","130",96,0,0,34,1
"274","Rochester, NY","117",108,0,0,9,1
"275","Rockford, IL","283",243,10,30,0,0
