"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"185","Lawton, OK","81",15,2,0,64,11
"186","Lebanon, PA","41",41,0,0,0,0
"187","Lewiston, ID-WA","0",0,0,0,0,0
"188","Lewiston-Auburn, ME","14",14,0,0,0,0
"189","Lexington-Fayette, KY","231",214,0,0,17,1
"190","Lima, OH","1",1,0,0,0,0
"191","Lincoln, NE","57",43,2,0,12,1
"192","Little Rock-North Little Rock-Conway,  AR","275",269,2,4,0,0
"193","Logan, UT-ID","51",51,0,0,0,0
"194","Longview, TX","16",14,2,0,0,0
"195","Longview, WA","26",26,0,0,0,0
"196","Los Angeles-Long Beach-Santa Ana,*  CA","1776",758,78,83,857,44
"197","Louisville-Jefferson County,* KY-IN","387",333,2,31,21,2
"198","Lubbock, TX","78",76,2,0,0,0
"199","Lynchburg, VA","82",82,0,0,0,0
"200","Macon, GA","346",60,0,0,286,9
"201","Madera, CA","44",42,2,0,0,0
"202","Madison,* WI","178",79,10,0,89,6
"203","Manchester-Nashua, NH","35",26,2,0,7,1
"204","Mansfield, OH","2",2,0,0,0,0
"205","McAllen-Edinburg-Mission,* TX","566",497,4,35,30,3
"206","Medford, OR","99",74,2,0,23,2
"207","Memphis,* TN-MS-AR","583",487,0,0,96,8
"208","Merced, CA","99",95,4,0,0,0
"209","Miami-Fort Lauderdale-Pompano Beach,*  FL","1797",681,46,11,1059,25
"210","Michigan City-La Porte, IN","18",18,0,0,0,0
"211","Midland,* TX","49",49,0,0,0,0
"212","Milwaukee-Waukesha-West Allis,* WI","196",118,0,20,58,2
"213","Minneapolis-St. Paul-Bloomington,*  MN-WI","451",435,0,0,16,3
"214","Missoula,* MT","84",34,2,0,48,3
"215","Mobile, AL","213",117,2,0,94,12
"216","Modesto, CA","94",94,0,0,0,0
"217","Monroe, LA","65",56,0,0,9,1
"218","Monroe, MI","10",10,0,0,0,0
"219","Montgomery, AL","124",89,0,0,35,2
"220","Morgantown, WV","1",1,0,0,0,0
"221","Morristown, TN","51",51,0,0,0,0
"222","Mount Vernon-Anacortes, WA","54",54,0,0,0,0
"223","Muncie, IN","3",3,0,0,0,0
"224","Muskegon-Norton Shores, MI","7",5,2,0,0,0
"225","Myrtle Beach-Conway-North Myrtle Beach,  SC","615",377,0,0,238,17
"226","Napa, CA","25",25,0,0,0,0
"227","Naples-Marco Island,* FL","195",159,0,20,16,2
"228","Nashville-Davidson--Murfreesboro-Franklin,*  TN","1062",966,26,6,64,1
"229","New Haven-Milford, CT","58",36,6,3,13,1
"230","New Orleans-Metairie-Kenner,* LA","290",264,22,4,0,0
"231","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","3155",682,310,385,1778,65
"232","Niles-Benton Harbor, MI","14",14,0,0,0,0
"233","Norwich-New London, CT","20",20,0,0,0,0
"234","Ocala,* FL","304",266,0,38,0,0
"235","Ocean City,* NJ","61",39,14,3,5,1
"236","Odessa,* TX","19",19,0,0,0,0
"237","Ogden-Clearfield, UT","214",212,2,0,0,0
"238","Oklahoma City,* OK","468",454,2,0,12,1
"239","Olympia, WA","93",93,0,0,0,0
"240","Omaha-Council Bluffs,* NE-IA","223",215,0,0,8,1
"241","Orlando-Kissimmee,* FL","1396",984,16,3,393,29
"242","Oshkosh-Neenah, WI","22",20,2,0,0,0
"243","Owensboro, KY","18",18,0,0,0,0
"244","Oxnard-Thousand Oaks-Ventura, CA","120",57,2,3,58,4
"245","Palm Bay-Melbourne-Titusville,* FL","170",162,4,4,0,0
"246","Palm Coast, FL","49",37,0,12,0,0
"247","Panama City-Lynn Haven, FL","73",63,6,4,0,0
"248","Parkersburg-Marietta-Vienna, WV-OH","2",2,0,0,0,0
"249","Pascagoula, MS","70",70,0,0,0,0
"250","Pensacola-Ferry Pass-Brent,* FL","303",170,2,0,131,10
"251","Peoria, IL","30",22,8,0,0,0
"252","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","912",648,4,16,244,17
"253","Phoenix-Mesa-Scottsdale,* AZ","4918",2736,26,201,1955,127
"254","Pine Bluff, AR","7",5,2,0,0,0
"255","Pittsburgh,* PA","320",248,4,10,58,4
"256","Pittsfield, MA","1",1,0,0,0,0
"257","Pocatello, ID","11",11,0,0,0,0
