"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","349",221,6,0,122,1,NA
"328","Waco, TX","25",25,0,0,0,0,77
"329","Warner Robins, GA","39",39,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1262",972,2,0,288,14,NA
"331","Wausau, WI","14",12,2,0,0,0,74
"332","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,53
"333","Wenatchee, WA","29",29,0,0,0,0,72
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","8",8,0,0,0,0,89
"336","Wichita, KS","140",134,6,0,0,0,88
"337","Williamsport, PA","3",3,0,0,0,0,16
"338","Wilmington,  NC","232",213,2,0,17,3,100
"339","Winchester, VA-WV","26",26,0,0,0,0,84
"340","Winston-Salem, NC","150",64,0,0,86,2,90
"341","Worcester, MA","48",44,4,0,0,0,69
"342","Yakima, WA","24",24,0,0,0,0,40
"343","York-Hanover, PA","64",59,0,0,5,1,79
"344","Youngstown-Warren-Boardman, OH-PA","65",25,0,16,24,4,96
"345","Yuba City, CA","20",20,0,0,0,0,91
"346","Yuma, AZ","25",25,0,0,0,0,72
