"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"144","Las Vegas  NV-AZ MSA","2046",2019,4,17,6,1
"145","Lawrence* KS MSA","47",39,8,0,0,0
"146","Lawton* OK MSA","6",6,0,0,0,0
"147","Lewiston-Auburn* ME MSA","23",23,0,0,0,0
"148","Lexington* KY MSA","279",237,8,3,31,4
"149","Lima* OH MSA","3",3,0,0,0,0
"150","Lincoln* NE MSA","150",117,4,0,29,2
"151","Little Rock-North Little  Rock* AR MSA","192",181,4,7,0,0
"152","Longview-Marshall* TX MSA","13",13,0,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","4397",3537,64,130,666,51
"154","Louisville  KY-IN MSA","532",490,4,12,26,4
"155","Lubbock* TX MSA","272",81,6,172,13,2
"156","Lynchburg* VA MSA","92",78,6,8,0,0
"157","Macon* GA MSA","471",131,0,0,340,44
"158","Madison* WI MSA","463",168,12,38,245,6
"159","Mansfield* OH MSA","37",33,4,0,0,0
"160","McAllen-Edinburg-Mission*  TX MSA","452",415,10,16,11,2
"161","Medford-Ashland* OR MSA","115",103,0,7,5,1
"162","Melbourne-Titusville-Palm  Bay* FL MSA","376",372,4,0,0,0
"163","Memphis  TN-AR-MS MSA","575",519,0,0,56,2
"164","Merced* CA MSA","81",81,0,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","1423",1036,14,26,347,23
"166","Milwaukee-Racine  WI CMSA","499",360,22,19,98,11
"167","Minneapolis-St. Paul  MN-WI  MSA","2063",1706,34,49,274,17
"168","Missoula* MT MSA","44",26,4,0,14,1
"169","Mobile* AL MSA","272",267,0,0,5,1
"170","Modesto* CA MSA","216",216,0,0,0,0
"171","Monroe* LA MSA","27",27,0,0,0,0
"172","Montgomery* AL MSA","91",91,0,0,0,0
"173","Muncie* IN MSA","30",21,0,3,6,1
"174","Myrtle Beach* SC MSA","602",166,0,0,436,15
"175","Naples* FL MSA","961",429,6,60,466,28
"176","Nashville  TN MSA","844",804,16,3,21,2
"177","New London-Norwich* CT-RI MSA","89",89,0,0,0,0
"178","New Orleans* LA MSA","348",275,30,4,39,2
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","5078",2626,450,188,1814,87
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","682",528,6,10,138,15
"181","Ocala* FL MSA","267",259,4,4,0,0
"182","Odessa-Midland* TX MSA","27",17,0,0,10,1
"183","Oklahoma City* OK MSA","368",368,0,0,0,0
"184","Omaha* NE-IA MSA","413",350,0,0,63,1
"185","Orlando  FL MSA","2419",1553,2,12,852,40
"186","Owensboro* KY MSA","64",64,0,0,0,0
"187","Panama City* FL MSA","200",104,4,0,92,1
"188","Parkersburg-Marietta* WV-OH  MSA","13",13,0,0,0,0
"189","Pensacola* FL MSA","230",230,0,0,0,0
"190","Peoria-Pekin* IL MSA","122",90,4,3,25,2
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","1942",1669,40,23,210,24
"192","Phoenix-Mesa  AZ MSA","3708",2919,42,44,703,41
"193","Pine Bluff* AR MSA","10",10,0,0,0,0
"194","Pittsburgh  PA MSA","603",506,16,23,58,9
"195","Pittsfield* MA MSA","0",0,0,0,0,0
"196","Pocatello* ID MSA","4",4,0,0,0,0
"197","Portland* ME MSA","142",129,6,7,0,0
"198","Portland-Salem  OR-WA CMSA","1187",1113,16,19,39,5
"199","Providence-Fall River-  Warwick* RI-MA MSA","214",194,6,3,11,2
"200","Provo-Orem* UT MSA","305",247,4,38,16,2
"201","Pueblo* CO MSA","92",84,8,0,0,0
"202","Punta Gorda* FL MSA","136",122,2,12,0,0
"203","Raleigh-Durham-Chapel Hill  NC MSA","1414",1139,8,0,267,16
"204","Rapid City* SD MSA","28",28,0,0,0,0
"205","Reading* PA MSA","76",66,0,0,10,1
"206","Redding* CA MSA","80",76,0,4,0,0
"207","Reno* NV MSA","399",326,2,3,68,4
"208","Richland-Kennewick-Pasco*  WA MSA","87",80,2,0,5,1
"209","Richmond-Petersburg  VA MSA","724",554,0,0,170,17
"210","Roanoke* VA MSA","125",67,2,0,56,3
"211","Rochester* MN MSA","150",97,6,8,39,3
"212","Rochester* NY MSA","215",181,0,4,30,4
"213","Rockford* IL MSA","157",129,16,12,0,0
"214","Rocky Mount* NC MSA","62",50,2,0,10,1
"215","Sacramento-Yolo  CA CMSA","1410",1338,2,0,70,5
"216","Saginaw-Bay City-Midland*  MI MSA","49",44,2,3,0,0
"217","St. Cloud* MN MSA","95",84,0,6,5,1
"218","St. Joseph* MO MSA","19",14,0,0,5,1
"219","St. Louis  MO-IL MSA","1115",927,46,26,116,10
"220","Salinas* CA MSA","128",128,0,0,0,0
"221","Salt Lake City-Ogden  UT MSA","768",572,12,11,173,8
"222","San Angelo* TX MSA","33",33,0,0,0,0
"223","San Antonio* TX MSA","817",817,0,0,0,0
"224","San Diego  CA MSA","1221",787,0,12,422,10
"225","San Francisco-Oakland-San  Jose  CA CMSA","1214",959,36,38,181,7
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","179",179,0,0,0,0
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","63",63,0,0,0,0
"228","Santa Fe* NM MSA","47",47,0,0,0,0
"229","Sarasota-Bradenton* FL MSA","810",632,2,31,145,6
"230","Savannah* GA MSA","198",149,4,0,45,5
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","53",45,0,3,5,1
"232","Seattle-Tacoma-Bremerton  WA CMSA","2150",1224,48,104,774,37
"233","Sharon* PA MSA","17",10,0,0,7,1
"234","Sheboygan* WI MSA","2",2,0,0,0,0
"235","Sherman-Denison* TX MSA","6",6,0,0,0,0
"236","Shreveport-Bossier City* LA  MSA","97",97,0,0,0,0
"237","Sioux City* IA-NE MSA","27",22,0,0,5,1
"238","Sioux Falls* SD MSA","350",155,2,4,189,20
"239","South Bend* IN MSA","78",78,0,0,0,0
"240","Spokane* WA MSA","219",127,4,31,57,4
"241","Springfield* IL MSA","72",64,8,0,0,0
"242","Springfield* MO MSA","234",184,4,3,43,4
"243","Springfield* MA MSA","72",64,2,6,0,0
"244","State College* PA MSA","65",25,0,0,40,2
"245","Steubenville-Weirton* OH-WV  MSA","19",19,0,0,0,0
"246","Stockton-Lodi* CA MSA","278",278,0,0,0,0
"247","Sumter* SC MSA","20",20,0,0,0,0
"248","Syracuse* NY MSA","107",74,0,24,9,1
"249","Tallahassee* FL MSA","194",159,0,3,32,1
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","2070",1455,96,63,456,47
"251","Terre Haute* IN MSA","29",29,0,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","15",15,0,0,0,0
"253","Toledo* OH MSA","257",178,6,3,70,14
"254","Topeka* KS MSA","50",50,0,0,0,0
"255","Tucson* AZ MSA","650",456,2,0,192,12
"256","Tulsa* OK MSA","320",320,0,0,0,0
"257","Tuscaloosa* AL MSA","40",40,0,0,0,0
"258","Tyler* TX MSA","32",27,0,0,5,1
"259","Utica-Rome* NY MSA","13",13,0,0,0,0
"260","Victoria* TX MSA","11",11,0,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","159",159,0,0,0,0
"262","Waco* TX MSA","26",26,0,0,0,0
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","3934",3127,0,0,807,47
"264","Waterloo-Cedar Falls* IA MSA","19",13,6,0,0,0
"265","Wausau* WI MSA","46",44,2,0,0,0
"266","West Palm Beach-Boca Raton  FL MSA","946",675,0,12,259,12
"267","Wheeling* WV-OH MSA","1",1,0,0,0,0
"268","Wichita* KS MSA","158",142,16,0,0,0
"269","Wichita Falls* TX MSA","18",18,0,0,0,0
"270","Wilmington* NC MSA","250",243,2,0,5,1
"271","Yakima* WA MSA","25",21,0,4,0,0
"272","York* PA MSA","129",110,2,0,17,2
"273","Youngstown-Warren* OH MSA","122",102,2,8,10,2
"274","Yuba City* CA MSA","63",63,0,0,0,0
"275","Yuma* AZ MSA","118",118,0,0,0,0
