"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"163","Joplin, MO","34",2,0,0,32,4,49
"164","Kalamazoo-Portage, MI","16",16,0,0,0,0,70
"165","Kankakee-Bradley, IL","2",2,0,0,0,0,30
"166","Kansas City,  MO-KS","94",64,2,23,5,1,100
"167","Kennewick-Pasco-Richland, WA","30",23,0,0,7,1,89
"168","Killeen-Temple-Fort Hood, TX","59",57,2,0,0,0,81
"169","Kingsport-Bristol-Bristol, TN-VA","16",16,0,0,0,0,58
"170","Kingston, NY","2",2,0,0,0,0,70
"171","Knoxville, TN","111",80,0,0,31,3,84
"172","Kokomo, IN","0",0,0,0,0,0,79
"173","La Crosse, WI-MN","24",19,0,0,5,1,3
"174","Lafayette, IN","4",4,0,0,0,0,90
"175","Lafayette, LA","44",37,2,0,5,1,85
"176","Lake Charles, LA","76",60,0,0,16,1,83
"177","Lake Havasu City-Kingman, AZ","17",17,0,0,0,0,100
"178","Lakeland-Winter Haven,  FL","76",76,0,0,0,0,100
"179","Lancaster, PA","90",37,4,0,49,2,63
"180","Lansing-East Lansing, MI","13",8,0,0,5,1,81
"181","Laredo,  TX","72",70,2,0,0,0,100
"182","Las Cruces,  NM","208",68,0,0,140,20,100
"183","Las Vegas-Paradise,  NV","207",182,0,0,25,1,100
"184","Lawrence, KS","6",6,0,0,0,0,96
"185","Lawton, OK","14",14,0,0,0,0,89
"186","Lebanon, PA","13",13,0,0,0,0,92
"187","Lewiston, ID-WA","1",1,0,0,0,0,55
"188","Lewiston-Auburn, ME","3",3,0,0,0,0,71
"189","Lexington-Fayette, KY","192",44,0,0,148,2,98
"190","Lima, OH","1",1,0,0,0,0,11
"191","Lincoln, NE","25",25,0,0,0,0,87
"192","Little Rock-North Little Rock, AR","420",96,0,0,324,27,91
"193","Logan, UT-ID","17",6,0,11,0,0,3
"194","Longview, TX","7",7,0,0,0,0,73
"195","Longview, WA","8",8,0,0,0,0,73
"196","Los Angeles-Long Beach-Santa Ana,  CA","598",189,54,16,339,10,NA
"197","Lubbock, TX","40",40,0,0,0,0,96
"198","Lynchburg, VA","25",25,0,0,0,0,86
"199","Macon, GA","14",14,0,0,0,0,54
"200","Madera-Chowchilla, CA","2",2,0,0,0,0,89
"201","Madison,  WI","68",17,0,4,47,2,100
"202","Manchester-Nashua, NH","19",19,0,0,0,0,91
"203","Manhattan, KS","12",12,0,0,0,0,41
"204","Mankato-North Mankato, MN","6",4,2,0,0,0,75
"205","Mansfield, OH","0",0,0,0,0,0,74
"206","McAllen-Edinburg-Mission,  TX","229",204,8,12,5,1,100
"207","Medford, OR","21",19,2,0,0,0,100
"208","Memphis,  TN-MS-AR","283",86,0,0,197,3,100
"209","Merced, CA","2",2,0,0,0,0,81
"210","Miami-Fort Lauderdale-Pompano Beach,  FL","476",127,4,32,313,20,NA
"211","Midland,  TX","27",27,0,0,0,0,100
"212","Milwaukee-Waukesha-West Allis,  WI","52",40,4,0,8,1,100
"213","Minneapolis-St. Paul-Bloomington,  MN-WI","107",100,0,0,7,1,NA
"214","Mobile, AL","324",49,0,0,275,4,95
"215","Modesto, CA","54",21,2,0,31,2,85
"216","Monroe, LA","25",8,12,0,5,1,85
"217","Monroe, MI","2",2,0,0,0,0,54
"218","Montgomery, AL","54",25,0,0,29,2,91
"219","Morgantown, WV","4",4,0,0,0,0,91
"220","Morristown, TN","7",7,0,0,0,0,80
"221","Mount Vernon-Anacortes, WA","14",14,0,0,0,0,83
"222","Muncie, IN","1",1,0,0,0,0,77
"223","Muskegon-Norton Shores, MI","0",0,0,0,0,0,60
"224","Myrtle Beach-North Myrtle Beach-Conway,  SC","108",84,0,0,24,2,99
"225","Napa, CA","0",0,0,0,0,0,69
"226","Naples-Marco Island,  FL","44",40,0,4,0,0,100
"227","Nashville-Davidson--Murfreesboro,  TN","231",211,6,0,14,1,NA
"228","New Orleans-Metairie-Kenner,  LA","204",157,32,0,15,2,100
"229","New York-Northern New Jersey-Long Island,  NY-NJ-PA","1030",407,82,32,509,34,NA
"230","Norwich-New London, CT","9",9,0,0,0,0,94
"231","Ocala,  FL","31",21,10,0,0,0,100
"232","Ocean City,  NJ","20",16,4,0,0,0,100
"233","Odessa,  TX","4",4,0,0,0,0,100
"234","Ogden-Clearfield, UT","30",22,0,8,0,0,84
"235","Oklahoma City,  OK","227",199,4,12,12,1,100
"236","Olympia, WA","40",36,4,0,0,0,82
"237","Omaha-Council Bluffs,  NE-IA","145",65,0,0,80,4,100
"238","Orlando-Kissimmee,  FL","449",249,6,13,181,8,100
"239","Oshkosh-Neenah, WI","8",8,0,0,0,0,83
"240","Owensboro, KY","12",12,0,0,0,0,97
"241","Oxnard-Thousand Oaks-Ventura, CA","23",13,0,0,10,1,97
"242","Palm Bay-Melbourne-Titusville,  FL","114",58,0,0,56,4,100
"243","Palm Coast, FL","20",20,0,0,0,0,100
"244","Panama City-Lynn Haven-Panama City Beach,  FL","16",14,2,0,0,0,97
"245","Parkersburg-Marietta-Vienna, WV-OH","3",3,0,0,0,0,0
"246","Pascagoula, MS","58",58,0,0,0,0,98
"247","Pensacola-Ferry Pass-Brent,  FL","61",61,0,0,0,0,100
"248","Peoria, IL","4",4,0,0,0,0,59
"249","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","296",253,6,7,30,6,NA
"250","Pine Bluff, AR","0",0,0,0,0,0,89
"251","Pittsburgh,  PA","109",98,0,11,0,0,100
"252","Pittsfield, MA","1",1,0,0,0,0,19
"253","Pocatello, ID","9",9,0,0,0,0,92
"254","Port St. Lucie,  FL","30",24,0,0,6,1,100
"255","Portland-South Portland-Biddeford,  ME","43",35,0,8,0,0,89
"256","Portland-Vancouver-Beaverton,  OR-WA","220",155,0,3,62,7,NA
"257","Prescott, AZ","25",25,0,0,0,0,84
"258","Providence-New Bedford-Fall River,  RI-MA","50",40,4,6,0,0,86
"259","Provo-Orem, UT","63",56,2,0,5,1,98
"260","Pueblo,  CO","12",12,0,0,0,0,100
"261","Punta Gorda,  FL","30",28,2,0,0,0,100
"262","Racine, WI","6",6,0,0,0,0,69
"263","Raleigh-Cary,  NC","243",233,0,0,10,1,100
"264","Rapid City, SD","17",17,0,0,0,0,98
"265","Reading, PA","16",8,0,0,8,1,48
"266","Redding, CA","9",9,0,0,0,0,93
"267","Reno-Sparks,  NV","36",36,0,0,0,0,100
"268","Richmond,  VA","142",142,0,0,0,0,100
"269","Riverside-San Bernardino-Ontario,  CA","488",227,0,0,261,22,NA
"270","Rochester, MN","44",4,0,0,40,5,87
"271","Rochester, NY","38",30,8,0,0,0,62
"272","Rockford, IL","12",12,0,0,0,0,97
"273","Rocky Mount, NC","13",13,0,0,0,0,78
"274","Rome, GA","25",1,0,0,24,3,99
"275","Sacramento--Arden-Arcade--Roseville,  CA","157",127,0,9,21,3,NA
"276","Salem, OR","32",12,0,0,20,3,85
"277","Salinas, CA","15",5,0,0,10,2,92
"278","Salisbury, MD","12",6,0,0,6,1,67
"279","Salt Lake City,  UT","609",79,0,10,520,18,100
"280","San Angelo,  TX","10",10,0,0,0,0,100
"281","San Antonio,  TX","297",292,0,0,5,1,100
"282","San Diego-Carlsbad-San Marcos,  CA","84",78,0,0,6,1,100
"283","San Francisco-Oakland-Fremont,  CA","136",99,10,3,24,4,100
"284","San Jose-Sunnyvale-Santa Clara,  CA","36",28,2,0,6,1,100
"285","San Luis Obispo-Paso Robles, CA","17",11,0,0,6,1,67
"286","Sandusky, OH","0",0,0,0,0,0,0
"287","Santa Barbara-Santa Maria, CA","10",10,0,0,0,0,71
"288","Santa Cruz-Watsonville, CA","6",6,0,0,0,0,64
"289","Santa Fe,  NM","5",5,0,0,0,0,100
"290","Santa Rosa-Petaluma, CA","14",14,0,0,0,0,92
"291","Savannah, GA","58",50,0,0,8,1,87
"292","Scranton--Wilkes-Barre, PA","7",7,0,0,0,0,24
"293","Seattle-Tacoma-Bellevue,  WA","905",303,34,35,533,30,100
"294","Sebastian-Vero Beach,  FL","23",23,0,0,0,0,100
"295","Sheboygan, WI","2",2,0,0,0,0,47
"296","Sherman-Denison, TX","0",0,0,0,0,0,2
"297","Shreveport-Bossier City, LA","45",45,0,0,0,0,98
"298","Sioux City, IA-NE-SD","3",3,0,0,0,0,96
"299","Sioux Falls, SD","27",15,0,4,8,1,88
"300","South Bend-Mishawaka, IN-MI","8",8,0,0,0,0,98
"301","Spartanburg, SC","24",24,0,0,0,0,94
"302","Spokane, WA","14",14,0,0,0,0,66
"303","Springfield, IL","1",1,0,0,0,0,53
"304","Springfield, MA","8",8,0,0,0,0,58
"305","Springfield, MO","58",13,0,0,45,1,82
"306","Springfield, OH","5",5,0,0,0,0,100
"307","St. Cloud, MN","9",4,0,0,5,1,74
"308","St. George, UT","33",33,0,0,0,0,96
"309","St. Joseph, MO-KS","4",2,2,0,0,0,0
"310","St. Louis,  MO-IL","230",173,4,15,38,4,100
"311","State College, PA","10",8,2,0,0,0,62
"312","Stockton,  CA","34",29,0,0,5,1,100
"313","Sumter,  SC","28",28,0,0,0,0,100
"314","Syracuse, NY","12",12,0,0,0,0,61
"315","Tallahassee, FL","80",47,2,0,31,1,100
"316","Tampa-St. Petersburg-Clearwater,  FL","637",234,2,3,398,18,NA
"317","Texarkana, TX-Texarkana, AR","4",4,0,0,0,0,100
"318","Toledo, OH","18",18,0,0,0,0,92
"319","Topeka, KS","16",12,0,4,0,0,90
"320","Trenton-Ewing,  NJ","20",20,0,0,0,0,100
"321","Tucson,  AZ","109",101,2,0,6,1,100
"322","Tulsa,  OK","163",163,0,0,0,0,100
"323","Tuscaloosa, AL","55",14,0,0,41,3,93
"324","Tyler, TX","16",8,0,3,5,1,79
"325","Utica-Rome, NY","0",0,0,0,0,0,5
"326","Valdosta, GA","29",29,0,0,0,0,87
"327","Vallejo-Fairfield, CA","4",4,0,0,0,0,92
"328","Victoria, TX","3",3,0,0,0,0,55
"329","Vineland-Millville-Bridgeton,  NJ","16",16,0,0,0,0,100
"330","Virginia Beach-Norfolk-Newport News,  VA-NC","164",118,2,0,44,3,NA
"331","Waco, TX","14",14,0,0,0,0,77
"332","Warner Robins, GA","130",30,0,0,100,6,82
"333","Washington-Arlington-Alexandria,  DC-VA-MD-WV","885",508,0,0,377,10,NA
"334","Wausau, WI","6",4,2,0,0,0,74
"335","Weirton-Steubenville, WV-OH","0",0,0,0,0,0,53
"336","Wenatchee-East Wenatchee, WA","9",9,0,0,0,0,72
"337","Wheeling, WV-OH","0",0,0,0,0,0,68
"338","Wichita Falls, TX","25",4,2,0,19,1,89
"339","Wichita, KS","71",69,2,0,0,0,88
"340","Williamsport, PA","0",0,0,0,0,0,16
"341","Wilmington,  NC","201",146,2,0,53,4,100
"342","Winchester, VA-WV","23",23,0,0,0,0,84
"343","Winston-Salem, NC","32",32,0,0,0,0,90
"344","Worcester, MA","26",14,0,0,12,1,69
"345","Yakima, WA","8",8,0,0,0,0,40
"346","York-Hanover, PA","46",46,0,0,0,0,79
"347","Youngstown-Warren-Boardman, OH-PA","5",3,2,0,0,0,96
"348","Yuba City, CA","2",2,0,0,0,0,91
"349","Yuma, AZ","39",39,0,0,0,0,72
