"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","1049",540,26,30,453,24,NA
"247","Pine Bluff, AR","5",2,0,3,0,0,88
"248","Pittsburgh,  PA","239",206,8,15,10,2,100
"249","Pittsfield, MA","0",0,0,0,0,0,9
"250","Pocatello, ID","15",11,4,0,0,0,93
"251","Port St. Lucie,  FL","123",101,0,4,18,2,100
"252","Portland-South Portland-Biddeford,  ME","113",94,6,3,10,2,88
"253","Portland-Vancouver-Beaverton,  OR-WA","848",329,12,0,507,23,NA
"254","Prescott, AZ","51",51,0,0,0,0,87
"255","Providence-New Bedford-Fall River,  RI-MA","174",170,0,4,0,0,83
"256","Provo-Orem, UT","94",84,0,10,0,0,98
"257","Pueblo,  CO","28",28,0,0,0,0,100
"258","Punta Gorda,  FL","90",19,2,69,0,0,100
"259","Racine, WI","18",16,2,0,0,0,59
"260","Raleigh-Cary,  NC","638",622,0,4,12,2,100
"261","Rapid City, SD","31",29,2,0,0,0,97
"262","Reading, PA","29",27,2,0,0,0,63
"263","Redding, CA","24",24,0,0,0,0,83
"264","Reno-Sparks,  NV","100",100,0,0,0,0,100
"265","Richmond,  VA","478",250,0,24,204,12,100
"266","Riverside-San Bernardino-Ontario,  CA","934",796,6,0,132,7,NA
"267","Rochester, MN","17",17,0,0,0,0,89
"268","Rochester, NY","83",59,12,12,0,0,62
"269","Rockford, IL","34",34,0,0,0,0,97
"270","Rocky Mount, NC","29",27,2,0,0,0,94
"271","Rome, GA","14",14,0,0,0,0,100
"272","Sacramento--Arden-Arcade--Roseville,  CA","472",287,0,0,185,12,NA
"273","Salem, OR","36",36,0,0,0,0,74
"274","Salinas, CA","37",37,0,0,0,0,74
"275","Salisbury, MD","32",16,0,0,16,1,80
"276","Salt Lake City,  UT","142",108,6,9,19,3,100
"277","San Angelo,  TX","21",21,0,0,0,0,100
"278","San Antonio,  TX","1099",463,14,8,614,28,100
"279","San Diego-Carlsbad-San Marcos,  CA","581",172,12,15,382,15,100
"280","San Francisco-Oakland-Fremont,  CA","1064",349,2,7,706,24,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","224",88,2,6,128,13,100
"282","San Luis Obispo-Paso Robles, CA","37",37,0,0,0,0,68
"283","Sandusky, OH","0",0,0,0,0,0,1
"284","Santa Barbara-Santa Maria, CA","31",31,0,0,0,0,64
"285","Santa Cruz-Watsonville, CA","7",7,0,0,0,0,51
"286","Santa Fe,  NM","11",11,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","98",48,0,0,50,4,89
"288","Savannah, GA","90",86,0,4,0,0,81
"289","Scranton--Wilkes-Barre, PA","12",12,0,0,0,0,26
"290","Seattle-Tacoma-Bellevue,  WA","1384",560,84,107,633,29,100
"291","Sebastian-Vero Beach,  FL","53",53,0,0,0,0,100
"292","Sheboygan, WI","4",2,2,0,0,0,59
"293","Sherman-Denison, TX","0",0,0,0,0,0,4
"294","Shreveport-Bossier City, LA","164",76,88,0,0,0,94
"295","Sioux City, IA-NE-SD","8",8,0,0,0,0,98
"296","Sioux Falls, SD","74",60,6,8,0,0,82
"297","South Bend-Mishawaka, IN-MI","30",30,0,0,0,0,99
"298","Spartanburg, SC","67",67,0,0,0,0,94
"299","Spokane, WA","46",38,8,0,0,0,75
"300","Springfield, IL","13",9,4,0,0,0,54
"301","Springfield, MA","62",47,4,0,11,1,62
"302","Springfield, MO","153",59,0,0,94,5,78
"303","Springfield, OH","16",16,0,0,0,0,100
"304","St. Cloud, MN","16",11,0,0,5,1,74
"305","St. George, UT","64",64,0,0,0,0,96
"306","St. Joseph, MO-KS","2",2,0,0,0,0,50
"307","St. Louis,  MO-IL","402",336,20,14,32,4,100
"308","State College, PA","32",32,0,0,0,0,69
"309","Stockton,  CA","185",132,0,11,42,7,100
"310","Sumter,  SC","23",23,0,0,0,0,100
"311","Syracuse, NY","17",17,0,0,0,0,63
"312","Tallahassee, FL","113",73,2,0,38,3,100
"313","Tampa-St. Petersburg-Clearwater,  FL","887",427,6,12,442,12,NA
"314","Texarkana, TX-Texarkana, AR","3",3,0,0,0,0,100
"315","Toledo, OH","41",36,0,0,5,1,88
"316","Topeka, KS","176",32,0,0,144,12,86
"317","Trenton-Ewing,  NJ","33",13,4,0,16,1,100
"318","Tucson,  AZ","234",215,6,3,10,1,100
"319","Tulsa,  OK","251",251,0,0,0,0,100
"320","Tuscaloosa, AL","147",45,0,0,102,6,94
"321","Tyler, TX","23",13,0,3,7,1,74
"322","Utica-Rome, NY","2",2,0,0,0,0,5
"323","Valdosta, GA","42",34,8,0,0,0,91
"324","Vallejo-Fairfield, CA","86",22,4,0,60,1,82
"325","Victoria, TX","5",5,0,0,0,0,60
"326","Vineland-Millville-Bridgeton,  NJ","30",30,0,0,0,0,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","278",213,12,0,53,3,NA
"328","Waco, TX","185",41,0,0,144,10,69
"329","Warner Robins, GA","22",22,0,0,0,0,70
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","2341",706,0,3,1632,17,NA
"331","Wausau, WI","9",9,0,0,0,0,67
"332","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,0
"333","Wenatchee, WA","10",10,0,0,0,0,70
"334","Wheeling, WV-OH","0",0,0,0,0,0,57
"335","Wichita Falls, TX","9",7,2,0,0,0,75
"336","Wichita, KS","158",156,2,0,0,0,91
"337","Williamsport, PA","0",0,0,0,0,0,9
"338","Wilmington,  NC","229",221,0,3,5,1,100
"339","Winchester, VA-WV","35",27,0,0,8,1,91
"340","Winston-Salem, NC","326",326,0,0,0,0,89
"341","Worcester, MA","83",81,2,0,0,0,72
"342","Yakima, WA","24",24,0,0,0,0,45
"343","York-Hanover, PA","78",72,0,0,6,1,79
"344","Youngstown-Warren-Boardman, OH-PA","25",25,0,0,0,0,97
"345","Yuba City, CA","28",28,0,0,0,0,95
"346","Yuma, AZ","62",36,2,0,24,3,91
