"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"209","Milwaukee-Waukesha-West Allis,  WI","152",103,8,15,26,4,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","574",429,6,0,139,4,NA
"211","Mobile, AL","177",129,0,0,48,2,95
"212","Modesto, CA","58",30,0,0,28,2,85
"213","Monroe, LA","24",18,0,0,6,1,85
"214","Monroe, MI","4",4,0,0,0,0,54
"215","Montgomery, AL","43",43,0,0,0,0,91
"216","Morgantown, WV","25",5,0,0,20,1,91
"217","Morristown, TN","22",22,0,0,0,0,80
"218","Mount Vernon-Anacortes, WA","30",28,2,0,0,0,83
"219","Muncie, IN","14",14,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","7",7,0,0,0,0,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","143",107,0,0,36,1,99
"222","Napa, CA","13",13,0,0,0,0,69
"223","Naples-Marco Island,  FL","71",44,2,8,17,3,100
"224","Nashville-Davidson--Murfreesboro,  TN","482",461,0,0,21,3,NA
"225","New Orleans-Metairie-Kenner,  LA","258",186,16,0,56,4,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","1957",701,102,122,1032,59,NA
"227","Norwich-New London, CT","23",23,0,0,0,0,94
"228","Ocala,  FL","97",95,2,0,0,0,100
"229","Ocean City,  NJ","31",23,0,0,8,1,100
"230","Odessa,  TX","128",24,2,0,102,8,100
"231","Ogden-Clearfield, UT","87",87,0,0,0,0,84
"232","Oklahoma City,  OK","292",252,14,0,26,2,100
"233","Olympia, WA","77",72,0,0,5,1,82
"234","Omaha-Council Bluffs,  NE-IA","329",308,6,0,15,1,100
"235","Orlando-Kissimmee,  FL","626",469,2,4,151,17,100
"236","Oshkosh-Neenah, WI","25",21,0,4,0,0,83
"237","Owensboro, KY","25",14,2,4,5,1,97
"238","Oxnard-Thousand Oaks-Ventura, CA","42",18,0,3,21,2,97
"239","Palm Bay-Melbourne-Titusville,  FL","127",76,0,0,51,4,100
"240","Palm Coast, FL","93",29,0,0,64,2,100
"241","Panama City-Lynn Haven, FL","64",34,2,0,28,1,97
"242","Parkersburg-Marietta-Vienna, WV-OH","16",11,0,0,5,1,0
"243","Pascagoula, MS","69",46,0,0,23,2,98
"244","Pensacola-Ferry Pass-Brent,  FL","84",84,0,0,0,0,100
"245","Peoria, IL","44",44,0,0,0,0,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","671",555,16,13,87,11,NA
"247","Pine Bluff, AR","8",3,0,0,5,1,89
"248","Pittsburgh,  PA","315",294,4,17,0,0,100
"249","Pittsfield, MA","4",4,0,0,0,0,19
"250","Pocatello, ID","19",19,0,0,0,0,92
"251","Port St. Lucie,  FL","86",76,0,0,10,1,100
"252","Portland-South Portland-Biddeford,  ME","96",78,10,3,5,1,89
"253","Portland-Vancouver-Beaverton,  OR-WA","823",347,6,11,459,15,NA
"254","Prescott, AZ","35",35,0,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","98",93,2,3,0,0,86
"256","Provo-Orem, UT","80",66,0,8,6,1,97
"257","Pueblo,  CO","31",31,0,0,0,0,100
"258","Punta Gorda,  FL","81",23,14,8,36,2,100
"259","Racine, WI","18",18,0,0,0,0,69
"260","Raleigh-Cary,  NC","781",530,6,3,242,11,100
"261","Rapid City, SD","33",33,0,0,0,0,98
"262","Reading, PA","30",30,0,0,0,0,48
"263","Redding, CA","28",19,0,0,9,1,93
"264","Reno-Sparks,  NV","266",58,0,0,208,13,100
"265","Richmond,  VA","358",340,0,7,11,2,100
"266","Riverside-San Bernardino-Ontario,  CA","532",404,14,0,114,13,NA
"267","Rochester, MN","31",31,0,0,0,0,87
"268","Rochester, NY","107",89,4,8,6,1,62
"269","Rockford, IL","71",34,4,28,5,1,97
"270","Rocky Mount, NC","28",26,2,0,0,0,78
"271","Rome, GA","15",13,2,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","327",276,2,3,46,2,NA
"273","Salem, OR","47",47,0,0,0,0,85
"274","Salinas, CA","94",6,0,14,74,5,92
"275","Salisbury, MD","22",9,0,0,13,1,67
"276","Salt Lake City,  UT","356",177,4,7,168,9,100
"277","San Angelo,  TX","18",18,0,0,0,0,100
"278","San Antonio,  TX","556",505,4,16,31,4,100
"279","San Diego-Carlsbad-San Marcos,  CA","424",190,2,9,223,7,100
"280","San Francisco-Oakland-Fremont,  CA","379",170,6,3,200,8,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","149",81,0,8,60,9,100
"282","San Luis Obispo-Paso Robles, CA","44",34,0,0,10,2,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","7",7,0,0,0,0,71
"285","Santa Cruz-Watsonville, CA","12",12,0,0,0,0,64
"286","Santa Fe,  NM","11",11,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","58",33,0,3,22,1,92
"288","Savannah, GA","118",118,0,0,0,0,87
"289","Scranton--Wilkes-Barre, PA","29",26,0,3,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1564",485,72,50,957,21,100
"291","Sebastian-Vero Beach,  FL","62",62,0,0,0,0,100
"292","Sheboygan, WI","11",4,2,0,5,1,47
"293","Sherman-Denison, TX","1",1,0,0,0,0,2
"294","Shreveport-Bossier City, LA","89",89,0,0,0,0,98
"295","Sioux City, IA-NE-SD","9",9,0,0,0,0,96
"296","Sioux Falls, SD","109",33,8,8,60,4,88
"297","South Bend-Mishawaka, IN-MI","40",23,0,3,14,1,98
"298","Spartanburg, SC","73",73,0,0,0,0,94
"299","Spokane, WA","107",55,2,3,47,2,66
"300","Springfield, IL","7",7,0,0,0,0,53
"301","Springfield, MA","44",34,2,8,0,0,58
"302","Springfield, MO","159",51,6,3,99,3,83
"303","Springfield, OH","9",7,2,0,0,0,100
"304","St. Cloud, MN","26",21,0,0,5,1,74
"305","St. George, UT","57",57,0,0,0,0,96
"306","St. Joseph, MO-KS","9",5,4,0,0,0,0
"307","St. Louis,  MO-IL","453",366,6,14,67,7,100
"308","State College, PA","13",13,0,0,0,0,62
"309","Stockton,  CA","69",69,0,0,0,0,100
"310","Sumter,  SC","31",31,0,0,0,0,100
"311","Syracuse, NY","55",55,0,0,0,0,61
"312","Tallahassee, FL","122",60,4,0,58,2,100
"313","Tampa-St. Petersburg-Clearwater,  FL","1189",436,8,34,711,14,NA
"314","Texarkana, TX-Texarkana, AR","27",9,2,0,16,2,100
"315","Toledo, OH","99",54,16,24,5,1,92
"316","Topeka, KS","38",38,0,0,0,0,90
"317","Trenton-Ewing,  NJ","51",39,2,0,10,2,100
"318","Tucson,  AZ","275",249,2,3,21,2,100
"319","Tulsa,  OK","528",250,0,0,278,20,100
"320","Tuscaloosa, AL","69",39,6,0,24,1,93
"321","Tyler, TX","19",13,0,0,6,1,79
"322","Utica-Rome, NY","3",3,0,0,0,0,5
"323","Valdosta, GA","58",42,4,0,12,2,87
"324","Vallejo-Fairfield, CA","33",29,0,4,0,0,92
"325","Victoria, TX","5",5,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","29",24,0,0,5,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","583",314,10,0,259,10,NA
"328","Waco, TX","20",20,0,0,0,0,77
"329","Warner Robins, GA","30",30,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1143",818,0,0,325,14,NA
"331","Wausau, WI","40",12,0,0,28,2,74
"332","Weirton-Steubenville, WV-OH","3",3,0,0,0,0,53
"333","Wenatchee, WA","41",41,0,0,0,0,72
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","8",8,0,0,0,0,89
"336","Wichita, KS","124",124,0,0,0,0,88
"337","Williamsport, PA","2",2,0,0,0,0,16
"338","Wilmington,  NC","364",256,0,0,108,6,100
"339","Winchester, VA-WV","43",43,0,0,0,0,84
"340","Winston-Salem, NC","91",91,0,0,0,0,90
"341","Worcester, MA","58",58,0,0,0,0,69
"342","Yakima, WA","39",39,0,0,0,0,40
"343","York-Hanover, PA","63",52,0,0,11,1,79
"344","Youngstown-Warren-Boardman, OH-PA","26",26,0,0,0,0,96
"345","Yuba City, CA","9",9,0,0,0,0,91
"346","Yuma, AZ","83",83,0,0,0,0,72
