"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"185","Lawton, OK","23",23,0,0,0,0,89
"186","Lebanon, PA","28",28,0,0,0,0,92
"187","Lewiston, ID-WA","1",1,0,0,0,0,55
"188","Lewiston-Auburn, ME","7",7,0,0,0,0,71
"189","Lexington-Fayette, KY","129",119,6,4,0,0,98
"190","Lima, OH","0",0,0,0,0,0,11
"191","Lincoln, NE","49",47,2,0,0,0,87
"192","Little Rock-North Little Rock, AR","223",140,4,0,79,2,91
"193","Logan, UT-ID","19",19,0,0,0,0,3
"194","Longview, TX","14",9,0,0,5,1,73
"195","Longview, WA","10",10,0,0,0,0,73
"196","Los Angeles-Long Beach-Santa Ana,  CA","632",230,40,25,337,15,NA
"197","Lubbock, TX","66",66,0,0,0,0,96
"198","Lynchburg, VA","31",31,0,0,0,0,86
"199","Macon, GA","13",13,0,0,0,0,54
"200","Madera-Chowchilla, CA","56",6,2,48,0,0,89
"201","Madison,  WI","57",47,2,3,5,1,100
"202","Manchester-Nashua, NH","27",22,0,0,5,1,91
"203","Manhattan, KS","37",25,0,0,12,1,41
"204","Mankato-North Mankato, MN","16",16,0,0,0,0,75
"205","Mansfield, OH","4",4,0,0,0,0,74
"206","McAllen-Edinburg-Mission,  TX","298",288,4,6,0,0,100
"207","Medford, OR","31",27,0,4,0,0,100
"208","Memphis,  TN-MS-AR","105",105,0,0,0,0,100
"209","Merced, CA","3",3,0,0,0,0,81
"210","Miami-Fort Lauderdale-Pompano Beach,  FL","297",173,2,0,122,7,NA
"211","Midland,  TX","33",33,0,0,0,0,100
"212","Milwaukee-Waukesha-West Allis,  WI","112",75,4,4,29,2,100
"213","Minneapolis-St. Paul-Bloomington,  MN-WI","250",212,4,6,28,3,NA
"214","Mobile, AL","66",64,2,0,0,0,95
"215","Modesto, CA","31",24,0,0,7,1,85
"216","Monroe, LA","17",9,0,3,5,1,85
"217","Monroe, MI","1",1,0,0,0,0,54
"218","Montgomery, AL","29",29,0,0,0,0,91
"219","Morgantown, WV","1",1,0,0,0,0,91
"220","Morristown, TN","13",13,0,0,0,0,80
"221","Mount Vernon-Anacortes, WA","15",15,0,0,0,0,83
"222","Muncie, IN","4",4,0,0,0,0,77
"223","Muskegon-Norton Shores, MI","5",3,2,0,0,0,60
"224","Myrtle Beach-North Myrtle Beach-Conway,  SC","119",106,0,0,13,1,99
"225","Napa, CA","0",0,0,0,0,0,69
"226","Naples-Marco Island,  FL","48",38,0,0,10,1,100
"227","Nashville-Davidson--Murfreesboro,  TN","449",345,0,0,104,13,NA
"228","New Orleans-Metairie-Kenner,  LA","230",194,26,0,10,1,100
"229","New York-Northern New Jersey-Long Island,  NY-NJ-PA","1122",455,134,45,488,37,NA
"230","Norwich-New London, CT","87",16,0,0,71,2,94
"231","Ocala,  FL","24",24,0,0,0,0,100
"232","Ocean City,  NJ","26",18,8,0,0,0,100
"233","Odessa,  TX","15",15,0,0,0,0,100
"234","Ogden-Clearfield, UT","97",83,2,0,12,2,84
"235","Oklahoma City,  OK","242",220,6,6,10,1,100
"236","Olympia, WA","95",85,2,8,0,0,82
"237","Omaha-Council Bluffs,  NE-IA","172",170,2,0,0,0,100
"238","Orlando-Kissimmee,  FL","699",235,8,0,456,15,100
"239","Oshkosh-Neenah, WI","21",21,0,0,0,0,83
"240","Owensboro, KY","20",20,0,0,0,0,97
"241","Oxnard-Thousand Oaks-Ventura, CA","23",16,2,0,5,1,97
"242","Palm Bay-Melbourne-Titusville,  FL","46",46,0,0,0,0,100
"243","Palm Coast, FL","9",9,0,0,0,0,100
"244","Panama City-Lynn Haven-Panama City Beach,  FL","23",23,0,0,0,0,97
"245","Parkersburg-Marietta-Vienna, WV-OH","12",12,0,0,0,0,0
"246","Pascagoula, MS","74",68,0,0,6,1,98
"247","Pensacola-Ferry Pass-Brent,  FL","92",92,0,0,0,0,100
"248","Peoria, IL","24",24,0,0,0,0,59
"249","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","476",369,8,6,93,3,NA
"250","Pine Bluff, AR","3",1,2,0,0,0,89
"251","Pittsburgh,  PA","229",160,2,7,60,10,100
"252","Pittsfield, MA","1",1,0,0,0,0,19
"253","Pocatello, ID","11",11,0,0,0,0,92
"254","Port St. Lucie,  FL","40",32,0,3,5,1,100
"255","Portland-South Portland-Biddeford,  ME","59",57,2,0,0,0,89
"256","Portland-Vancouver-Beaverton,  OR-WA","251",214,4,3,30,5,NA
"257","Prescott, AZ","26",26,0,0,0,0,84
"258","Providence-New Bedford-Fall River,  RI-MA","122",66,0,9,47,1,86
"259","Provo-Orem, UT","84",78,2,4,0,0,98
"260","Pueblo,  CO","15",11,0,4,0,0,100
"261","Punta Gorda,  FL","25",21,0,4,0,0,100
"262","Racine, WI","10",10,0,0,0,0,69
"263","Raleigh-Cary,  NC","302",296,6,0,0,0,100
"264","Rapid City, SD","22",22,0,0,0,0,98
"265","Reading, PA","12",12,0,0,0,0,48
"266","Redding, CA","19",17,2,0,0,0,93
"267","Reno-Sparks,  NV","53",53,0,0,0,0,100
"268","Richmond,  VA","175",172,0,3,0,0,100
"269","Riverside-San Bernardino-Ontario,  CA","488",361,2,6,119,7,NA
"270","Rochester, MN","20",20,0,0,0,0,87
"271","Rochester, NY","58",51,2,0,5,1,62
"272","Rockford, IL","13",11,2,0,0,0,97
"273","Rocky Mount, NC","28",28,0,0,0,0,78
"274","Rome, GA","11",11,0,0,0,0,99
"275","Sacramento--Arden-Arcade--Roseville,  CA","197",197,0,0,0,0,NA
"276","Salem, OR","34",32,2,0,0,0,85
"277","Salinas, CA","30",3,0,0,27,2,92
"278","Salisbury, MD","13",6,0,0,7,1,67
"279","Salt Lake City,  UT","157",108,2,3,44,5,100
"280","San Angelo,  TX","16",16,0,0,0,0,100
"281","San Antonio,  TX","460",456,4,0,0,0,100
"282","San Diego-Carlsbad-San Marcos,  CA","517",136,4,3,374,9,100
"283","San Francisco-Oakland-Fremont,  CA","337",169,6,9,153,12,100
"284","San Jose-Sunnyvale-Santa Clara,  CA","72",36,10,3,23,3,100
"285","San Luis Obispo-Paso Robles, CA","11",11,0,0,0,0,67
"286","Sandusky, OH","0",0,0,0,0,0,0
"287","Santa Barbara-Santa Maria, CA","6",6,0,0,0,0,71
"288","Santa Cruz-Watsonville, CA","3",3,0,0,0,0,64
"289","Santa Fe,  NM","7",7,0,0,0,0,100
"290","Santa Rosa-Petaluma, CA","39",39,0,0,0,0,92
"291","Savannah, GA","81",81,0,0,0,0,87
"292","Scranton--Wilkes-Barre, PA","10",10,0,0,0,0,24
"293","Seattle-Tacoma-Bellevue,  WA","642",328,28,14,272,18,100
"294","Sebastian-Vero Beach,  FL","34",34,0,0,0,0,100
"295","Sheboygan, WI","6",1,0,0,5,1,47
"296","Sherman-Denison, TX","1",1,0,0,0,0,2
"297","Shreveport-Bossier City, LA","83",83,0,0,0,0,98
"298","Sioux City, IA-NE-SD","6",4,2,0,0,0,96
"299","Sioux Falls, SD","91",50,0,0,41,1,88
"300","South Bend-Mishawaka, IN-MI","39",15,0,3,21,1,98
"301","Spartanburg, SC","41",41,0,0,0,0,94
"302","Spokane, WA","30",30,0,0,0,0,66
"303","Springfield, IL","12",8,4,0,0,0,53
"304","Springfield, MA","20",13,2,0,5,1,58
"305","Springfield, MO","69",20,0,0,49,3,82
"306","Springfield, OH","0",0,0,0,0,0,100
"307","St. Cloud, MN","13",8,0,0,5,1,74
"308","St. George, UT","38",38,0,0,0,0,96
"309","St. Joseph, MO-KS","3",3,0,0,0,0,0
"310","St. Louis,  MO-IL","321",279,4,13,25,3,100
"311","State College, PA","25",25,0,0,0,0,69
"312","Stockton,  CA","35",35,0,0,0,0,100
"313","Sumter,  SC","36",36,0,0,0,0,100
"314","Syracuse, NY","57",28,0,0,29,1,61
"315","Tallahassee, FL","85",65,0,0,20,1,100
"316","Tampa-St. Petersburg-Clearwater,  FL","821",294,6,9,512,17,NA
"317","Texarkana, TX-Texarkana, AR","133",133,0,0,0,0,100
"318","Toledo, OH","27",22,0,0,5,1,92
"319","Topeka, KS","35",33,2,0,0,0,90
"320","Trenton-Ewing,  NJ","26",18,0,0,8,1,100
