Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
CN080810,08,081,"Moffat County, CO",2000,"7,015     ","6,767     ",248     ,3.5     
CN080830,08,083,"Montezuma County, CO",2000,"11,830     ","11,339     ",491     ,4.2     
CN080850,08,085,"Montrose County, CO",2000,"16,250     ","15,654     ",596     ,3.7     
CN080870,08,087,"Morgan County, CO",2000,"12,578     ","12,199     ",379     ,3.0     
CN080890,08,089,"Otero County, CO",2000,"8,840     ","8,458     ",382     ,4.3     
CN080910,08,091,"Ouray County, CO",2000,"2,203     ","2,145     ",58     ,2.6     
CN080930,08,093,"Park County, CO",2000,"8,548     ","8,331     ",217     ,2.5     
CN080950,08,095,"Phillips County, CO",2000,"2,058     ","2,004     ",54     ,2.6     
CN080970,08,097,"Pitkin County, CO",2000,"9,949     ","9,676     ",273     ,2.7     
CN080990,08,099,"Prowers County, CO",2000,"6,947     ","6,746     ",201     ,2.9     
PS080320,08,101,"Pueblo County, CO",2000,"64,099     ","61,584     ","2,515     ",3.9     
CN081030,08,103,"Rio Blanco County, CO",2000,"3,244     ","3,151     ",93     ,2.9     
CN081050,08,105,"Rio Grande County, CO",2000,"5,833     ","5,571     ",262     ,4.5     
CN081070,08,107,"Routt County, CO",2000,"12,541     ","12,227     ",314     ,2.5     
CN081090,08,109,"Saguache County, CO",2000,"2,715     ","2,564     ",151     ,5.6     
CN081110,08,111,"San Juan County, CO",2000,515     ,491     ,24     ,4.7     
CN081130,08,113,"San Miguel County, CO",2000,"4,734     ","4,592     ",142     ,3.0     
CN081150,08,115,"Sedgwick County, CO",2000,"1,402     ","1,364     ",38     ,2.7     
CN081170,08,117,"Summit County, CO",2000,"16,109     ","15,747     ",362     ,2.2     
CN081190,08,119,"Teller County, CO",2000,"11,915     ","11,562     ",353     ,3.0     
CN081210,08,121,"Washington County, CO",2000,"2,446     ","2,383     ",63     ,2.6     
PS080330,08,123,"Weld County, CO",2000,"93,728     ","91,212     ","2,516     ",2.7     
CN081250,08,125,"Yuma County, CO",2000,"5,049     ","4,917     ",132     ,2.6     
CN090010,09,001,"Fairfield County, CT",2000,"445,342     ","436,364     ","8,978     ",2.0     
CN090030,09,003,"Hartford County, CT",2000,"428,466     ","417,841     ","10,625     ",2.5     
