CONTROL,SMSA,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,RUTIL
'000000000140','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000141','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000142','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000142','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000142','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000142','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000142','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000143','5775','-9','-9','1','1','-9','-9','1'
'000000000144','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000144','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000145','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000145','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000145','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000146','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000146','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000146','8840','-9','-9','1','-9','-9','-9','-9'
'000000000147','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000147','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000148','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000148','5775','1','-9','1','1','-9','1','1'
'000000000148','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000149','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000150','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000150','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000150','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000150','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000151','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000152','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000152','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000153','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000153','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000154','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000155','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000156','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000157','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000157','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000158','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000159','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000160','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000161','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000161','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000162','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000163','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000164','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000164','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000165','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000165','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000166','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000167','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000168','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000168','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000169','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000170','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000171','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000171','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000171','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000173','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000173','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000174','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000174','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000174','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000175','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000175','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000175','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000176','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000176','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000177','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000178','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000179','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000181','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000181','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000182','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000182','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000183','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000183','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000184','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000184','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000185','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000185','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000186','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000187','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000188','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000188','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000188','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000188','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000189','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000190','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000191','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000191','7360','-9','-9','-9','-9','-9','1','-9'
'000000000192','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000193','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000194','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000196','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000196','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000196','7360','-9','1','-9','1','1','1','-9'
'000000000197','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000197','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000197','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000197','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000198','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000198','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000198','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000199','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000199','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000200','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000200','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000201','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000202','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000202','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000203','7360','-9','-9','-9','-9','-9','-9','-9'
