CONTROL,SMSA,PWT,WEIGHT
'000000000021','5680',131.9648,141.27036528
'000000000021','5775',188.917,214.13571507
'000000000021','6480',90.5129,98.953416164
'000000000021','6840',96.7736,107.76656591
'000000000021','7160',92.2085067,94.429917822
'000000000021','7360',150.6233,162.6433386
'000000000021','7400',123.1232,0
'000000000021','8280',238.897,0
'000000000021','8840',385.0634,409.98482107
'000000000022','0720',223.5291,274.19974182
'000000000022','1000',80.0639,87.150710167
'000000000022','1120',305.76015,362.74563205
'000000000022','1640',130.8343,141.02818703
'000000000022','5120',246.0386,277.04511405
'000000000022','5680',131.9648,141.23927626
'000000000022','5775',188.917,236.84880644
'000000000022','6480',90.5129,0
'000000000022','6840',96.7736,110.65295155
'000000000022','7160',92.2085067,98.699619679
'000000000022','7360',150.6233,173.88467889
'000000000022','7400',123.1232,0
'000000000022','8280',238.897,281.50267155
'000000000022','8840',385.0634,398.45328903
'000000000023','0720',223.5291,0
'000000000023','1000',80.0639,87.150710167
'000000000023','1640',130.8343,0
'000000000023','3360',590.81762767,677.49857575
'000000000023','5120',246.0386,0
'000000000023','5680',131.9648,138.19298784
'000000000023','5775',141.68775,160.6017863
'000000000023','6480',45.25645,47.894742237
'000000000023','6840',96.7736,106.70445028
'000000000023','7160',92.2085067,98.699619679
'000000000023','7360',75.31165,79.3296056
'000000000023','7400',92.3424,117.80379542
'000000000023','8280',477.794,476.33988026
'000000000023','8840',385.0634,427.86883925
'000000000024','0720',223.5291,272.3558441
'000000000024','1000',80.0639,87.150710167
'000000000024','1640',130.8343,144.59071378
'000000000024','5120',246.0386,280.53124824
'000000000024','5680',131.9648,137.85230709
'000000000024','5775',188.917,0
'000000000024','6480',90.5129,122.6267054
'000000000024','6840',96.7736,110.65295155
'000000000024','7160',92.2085067,0
'000000000024','7360',150.6233,146.03974626
'000000000024','7400',123.1232,157.07172723
'000000000024','8280',238.897,281.50267155
'000000000024','8840',385.0634,399.231542
'000000000025','0720',223.5291,223.45411322
'000000000025','1000',80.0639,83.521367454
'000000000025','1120',305.76015,362.74563205
'000000000025','1640',130.8343,139.95257852
'000000000025','3360',322.27002,357.08819429
'000000000025','5120',246.0386,0
'000000000025','5680',131.9648,138.19298784
'000000000025','5775',188.917,214.13571507
'000000000025','6480',67.884675,90.083414222
'000000000025','6840',96.7736,107.36974449
'000000000025','7160',92.2085067,94.429917822
'000000000025','7360',150.6233,173.88467889
'000000000025','7400',123.1232,151.86074201
'000000000025','8280',238.897,269.73234434
'000000000025','8840',385.0634,372.14710493
'000000000026','0720',223.5291,221.18595824
'000000000026','1000',80.0639,87.150710167
'000000000026','1120',305.76015,362.74563205
'000000000026','1640',130.8343,140.75243041
'000000000026','3360',322.27002,364.29138552
