CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000016','5680',1,'1','2','3','-6',6,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000016','6480',1,'2','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000016','7160',1,'1','1','3','-6',8,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000016','8840',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000017','1120',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000017','3360',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000017','6480',1,'1','1','3','-6',3,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000017','8840',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000018','6480',1,'1','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000019','0720',1,'1','1','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000019','1120',1,'2','2','3','-6',3,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000019','6840',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000019','7360',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000019','8840',1,'1','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000020','5120',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000020','6840',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000020','8280',1,'2','2','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000021','0720',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000021','1640',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000021','6480',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000021','6840',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000021','7160',1,'2','3','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000021','7160',2,'2','2','3','-6',3,'1','-6','2','-9','2','-9','-9','-9','-9','-9'
'000000000022','5120',1,'1','1','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000022','5775',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000022','5775',2,'1','1','3','-6',4,'1','-6','2','-9','2','-9','-9','-9','-9','-9'
'000000000022','7160',1,'2','1','3','-6',2,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000022','8280',1,'2','2','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000022','8840',1,'2','2','2','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000023','3360',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000023','5775',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000023','7160',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000024','8280',1,'1','1','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000024','8840',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000025','5680',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000025','7160',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000025','7400',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000025','8280',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000026','1120',1,'1','1','3','-6',2,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000026','5120',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000026','6480',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000026','6840',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000026','7160',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000026','7400',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000027','1120',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000027','1640',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000027','5680',1,'2','2','2','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000027','5775',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000027','6840',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000027','7160',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
