CONTROL,SMSA,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000011','2080',1,'3','-6','1','1','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'000000000011','3280',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000011','6280',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000011','7240',1,'2','-6','2','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000012','4920',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000013','0520',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000013','1680',1,'3','-6','2','1','-9',-7,'-6','1','1','1','-9','-9','-9','1','-9'
'000000000014','6280',1,'3','-6','3','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000016','3480',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000017','1680',1,'3','-6','1','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'000000000017','4920',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000017','5880',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000017','7240',1,'3','-6','2','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000018','2080',1,'3','-6','3','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000018','2080',2,'3','-6','3','1','-9',4,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000000018','4920',1,'3','-6','2','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000019','2080',1,'3','-6','1','1','-9',2,'-6','1','2','1','-9','-9','-9','-9','-9'
'000000000019','5880',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000020','1680',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000021','7040',1,'3','-6','1','2','-9',7,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000021','6920',1,'2','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000022','0520',1,'3','-6','2','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000022','1680',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000022','6280',1,'3','-6','3','1','-9',7,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000023','5880',1,'3','-6','2','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000024','0520',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000024','6920',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000025','2080',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000025','7600',1,'2','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000026','1680',1,'2','-6','1','1','-9',2,'-6','1','2','1','-9','-9','-9','-9','-9'
'000000000026','2080',1,'2','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000026','3480',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000026','5880',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000026','6280',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000027','0520',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000027','3480',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000027','5560',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000027','6280',1,'3','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000027','7600',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000027','7600',2,'3','-6','1','1','-9',2,'-6','3','1','2','-9','-9','-9','-9','-9'
'000000000027','6920',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000029','5560',1,'3','-6','3','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000029','7600',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000030','3480',1,'2','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000030','6920',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000030','6920',2,'3','-6','1','1','-9',4,'-6','2','1','2','-9','-9','-9','-9','-9'
'000000000031','1680',1,'3','-6','1','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000031','2080',1,'3','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000031','4920',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000031','5880',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000031','7040',1,'3','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000032','2080',1,'3','-6','3','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000032','3280',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000032','7240',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000033','0520',1,'3','-6','2','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'000000000034','0520',1,'2','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000034','1680',1,'3','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000034','5560',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000035','5880',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000036','2080',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000036','4920',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000036','7040',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000036','6920',1,'3','-6','1','2','-9',10,'2','2','1','1','-9','-9','-9','-9','-9'
'000000000037','3280',1,'2','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000037','6920',1,'3','-6','3','2','-9',6,'1','2','1','1','-9','-9','-9','-9','-9'
'000000000037','6920',2,'3','-6','3','2','-9',2,'1','2','1','2','-9','-9','-9','-9','-9'
'000000000039','0520',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000039','6920',1,'3','-6','3','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000039','6920',2,'3','-6','3','1','-9',6,'-6','1','1','2','-9','-9','-9','-9','-9'
'000000000040','0520',1,'3','-6','3','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000040','6280',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000040','7600',1,'3','-6','1','1','-9',6,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000041','5880',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000041','5880',2,'3','-6','2','1','-9',2,'-6','1','1','2','-9','-9','-9','-9','-9'
'000000000041','7040',1,'3','-6','2','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000041','6920',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000042','5880',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000043','2080',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000043','6920',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000044','7240',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000044','7240',2,'3','-6','-7','1','-9',-7,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000000044','7240',3,'4','-6','-7','1','-9',-7,'-6','2','2','3','-9','-9','-9','-9','-9'
'000000000044','7600',1,'2','-6','2','2','-9',7,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000045','1680',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000045','3280',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000045','5560',1,'2','-6','1','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000045','5560',2,'3','-6','-7','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'000000000045','6920',1,'3','-6','-7','-7','-9',-7,'-6','2','-7','1','-9','1','-9','-9','-9'
'000000000046','3280',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000046','7600',1,'3','-6','1','1','-9',2,'-6','1','3','1','-9','-9','-9','-9','-9'
'000000000046','6920',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000047','6920',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000048','0520',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000048','0520',2,'3','-6','2','1','-9',1,'-6','1','1','2','-9','-9','-9','-9','1'
'000000000048','1680',1,'2','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000048','6920',1,'3','-6','-7','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000049','0520',1,'2','-6','2','1','-9',1,'-6','1','2','1','-9','-9','-9','-9','1'
'000000000049','5560',1,'3','-6','2','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000049','6920',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000050','3480',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000050','6280',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000050','7040',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000051','0520',1,'3','-6','2','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000051','3280',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000051','7600',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000051','7600',2,'3','-6','2','1','-9',3,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000000052','3480',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000052','3480',2,'3','-6','1','1','-9',3,'-6','3','1','2','-9','-9','-9','-9','-9'
'000000000052','6280',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000052','7240',1,'2','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000052','7600',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000053','0520',1,'3','-6','3','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000053','2080',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000053','7600',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000054','6920',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000055','7040',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000056','6280',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000056','6280',2,'-6','-6','-6','-6','-9',-6,'-6','-6','4','2','-9','-9','-9','1','-9'
'000000000056','7040',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000057','0520',1,'3','-6','3','2','-9',5,'1','1','1','1','-9','1','-9','-9','-9'
'000000000057','7600',1,'2','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000057','7600',2,'3','-6','2','1','-9',3,'-6','2','1','2','-9','-9','-9','-9','-9'
'000000000058','3280',1,'3','-6','1','1','-9',6,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000058','3480',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000058','5560',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000058','5880',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000058','5880',2,'2','-6','1','1','-9',3,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000000058','6280',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000058','7600',1,'3','-6','3','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000058','7040',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000059','7600',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000060','3280',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000060','7600',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000060','6920',1,'3','-6','3','2','-9',4,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000061','3280',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000061','5560',1,'3','-6','1','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000062','0520',1,'3','-6','3','1','-9',7,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000062','2080',1,'2','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000062','7600',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000063','0520',1,'3','-6','1','1','-9',2,'-6','1','3','1','-9','-9','-9','-9','-9'
'000000000063','7600',1,'3','-6','1','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000063','7040',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000065','2080',1,'2','-6','1','1','-9',3,'-6','1','2','1','-9','-9','-9','-9','-9'
'000000000065','3480',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000065','6280',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000065','6920',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000066','4920',1,'3','-6','2','1','-9',3,'-6','1','3','1','-9','-9','-9','-9','-9'
'000000000066','6280',1,'3','-6','-7','2','-9',3,'1','2','2','1','-9','-9','-9','-9','-9'
'000000000066','7040',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000067','0520',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000067','6280',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000067','7040',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000068','7600',1,'3','-6','1','1','-9',5,'-6','3','1','1','-9','-9','-9','-9','-9'
'000000000069','5560',1,'3','-6','1','1','-9',4,'-6','3','1','1','-9','-9','-9','-9','-9'
'000000000069','7040',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000069','6920',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000070','3480',1,'3','-6','2','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000070','3480',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'000000000070','6280',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000072','6920',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000073','5880',1,'2','-6','-7','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000074','1680',1,'3','-6','1','1','-9',6,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000074','2080',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000075','0520',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000075','5880',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000076','1680',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000076','4920',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000076','7240',1,'4','-6','-7','2','-9',5,'2','2','1','1','-9','-9','-9','-9','-9'
'000000000076','7040',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000077','7240',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000077','7600',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000077','7600',2,'3','-6','1','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'000000000079','2080',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000079','6280',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000079','6920',1,'3','-6','2','1','-9',-7,'-6','1','1','1','-9','-9','-9','1','-9'
'000000000080','0520',1,'3','-6','2','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000081','3480',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000081','3480',2,'3','-6','2','1','-9',7,'-6','2','1','2','-9','-9','-9','-9','-9'
'000000000081','5880',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000081','5880',2,'3','-6','1','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'000000000081','5880',3,'3','-6','1','2','-9',3,'1','1','1','3','-9','-9','-9','-9','-9'
'000000000081','7240',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000081','6920',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000083','5560',1,'3','-6','1','1','-9',6,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000083','6920',1,'2','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000085','0520',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000085','7600',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000086','1680',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000086','2080',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000087','7240',1,'3','-6','1','2','-9',2,'1','2','2','1','-9','-9','-9','-9','-9'
'000000000087','7600',1,'3','-6','1','1','-9',5,'-6','3','2','1','-9','-9','-9','-9','-9'
'000000000088','3280',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000088','7040',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000088','6920',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000089','1680',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000089','4920',1,'3','-6','3','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000089','6280',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000089','6920',1,'3','-6','2','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000090','3480',1,'3','-6','2','1','-9',-7,'-6','1','3','1','-9','-9','-9','-9','-9'
'000000000090','7600',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000092','3480',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000092','5560',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000092','6920',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000093','7240',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000093','7600',1,'3','-6','-7','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000093','7040',1,'3','-6','1','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000094','7240',1,'2','-6','1','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000095','0520',1,'3','-6','1','2','-9',4,'2','3','1','1','-9','-9','-9','-9','-9'
'000000000095','7240',1,'3','-6','1','1','-9',1,'-6','3','1','1','-9','-9','-9','-9','1'
'000000000096','0520',1,'2','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000096','0520',2,'3','-6','1','1','-9',-7,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000000096','7240',1,'3','-6','3','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000096','7240',2,'3','-6','2','1','-9',1,'-6','2','1','2','-9','-9','-9','-9','1'
'000000000096','7240',3,'3','-6','2','2','-9',3,'1','1','1','3','-9','-9','-9','-9','-9'
'000000000098','0520',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000098','3280',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000098','3480',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000098','3480',2,'2','-6','2','2','-9',8,'1','2','1','2','-9','-9','-9','-9','-9'
'000000000098','4920',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000099','1680',1,'3','-6','3','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000099','1680',2,'3','-6','3','1','-9',1,'-6','1','1','2','-9','-9','-9','-9','1'
'000000000099','7240',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000099','6920',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000100','6280',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000100','7600',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000101','3480',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000101','5560',1,'4','-6','-7','-7','-9',-7,'-6','2','-7','1','-9','1','-9','-9','-9'
'000000000101','5880',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000101','6280',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000101','7040',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000102','3480',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000103','7040',1,'2','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000104','7040',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000105','1680',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000105','2080',1,'2','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000105','7240',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000105','7600',1,'3','-6','-7','2','-9',-7,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000106','1680',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000107','0520',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000107','2080',1,'2','-6','1','2','-9',2,'2','2','1','1','-9','-9','-9','-9','-9'
'000000000107','6920',1,'3','-6','3','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
