"county","cbsa","cntyname","cbsaname","pop2k","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2000 census","county to cbsa alloc factor"
"02282"," ","Yakutat Borough"," ",808,1 
"02290"," ","Yukon-Koyukuk Census Area AK"," ",6551,1 
"04001"," ","Apache AZ"," ",69423,1 
"04003","43420","Cochise AZ","Sierra Vista-Douglas, AZ Micropolitan Statistical Area",117755,1 
"04005","22380","Coconino AZ","Flagstaff, AZ Metropolitan Statistical Area",116320,1 
"04007","37740","Gila AZ","Payson, AZ Micropolitan Statistical Area",51335,1 
"04009","40940","Graham AZ","Safford, AZ Micropolitan Statistical Area",33489,1 
"04011","40940","Greenlee AZ","Safford, AZ Micropolitan Statistical Area",8547,1 
"04012"," ","La Paz AZ"," ",19715,1 
"04013","38060","Maricopa AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",3072149,1 
"04015","29420","Mohave AZ","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",155032,1 
"04017","43320","Navajo AZ","Show Low, AZ",97470,1 
"04019","46060","Pima AZ","Tucson, AZ Metropolitan Statistical Area",843746,1 
"04021","38060","Pinal AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",179727,1 
"04023","35700","Santa Cruz AZ","Nogales, AZ Micropolitan Statistical Area",38381,1 
"04025","39140","Yavapai AZ","Prescott, AZ Metropolitan Statistical Area",167517,1 
"04027","49740","Yuma AZ","Yuma, AZ Metropolitan Statistical Area",160026,1 
"05001"," ","Arkansas AR"," ",20749,1 
"05003"," ","Ashley AR"," ",24209,1 
"05005","34260","Baxter AR","Mountain Home, AR Micropolitan Statistical Area",38386,1 
"05007","22220","Benton AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",153406,1 
"05009","25460","Boone AR","Harrison, AR Micropolitan Statistical Area",33948,1 
"05011"," ","Bradley AR"," ",12600,1 
"05013","15780","Calhoun AR","Camden, AR Micropolitan Statistical Area",5744,1 
"05015"," ","Carroll AR"," ",25357,1 
"05017"," ","Chicot AR"," ",14117,1 
"05019","11660","Clark AR","Arkadelphia, AR Micropolitan Statistical Area",23546,1 
"05021"," ","Clay AR"," ",17609,1 
"05023"," ","Cleburne AR"," ",24046,1 
"05025","38220","Cleveland AR","Pine Bluff, AR Metropolitan Statistical Area",8571,1 
"05027","31620","Columbia AR","Magnolia, AR Micropolitan Statistical Area",25603,1 
"05029"," ","Conway AR"," ",20336,1 
"05031","27860","Craighead AR","Jonesboro, AR Metropolitan Statistical Area",82148,1 
"05033","22900","Crawford AR","Fort Smith, AR-OK Metropolitan Statistical Area",53247,1 
