"city","state","county","latitude","longitude","fips_place","fips_county","fips_cbsa","fips_csa","fips_st","msa_name"
"Goldville","AL",NA,33.083497,-85.784431,30448,NA,NA,NA,1,NA
"Good Hope","AL",NA,34.110133,-86.864567,30496,NA,NA,NA,1,NA
"Goodwater","AL",NA,33.060438,-86.051507,30640,NA,NA,NA,1,NA
"Gordo","AL",NA,33.321344,-87.903711,30736,NA,NA,NA,1,NA
"Gordon","AL",NA,31.145641,-85.09435,30760,NA,NA,NA,1,NA
"Goshen","AL",NA,31.719558,-86.125906,30880,NA,NA,NA,1,NA
"Grand Bay","AL",NA,30.471944,-88.344293,31024,NA,NA,NA,1,NA
"Grant","AL",NA,34.517212,-86.25227,31096,NA,NA,NA,1,NA
"Graysville","AL",NA,33.6264,-86.969199,31384,NA,NA,NA,1,NA
"Greensboro","AL",NA,32.700618,-87.594062,31720,NA,NA,NA,1,NA
"Greenville","AL",NA,31.829719,-86.626699,31912,NA,NA,NA,1,NA
"Grimes","AL",NA,31.302097,-85.451108,32056,NA,NA,NA,1,NA
"Grove Hill","AL",NA,31.703793,-87.777428,32080,NA,NA,NA,1,NA
"Guin","AL",NA,33.96609,-87.910549,32224,NA,NA,NA,1,NA
"Gulf Shores","AL",NA,30.270036,-87.70146,32272,NA,NA,NA,1,NA
"Guntersville","AL",NA,34.356757,-86.270409,32416,NA,NA,NA,1,NA
"Gurley","AL",NA,34.703145,-86.373057,32440,NA,NA,NA,1,NA
"Gu-Win","AL",NA,33.958234,-87.871663,32536,NA,NA,NA,1,NA
"Hackleburg","AL",NA,34.274181,-87.833697,32560,NA,NA,NA,1,NA
"Haleburg","AL",NA,31.410858,-85.138674,32656,NA,NA,NA,1,NA
"Haleyville","AL",NA,34.238792,-87.618201,32704,NA,NA,NA,1,NA
"Hamilton","AL",NA,34.140314,-87.982764,32848,NA,NA,NA,1,NA
"Hammondville","AL",NA,34.56933,-85.638339,32896,NA,NA,NA,1,NA
"Hanceville","AL",NA,34.064911,-86.763469,32968,NA,NA,NA,1,NA
"Harpersville","AL",NA,33.341799,-86.432691,33256,NA,NA,NA,1,NA
"Hartford","AL",NA,31.105115,-85.691343,33424,NA,NA,NA,1,NA
"Hartselle","AL",NA,34.436916,-86.939815,33448,NA,NA,NA,1,NA
"Harvest","AL",NA,34.855619,-86.749894,33472,NA,NA,NA,1,NA
"Hayden","AL",NA,33.895328,-86.754358,33640,NA,NA,NA,1,NA
"Hayneville","AL",NA,32.182473,-86.578835,33712,NA,NA,NA,1,NA
"Hazel Green","AL",NA,34.923624,-86.567213,33808,NA,NA,NA,1,NA
"Headland","AL",NA,31.351932,-85.343253,33856,NA,NA,NA,1,NA
"Heath","AL",NA,31.355101,-86.466878,33904,NA,NA,NA,1,NA
"Heflin","AL",NA,33.646285,-85.586732,33976,NA,NA,NA,1,NA
"Helena","AL",NA,33.289736,-86.852423,34024,NA,NA,NA,1,NA
"Henagar","AL",NA,34.633923,-85.737447,34096,NA,NA,NA,1,NA
"Highland Lake","AL",NA,33.889234,-86.423815,34480,NA,NA,NA,1,NA
"Hillsboro","AL",NA,34.636721,-87.184584,34816,NA,NA,NA,1,NA
"Hobson City","AL",NA,33.617033,-85.851727,35152,NA,NA,NA,1,NA
"Hodges","AL",NA,34.327387,-87.926532,35200,NA,NA,NA,1,NA
"Hokes Bluff","AL",NA,33.98965,-85.86297,35392,NA,NA,NA,1,NA
"Holly Pond","AL",NA,34.174561,-86.617011,35560,NA,NA,NA,1,NA
"Hollywood","AL",NA,34.716877,-85.965711,35632,NA,NA,NA,1,NA
"Holt","AL",NA,33.22955,-87.480949,35704,NA,NA,NA,1,NA
"Homewood","AL",NA,33.4648,-86.806999,35800,NA,NA,NA,1,NA
"Hueytown","AL",NA,33.4376,-86.997586,36448,NA,NA,NA,1,NA
"Huguley","AL",NA,32.843119,-85.240673,36592,NA,NA,NA,1,NA
"Hurtsboro","AL",NA,32.239942,-85.414371,37096,NA,NA,NA,1,NA
"Ider","AL",NA,34.700676,-85.666937,37312,NA,NA,NA,1,NA
"Inverness","AL",NA,33.404139,-86.722944,37756,NA,NA,NA,1,NA
"Irondale","AL",NA,33.532317,-86.676303,37864,NA,NA,NA,1,NA
"Jackson","AL",NA,31.53254,-87.893012,38152,NA,NA,NA,1,NA
"Jacksons' Gap","AL",NA,32.884143,-85.816998,38248,NA,NA,NA,1,NA
"Jacksonville","AL",NA,33.81065,-85.760774,38272,NA,NA,NA,1,NA
"Jasper","AL",NA,33.852042,-87.270067,38416,NA,NA,NA,1,NA
"Jemison","AL",NA,32.964998,-86.744068,38608,NA,NA,NA,1,NA
"Kansas","AL",NA,33.901778,-87.553343,39280,NA,NA,NA,1,NA
"Kennedy","AL",NA,33.581421,-87.985506,39520,NA,NA,NA,1,NA
"Killen","AL",NA,34.861501,-87.529349,39784,NA,NA,NA,1,NA
"Kimberly","AL",NA,33.768213,-86.804802,39856,NA,NA,NA,1,NA
"Kinsey","AL",NA,31.297409,-85.335936,40072,NA,NA,NA,1,NA
"Kinston","AL",NA,31.219426,-86.169941,40096,NA,NA,NA,1,NA
"Ladonia","AL",NA,32.462379,-85.086805,40648,NA,NA,NA,1,NA
"Lafayette","AL",NA,32.899542,-85.400846,40672,NA,NA,NA,1,NA
"Lake Purdy","AL",NA,33.429931,-86.680504,40806,NA,NA,NA,1,NA
"Lakeview","AL",NA,34.392209,-85.97327,40888,NA,NA,NA,1,NA
"Lanett","AL",NA,32.866205,-85.205117,41296,NA,NA,NA,1,NA
"Langston","AL",NA,34.534187,-86.092361,41368,NA,NA,NA,1,NA
"Leeds","AL",NA,33.545976,-86.562745,41968,NA,NA,NA,1,NA
"Leesburg","AL",NA,34.178976,-85.769101,42016,NA,NA,NA,1,NA
"Leighton","AL",NA,34.699553,-87.530673,42160,NA,NA,NA,1,NA
"Lester","AL",NA,34.984221,-87.147896,42352,NA,NA,NA,1,NA
"Level Plains","AL",NA,31.306357,-85.766718,42472,NA,NA,NA,1,NA
"Lexington","AL",NA,34.966032,-87.372872,42640,NA,NA,NA,1,NA
"Libertyville","AL",NA,31.243672,-86.460007,42808,NA,NA,NA,1,NA
"Lincoln","AL",NA,33.59801,-86.139391,43120,NA,NA,NA,1,NA
"Linden","AL",NA,32.301011,-87.792706,43240,NA,NA,NA,1,NA
"Lineville","AL",NA,33.312421,-85.752616,43264,NA,NA,NA,1,NA
"Lipscomb","AL",NA,33.4261,-86.925422,43336,NA,NA,NA,1,NA
"Lisman","AL",NA,32.169306,-88.288072,43384,NA,NA,NA,1,NA
