COMBINED STATISTICAL AREAS AND COMPONENT CORE BASED STATISTICAL AREAS, November 2007, WITH CODES

(Combined statistical areas defined by the Office of Management and Budget, November 2007)
273  23500     Gaffney, SC Micropolitan Statistical Area
273  24860     Greenville, SC Metropolitan Statistical Area
273  42860     Seneca, SC Micropolitan Statistical Area
273  43900     Spartanburg, SC Metropolitan Statistical Area
273  46420     Union, SC Micropolitan Statistical Area

274         Gulfport-Biloxi-Pascagoula, MS Combined Statistical Area
274  25060     Gulfport-Biloxi, MS Metropolitan Statistical Area
274  37700     Pascagoula, MS Metropolitan Statistical Area

276         Harrisburg-Carlisle-Lebanon, PA Combined Statistical Area
276  25420     Harrisburg-Carlisle, PA Metropolitan Statistical Area
276  30140     Lebanon, PA Metropolitan Statistical Area

278         Hartford-West Hartford-Willimantic, CT Combined Statistical Area
278  25540     Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area
278  48740     Willimantic, CT Micropolitan Statistical Area

288         Houston-Baytown-Huntsville, TX Combined Statistical Area
288  13060     Bay City, TX Micropolitan Statistical Area
288  26420     Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area
288  26660     Huntsville, TX Micropolitan Statistical Area

290         Huntsville-Decatur, AL Combined Statistical Area
290  19460     Decatur, AL Metropolitan Statistical Area
290  26620     Huntsville, AL Metropolitan Statistical Area

292         Idaho Falls-Blackfoot, ID Combined Statistical Area
292  13940     Blackfoot, ID Micropolitan Statistical Area
292  26820     Idaho Falls, ID Metropolitan Statistical Area

294         Indianapolis-Anderson-Columbus, IN Combined Statistical Area
294  11300     Anderson, IN Metropolitan Statistical Area
294  18020     Columbus, IN Metropolitan Statistical Area
294  18820     Crawfordsville, IN Micropolitan Statistical Area
294  26900     Indianapolis-Carmel, IN Metropolitan Statistical Area
294  35220     New Castle, IN Micropolitan Statistical Area
294  35860     North Vernon, IN Micropolitan Statistical Area

296         Ithaca-Cortland, NY Combined Statistical Area
296  18660     Cortland, NY Micropolitan Statistical Area
296  27060     Ithaca, NY Metropolitan Statistical Area

297         Jackson-Humboldt, TN Combined Statistical Area
297  26480     Humboldt, TN Micropolitan Statistical Area
297  27180     Jackson, TN Metropolitan Statistical Area

298         Jackson-Yazoo City, MS Combined Statistical Area
298  27140     Jackson, MS Metropolitan Statistical Area
298  49540     Yazoo City, MS Micropolitan Statistical Area

304         Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA Combined Statistical Area
304  27740     Johnson City, TN Metropolitan Statistical Area
304  28700     Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area

308         Jonesboro-Paragould, AR Combined Statistical Area
308  27860     Jonesboro, AR Metropolitan Statistical Area
308  37500     Paragould, AR Micropolitan Statistical Area

312         Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area
312  11860     Atchison, KS Micropolitan Statistical Area
312  28140     Kansas City, MO-KS Metropolitan Statistical Area
312  47660     Warrensburg, MO Micropolitan Statistical Area

314         Knoxville-Sevierville-La Follette, TN Combined Statistical Area
314  25340     Harriman, TN Micropolitan Statistical Area
314  28940     Knoxville, TN Metropolitan Statistical Area
314  29220     La Follette, TN Micropolitan Statistical Area
314  34100     Morristown, TN Metropolitan Statistical Area
314  35460     Newport, TN Micropolitan Statistical Area 
314  42940     Sevierville, TN Micropolitan Statistical Area

316         Kokomo-Peru, IN Combined Statistical Area
316  29020     Kokomo, IN Metropolitan Statistical Area
316  37940     Peru, IN Micropolitan Statistical Area

318         Lafayette-Acadiana, LA Combined Statistical Area
318  10020     Abbeville, LA Micropolitan Statistical Area
318  18940     Crowley, LA Micropolitan Statistical Area
318  29180     Lafayette, LA Metropolitan Statistical Area
318  35340     New Iberia, LA Micropolitan Statistical Area
318  36660     Opelousas-Eunice, LA Micropolitan Statistical Area

320         Lafayette-Frankfort, IN Combined Statistical Area
320  23140     Frankfort, IN Micropolitan Statistical Area
320  29140     Lafayette, IN Metropolitan Statistical Area

324         Lake Charles-Jennings, LA Combined Statistical Area
324  27660     Jennings, LA Micropolitan Statistical Area
324  29340     Lake Charles, LA Metropolitan Statistical Area

330         Lansing-East Lansing-Owosso, MI Combined Statistical Area
330  29620     Lansing-East Lansing, MI Metropolitan Statistical Area
330  37020     Owosso, MI Micropolitan Statistical Area

332         Las Vegas-Paradise-Pahrump, NV Combined Statistical Area
332  29820     Las Vegas-Paradise, NV Metropolitan Statistical Area
332  37220     Pahrump, NV Micropolitan Statistical Area

336         Lexington-Fayette--Frankfort--Richmond, KY Combined Statistical Area
336  23180     Frankfort, KY Micropolitan Statistical Area
