fips_state,fips_county,mcd,name,acs_state,puma
02,232,,Skagway-Hoonah-Angoon Census Area,002,00400
02,240,,Southeast Fairbanks Census Area,002,00300
02,261,,Valdez-Cordova Census Area,002,00300
02,270,,Wade Hampton Census Area,002,00400
02,280,,Wrangell-Petersburg Census Area,002,00400
02,282,,Yakutat City and Borough,002,00400
02,290,,Yukon-Koyukuk Census Area,002,00400
04,001,,Apache County,004,00300
04,003,,Cochise County,004,00900
04,005,,Coconino County,004,00400
04,007,,Gila County,004,00800
04,009,,Graham County,004,00900
04,011,,Greenlee County,004,00900
04,012,,La Paz County,004,00600
04,013,,Maricopa County,004,00100
04,015,,Mohave County,004,00600
04,017,,Navajo County,004,00300
04,019,,Pima County,004,00200
04,021,,Pinal County,004,00800
04,023,,Santa Cruz County,004,00900
04,025,,Yavapai County,004,00500
04,027,,Yuma County,004,00700
05,001,,Arkansas County,005,01600
05,003,,Ashley County,005,01700
05,005,,Baxter County,005,00300
05,007,,Benton County,005,00100
05,009,,Boone County,005,00300
05,011,,Bradley County,005,01700
05,013,,Calhoun County,005,01800
05,015,,Carroll County,005,00300
05,017,,Chicot County,005,01700
05,019,,Clark County,005,01500
05,021,,Clay County,005,00500
05,023,,Cleburne County,005,00400
05,025,,Cleveland County,005,01700
05,027,,Columbia County,005,01800
05,029,,Conway County,005,01200
05,031,,Craighead County,005,00500
05,033,,Crawford County,005,01300
05,035,,Crittenden County,005,00600
05,037,,Cross County,005,00700
05,039,,Dallas County,005,01800
05,041,,Desha County,005,01700
05,043,,Drew County,005,01700
05,045,,Faulkner County,005,01100
05,047,,Franklin County,005,01400
05,049,,Fulton County,005,00400
05,051,,Garland County,005,01500
05,053,,Grant County,005,01600
05,055,,Greene County,005,00500
05,057,,Hempstead County,005,01900
05,059,,Hot Spring County,005,01500
05,061,,Howard County,005,01400
05,063,,Independence County,005,00400
05,065,,Izard County,005,00400
05,067,,Jackson County,005,00800
05,069,,Jefferson County,005,01600
05,071,,Johnson County,005,01200
05,073,,Lafayette County,005,01900
05,075,,Lawrence County,005,00500
05,077,,Lee County,005,00700
05,079,,Lincoln County,005,01700
05,081,,Little River County,005,01900
05,083,,Logan County,005,01400
05,085,,Lonoke County,005,01100
05,087,,Madison County,005,00300
05,089,,Marion County,005,00300
05,091,,Miller County,005,01900
05,093,,Mississippi County,005,00600
05,095,,Monroe County,005,00800
05,097,,Montgomery County,005,01500
05,099,,Nevada County,005,01900
05,101,,Newton County,005,00300
05,103,,Ouachita County,005,01800
05,105,,Perry County,005,01200
05,107,,Phillips County,005,00700
05,109,,Pike County,005,01900
05,111,,Poinsett County,005,00700
05,113,,Polk County,005,01400
05,115,,Pope County,005,01200
05,117,,Prairie County,005,00800
05,119,,Pulaski County,005,00990
05,121,,Randolph County,005,00500
05,123,,St. Francis County,005,00700
05,125,,Saline County,005,01100
05,127,,Scott County,005,01400
05,129,,Searcy County,005,00300
05,131,,Sebastian County,005,01300
05,133,,Sevier County,005,01400
05,135,,Sharp County,005,00400
05,137,,Stone County,005,00400
05,139,,Union County,005,01800
05,141,,Van Buren County,005,00400
05,143,,Washington County,005,00200
05,145,,White County,005,00800
05,147,,Woodruff County,005,00800
05,149,,Yell County,005,01200
06,001,,Alameda County,006,02400
06,003,,Alpine County,006,01800
06,005,,Amador County,006,01800
06,007,,Butte County,006,00600
06,009,,Calaveras County,006,01800
06,011,,Colusa County,006,00500
06,013,,Contra Costa County,006,02100
06,015,,Del Norte County,006,00100
06,017,,El Dorado County,006,01700
06,019,,Fresno County,006,03390
06,021,,Glenn County,006,00500
06,023,,Humboldt County,006,00200
06,025,,Imperial County,006,08200
06,027,,Inyo County,006,01800
06,029,,Kern County,006,03890
06,031,,Kings County,006,03600
06,033,,Lake County,006,00400
06,035,,Lassen County,006,00100
06,037,,Los Angeles County,006,04590
06,039,,Madera County,006,03200
06,041,,Marin County,006,01200
06,043,,Mariposa County,006,01800
06,045,,Mendocino County,006,00400
06,047,,Merced County,006,03100
06,049,,Modoc County,006,00100
06,051,,Mono County,006,01800
06,053,,Monterey County,006,02990
06,055,,Napa County,006,01000
06,057,,Nevada County,006,00700
