CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000000627','3360',1,-6,12,996,996,45,0,'-6','1','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000627','3360',2,-6,1,30,10,-6,0,'-7','1','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000628','0720',1,-6,1,5,3,-6,0,'1','1','1','-6','2','-9','0915','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000628','1120',1,-6,12,996,996,45,0,'-6','1','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000628','1120',3,-6,2,10,4,-6,0,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000628','5120',1,-6,1,40,18,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000628','5120',2,-6,1,30,14,-6,0,'-7','1','1','-6','-7','-9','-7','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000629','0720',1,2,3,30,30,-6,2,'1','2','2','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000629','0720',2,-6,1,20,15,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000629','5000',1,-6,1,45,18,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000629','5000',2,-6,2,10,4,-6,0,'2','1','1','-6','2','-9','0400','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000630','5120',1,-6,1,3,1,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000630','5120',2,-6,1,25,10,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000632','8280',1,-6,8,30,20,-6,0,'1','2','-6','-6','2','-9','0715','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000633','1120',2,2,1,10,2,-6,-7,'1','2','2','-6','2','-9','0700','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000633','8280',1,-6,1,60,40,40,40,'1','2','1','5','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000634','5120',1,-6,1,20,10,1,0,'1','1','1','0','1','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000635','5120',1,-6,1,20,20,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000635','5120',2,-6,1,20,20,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000636','0720',1,-6,1,20,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000637','0720',1,3,3,35,7,-6,2,'1','1','2','-6','2','-9','0500','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000637','5120',2,-6,12,996,996,2,3,'-6','1','-6','1','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000637','8840',1,-6,5,90,22,-6,2,'1','1','-6','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000638','0720',1,-6,1,20,18,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000638','0720',2,-6,1,10,10,-6,2,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000638','8840',1,-6,2,30,15,8,0,'1','1','1','0','1','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000639','5000',2,-6,1,40,17,-6,0,'1','1','1','-6','2','-9','0720','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000639','5120',3,-6,1,20,15,1,0,'1','1','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000640','5120',1,-6,1,25,17,20,40,'1','1','1','1','1','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000641','5000',1,-6,1,15,6,-6,0,'1','1','1','-6','2','-9','0100','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000642','5000',1,-6,1,15,6,-6,0,'1','1','1','-6','2','-9','0715','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000642','8280',1,-6,2,30,10,-6,0,'1','1','1','-6','2','-9','0915','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000642','8280',2,-6,1,25,8,-6,0,'2','1','1','-6','2','-9','0300','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000643','0720',1,-6,1,45,40,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000643','0720',2,-6,1,10,10,-6,0,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000643','5120',1,-6,1,10,10,-6,0,'1','1','1','-6','2','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000644','0720',1,-6,1,15,12,1,0,'1','1','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000645','0720',1,-6,1,20,12,4,0,'1','1','1','0','1','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000646','5120',1,-6,2,5,5,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000646','5120',2,-6,1,5,5,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000646','8280',1,-6,1,15,7,-6,20,'2','1','1','-6','2','-9','0500','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000646','8280',2,-6,1,40,25,-6,0,'1','2','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000646','8840',1,-6,1,35,6,-6,2,'-8','1','1','-6','2','-9','-8','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000648','3360',1,-6,1,30,15,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000649','1120',4,-6,1,40,40,-6,0,'1','1','1','-6','2','-9','0500','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000649','8840',1,-6,1,30,25,-6,0,'1','1','1','-6','2','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000651','5000',1,-6,1,5,1,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000651','5000',2,-6,1,10,2,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000654','5000',4,-6,1,20,10,40,40,'1','1','1','0','1','-9','0810','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000654','5000',5,-6,1,20,10,40,0,'1','1','1','0','1','-9','0109','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000657','3360',1,-6,3,25,18,-6,40,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000657','5000',2,-6,4,30,6,-6,0,'1','1','-6','-6','2','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000658','8840',1,-6,11,1,0,-6,50,'1','1','-6','-6','2','-9','0900','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000658','8840',2,-6,11,1,0,-6,50,'1','1','-6','-6','2','-9','0900','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000660','3360',1,-6,1,10,10,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000660','8840',1,-6,5,15,2,-6,6,'1','1','-6','-6','2','-9','0815','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000660','8840',2,-6,5,30,15,-6,0,'1','1','-6','-6','2','-9','0845','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000661','3360',1,-6,12,996,996,40,0,'-6','1','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000663','0720',4,-6,1,40,25,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000663','0720',5,-6,1,20,14,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000664','8280',1,-6,11,3,0,-6,1,'1','1','-6','-6','2','-9','0700','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000664','8280',2,-6,1,30,30,20,20,'1','2','1','2','1','-9','0930','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000665','0720',1,-6,1,15,8,-6,0,'1','1','1','-6','2','-9','0745','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000665','3360',1,-6,2,5,4,-6,0,'1','1','1','-6','2','-9','0545','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000665','8280',1,-6,1,30,12,-6,0,'1','1','1','-6','2','-9','0720','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000665','8280',2,-6,1,40,20,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000665','8840',1,-6,2,30,18,-6,2,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000665','8840',2,-6,2,20,15,-6,2,'1','1','1','-6','2','-9','0610','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000666','5000',3,-6,2,25,5,-6,2,'1','1','1','-6','2','-9','0750','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000666','5000',4,-6,1,25,5,-6,2,'1','1','1','-6','2','-9','0535','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000666','5000',6,-6,1,35,10,-6,2,'1','1','1','-6','2','-9','0950','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000666','5000',7,-6,1,20,5,-6,2,'1','1','1','-6','2','-9','0650','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000666','5000',8,-6,1,30,7,-6,2,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000666','5120',1,-6,12,996,996,20,0,'-6','1','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000667','5120',1,-6,1,10,8,-6,0,'1','1','1','-6','2','-9','0545','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000667','5120',2,-6,2,30,15,-6,0,'1','1','1','-6','2','-9','0545','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000668','5000',3,-6,1,10,10,-6,0,'2','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000668','5000',4,-6,1,15,15,-6,0,'1','1','1','-6','2','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000668','5000',8,-6,9,20,5,-6,0,'1','1','-6','-6','2','-9','0630','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000668','5000',9,-6,9,20,5,-6,0,'1','1','-6','-6','2','-9','0630','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000668','5000',10,-6,9,20,5,-6,0,'1','1','-6','-6','2','-9','0630','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000669','0720',1,-6,1,90,50,-6,-7,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000669','0720',2,-6,1,10,5,-6,-7,'1','1','1','-6','2','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000669','8840',1,-6,1,10,3,-6,0,'1','1','1','-6','2','-9','-8','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000670','5120',1,-6,1,14,1,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000670','8280',1,-6,2,15,9,-6,1,'2','1','1','-6','2','-9','0200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000670','8280',2,-6,1,15,9,-6,3,'2','1','1','-6','2','-9','1000','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000672','0720',1,-6,1,18,5,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000674','3360',1,-6,1,20,12,15,15,'1','1','1','2','1','-9','0930','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000674','3360',2,-6,1,20,12,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000676','8280',1,-6,2,5,4,-6,0,'1','2','1','-6','2','-9','0112','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000677','3360',1,-6,1,15,4,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000677','5000',1,2,1,5,5,-6,0,'1','2','2','-6','2','-9','0830','-9','-9','-9','2','-9','-9','-9','-9','-9'
'000000000677','5000',2,2,1,5,5,-6,0,'1','2','2','-6','2','-9','0830','-9','-9','-9','2','-9','-9','-9','-9','-9'
'000000000677','5000',5,-6,1,50,15,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000679','5000',1,2,2,45,14,-6,80,'1','2','2','-6','2','-9','0730','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000679','5000',2,2,2,45,14,-6,80,'1','2','2','-6','2','-9','0730','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000679','5000',3,-6,3,15,3,-6,40,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000680','5000',1,-6,2,20,10,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000680','5000',3,-6,2,20,10,-6,0,'2','1','1','-6','2','-9','1000','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000681','5120',1,-6,1,40,25,-6,2,'2','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000681','5120',2,-6,2,40,25,-6,2,'2','1','1','-6','2','-9','1200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000681','8840',1,-6,2,15,9,-6,-7,'-7','2','1','-6','-7','-9','-7','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000682','5000',1,-6,2,20,10,-6,0,'2','1','1','-6','2','-9','0515','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000682','5000',2,-6,2,20,10,-6,0,'2','1','1','-6','2','-9','0630','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000682','5000',6,-6,4,60,12,-6,0,'1','1','-6','-6','-7','-9','0600','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000683','5000',1,-6,1,7,3,1,0,'1','1','1','0','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000683','8280',1,-6,1,30,15,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000684','0720',1,-6,1,30,12,-6,0,'2','1','1','-6','2','-9','0230','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000684','5120',1,-6,1,15,6,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','0720',2,2,1,20,8,-6,0,'2','1','2','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','0720',3,-6,1,15,6,-6,0,'1','1','1','-6','2','-9','1100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','0720',4,-6,1,5,1,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','5120',1,-6,2,15,11,-6,0,'1','1','1','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','5120',2,2,1,40,30,-6,0,'2','1','2','-6','2','-9','0145','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','8840',1,2,1,90,50,-6,0,'1','1','2','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000685','8840',2,-6,1,20,14,-6,0,'1','1','1','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000686','1120',1,-6,1,15,3,3,5,'1','1','1','2','1','-9','1000','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000687','5120',1,-6,1,4,0,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000687','5120',2,4,1,40,40,-6,0,'1','1','2','-6','2','-9','0430','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000687','8840',1,-6,1,12,6,7,0,'1','2','1','0','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000687','8840',2,-6,12,996,996,10,10,'-6','1','-6','4','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000688','0720',1,-6,1,25,10,-6,2,'2','1','1','-6','2','-9','0430','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000688','1120',1,-6,1,9,1,-6,0,'1','1','1','-6','2','-9','0930','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000689','8840',1,-6,1,5,4,-6,2,'1','1','1','-6','2','-9','1000','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000691','1120',2,-6,1,20,7,3,0,'1','2','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000692','3360',1,-6,2,60,40,5,0,'1','1','1','0','1','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000693','5000',1,-6,1,30,15,3,0,'1','1','1','2','1','-9','0720','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000693','5000',2,-6,1,30,15,-6,0,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000693','5120',1,-6,11,1,0,40,40,'1','1','-6','5','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000693','5120',2,-6,2,45,45,8,0,'1','1','1','0','1','-9','0500','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000694','5120',1,-6,1,6,3,20,0,'1','1','1','0','1','-9','0100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000697','8840',1,-6,1,20,8,-6,0,'1','1','1','-6','2','-9','0515','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000698','8280',1,-6,1,40,15,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000698','8280',2,-6,2,30,15,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000699','5120',1,-6,11,1,0,4,4,'1','1','-6','5','1','-9','1000','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000699','5120',2,-6,11,1,0,4,4,'1','1','-6','5','1','-9','1000','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000699','8840',2,-6,2,30,15,-6,2,'1','2','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000700','3360',1,-6,1,25,13,-6,0,'2','1','1','-6','2','-9','0515','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000700','3360',2,-6,1,30,16,-6,0,'1','1','1','-6','2','-9','-7','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000700','3360',3,-6,1,30,16,-6,0,'1','1','1','-6','2','-9','-7','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000700','8280',1,-6,1,10,7,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000701','8840',2,3,1,30,18,-6,0,'1','1','2','-6','2','-9','0545','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000701','8840',3,2,1,20,12,-6,0,'1','1','2','-6','2','-9','1100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000701','8840',4,-6,4,60,10,-6,0,'1','1','-6','-6','2','-9','1100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000703','0720',1,-6,1,10,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000703','0720',2,-6,2,10,10,-6,0,'1','1','1','-6','2','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000703','0720',3,-6,1,10,10,-6,0,'1','1','1','-6','2','-9','0930','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000703','5000',1,-6,1,15,4,-6,0,'1','1','1','-6','2','-9','0100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000703','5000',2,-6,1,15,15,-6,0,'1','1','1','-6','2','-9','0100','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000705','5000',1,-6,1,15,15,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000705','5120',2,-6,1,20,15,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000706','5000',1,-6,1,20,6,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000707','0720',2,2,2,10,4,-6,0,'1','1','2','-6','2','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000707','0720',3,2,2,10,4,-6,0,'1','1','2','-6','2','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','0720',1,-6,1,5,2,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','0720',2,-6,1,5,2,-6,0,'2','2','1','-6','2','-9','0500','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','5000',1,-6,1,45,20,-6,2,'2','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','5000',2,-6,1,45,20,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','5000',4,-6,1,60,25,-6,2,'1','1','1','-6','2','-9','0100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','5000',5,-6,1,20,18,-6,2,'1','1','1','-6','2','-9','0300','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','5120',1,-6,1,45,28,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000708','8280',1,-6,2,10,5,10,0,'1','2','1','0','1','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000709','5000',1,-6,1,7,4,15,15,'1','1','1','2','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000709','5000',2,-6,1,30,15,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000709','5120',1,-6,3,10,4,-6,0,'1','1','1','-6','2','-9','0745','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000709','5120',2,-6,1,20,15,-6,0,'1','2','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000709','5120',3,-6,1,15,10,-6,0,'2','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000710','1120',1,-6,1,3,2,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000710','3360',1,-6,2,30,20,2,2,'1','2','1','2','1','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000710','3360',2,-6,1,45,35,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000710','5120',1,-6,1,15,7,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000710','5120',2,-6,1,15,7,-6,0,'1','1','1','-6','2','-9','0430','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000712','3360',1,-6,1,60,40,-6,0,'2','1','1','-6','2','-9','0200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000713','5120',1,-6,2,60,60,-6,0,'1','1','1','-6','2','-9','0300','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000713','5120',2,-6,1,10,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000713','5120',3,-6,1,60,60,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000713','5120',5,-6,2,60,60,-6,0,'1','1','1','-6','2','-9','0500','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000713','8280',1,-6,2,60,40,16,0,'1','2','1','2','1','-9','-7','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000713','8280',2,-6,1,60,40,20,0,'-7','2','1','2','1','-9','-7','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000000713','8280',3,-6,2,30,25,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000713','8280',4,-6,1,40,30,-6,0,'2','1','1','-6','2','-9','1200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000714','0720',1,-6,1,15,15,-6,0,'1','2','1','-6','2','-9','0630','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000714','8280',3,-6,2,5,2,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000715','1120',1,-6,11,7,0,-6,0,'1','1','-6','-6','2','-9','0830','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000715','1120',2,-6,5,40,5,20,0,'1','2','-6','2','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000715','8840',1,-6,1,10,8,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000715','8840',4,-6,1,10,8,-6,0,'1','1','1','-6','2','-9','1030','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000715','8840',5,-6,2,78,78,-6,0,'1','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000716','3360',1,-6,1,45,20,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000716','3360',2,-6,2,30,27,-6,0,'1','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000716','5000',4,-6,1,30,12,-6,2,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000716','5000',6,-6,1,30,12,-6,2,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000716','8840',2,-6,1,15,8,-6,-8,'-8','-8','1','-6','-8','-9','-8','2','1','-9','2','2','-9','-9','-9','-9'
'000000000717','5120',1,-6,1,65,45,-6,5,'1','1','1','-6','2','-9','0445','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000717','5120',2,-6,1,10,6,-6,0,'1','1','1','-6','2','-9','0335','-9','-9','-9','-9','-9','-9','-9','-9','-9'
