CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000003194','0720',1,-6,1,30,7,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','0720',2,-6,4,20,8,-6,0,'1','1','-6','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','1120',1,-6,3,5,2,-6,0,'1','2','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','1120',4,-6,3,5,2,-6,2,'2','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','5120',2,2,1,20,10,-6,0,'1','1','2','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','5120',3,-6,1,15,10,-6,0,'1','1','1','-6','2','-9','0845','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','5120',5,2,1,20,10,-6,0,'1','1','2','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003194','8840',1,-6,1,25,4,-6,2,'1','1','1','-6','2','-9','0130','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003195','0720',1,-6,2,15,10,-6,0,'1','2','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003195','0720',2,-6,1,45,35,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003196','5000',1,-6,1,30,12,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003196','5000',2,-6,1,15,5,-6,0,'1','1','1','-6','2','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003197','8280',1,-6,1,15,8,2,0,'1','1','1','0','1','-9','0815','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003198','5120',1,-6,1,25,13,-6,0,'2','1','1','-6','2','-9','1030','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003198','5120',2,2,1,20,10,-6,0,'2','2','2','-6','2','-9','1030','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003199','5000',1,-6,1,35,12,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003200','8840',1,-6,2,30,11,-6,5,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003201','0720',1,2,1,20,20,-6,0,'1','1','2','-6','2','-9','0630','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003202','0720',1,-6,1,75,51,-6,0,'1','2','1','-6','2','-9','0730','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003202','0720',2,-6,12,996,996,12,0,'-6','1','-6','2','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003202','5120',1,-6,1,15,15,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003202','5120',2,-6,3,10,10,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003203','0720',1,-6,1,15,7,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003203','3360',1,-6,11,15,1,-6,0,'1','1','-6','-6','2','-9','0630','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003203','3360',2,-6,1,5,4,-6,-7,'-7','1','1','-6','2','-9','-7','-9','1','-9','2','2','-9','-9','-9','-9'
'000000003203','3360',3,2,1,15,12,-6,0,'1','-7','2','-6','2','-9','0630','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003203','8280',2,-6,1,20,20,6,0,'2','1','1','0','1','-9','0245','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000003204','8280',1,-6,1,25,10,-6,2,'2','1','1','-6','2','-9','0300','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003204','8280',2,-6,1,30,10,-6,2,'1','2','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003204','8840',1,-6,1,7,2,-6,0,'2','1','1','-6','2','-9','0230','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003206','0720',1,-6,1,5,3,-6,0,'1','1','1','-6','2','-9','0650','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003206','5000',3,-6,1,30,14,-6,0,'1','1','1','-6','2','-9','0850','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003206','5000',4,-6,1,35,15,-6,0,'2','1','1','-6','2','-9','0230','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003206','8280',1,-6,2,30,20,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003206','8280',2,-6,1,20,5,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003207','0720',1,-6,2,30,20,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003207','5000',1,-6,2,15,6,-6,0,'1','2','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003207','5120',1,-6,1,45,30,-6,2,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003207','5120',2,-6,12,996,996,20,1,'-6','2','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003207','5120',3,-6,1,45,30,-6,2,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003207','8840',2,-6,1,20,8,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003208','5000',1,-6,1,15,10,-6,2,'-7','1','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003208','5000',4,-6,1,30,15,-6,2,'-7','1','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003208','8840',1,-6,12,996,996,40,40,'-6','1','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003208','8840',2,-6,1,10,3,-6,0,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003209','5120',1,-6,1,30,20,-6,0,'-7','2','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003209','5120',2,-6,1,50,30,-6,0,'1','1','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
