CONTROL,SMSA,OWNHERE,JWNHER
'000000000669','8280','-6','-9'
'000000000669','8840','1','-9'
'000000000670','5000','-6','-9'
'000000000670','5120','-6','-9'
'000000000674','8840','2','-9'
'000000000675','0720','2','-9'
'000000000676','5120','2','-9'
'000000000676','8280','-6','-9'
'000000000678','0720','-6','-9'
'000000000679','5000','-6','-9'
'000000000680','0720','2','-9'
'000000000680','5120','2','-9'
'000000000680','8840','2','-9'
'000000000681','5120','-6','-9'
'000000000682','1120','1','-9'
'000000000684','0720','2','-9'
'000000000688','1120','1','-9'
'000000000689','8840','1','-9'
'000000000690','5120','2','-9'
'000000000691','8840','2','-9'
'000000000692','8840','-6','-9'
'000000000694','8280','2','-9'
'000000000695','5120','1','-9'
'000000000697','8840','-6','-9'
'000000000700','8280','2','-9'
'000000000702','5120','2','-9'
'000000000705','5000','2','-9'
'000000000706','5000','-6','-9'
'000000000706','8280','2','-9'
'000000000708','0720','-6','-9'
'000000000708','8280','1','-9'
'000000000710','1120','2','-9'
'000000000712','3360','2','-9'
'000000000712','8280','2','-9'
'000000000714','0720','-6','-9'
'000000000715','1120','2','-9'
'000000000716','8280','-6','-9'
'000000000716','8840','2','-9'
'000000000719','1120','2','-9'
'000000000719','5000','-6','-9'
'000000000723','8840','-6','-9'
'000000000726','0720','1','-9'
'000000000727','0720','2','-9'
'000000000731','5000','2','-9'
'000000000732','5000','2','-9'
'000000000734','5000','2','-9'
'000000000735','5120','1','2'
'000000000739','8840','1','-9'
'000000000740','0720','2','-9'
'000000000740','8840','2','-9'
'000000000741','1120','2','-9'
'000000000741','8840','2','-9'
'000000000742','5000','2','-9'
'000000000745','5000','-6','-9'
'000000000746','8840','2','-9'
'000000000747','5000','-6','-9'
'000000000748','5000','1','-9'
'000000000748','8840','-6','-9'
'000000000749','8840','2','-9'
'000000000753','8840','-6','-9'
'000000000754','1120','2','-9'
'000000000754','8280','2','-9'
'000000000755','5120','1','-9'
'000000000756','5120','2','-9'
'000000000760','3360','-6','-9'
'000000000764','0720','1','-9'
'000000000764','3360','1','2'
'000000000764','8840','1','-9'
'000000000765','0720','2','-9'
'000000000766','8840','1','-9'
'000000000768','0720','2','-9'
'000000000768','5120','1','2'
'000000000771','8840','2','-9'
'000000000773','3360','-6','-9'
'000000000773','8840','1','-9'
'000000000778','5120','1','-9'
'000000000778','8840','2','-9'
'000000000782','0720','2','-9'
'000000000782','8840','1','-9'
'000000000785','8280','-6','-9'
'000000000786','3360','2','-9'
'000000000786','8280','2','-9'
'000000000787','5120','1','-9'
'000000000788','3360','1','-9'
'000000000791','8280','-6','-9'
'000000000793','8840','2','-9'
'000000000795','8840','1','-9'
'000000000804','0720','-6','-9'
'000000000807','8280','-6','-9'
'000000000810','3360','2','-9'
'000000000811','8840','2','-9'
'000000000815','8840','2','-9'
'000000000821','0720','-6','-9'
'000000000821','5000','-6','-9'
'000000000822','5000','2','-9'
'000000000824','0720','2','2'
'000000000824','8840','-6','-9'
'000000000826','1120','1','-9'
'000000000828','0720','-6','-9'
'000000000829','0720','2','-9'
'000000000831','8280','-6','-9'
'000000000832','5120','1','-9'
'000000000834','0720','-6','-9'
'000000000838','8280','2','-9'
'000000000840','5000','-6','-9'
'000000000845','5120','1','-9'
'000000000845','8840','1','-9'
'000000000846','8280','-6','-9'
'000000000846','8840','2','-9'
'000000000847','8840','-6','-9'
'000000000848','0720','-6','-9'
'000000000849','5120','-6','-9'
'000000000849','8280','-6','-9'
'000000000850','5000','-6','-9'
'000000000851','8840','2','2'
'000000000852','5120','1','-9'
'000000000852','8840','2','-9'
'000000000854','0720','-6','-9'
'000000000854','8840','-6','-9'
'000000000855','5120','1','-9'
'000000000855','8840','2','-9'
'000000000858','8840','2','2'
'000000000859','8840','-6','-9'
'000000000864','8280','-6','-9'
'000000000865','8280','-6','-9'
'000000000867','8840','2','2'
'000000000869','8280','-6','-9'
'000000000870','8840','1','-9'
'000000000875','1120','1','-9'
'000000000876','5000','2','-9'
'000000000877','8840','1','-9'
'000000000885','5120','-6','-9'
'000000000886','5120','-6','-9'
'000000000888','5000','-6','-9'
'000000000893','1120','2','2'
'000000000893','3360','2','-9'
'000000000894','5120','1','-9'
'000000000898','1120','2','2'
'000000000899','5000','-6','-9'
'000000000899','5120','-6','-9'
'000000000900','1120','-6','-9'
'000000000901','1120','1','-9'
'000000000901','8840','2','2'
'000000000902','5000','2','-9'
'000000000905','5000','2','-9'
'000000000908','1120','2','-9'
'000000000910','1120','2','-9'
'000000000911','3360','1','-9'
'000000000914','1120','1','-9'
'000000000914','5120','1','-9'
'000000000915','5000','2','-9'
'000000000916','1120','1','-9'
'000000000917','5000','1','-9'
'000000000917','5120','2','-9'
'000000000921','1120','-6','-9'
'000000000923','3360','2','-9'
'000000000924','1120','2','-9'
'000000000924','8840','2','2'
'000000000925','0720','-6','-9'
'000000000925','5000','2','-9'
'000000000926','5120','-6','-9'
'000000000926','8280','-6','-9'
'000000000927','5000','-6','-9'
'000000000927','5120','1','-9'
'000000000928','3360','2','-9'
'000000000928','5000','2','-9'
'000000000928','8280','-6','-9'
'000000000929','0720','-6','-9'
'000000000929','8280','-6','-9'
'000000000930','3360','2','-9'
'000000000930','5000','-6','-9'
'000000000936','8280','-6','-9'
'000000000937','1120','-6','-9'
'000000000937','5120','1','-9'
'000000000938','1120','2','-9'
'000000000938','5000','2','-9'
'000000000940','5000','1','-9'
'000000000940','5120','-6','-9'
'000000000941','5000','-6','-9'
'000000000941','8840','-6','-9'
'000000000943','5000','-6','-9'
'000000000944','0720','-6','-9'
'000000000944','1120','1','2'
'000000000945','1120','2','-9'
'000000000946','5120','1','-9'
'000000000947','1120','1','-9'
'000000000949','3360','1','-9'
'000000000949','8280','1','-9'
'000000000949','8840','-6','-9'
'000000000951','5000','-6','-9'
'000000000954','3360','2','-9'
'000000000954','5000','2','-9'
'000000000955','0720','2','-9'
'000000000956','5000','1','-9'
'000000000957','1120','2','-9'
'000000000958','3360','2','-9'
'000000000960','1120','1','-9'
'000000000962','1120','2','-9'
'000000000964','5120','-6','-9'
'000000000964','8840','2','-9'
'000000000965','5000','2','-9'
'000000000967','8840','2','-9'
'000000000968','8840','2','-9'
'000000000969','8840','-6','-9'
'000000000971','3360','2','-9'
'000000000972','8280','2','-9'
'000000000973','5120','1','2'
'000000000973','8840','2','-9'
'000000000974','8840','2','-9'
'000000000975','3360','2','-9'
'000000000976','5000','1','-9'
'000000000976','8840','1','-9'
'000000000978','8840','2','-9'
'000000000980','3360','2','-9'
'000000000980','5120','2','-9'
'000000000980','8840','-6','-9'
'000000000982','5000','1','2'
'000000000988','5000','1','-9'
'000000000989','8280','-6','-9'
'000000000990','1120','2','-9'
'000000000990','8840','2','-9'
'000000000993','1120','2','-9'
'000000000993','8840','1','-9'
'000000000995','1120','1','-9'
'000000000995','5120','2','-9'
'000000000995','8840','1','-9'
'000000000996','3360','2','-9'
'000000000997','1120','2','-9'
'000000000999','8840','-6','-9'
'000000001000','1120','2','-9'
'000000001000','8840','2','-9'
'000000001001','5120','-6','-9'
'000000001002','8840','2','-9'
'000000001004','1120','2','2'
'000000001005','1120','2','-9'
'000000001006','8840','-6','-9'
'000000001007','8840','1','-9'
'000000001011','8840','2','-9'
'000000001012','5000','2','-9'
'000000001016','8840','1','-9'
'000000001017','1120','2','-9'
'000000001020','1120','1','-9'
'000000001021','3360','2','-9'
'000000001022','1120','2','-9'
'000000001022','8840','-6','-9'
'000000001025','3360','2','-9'
'000000001026','1120','2','-9'
'000000001026','3360','2','2'
'000000001028','1120','2','-9'
'000000001028','3360','2','-9'
'000000001030','8840','-6','-9'
'000000001031','1120','2','-9'
'000000001032','1120','2','-9'
'000000001033','5120','1','-9'
'000000001033','8840','-6','-9'
'000000001034','3360','2','-9'
'000000001034','5000','2','-9'
'000000001034','8840','2','-9'
'000000001035','3360','1','-9'
'000000001037','5120','1','-9'
'000000001043','5000','-6','-9'
'000000001044','8840','2','-9'
'000000001045','5000','-6','-9'
'000000001046','1120','1','-9'
'000000001047','8840','-6','-9'
