CONTROL,SMSA,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000001485','5120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001486','0720','-9',-7,'-7','-6','-7','-7','-6','2','-7',1,'1','-9','1','-9','-9','-9'
'000000001486','8280','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001487','5000','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001487','5120','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001489','0720','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001489','8840','-9',-7,'4','-6','4','-7','-6','3','-7',1,'1','-9','1','-9','-9','-9'
'000000001489','8840','-9',-7,'4','-6','4','-7','-6','2','-7',2,'2','-9','1','-9','-9','-9'
'000000001491','3360','-9',3,'3','-6','1','1','-6','3','1',1,'1','-9','-9','-9','-9','-9'
'000000001498','8280','-9',5,'3','-6','1','1','-6','2','3',1,'1','-9','-9','-9','-9','-9'
'000000001500','3360','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001503','8280','-9',3,'3','-6','1','1','-6','1','3',1,'1','-9','-9','-9','-9','-9'
'000000001504','5120','-9',3,'3','-6','1','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001505','0720','-9',4,'3','-6','4','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001505','5120','-9',2,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001506','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001507','0720','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001508','8280','-9',4,'2','-6','3','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'000000001511','5000','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001512','0720','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001512','5120','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001514','1120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001514','5120','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001518','3360','-9',1,'4','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001519','8840','-9',4,'4','-6','4','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001520','3360','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001520','5120','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001521','0720','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001521','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001522','3360','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001526','0720','-9',-7,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
'000000001529','8840','-9',4,'2','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001533','8280','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001533','8280','-9',3,'3','-6','1','2','1','3','1',2,'2','-9','-9','-9','-9','-9'
'000000001535','5120','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001538','3360','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001538','8280','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001539','5120','-9',4,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001547','5120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001551','8280','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001553','8280','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001557','0720','-9',3,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001558','5000','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001558','8840','-9',4,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001558','8840','-9',4,'3','-6','1','2','2','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001560','1120','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001563','8280','-9',2,'2','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001563','8280','-9',2,'2','-6','3','1','-6','1','1',2,'2','-9','-9','-9','-9','-9'
'000000001564','8280','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001566','5120','-9',3,'3','-6','3','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001567','5120','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001575','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001577','8280','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001578','5000','-9',2,'2','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001579','5000','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001581','5120','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001581','8280','-9',2,'3','-6','3','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001582','5120','-9',3,'3','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001582','5120','-9',2,'3','-6','-7','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001582','5120','-9',-7,'3','-6','1','2','1','1','1',3,'3','-9','-9','-9','-9','-9'
'000000001583','5120','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001584','0720','-9',3,'3','-6','3','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001584','1120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001587','8280','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001588','5120','-9',1,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'000000001589','5120','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001594','5120','-9',-7,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
'000000001595','5000','-9',5,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001596','8840','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001597','5120','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001599','1120','-9',1,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001599','1120','-9',-7,'-7','-6','-7','-7','-6','2','-7',2,'2','-9','1','-9','-9','-9'
'000000001602','3360','-9',5,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001602','3360','-9',1,'3','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'000000001603','8280','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001604','5000','-9',5,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001605','5120','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001606','8280','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001608','1120','-9',5,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001609','3360','-9',3,'2','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001610','5120','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
