Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
Sep,262,38670000,147600,123400,2067,7.6
Oct,289,42680000,147700,123100,2099,7.6
Nov,247,34305000,138900,120800,2051,7.4
Dec,246,34465000,140100,121300,1951,7.0
2006-Jan,185,24350000,131600,120300,2084,7.5
Feb,244,34245000,140300,120000,2093,7.4
Mar,317,47280000,149100,128100,2205,7.7
Apr,286,46115000,161200,134900,2273,7.9
May,363,62700000,172700,136000,2381,8.2
Jun,386,63135000,163600,134200,2489,8.4
Jul,344,58425000,169800,139100,2469,8.3
Aug,390,60285000,154600,133700,2433,8.2
Sep,304,45925000,151100,132100,2483,8.3
Oct,269,39615000,147300,127100,2457,8.2
Nov,251,39945000,159100,132200,2349,7.9
Dec,283,41825000,147800,127600,2295,7.6
2007-Jan,200,33950000,169800,136300,2348,7.7
Feb,253,36850000,145700,130000,2448,8.1
Mar,300,45345000,151200,128500,2649,8.8
Apr,318,51850000,163100,132200,2723,8.9
May,376,61645000,163900,137700,2862,9.3
Jun,343,59405000,173200,142500,2926,9.7
Jul,359,58290000,162400,138400,2969,9.8
Aug,366,58035000,158600,132800,2898,9.6
Sep,294,48870000,166200,139000,2901,9.6
Oct,273,40130000,147000,126600,2866,9.5
Nov,265,41310000,155900,134800,2684,8.9
Dec,248,34040000,137300,126700,2737,9.1
2008-Jan,169,25530000,151100,126200,-,-
Feb,211,30965000,146800,130700,2703,9.2
Mar,283,44050000,155700,130300,2842,9.7
Apr,286,49515000,173100,135500,2849,9.8
May,345,56310000,163200,135900,2955,10.3
Jun,295,52115000,176700,145400,3003,10.6
Jul,308,49570000,160900,133600,3044,10.9
Aug,340,57415000,168900,135000,2975,10.8
Sep,279,39520000,141600,129200,2927,10.6
Oct,212,34075000,160700,139000,2897,10.7
Nov,164,25505000,155500,122700,2815,10.8
Dec,186,30440000,163700,133800,2610,10.2
2009-Jan,149,20910000,140300,115600,2624,10.3
Feb,178,27700000,155600,136000,2681,10.6
Mar,231,33760000,146100,126800,2732,11.0
Apr,221,33000000,149300,132600,2842,11.7
