"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"McAllen-Edinburg-Mission","TX MSA",32842,30642,441,931,828
"Medford-Ashland","OR MSA",25567,24325,0,1242,0
"Melbourne-Titusville-Palm Bay","FL MSA",92888,82518,0,0,10370
"Memphis","TN-AR-MS MSA",109824,107190,365,556,1713
"Merced","CA MSA",34252,29747,0,0,4505
"Miami-Fort Lauderdale","Lauderdale FL CMSA",248587,128338,2620,170,117459
"Milwaukee-Racine","Milwaukee-Racine WI CMSA",123207,83552,4428,360,34867
"Minneapolis-St. Paul","MN-WI MSA",432583,356026,5438,13025,58094
"Missoula","MT MSA",7127,3859,1026,448,1794
"Mobile","AL MSA",31866,30899,130,0,837
"Modesto","CA MSA",52811,52811,0,0,0
"Monroe","LA MSA",5525,5525,0,0,0
"Montgomery","AL MSA",11981,11898,0,0,83
"Muncie","IN MSA",4137,4039,98,0,0
"Myrtle Beach","SC MSA",51120,39623,148,1136,10213
"Naples","FL MSA",65960,53360,0,6871,5729
"Nashville","TN MSA",148466,142354,1884,0,4228
"New London-Norwich","CT-RI MSA",14532,14174,81,0,277
"New Orleans","LA MSA",66475,65307,1168,0,0
"New York-Northern New Jersey-Long","Jersey-Long Island NY-NJ-CT-",597541,421846,56620,33330,85745
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",82170,79289,628,191,2062
"Ocala","FL MSA",62042,61322,480,240,0
"Odessa-Midland","TX MSA",5518,5518,0,0,0
"Oklahoma City","OK MSA",75741,74517,876,0,348
"Omaha","NE-IA MSA",73394,58103,2397,0,12894
"Orlando","FL MSA",284242,276990,1772,0,5480
"Owensboro","KY MSA",3952,3623,213,116,0
"Panama City","FL MSA",19634,19479,0,155,0
"Parkersburg-Marietta","WV-OH MSA",1567,1567,0,0,0
"Pensacola","FL MSA",51387,43454,1022,0,6911
"Peoria-Pekin","IL MSA",11361,9637,1724,0,0
"Philadelphia-Wilmington-Atlantic","Philadelphia-Wilmington-Atlantic City PA-NJ-DE-MD",202690,190697,3954,1583,6456
"Phoenix-Mesa","AZ MSA",690971,652846,1399,568,36158
"Pine Bluff","AR MSA",605,605,0,0,0
"Pittsburgh","PA MSA",83619,79573,830,1329,1887
"Pittsfield","MA MSA",1883,1883,0,0,0
"Pocatello","ID MSA",2562,2562,0,0,0
"Portland","ME MSA",19769,18621,518,255,375
"Portland-Salem","Portland-Salem OR-WA CMSA",213773,173261,5821,2224,32467
"Providence-Fall River-Warwick","RI-MA MSA",39781,34181,388,356,4856
"Provo-Orem","UT MSA",66100,43904,883,948,20365
"Pueblo","CO MSA",12351,12351,0,0,0
"Punta Gorda","FL MSA",41348,31536,151,3711,5950
"Raleigh-Durham-Chapel Hill","NC MSA",192530,187059,1534,1519,2418
"Rapid City","SD MSA",5724,5724,0,0,0
"Reading","PA MSA",15232,12708,200,561,1763
"Redding","CA MSA",16861,16861,0,0,0
"Reno","NV MSA",78138,59980,0,0,18158
"Richland-Kennewick-Pasco","WA MSA",25483,24014,181,345,943
"Richmond-Petersburg","VA MSA",60380,58700,0,1252,428
"Roanoke","VA MSA",11690,11205,0,0,485
"Rochester","MN MSA",26059,20840,0,543,4676
"Rochester","NY MSA",36579,36501,78,0,0
"Rockford","IL MSA",22181,17376,1623,3182,0
"Rocky Mount","NC MSA",3215,3215,0,0,0
"Sacramento-Yolo","Sacramento-Yolo CA CMSA",288971,287788,1183,0,0
"Saginaw-Bay City-Midland","MI MSA",5511,5511,0,0,0
"Salinas","CA MSA",38529,35367,0,0,3162
"Salt Lake City-Ogden","UT MSA",145974,137697,592,2848,4837
"San Angelo","TX MSA",3401,3401,0,0,0
"San Antonio","TX MSA",125368,116211,256,766,8135
"San Diego","CA MSA",231528,158886,5256,9367,58019
"San Francisco-Oakland-San Jose","Jose CA CMSA",440889,367729,1345,5683,66132
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",28873,27893,443,537,0
"Santa Barbara-Santa Maria-Lompoc","CA MSA",24716,21249,472,1144,1851
"Santa Fe","NM MSA",6202,6202,0,0,0
"Sarasota-Bradenton","FL MSA",141006,108566,529,5253,26658
"Savannah","GA MSA",24789,24647,0,0,142
"Scranton--Wilkes-Barre--Hazleton","PA MSA",10097,9447,0,300,350
"Seattle-Tacoma-Bremerton","Seattle-Tacoma-Bremerton WA CMSA",389812,289486,7622,6081,86623
"Sharon","PA MSA",1596,1536,0,60,0
"Sheboygan","WI MSA",1364,1364,0,0,0
"Sherman-Denison","TX MSA",1557,1467,90,0,0
"Shreveport-Bossier City","LA MSA",17313,17313,0,0,0
"Sioux City","IA-NE MSA",1499,1499,0,0,0
"Sioux Falls","SD MSA",22233,20981,260,992,0
"South Bend","IN MSA",16438,15688,250,0,500
"Spokane","WA MSA",24492,22127,200,240,1925
"Springfield","IL MSA",9643,7975,1358,0,310
"Springfield","MA MSA",13845,13511,334,0,0
"Springfield","MO MSA",32998,31635,215,0,1148
"St. Cloud","MN MSA",11479,8569,0,0,2910
"St. Joseph","MO MSA",2235,1861,374,0,0
"St. Louis","MO-IL MSA",176665,170332,2169,1153,3011
"State College","PA MSA",4890,4890,0,0,0
"Steubenville-Weirton","OH-WV MSA",905,905,0,0,0
"Stockton-Lodi","CA MSA",91012,90089,396,527,0
"Sumter","SC MSA",3219,2987,232,0,0
"Syracuse","NY MSA",12364,11739,213,308,104
"Tallahassee","FL MSA",13254,10026,292,0,2936
"Tampa-St. Petersburg-Clearwater","FL MSA",325902,266312,7929,2172,49489
"Terre Haute","IN MSA",1867,1867,0,0,0
"Texarkana TX-Texarkana","AR MSA",7527,3431,1216,0,2880
"Toledo","OH MSA",30288,28368,720,0,1200
"Topeka","KS MSA",13174,13174,0,0,0
"Tucson","AZ MSA",102869,101884,594,0,391
"Tulsa","OK MSA",45120,44013,100,173,834
"Tuscaloosa","AL MSA",8811,8811,0,0,0
"Tyler","TX MSA",6100,5823,0,0,277
"Utica-Rome","NY MSA",1552,1552,0,0,0
"Victoria","TX MSA",892,892,0,0,0
"Visalia-Tulare-Porterville","CA MSA",29588,28168,792,628,0
"Waco","TX MSA",7241,7241,0,0,0
"Washington-Baltimore","Washington-Baltimore DC-MD-VA-WV CMSA",480780,433271,40,734,46735
"Waterloo-Cedar Falls","IA MSA",5349,4317,259,0,773
"Wausau","WI MSA",9573,9429,144,0,0
"West Palm Beach-Boca Raton","FL MSA",200832,193935,126,801,5970
"Wheeling","WV-OH MSA",264,264,0,0,0
"Wichita Falls","TX MSA",4125,4125,0,0,0
"Wichita","KS MSA",17369,17062,307,0,0
"Wilmington","NC MSA",83594,49360,1572,200,32462
"Yakima","WA MSA",5891,5002,641,248,0
"York","PA MSA",19948,19438,270,240,0
"Youngstown-Warren","OH MSA",15884,12435,927,2115,407
"Yuba City","CA MSA",25304,25304,0,0,0
"Yuma","AZ MSA",17960,17960,0,0,0
