"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Tyler","TX MSA",4642,4411,0,0,231
"Utica-Rome","NY MSA",737,737,0,0,0
"Victoria","TX MSA",1072,1072,0,0,0
"Visalia-Tulare-Porterville","CA MSA",21618,19039,433,2146,0
"Waco","TX MSA",6342,5432,185,224,501
"Washington-Baltimore DC-MD-VA-WV CMSA","353277",322379,2805,237,27856,NA
"Waterloo-Cedar Falls","IA MSA",4757,4757,0,0,0
"Wausau","WI MSA",7229,6957,272,0,0
"West Palm Beach-Boca Raton","FL MSA",140971,124297,1476,1391,13807
"Wheeling","WV-OH MSA",139,139,0,0,0
"Wichita Falls","TX MSA",3002,3002,0,0,0
"Wichita","KS MSA",20527,20379,148,0,0
"Wilmington","NC MSA",36071,36071,0,0,0
"Yakima","WA MSA",3368,3195,173,0,0
"York","PA MSA",17219,17087,132,0,0
"Youngstown-Warren","OH MSA",3778,3160,618,0,0
"Yuba City","CA MSA",21800,21800,0,0,0
"Yuma","AZ MSA",16945,16945,0,0,0
