"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Providence-New Bedford-Fall River","RI-MA",52379,47028,784,290,4277
"Provo-Orem","UT",69844,61835,584,323,7102
"Pueblo","CO",1388,1012,376,0,0
"Punta Gorda","FL",30768,20694,0,331,9743
"Racine","WI",17178,15909,615,350,304
"Raleigh-Cary","NC",171635,167327,312,0,3996
"Rapid City","SD",12435,11557,231,327,320
"Reading","PA",13782,13493,0,289,0
"Redding","CA",16561,15595,0,519,447
"Reno-Sparks","NV",84173,83964,209,0,0
"Richmond","VA",109041,108873,168,0,0
"Riverside-San Bernardino-Ontario","CA",713513,669538,764,1470,41741
"Roanoke","VA",15423,15289,134,0,0
"Rochester","MN",27226,27226,0,0,0
"Rochester","NY",27568,25833,734,413,588
"Rockford","IL",22169,21949,220,0,0
"Rocky Mount","NC",5381,5219,162,0,0
"Rome","GA",6670,4335,640,0,1695
"Sacramento--Arden-Arcade--Roseville","CA",357779,356532,203,410,634
"Saginaw-Saginaw Township North","MI",7235,7235,0,0,0
"Salem","OR",31007,29065,1373,0,569
"Salinas","CA",25547,25547,0,0,0
"Salisbury","MD",10679,9271,154,73,1181
"Salt Lake City","UT",120761,111429,1861,1045,6426
"San Angelo","TX",2558,2558,0,0,0
"San Antonio","TX",174720,159695,0,2544,12481
"San Diego-Carlsbad-San Marcos","CA",253687,194466,6265,20167,32789
"San Francisco-Oakland-Fremont","CA",375712,239906,811,1967,133028
"San Jose-Sunnyvale-Santa Clara","CA",65003,64846,157,0,0
"San Luis Obispo-Paso Robles","CA",42123,38613,877,547,2086
"Sandusky","OH",3686,2346,0,220,1120
"Santa Barbara-Santa Maria-Goleta","CA",21243,10209,0,3380,7654
"Santa Cruz-Watsonville","CA",8722,8722,0,0,0
"Santa Fe","NM",6933,6933,0,0,0
"Santa Rosa-Petaluma","CA",26585,23357,0,0,3228
"Sarasota-Bradenton-Venice","FL",164056,137209,530,3415,22902
"Savannah","GA",29535,29335,0,0,200
"Scranton--Wilkes-Barre","PA",6057,6057,0,0,0
"Seattle-Tacoma-Bellevue","WA",283774,226648,5021,6191,45914
"Sheboygan","WI",6069,4790,479,0,800
"Sherman-Denison","TX",574,574,0,0,0
"Shreveport-Bossier City","LA",22780,22780,0,0,0
"Sioux City","IA-NE-SD",6220,5941,279,0,0
"Sioux Falls","SD",14679,7678,0,0,7001
"South Bend-Mishawaka","IN-MI",17859,13359,0,0,4500
"Spartanburg","SC",15525,15525,0,0,0
"Spokane","WA",24234,22317,372,1198,347
"Springfield","IL",9184,7287,1044,0,853
"Springfield","MA",17814,17533,281,0,0
"Springfield","MO",43772,39733,1799,0,2240
"Springfield","OH",3701,3701,0,0,0
"St. Cloud","MN",18545,17179,0,0,1366
"St. George","UT",42043,40224,463,0,1356
"St. Joseph","MO-KS",2275,2275,0,0,0
"St. Louis","MO-IL",205773,190443,3859,741,10730
"State College","PA",5192,5192,0,0,0
"Stockton","CA",124057,113963,0,0,10094
"Sumter","SC",5127,4415,118,0,594
"Syracuse","NY",12518,11429,0,0,1089
"Tallahassee","FL",10229,10229,0,0,0
"Tampa-St. Petersburg-Clearwater","FL",288001,259443,1296,460,26802
"Terre Haute","IN",2917,2725,192,0,0
"Texarkana","TX-TexarkanaAR",3964,2629,1335,0,0
"Toledo","OH",30046,29546,0,0,500
"Topeka","KS",15591,15591,0,0,0
"Trenton-Ewing","NJ",6183,5002,325,0,856
"Tucson","AZ",150851,140471,608,0,9772
"Tulsa","OK",57827,56513,703,0,611
"Tuscaloosa","AL",13296,13296,0,0,0
"Tyler","TX",6675,6352,0,0,323
"Utica-Rome","NY",3340,3340,0,0,0
"Valdosta","GA",9691,9691,0,0,0
"Vallejo-Fairfield","CA",45795,34543,470,248,10534
"Vero Beach","FL",51163,40924,0,0,10239
"Victoria","TX",1503,1503,0,0,0
"Vineland-Millville-Bridgeton","NJ",2410,2410,0,0,0
