"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Dubuque","IA",2236,2053,183,0,0
"Duluth","MN-WI",4114,3977,137,0,0
"Durham","NC",57981,57767,214,0,0
"Eau Claire","WI",1320,910,180,0,230
"El Centro","CA",11184,7206,0,104,3874
"El Paso","TX",39036,38550,486,0,0
"Elizabethtown","KY",9116,9116,0,0,0
"Elkhart-Goshen","IN",9336,9001,0,150,185
"Elmira","NY",194,194,0,0,0
"Erie","PA",720,720,0,0,0
"Eugene-Springfield","OR",25580,24346,517,288,429
"Evansville","IN-KY",11100,10206,137,757,0
"Fairbanks","AK",747,747,0,0,0
"Fargo","ND-MN",1769,548,0,0,1221
"Farmington","NM",4071,4071,0,0,0
"Fayetteville","NC",54097,31594,0,0,22503
"Fayetteville-Springdale-Rogers","AR-MO",58119,49258,2873,460,5528
"Flagstaff","AZ",6422,5857,315,250,0
"Flint","MI",10645,10645,0,0,0
"Florence","SC",1928,1928,0,0,0
"Florence-Muscle Shoals","AL",1439,1215,0,0,224
"Fond du Lac","WI",1535,1175,0,0,360
"Fort Collins-Loveland","CO",32722,29541,203,1892,1086
"Fort Smith","AR-OK",5592,4906,686,0,0
"Fort Walton Beach-Crestview-Destin","FL",20420,18906,0,314,1200
"Fort Wayne","IN",17170,17016,154,0,0
"Fresno","CA",55907,53425,0,0,2482
"Gadsden","AL",4435,4435,0,0,0
"Gainesville","FL",18982,15830,0,0,3152
"Gainesville","GA",22110,19625,440,222,1823
"Glens Falls","NY",6852,6302,0,550,0
"Goldsboro","NC",3642,3642,0,0,0
"Grand Forks","ND-MN",0,0,0,0,0
"Grand Junction","CO",14267,14267,0,0,0
"Grand Rapids-Wyoming","MI",35633,34931,102,0,600
"Great Falls","MT",431,431,0,0,0
"Greeley","CO",47205,46789,0,0,416
"Green Bay","WI",11503,11007,209,0,287
"Greensboro-High Point","NC",55586,54537,343,0,706
"Greenville","NC",17338,14471,121,0,2746
"Greenville","SC",42598,41904,537,0,157
"Gulfport-Biloxi","MS",18072,16501,1272,299,0
"Hagerstown-Martinsburg","MD-WV",32336,30716,1485,135,0
"Hanford-Corcoran","CA",6502,6379,0,123,0
"Harrisburg-Carlisle","PA",16135,16135,0,0,0
"Harrisonburg","VA",9062,8636,426,0,0
"Hartford-West Hartford-East Hartford","CT",21819,19326,658,0,1835
"Hattiesburg","MS",809,809,0,0,0
"Hickory-Lenoir-Morganton","NC",17169,16592,577,0,0
"Hinesville-Fort Stewart","GA",2508,2508,0,0,0
"Holland-Grand Haven","MI",15075,13126,124,1550,275
"Honolulu","HI",26881,25703,1178,0,0
"Hot Springs","AR",1203,1203,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",6147,6147,0,0,0
"Houston-Baytown-Sugar Land","TX",637870,505909,1303,898,129760
"Huntington-Ashland","WV-KY-OH",458,458,0,0,0
"Huntsville","AL",28535,28535,0,0,0
"Idaho Falls","ID",6088,6088,0,0,0
"Indianapolis","IN",134747,118645,1325,338,14439
"Iowa City","IA",5308,5308,0,0,0
"Ithaca","NY",1022,642,0,0,380
"Jackson","MI",1431,1431,0,0,0
"Jackson","MS",40330,40089,0,241,0
"Jackson","TN",5825,5825,0,0,0
"Jacksonville","FL",237202,222691,127,0,14384
"Jacksonville","NC",10110,10110,0,0,0
"Janesville","WI",8426,4036,310,0,4080
"Jefferson City","MO",2197,2197,0,0,0
"Johnson City","TN",10256,10256,0,0,0
"Johnstown","PA",0,0,0,0,0
"Jonesboro","AR",4604,4240,0,72,292
"Joplin","MO",2395,2395,0,0,0
"Kalamazoo-Portage","MI",10147,9767,380,0,0
"Kankakee-Bradley","IL",4459,2459,0,0,2000
"Kansas City","MO-KS",128251,120390,4492,1361,2008
"Kennewick-Richland-Pasco","WA",22143,20707,0,0,1436
"Killeen-Temple-Fort Hood","TX",32564,29952,1831,781,0
"Kingsport-Bristol-Bristol","TN-VA",6967,6967,0,0,0
"Kingston","NY",3367,3367,0,0,0
"Knoxville","TN",36314,35425,325,564,0
"Kokomo","IN",1058,1058,0,0,0
"La Crosse","WI-MN",2302,2302,0,0,0
"Lafayette","IN",6640,6640,0,0,0
"Lafayette","LA",15756,15756,0,0,0
"Lake Charles","LA",9392,9207,185,0,0
"Lakeland","FL",76589,62851,366,0,13372
"Lancaster","PA",15192,14067,0,150,975
"Lansing-East Lansing","MI",20545,14072,192,0,6281
