"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Pine Bluff","AR",166,166,0,0,0
"Pittsburgh","PA",58381,50263,208,0,7910
"Pittsfield","MA",52,52,0,0,0
"Pocatello","ID",2911,2911,0,0,0
"Port St. Lucie","FL",25740,23009,0,0,2731
"Portland-South Portland-Biddeford","ME",16407,14721,500,261,925
"Portland-Vancouver-Beaverton","OR-WA",130329,81593,1612,0,47124
"Poughkeepsie-Newburgh-Middletown","NY",9598,8729,0,0,869
"Prescott","AZ",13394,9216,0,0,4178
"Providence-New Bedford-Fall River","RI-MA",24879,19734,2800,2345,0
"Provo-Orem","UT",33779,28647,0,828,4304
"Pueblo","CO",5400,5157,243,0,0
"Punta Gorda","FL",7765,5968,342,0,1455
"Racine","WI",3655,3655,0,0,0
"Raleigh-Cary","NC",173060,125436,0,0,47624
"Rapid City","SD",5407,5407,0,0,0
"Reading","PA",8047,7801,246,0,0
"Redding","CA",3374,3374,0,0,0
"Reno-Sparks","NV",18871,16422,0,409,2040
"Richmond","VA",101213,75037,181,0,25995
"Riverside-San Bernardino-Ontario","CA",133840,125704,971,350,6815
"Roanoke","VA",11061,11061,0,0,0
"Rochester","MN",6190,5209,0,0,981
"Rochester","NY",14093,13843,0,250,0
"Rockford","IL",2648,2648,0,0,0
"Rocky Mount","NC",4336,4236,100,0,0
"Rome","GA",1614,1614,0,0,0
"Sacramento--Arden-Arcade--Roseville","CA",62233,58000,0,0,4233
"Saginaw-Saginaw Township North","MI",251,251,0,0,0
"Salem","OR",15233,14517,716,0,0
"Salinas","CA",12215,6493,0,5722,0
"Salisbury","MD",4433,2377,0,0,2056
"Salt Lake City","UT",49012,34598,198,0,14216
"San Angelo","TX",6367,6367,0,0,0
"San Antonio","TX",107795,93178,0,0,14617
"San Diego-Carlsbad-San Marcos","CA",91084,40074,1242,0,49768
"San Francisco-Oakland-Fremont","CA",120214,72443,2663,2971,42137
"San Jose-Sunnyvale-Santa Clara","CA",39661,22821,0,0,16840
"San Luis Obispo-Paso Robles","CA",9391,7693,0,0,1698
"Sandusky","OH",0,0,0,0,0
"Santa Barbara-Santa Maria","CA",3545,3057,0,0,488
"Santa Cruz-Watsonville","CA",3927,3927,0,0,0
"Santa Fe","NM",1736,1736,0,0,0
"Santa Rosa-Petaluma","CA",14748,14034,0,714,0
"Savannah","GA",23208,21333,0,1875,0
"Scranton--Wilkes-Barre","PA",1846,1846,0,0,0
"Seattle-Tacoma-Bellevue","WA",317616,164134,6545,9329,137608
"Sebastian-Vero Beach","FL",23083,23083,0,0,0
"Sheboygan","WI",672,672,0,0,0
"Sherman-Denison","TX",209,209,0,0,0
"Shreveport-Bossier City","LA",11432,11432,0,0,0
"Sioux City","IA-NE-SD",3213,3213,0,0,0
"Sioux Falls","SD",13789,9868,385,1300,2236
"South Bend-Mishawaka","IN-MI",6416,5866,0,550,0
"Spartanburg","SC",11148,11148,0,0,0
"Spokane","WA",14041,12567,0,246,1228
"Springfield","IL",5551,4073,200,1278,0
"Springfield","MA",5806,5025,461,320,0
"Springfield","MO",19908,11972,6566,0,1370
"Springfield","OH",1247,1247,0,0,0
"St. Cloud","MN",1928,1928,0,0,0
"St. George","UT",9131,9131,0,0,0
"St. Joseph","MO-KS",878,644,234,0,0
"St. Louis","MO-IL",101100,97566,485,1545,1504
"State College","PA",4410,4410,0,0,0
"Stockton","CA",21160,20692,0,468,0
"Sumter","SC",3870,3870,0,0,0
"Syracuse","NY",8504,8504,0,0,0
"Tallahassee","FL",22071,19427,0,306,2338
"Tampa-St. Petersburg-Clearwater","FL",72546,59207,1805,2435,9099
"Terre Haute","IN",1156,959,0,0,197
"Texarkana","TX-Texarkana",1164,1164,0,0,0
"Toledo","OH",8484,8254,230,0,0
"Topeka","KS",7359,7359,0,0,0
"Trenton-Ewing","NJ",8919,6599,0,0,2320
"Tucson","AZ",75073,64622,347,226,9878
"Tulsa","OK",82191,48067,0,0,34124
"Tuscaloosa","AL",13734,8592,0,0,5142
"Tyler","TX",3100,2823,0,0,277
"Utica-Rome","NY",0,0,0,0,0
"Valdosta","GA",6124,5368,172,0,584
"Vallejo-Fairfield","CA",1208,1208,0,0,0
"Victoria","TX",850,850,0,0,0
"Vineland-Millville-Bridgeton","NJ",4101,4101,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",65476,54897,1391,412,8776
"Visalia-Porterville","CA",21282,21282,0,0,0
"Waco","TX",5769,5611,158,0,0
"Warner Robins","GA",5535,5535,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",198758,153006,1087,0,44665
"Waterloo-Cedar Falls","IA",3481,2787,0,0,694
"Wausau","WI",2488,1718,220,0,550
"Weirton-Steubenville","WV-OH",448,448,0,0,0
"Wenatchee","WA",3578,3578,0,0,0
"Wheeling","WV-OH",0,0,0,0,0
"Wichita Falls","TX",1745,1583,0,162,0
