"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Merced","CA",40408,39695,343,370,0
"Miami-Fort Lauderdale-Miami Beach","FL",464690,306712,2190,5082,150706
"Michigan City-La Porte","IN",2756,2627,0,129,0
"Midland","TX",2677,2677,0,0,0
"Milwaukee-Waukesha-West Allis","WI",74438,68172,2105,890,3271
"Minneapolis-St. Paul-Bloomington","MN-WI",355579,277848,3141,2167,72423
"Missoula","MT",4212,2731,420,309,752
"Mobile","AL",21479,21479,0,0,0
"Modesto","CA",55800,55444,356,0,0
"Monroe","LA",4717,4717,0,0,0
"Monroe","MI",16536,16356,0,0,180
"Montgomery","AL",13012,13012,0,0,0
"Morgantown","WV",242,242,0,0,0
"Morristown","TN",4041,4041,0,0,0
"Mount Vernon-Anacortes","WA",11206,10191,257,0,758
"Muncie","IN",5495,2353,514,2628,0
"Muskegon-Norton Shores","MI",8307,8067,240,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",123648,48507,0,1302,73839
"Napa","CA",15806,15806,0,0,0
"Naples-Marco Island","FL",94789,63854,1200,6319,23416
"Nashville-Davidson--Murfreesboro","TN",172908,139070,1059,146,32633
"New Haven-Milford","CT",22785,19676,0,0,3109
"New Orleans-Metairie-Kenner","LA",80665,78833,1608,224,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",577263,335810,47526,50055,143872
"Niles-Benton Harbor","MI",2617,2480,0,137,0
"Norwich-New London","CT",24891,21458,45,2726,662
"Ocala","FL",65592,65052,195,345,0
"Ocean City","NJ",28776,17994,4933,2053,3796
"Odessa","TX",1964,1964,0,0,0
"Ogden-Clearfield","UT",41324,39046,368,1485,425
"Oklahoma City","OK",96921,84521,300,0,12100
"Olympia","WA",30595,30336,259,0,0
"Omaha-Council Bluffs","NE-IA",48397,48073,324,0,0
"Orlando","FL",296912,274912,804,853,20343
"Oshkosh-Neenah","WI",3123,1398,340,0,1385
"Owensboro","KY",2314,2314,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",96706,78426,0,0,18280
"Palm Bay-Melbourne-Titusville","FL",90823,63204,0,1084,26535
"Panama City-Lynn Haven","FL",31293,22259,1834,7200,0
"Parkersburg-Marietta","WV-OH",1119,1119,0,0,0
"Pascagoula","MS",6200,6200,0,0,0
"Pensacola-Ferry Pass-Brent","FL",25974,22529,0,0,3445
"Peoria","IL",9906,7499,1512,493,402
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",166318,149910,1092,2768,12548
"Phoenix-Mesa-Scottsdale","AZ",770384,666232,1712,8216,94224
"Pine Bluff","AR",1137,1052,0,0,85
"Pittsburgh","PA",67742,62427,668,1669,2978
"Pittsfield","MA",2735,1615,1120,0,0
"Pocatello","ID",5042,1734,0,0,3308
"Port St. Lucie-Fort Pierce","FL",96894,85439,207,3694,7554
"Portland-South Portland-Biddeford","ME",44009,41204,535,867,1403
"Portland-Vancouver-Beaverton","OR-WA",173782,153693,2509,3396,14184
"Poughkeepsie-Newburgh-Middletown","NY",32203,29277,0,0,2926
"Prescott","AZ",45501,45112,187,202,0
"Providence-New Bedford-Fall River","RI-MA",44971,41535,374,551,2511
"Provo-Orem","UT",52209,50621,600,0,988
"Pueblo","CO",9232,9232,0,0,0
"Punta Gorda","FL",63499,47478,607,672,14742
"Racine","WI",17154,16264,0,700,190
