"","City","State","Total","1_Units","2_Units","3-4_Units"
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","3986",3788,0,0,198
"127","Johnstown* PA MSA","0",0,0,0,0
"128","Jonesboro* AR MSA","1269",1269,0,0,0
"129","Joplin* MO MSA","357",357,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","6623",6447,0,0,176
"131","Kansas City  MO-KS MSA","60749",54642,1586,256,4265
"132","Killeen-Temple* TX MSA","12696",11135,754,807,0
"133","Knoxville* TN MSA","29231",16777,108,620,11726
"134","Kokomo* IN MSA","2993",2993,0,0,0
"135","La Crosse* WI-MN MSA","1220",1220,0,0,0
"136","Lafayette* LA MSA","8859",8859,0,0,0
"137","Lafayette* IN MSA","5824",5824,0,0,0
"138","Lake Charles* LA MSA","2770",2770,0,0,0
"139","Lakeland-Winter Haven* FL MSA","19999",19999,0,0,0
"140","Lancaster* PA MSA","7670",7670,0,0,0
"141","Lansing-East Lansing* MI MSA","7251",5851,0,0,1400
"142","Laredo* TX MSA","6040",6040,0,0,0
"143","Las Cruces* NM MSA","6938",6659,0,0,279
"144","Las Vegas  NV-AZ MSA","206743",188321,381,3914,14127
"145","Lawrence* KS MSA","3246",1641,1605,0,0
"146","Lawton* OK MSA","866",866,0,0,0
"147","Lewiston-Auburn* ME MSA","925",925,0,0,0
"148","Lexington* KY MSA","21032",20217,815,0,0
"149","Lima* OH MSA","350",350,0,0,0
"150","Lincoln* NE MSA","7548",6636,115,0,797
"151","Little Rock-North Little  Rock* AR MSA","13213",13213,0,0,0
"152","Longview-Marshall* TX MSA","320",320,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","703754",592316,6785,13114,91539
"154","Louisville  KY-IN MSA","43915",38232,0,0,5683
"155","Lubbock* TX MSA","4811",4811,0,0,0
"156","Lynchburg* VA MSA","5860",5860,0,0,0
"157","Macon* GA MSA","12834",8441,160,0,4233
"158","Madison* WI MSA","24728",14590,1424,1210,7504
"159","Mansfield* OH MSA","1089",1089,0,0,0
"160","McAllen-Edinburg-Mission*  TX MSA","18975",18378,261,193,143
"161","Medford-Ashland* OR MSA","14958",12495,173,291,1999
"162","Melbourne-Titusville-Palm  Bay* FL MSA","32596",30222,0,240,2134
"163","Memphis  TN-AR-MS MSA","47504",45472,0,0,2032
"164","Merced* CA MSA","10016",10016,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","192083",126843,1161,4837,59242
"166","Milwaukee-Racine  WI CMSA","44283",38521,1182,0,4580
"167","Minneapolis-St. Paul  MN-WI  MSA","177251",154854,367,881,21149
"168","Missoula* MT MSA","4309",1845,188,228,2048
"169","Mobile* AL MSA","38711",23014,129,0,15568
"170","Modesto* CA MSA","30085",30085,0,0,0
"171","Monroe* LA MSA","2803",2803,0,0,0
"172","Montgomery* AL MSA","4027",4027,0,0,0
"173","Muncie* IN MSA","3597",1297,0,0,2300
"174","Myrtle Beach* SC MSA","29089",11304,122,594,17069
"175","Naples* FL MSA","56585",41959,193,5282,9151
"176","Nashville  TN MSA","84616",78141,0,0,6475
"177","New London-Norwich* CT-RI MSA","8733",8733,0,0,0
"178","New Orleans* LA MSA","35523",30855,4209,0,459
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","424184",324955,28324,5967,64938
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","47447",45826,122,120,1379
"181","Ocala* FL MSA","28720",28720,0,0,0
"182","Odessa-Midland* TX MSA","1837",1837,0,0,0
"183","Oklahoma City* OK MSA","22308",22308,0,0,0
"184","Omaha* NE-IA MSA","22441",18787,419,0,3235
"185","Orlando  FL MSA","156012",133483,1063,403,21063
"186","Owensboro* KY MSA","3399",3399,0,0,0
"187","Panama City* FL MSA","11042",10484,245,0,313
"188","Parkersburg-Marietta* WV-OH  MSA","414",414,0,0,0
"189","Pensacola* FL MSA","19053",18931,122,0,0
"190","Peoria-Pekin* IL MSA","2799",2799,0,0,0
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","147275",136761,5851,1976,2687
"192","Phoenix-Mesa  AZ MSA","317300",295094,1420,1262,19524
"193","Pine Bluff* AR MSA","165",165,0,0,0
"194","Pittsburgh  PA MSA","57519",55871,370,26,1252
"195","Pittsfield* MA MSA","0",0,0,0,0
"196","Pocatello* ID MSA","848",737,111,0,0
"197","Portland* ME MSA","9539",9539,0,0,0
"198","Portland-Salem  OR-WA CMSA","142969",119148,1829,2293,19699
"199","Providence-Fall River-  Warwick* RI-MA MSA","24630",21112,259,59,3200
"200","Provo-Orem* UT MSA","19180",16575,1496,0,1109
"201","Pueblo* CO MSA","7392",6995,397,0,0
"202","Punta Gorda* FL MSA","13363",12668,695,0,0
"203","Raleigh-Durham-Chapel Hill  NC MSA","148678",131214,168,1512,15784
"204","Rapid City* SD MSA","2440",2069,0,0,371
"205","Reading* PA MSA","7702",7106,0,231,365
"206","Redding* CA MSA","9857",9857,0,0,0
"207","Reno* NV MSA","40959",35732,100,0,5127
"208","Richland-Kennewick-Pasco*  WA MSA","7117",6868,0,0,249
"209","Richmond-Petersburg  VA MSA","39800",39800,0,0,0
"210","Roanoke* VA MSA","3349",3149,200,0,0
"211","Rochester* MN MSA","15376",13240,0,0,2136
"212","Rochester* NY MSA","21973",16477,0,0,5496
"213","Rockford* IL MSA","7150",7062,88,0,0
"214","Rocky Mount* NC MSA","3311",3041,0,0,270
"215","Sacramento-Yolo  CA CMSA","221270",191904,0,2604,26762
"216","Saginaw-Bay City-Midland*  MI MSA","2185",1891,294,0,0
"217","St. Cloud* MN MSA","3277",3083,0,0,194
"218","St. Joseph* MO MSA","1027",798,0,0,229
"219","St. Louis  MO-IL MSA","77199",69716,1449,4650,1384
"220","Salinas* CA MSA","16078",15897,181,0,0
"221","Salt Lake City-Ogden  UT MSA","52776",49152,705,2082,837
"222","San Angelo* TX MSA","1525",1525,0,0,0
"223","San Antonio* TX MSA","59823",58996,367,0,460
"224","San Diego  CA MSA","209056",142896,0,9449,56711
"225","San Francisco-Oakland-San  Jose  CA CMSA","364053",281362,6877,3261,72553
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","18901",18662,0,0,239
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","14543",13890,223,0,430
"228","Santa Fe* NM MSA","4021",4021,0,0,0
"229","Sarasota-Bradenton* FL MSA","72782",65678,1536,424,5144
"230","Savannah* GA MSA","33627",21970,0,0,11657
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","3440",2297,0,0,1143
"232","Seattle-Tacoma-Bremerton  WA CMSA","231409",138143,6017,6345,80904
"233","Sharon* PA MSA","895",895,0,0,0
"234","Sheboygan* WI MSA","1000",754,0,0,246
"235","Sherman-Denison* TX MSA","1246",1246,0,0,0
"236","Shreveport-Bossier City* LA  MSA","6634",6634,0,0,0
"237","Sioux City* IA-NE MSA","1929",1179,0,0,750
"238","Sioux Falls* SD MSA","6882",3144,0,0,3738
"239","South Bend* IN MSA","6209",5999,210,0,0
"240","Spokane* WA MSA","14309",11690,417,313,1889
"241","Springfield* IL MSA","3997",3725,272,0,0
"242","Springfield* MO MSA","7647",6917,625,105,0
"243","Springfield* MA MSA","6557",6157,400,0,0
"244","State College* PA MSA","2563",2563,0,0,0
"245","Steubenville-Weirton* OH-WV  MSA","1987",187,0,1400,400
"246","Stockton-Lodi* CA MSA","92834",92834,0,0,0
"247","Sumter* SC MSA","1809",1809,0,0,0
"248","Syracuse* NY MSA","5356",5356,0,0,0
"249","Tallahassee* FL MSA","10444",10077,367,0,0
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","191904",106477,3002,1025,81400
"251","Terre Haute* IN MSA","689",689,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","1157",765,79,0,313
"253","Toledo* OH MSA","13866",10136,455,325,2950
"254","Topeka* KS MSA","2366",2366,0,0,0
"255","Tucson* AZ MSA","63789",62956,181,652,0
"256","Tulsa* OK MSA","20109",19816,122,0,171
"257","Tuscaloosa* AL MSA","3290",3290,0,0,0
"258","Tyler* TX MSA","3799",3522,0,0,277
"259","Utica-Rome* NY MSA","387",387,0,0,0
"260","Victoria* TX MSA","1096",1096,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","10392",10392,0,0,0
"262","Waco* TX MSA","2247",2247,0,0,0
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","395168",368798,122,199,26049
"264","Waterloo-Cedar Falls* IA MSA","802",802,0,0,0
"265","Wausau* WI MSA","2431",2431,0,0,0
"266","West Palm Beach-Boca Raton  FL MSA","78806",72424,0,293,6089
"267","Wheeling* WV-OH MSA","139",139,0,0,0
"268","Wichita* KS MSA","8760",6856,94,1810,0
"269","Wichita Falls* TX MSA","2377",2377,0,0,0
"270","Wilmington* NC MSA","19125",19040,85,0,0
"271","Yakima* WA MSA","1662",1544,118,0,0
"272","York* PA MSA","8409",7929,0,0,480
"273","Youngstown-Warren* OH MSA","6415",5995,0,420,0
"274","Yuba City* CA MSA","3569",3569,0,0,0
"275","Yuma* AZ MSA","8009",8009,0,0,0
