"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Monroe","LA MSA",6296,4546,0,1750,0
"Montgomery","AL MSA",11515,11515,0,0,0
"Muncie","IN MSA",4071,3930,0,0,141
"Myrtle Beach","SC MSA",30162,26960,0,307,2895
"Naples","FL MSA",90597,75241,978,2751,11627
"Nashville","TN MSA",132522,127914,621,157,3830
"New London-Norwich","CT-RI MSA",16591,16439,152,0,0
"New Orleans","LA MSA",43797,42574,605,0,618
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",624189,441452,71729,28906,82102
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",106801,90461,198,273,15869
"Ocala","FL MSA",80753,61497,141,106,19009
"Odessa-Midland","TX MSA",3172,3172,0,0,0
"Oklahoma City","OK MSA",58941,58941,0,0,0
"Omaha","NE-IA MSA",51086,47965,119,0,3002
"Orlando","FL MSA",301525,243840,3198,0,54487
"Owensboro","KY MSA",5975,5975,0,0,0
"Panama City","FL MSA",9376,8742,415,219,0
"Parkersburg-Marietta","WV-OH MSA",2406,2016,150,240,0
"Pensacola","FL MSA",34095,33140,0,0,955
"Peoria-Pekin","IL MSA",14334,13474,160,300,400
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",250536,228763,7105,2765,11903
"Phoenix-Mesa","AZ MSA",608860,587870,628,2352,18010
"Pine Bluff","AR MSA",1161,1011,150,0,0
"Pittsburgh","PA MSA",93540,69219,1574,1928,20819
"Pittsfield","MA MSA",582,582,0,0,0
"Pocatello","ID MSA",2143,2143,0,0,0
"Portland","ME MSA",19790,17078,547,1687,478
"Portland-Salem","OR-WA CMSA",211848,192397,2685,3068,13698
"Providence-Fall River- Warwick","RI-MA MSA",41557,29717,2647,510,8683
"Provo-Orem","UT MSA",41974,33398,195,2438,5943
"Pueblo","CO MSA",9646,9287,359,0,0
"Punta Gorda","FL MSA",33022,26108,2804,410,3700
"Raleigh-Durham-Chapel Hill NC MSA","199827",177615,1235,3171,17806,NA
"Rapid City","SD MSA",4017,3819,0,198,0
"Reading","PA MSA",14667,12378,0,750,1539
"Redding","CA MSA",22224,16923,0,0,5301
"Reno","NV MSA",62783,56951,0,3437,2395
"Richland-Kennewick-Pasco","WA MSA",16409,15207,294,239,669
"Richmond-Petersburg","VA MSA",77946,77946,0,0,0
"Roanoke","VA MSA",6910,6858,52,0,0
"Rochester","MN MSA",15895,13307,0,0,2588
"Rochester","NY MSA",33565,30533,0,248,2784
"Rockford","IL MSA",15718,13374,878,1466,0
"Rocky Mount","NC MSA",4353,4320,33,0,0
"Sacramento-Yolo","CA CMSA",357521,326156,377,1540,29448
"Saginaw-Bay City-Midland","MI MSA",7164,6281,222,333,328
"St. Cloud","MN MSA",10414,9904,0,0,510
"St. Joseph","MO MSA",2145,1670,475,0,0
"St. Louis","MO-IL MSA",147568,139348,3734,1781,2705
"Salinas","CA MSA",22700,17944,273,0,4483
"Salt Lake City-Ogden","UT MSA",110650,96965,1548,4869,7268
"San Angelo","TX MSA",1916,1916,0,0,0
"San Antonio","TX MSA",125141,113111,1108,2331,8591
"San Diego","CA MSA",306124,253594,461,6799,45270
"San Francisco-Oakland-San Jose","CA CMSA",361280,290263,4454,7023,59540
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",30982,29587,894,0,501
"Santa Barbara-Santa Maria- Lompoc","CA MSA",26619,20558,225,5836,0
"Santa Fe","NM MSA",10586,10393,0,0,193
"Sarasota-Bradenton","FL MSA",117620,105860,132,2550,9078
"Savannah","GA MSA",18926,17106,835,0,985
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",8844,7113,0,818,913
"Seattle-Tacoma-Bremerton WA CMSA","299951",254483,6445,4218,34805,NA
"Sharon","PA MSA",1088,1088,0,0,0
"Sheboygan","WI MSA",1882,1882,0,0,0
"Sherman-Denison","TX MSA",2209,2209,0,0,0
"Shreveport-Bossier City","LA MSA",14872,14677,0,0,195
"Sioux City","IA-NE MSA",1298,1298,0,0,0
"Sioux Falls","SD MSA",20329,16903,0,2198,1228
"South Bend","IN MSA",13122,13122,0,0,0
"Spokane","WA MSA",17564,15360,365,143,1696
"Springfield","IL MSA",13454,10931,923,0,1600
"Springfield","MO MSA",27504,26342,362,137,663
"Springfield","MA MSA",11385,10631,754,0,0
"State College","PA MSA",6039,6039,0,0,0
"Steubenville-Weirton","OH-WV MSA",500,500,0,0,0
"Stockton-Lodi","CA MSA",130860,108138,0,0,22722
"Sumter","SC MSA",2906,2701,205,0,0
"Syracuse","NY MSA",8152,6730,0,0,1422
"Tallahassee","FL MSA",16590,9641,2077,219,4653
"Tampa-St. Petersburg- Clearwater","FL MSA",238755,205528,2908,2648,27671
"Terre Haute","IN MSA",3334,3334,0,0,0
"Texarkana","TX-TexarkanaAR MSA",992,899,93,0,0
"Toledo","OH MSA",32139,28591,1413,0,2135
"Topeka","KS MSA",6594,6134,460,0,0
"Tucson","AZ MSA",92530,67223,2792,266,22249
"Tulsa","OK MSA",39799,39098,90,0,611
"Tuscaloosa","AL MSA",4747,4747,0,0,0
"Tyler","TX MSA",5674,5293,0,150,231
"Utica-Rome","NY MSA",968,968,0,0,0
"Victoria","TX MSA",2172,2172,0,0,0
"Visalia-Tulare-Porterville","CA MSA",26252,26130,0,122,0
"Waco","TX MSA",9384,6226,60,298,2800
"Washington-Baltimore","DC-MD- VA-WV CMSA",490830,450575,403,628,39224
"Waterloo-Cedar Falls","IA MSA",2359,2359,0,0,0
"Wausau","WI MSA",9927,9855,72,0,0
"West Palm Beach-Boca Raton FL MSA","170959",150391,0,993,19575,NA
"Wheeling","WV-OH MSA",139,139,0,0,0
"Wichita","KS MSA",18193,15765,128,0,2300
"Wichita Falls","TX MSA",3252,3252,0,0,0
"Wilmington","NC MSA",44425,41204,130,0,3091
"Yakima","WA MSA",5287,5174,113,0,0
"York","PA MSA",17834,16386,1448,0,0
"Youngstown-Warren","OH MSA",13862,11988,932,670,272
"Yuba City","CA MSA",21054,21054,0,0,0
"Yuma","AZ MSA",14907,14907,0,0,0
