"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Longview","WA",6437,5929,0,508,0,1
"Los Angeles-Long Beach-Santa Ana","CA",521884,279524,11817,17062,213481,1
"Louisville-Jefferson County","KY-IN",51407,49635,480,922,370,1
"Lubbock","TX",17345,16295,1050,0,0,1
"Lynchburg","VA",17149,17149,0,0,0,1
"Macon","GA",9535,9535,0,0,0,1
"Madera","CA",27824,27824,0,0,0,1
"Madison","WI",50516,37486,3099,2243,7688,1
"Manchester-Nashua","NH",18279,17980,0,0,299,1
"Mansfield","OH",1119,1119,0,0,0,1
"McAllen-Edinburg-Pharr","TX",67151,62548,157,1778,2668,1
"Medford","OR",26194,24678,796,720,0,1
"Memphis","TN-MS-AR",99200,85777,157,0,13266,1
"Merced","CA",47012,47012,0,0,0,1
"Miami-Fort Lauderdale-Miami Beach","FL",481185,344976,4590,498,131121,1
"Michigan City-La Porte","IN",2590,2590,0,0,0,1
"Midland","TX",4964,4964,0,0,0,1
"Milwaukee-Waukesha-West Allis","WI",65521,59312,1780,647,3782,1
"Minneapolis-St. Paul-Bloomington","MN-WI",220225,210016,1276,605,8328,1
"Missoula","MT",2086,1922,164,0,0,1
"Mobile","AL",28493,28493,0,0,0,1
"Modesto","CA",31511,29274,286,552,1399,1
"Monroe","LA",4169,3881,216,72,0,1
"Monroe","MI",4197,4197,0,0,0,1
"Montgomery","AL",19755,19755,0,0,0,1
"Morgantown","WV",220,220,0,0,0,1
"Morristown","TN",5417,5417,0,0,0,1
"Mount Vernon-Anacortes","WA",9089,8833,256,0,0,1
"Muncie","IN",2153,2153,0,0,0,1
"Muskegon-Norton Shores","MI",2656,2656,0,0,0,1
"Myrtle Beach-Conway-North Myrtle Beach","SC",142243,71120,948,2469,67706,1
"Napa","CA",1273,1273,0,0,0,1
"Naples-Marco Island","FL",65570,57351,0,6410,1809,1
"Nashville-Davidson--Murfreesboro","TN",175164,168027,1970,1002,4165,1
"New Haven-Milford","CT",10444,9242,175,0,1027,1
"New Orleans-Metairie-Kenner","LA",14494,14214,280,0,0,1
"New York-Northern New Jersey-Long Island","NY-NJ-PA",580648,302037,48563,49150,180898,1
"Niles-Benton Harbor","MI",2136,2136,0,0,0,1
"Norwich-New London","CT",10626,10626,0,0,0,1
"Ocala","FL",78850,75293,0,0,3557,1
"Ocean City","NJ",39252,26041,9874,1210,2127,1
"Odessa","TX",3303,3303,0,0,0,1
"Ogden-Clearfield","UT",55241,52651,464,347,1779,1
"Oklahoma City","OK",110839,105108,291,200,5240,1
"Olympia","WA",26079,25677,0,0,402,1
"Omaha-Council Bluffs","NE-IA",41310,39916,851,0,543,1
"Orlando","FL",392025,342224,636,7435,41730,1
"Oshkosh-Neenah","WI",9600,5255,185,0,4160,1
"Owensboro","KY",1801,1321,0,480,0,1
"Oxnard-Thousand Oaks-Ventura","CA",48905,37051,0,417,11437,1
"Palm Bay-Melbourne-Titusville","FL",122691,95584,753,0,26354,1
"Panama City-Lynn Haven","FL",76747,9334,194,0,67219,1
"Parkersburg-Marietta","WV-OH",1576,1576,0,0,0,1
"Pascagoula","MS",10379,10379,0,0,0,1
"Pensacola-Ferry Pass-Brent","FL",44491,42959,0,0,1532,1
"Peoria","IL",11047,7899,2698,0,450,1
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",183005,152712,1408,1379,27506,1
"Phoenix-Mesa-Scottsdale","AZ",726454,613705,3752,20297,88700,1
"Pine Bluff","AR",1410,1339,0,0,71,1
"Pittsburgh","PA",63444,58821,517,1562,2544,1
"Pittsfield","MA",190,190,0,0,0,1
"Pocatello","ID",2958,2958,0,0,0,1
"Port St. Lucie-Fort Pierce","FL",116735,103379,0,2144,11212,1
"Portland-South Portland-Biddeford","ME",29597,28380,203,261,753,1
"Portland-Vancouver-Beaverton","OR-WA",206007,170778,1380,1692,32157,1
"Poughkeepsie-Newburgh-Middletown","NY",10017,9067,0,0,950,1
"Prescott","AZ",46689,46689,0,0,0,1
"Providence-New Bedford-Fall River","RI-MA",41121,37611,925,263,2322,1
"Provo-Orem","UT",85554,83646,0,0,1908,1
"Pueblo","CO",20167,16557,3610,0,0,1
"Punta Gorda","FL",46583,33922,395,914,11352,1
"Racine","WI",8864,8000,864,0,0,1
"Raleigh-Cary","NC",252761,202015,1350,0,49396,1
"Rapid City","SD",8613,8199,131,283,0,1
"Reading","PA",8306,6943,643,0,720,1
"Redding","CA",18784,17203,223,323,1035,1
"Reno-Sparks","NV",85135,52135,0,0,33000,1
"Richmond","VA",117278,114349,785,919,1225,1
"Riverside-San Bernardino-Ontario","CA",605474,567247,5002,3363,29862,1
"Roanoke","VA",13853,13801,52,0,0,1
"Rochester","MN",14791,14791,0,0,0,1
"Rochester","NY",15691,14836,0,0,855,1
"Rockford","IL",18795,15874,2721,200,0,1
"Rocky Mount","NC",3637,3349,288,0,0,1
