"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Lawrence","KS MSA",4949,4669,280,0,0
"Lawton","OK MSA",65,65,0,0,0
"Lewiston-Auburn","ME MSA",590,590,0,0,0
"Lexington","KY MSA",30049,29685,364,0,0
"Lima","OH MSA",110,110,0,0,0
"Lincoln","NE MSA",12389,11292,427,0,670
"Little Rock-North LittleRock","AR MSA",38578,38578,0,0,0
"Longview-Marshall","TX MSA",1734,1734,0,0,0
"Los Angeles-Riverside-Orange County","CA CMSA",1071518,976265,5458,8806,80989
"Louisville","KY-IN MSA",55172,51555,351,230,3036
"Lubbock","TX MSA",14210,14210,0,0,0
"Lynchburg","VA MSA",14537,14310,0,0,227
"Macon","GA MSA",33545,17646,299,0,15600
"Madison","WI MSA",52226,38712,2643,1790,9081
"Mansfield","OH MSA",2381,2041,180,0,160
"McAllen-Edinburg-Mission TX MSA","27564",26030,173,603,758,NA
"Medford-Ashland","OR MSA",27059,21502,164,563,4830
"Melbourne-Titusville-PalmBay","FL MSA",67801,61951,0,570,5280
"Memphis","TN-AR-MS MSA",94716,89074,392,0,5250
"Merced","CA MSA",18428,18428,0,0,0
"Miami-Fort Lauderdale","FLCMSA",168398,117715,276,19056,31351
"Milwaukee-Racine","WI CMSA",98001,71876,2600,221,23304
"Minneapolis-St. Paul","MN-WIMSA",249706,224349,1685,4394,19278
"Missoula","MT MSA",4644,2841,257,0,1546
"Mobile","AL MSA",50219,34667,336,0,15216
"Modesto","CA MSA",40238,39298,659,0,281
"Monroe","LA MSA",4633,4633,0,0,0
"Montgomery","AL MSA",14056,14056,0,0,0
"Muncie","IN MSA",2373,2373,0,0,0
"Myrtle Beach","SC MSA",34774,28451,0,0,6323
"Naples","FL MSA",66679,60403,341,3043,2892
"Nashville","TN MSA",121890,117465,577,157,3691
"New London-Norwich","CT-RI MSA",8071,7842,138,0,91
"New Orleans","LA MSA",47065,46105,445,0,515
"New York-Northern NewJersey-Long Island","NY-NJ-CT-PA CMSA",413378,295953,45078,20896,51451
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",96054,81303,831,273,13647
"Ocala","FL MSA",54165,53258,0,500,407
"Odessa-Midland","TX MSA",2674,2674,0,0,0
"Oklahoma City","OK MSA",76166,66698,277,170,9021
"Omaha","NE-IA MSA",31774,31610,164,0,0
"Orlando","FL MSA",277011,228868,859,0,47284
"Owensboro","KY MSA",4180,4180,0,0,0
"Panama City","FL MSA",41308,14808,204,0,26296
"Parkersburg-Marietta","WV-OHMSA",873,873,0,0,0
"Pensacola","FL MSA",37141,31658,612,98,4773
