"fips_msa","city","state","university","year","quarter","hpi","error","time","city_state"
11180,"Ames","IA","Iowa State University",2007,4,160.06,2.4,2007.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2008,4,160.63,2.56,2008.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2001,1,129.41,1.73,2001,"Ames, IA"
11180,"Ames","IA","Iowa State University",2000,3,126.87,1.74,2000.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2009,1,162.77,2.3,2009,"Ames, IA"
11180,"Ames","IA","Iowa State University",2007,3,159.5,2.31,2007.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2001,3,132.95,1.77,2001.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2001,2,131.45,1.74,2001.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2004,4,148.64,2.15,2004.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2003,1,138.51,1.82,2003,"Ames, IA"
11180,"Ames","IA","Iowa State University",2002,4,137.46,1.8,2002.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2006,4,155.98,2.44,2006.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2004,3,149.12,2.1,2004.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2003,3,141.02,1.85,2003.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2003,2,138.68,1.82,2003.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2007,2,160.24,2.3,2007.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2004,2,147.09,2.04,2004.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2004,1,143.83,2.04,2004,"Ames, IA"
11180,"Ames","IA","Iowa State University",2003,4,143.7,2.01,2003.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2002,2,135,1.81,2002.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2002,3,136.93,1.8,2002.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2007,1,157.26,2.36,2007,"Ames, IA"
11460,"Ann Arbor","MI","University of Michigan",2003,2,170.21,0.83,2003.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2007,3,167.62,1.02,2007.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2004,1,175.25,0.9,2004,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2007,4,167.92,1.03,2007.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2000,2,144.99,0.78,2000.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2003,3,171.48,0.84,2003.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2000,3,148.37,0.78,2000.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2007,2,176.82,1.08,2007.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2003,1,168.85,0.83,2003,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2000,1,141.69,0.82,2000,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2000,4,150.34,0.77,2000.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2001,4,158.59,0.78,2001.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2001,2,154.7,0.76,2001.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2001,1,152.86,0.76,2001,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2006,1,185.89,1.17,2006,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2005,2,188.32,1.08,2005.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2008,1,169.28,1.02,2008,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2006,2,182.73,1.1,2006.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2002,3,165.96,0.81,2002.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2005,1,184.43,1.05,2005,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2009,1,160.47,1.01,2009,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2007,1,181.47,1.11,2007,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2002,4,167.29,0.81,2002.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2005,3,187.97,1.07,2005.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2005,4,186.16,1.13,2005.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2001,3,157.77,0.79,2001.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2004,2,178.55,0.92,2004.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2006,3,180.95,1.08,2006.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2004,3,181.63,0.99,2004.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2008,4,157.57,1.17,2008.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2006,4,183.26,1.09,2006.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2008,3,158.07,1.18,2008.5,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2002,1,161.74,0.8,2002,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2004,4,182.68,1,2004.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2003,4,174.66,0.92,2003.75,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2002,2,164.32,0.82,2002.25,"Ann Arbor, MI"
11460,"Ann Arbor","MI","University of Michigan",2008,2,162.94,1.08,2008.25,"Ann Arbor, MI"
12220,"Auburn","AL","Auburn University",2004,2,148.47,2.06,2004.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2000,3,126.2,1.81,2000.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2007,3,190.05,2.75,2007.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2003,4,144.14,2.06,2003.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2006,2,175.45,2.51,2006.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2006,3,178.84,2.54,2006.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2000,4,126.31,1.85,2000.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2004,1,144.83,2.04,2004,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2003,1,138.38,1.84,2003,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2001,4,132.86,1.76,2001.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2006,1,175.68,2.6,2006,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2006,4,187.52,2.81,2006.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2003,2,140.47,1.85,2003.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2007,2,189.5,2.7,2007.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2007,4,189.42,2.76,2007.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2000,2,124.05,1.78,2000.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2003,3,140.55,1.86,2003.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2008,3,192.31,2.96,2008.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2005,4,169.82,2.49,2005.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2000,1,120.9,1.9,2000,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2008,4,192.64,3.05,2008.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2002,2,135.2,1.83,2002.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2008,1,192.83,2.73,2008,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2007,1,186.8,2.74,2007,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2001,3,130.41,1.76,2001.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2002,4,137.46,1.82,2002.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2005,3,168.66,2.37,2005.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2002,1,133.1,1.81,2002,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2008,2,190.47,2.78,2008.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2001,1,128.35,1.8,2001,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2004,4,156.27,2.27,2004.75,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2001,2,130.3,1.75,2001.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2005,2,163.64,2.3,2005.25,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2002,3,136.18,1.82,2002.5,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2009,1,191.9,2.69,2009,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2005,1,161.29,2.35,2005,"Auburn, AL"
12220,"Auburn","AL","Auburn University",2004,3,153.69,2.17,2004.5,"Auburn, AL"
12940,"Baton Rouge","LA","Louisiana State University",2004,3,148.7,0.75,2004.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2007,1,186,0.96,2007,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2003,4,143.81,0.7,2003.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2004,4,149.17,0.76,2004.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2003,2,141.76,0.62,2003.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2006,4,181.88,0.93,2006.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2000,4,128.94,0.64,2000.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2000,1,125.82,0.64,2000,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2000,2,126.29,0.62,2000.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2004,1,145.22,0.69,2004,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2001,1,131.87,0.6,2001,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2000,3,127.27,0.62,2000.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2002,2,135.72,0.62,2002.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2004,2,146.25,0.7,2004.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2001,4,134.93,0.59,2001.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2003,3,142.51,0.63,2003.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2005,4,164.42,0.82,2005.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2005,2,153.43,0.76,2005.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2001,3,133.58,0.61,2001.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2005,1,150.49,0.78,2005,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2009,1,195.16,1,2009,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2003,1,140.73,0.62,2003,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2002,4,139.61,0.62,2002.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2002,3,137.77,0.61,2002.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2002,1,134.64,0.61,2002,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2008,2,192.87,1.05,2008.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2006,2,173.51,0.87,2006.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2008,3,191.92,1.12,2008.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2006,1,168.69,0.86,2006,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2006,3,177.83,0.88,2006.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2007,2,187.66,0.92,2007.25,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2007,3,190.37,0.95,2007.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2001,2,132.63,0.6,2001.25,"Baton Rouge, LA"
