"cbsa","src","year","dir","returns","exempt","income"
11180,"Non-Migrants",506,"in",25070,53030,1479806
11180,"Non-Migrants",506,"out",25070,53030,1479806
11180,"Non-Migrants",607,"in",25355,53367,1581738
11180,"Non-Migrants",607,"out",25355,53367,1581738
11180,"Non-Migrants",708,"in",26541,55274,1801847
11180,"Non-Migrants",708,"out",26541,55274,1801847
11180,"Tot Mig-Diff St",405,"in",951,1605,34144
11180,"Tot Mig-Diff St",405,"out",1461,2375,50947
11180,"Tot Mig-Diff St",506,"in",1105,1939,43948
11180,"Tot Mig-Diff St",506,"out",1515,2463,55785
11180,"Tot Mig-Diff St",607,"in",1074,1832,42951
11180,"Tot Mig-Diff St",607,"out",1528,2475,57994
11180,"Tot Mig-Diff St",708,"in",1150,1967,46232
11180,"Tot Mig-Diff St",708,"out",1503,2509,65042
11180,"Tot Mig-Foreign",405,"in",362,402,2647
11180,"Tot Mig-Foreign",405,"out",50,72,1077
11180,"Tot Mig-Foreign",506,"in",307,342,2265
11180,"Tot Mig-Foreign",506,"out",51,101,1582
11180,"Tot Mig-Foreign",607,"in",354,382,2150
11180,"Tot Mig-Foreign",607,"out",48,69,1289
11180,"Tot Mig-Foreign",708,"in",326,364,3007
11180,"Tot Mig-Foreign",708,"out",52,86,1792
11180,"Tot Mig-Same St",405,"in",1619,2393,50280
11180,"Tot Mig-Same St",405,"out",1639,2604,55317
11180,"Tot Mig-Same St",506,"in",1812,2692,53983
11180,"Tot Mig-Same St",506,"out",1651,2632,58477
11180,"Tot Mig-Same St",607,"in",1879,2867,58703
11180,"Tot Mig-Same St",607,"out",1734,2738,61053
11180,"Tot Mig-Same St",708,"in",1951,3010,62789
11180,"Tot Mig-Same St",708,"out",1781,2696,62128
11260,"Non-Migrants",405,"in",116137,250268,7032971
11260,"Non-Migrants",405,"out",116137,250268,7032971
11260,"Non-Migrants",506,"in",117221,251188,7358477
11260,"Non-Migrants",506,"out",117221,251188,7358477
11260,"Non-Migrants",607,"in",118664,253561,7763821
11260,"Non-Migrants",607,"out",118664,253561,7763821
11260,"Non-Migrants",708,"in",124411,263384,8569201
11260,"Non-Migrants",708,"out",124411,263384,8569201
11260,"Tot Mig-Diff St",405,"in",7097,13938,269525
11260,"Tot Mig-Diff St",405,"out",7535,15128,317190
11260,"Tot Mig-Diff St",506,"in",8303,16490,317749
11260,"Tot Mig-Diff St",506,"out",7702,15557,327168
11260,"Tot Mig-Diff St",607,"in",6917,13812,303611
11260,"Tot Mig-Diff St",607,"out",8225,16567,361712
11260,"Tot Mig-Diff St",708,"in",7697,15244,339449
11260,"Tot Mig-Diff St",708,"out",8100,16347,393791
11260,"Tot Mig-Foreign",405,"in",380,869,13873
11260,"Tot Mig-Foreign",405,"out",269,570,11037
11260,"Tot Mig-Foreign",506,"in",396,882,13838
11260,"Tot Mig-Foreign",506,"out",316,656,12532
11260,"Tot Mig-Foreign",607,"in",377,864,14768
11260,"Tot Mig-Foreign",607,"out",364,705,14538
11260,"Tot Mig-Foreign",708,"in",445,875,14409
11260,"Tot Mig-Foreign",708,"out",250,533,13340
11260,"Tot Mig-Same St",405,"in",3714,7334,156127
11260,"Tot Mig-Same St",405,"out",3187,6288,137759
11260,"Tot Mig-Same St",506,"in",3923,7634,169871
11260,"Tot Mig-Same St",506,"out",3187,6184,141324
11260,"Tot Mig-Same St",607,"in",3750,7178,170493
11260,"Tot Mig-Same St",607,"out",3221,6324,143099
11260,"Tot Mig-Same St",708,"in",3907,7299,179497
11260,"Tot Mig-Same St",708,"out",3246,6099,144971
11300,"Non-Migrants",405,"in",47370,101328,2077707
11300,"Non-Migrants",405,"out",47370,101328,2077707
11300,"Non-Migrants",506,"in",46839,100258,2087825
11300,"Non-Migrants",506,"out",46839,100258,2087825
11300,"Non-Migrants",607,"in",46824,99682,2146100
11300,"Non-Migrants",607,"out",46824,99682,2146100
11300,"Non-Migrants",708,"in",48892,103151,2241224
11300,"Non-Migrants",708,"out",48892,103151,2241224
11300,"Tot Mig-Diff St",405,"in",666,1330,22719
11300,"Tot Mig-Diff St",405,"out",874,1667,31904
11300,"Tot Mig-Diff St",506,"in",694,1349,22027
11300,"Tot Mig-Diff St",506,"out",874,1662,29795
11300,"Tot Mig-Diff St",607,"in",663,1335,21559
11300,"Tot Mig-Diff St",607,"out",875,1621,30354
11300,"Tot Mig-Diff St",708,"in",733,1467,23454
11300,"Tot Mig-Diff St",708,"out",799,1531,30365
11300,"Tot Mig-Foreign",405,"in",26,51,219
11300,"Tot Mig-Foreign",405,"out",12,16,202
11300,"Tot Mig-Foreign",506,"in",24,33,320
11300,"Tot Mig-Foreign",506,"out",12,19,511
11300,"Tot Mig-Foreign",607,"in",25,34,475
11300,"Tot Mig-Foreign",607,"out",17,36,643
11300,"Tot Mig-Foreign",708,"in",19,34,350
11300,"Tot Mig-Foreign",708,"out",17,23,360
11300,"Tot Mig-Same St",405,"in",1637,3174,57418
11300,"Tot Mig-Same St",405,"out",1677,3144,58667
11300,"Tot Mig-Same St",506,"in",1778,3419,58008
11300,"Tot Mig-Same St",506,"out",1811,3220,61948
11300,"Tot Mig-Same St",607,"in",1717,3354,63139
11300,"Tot Mig-Same St",607,"out",1711,3098,60819
11300,"Tot Mig-Same St",708,"in",1836,3471,61097
11300,"Tot Mig-Same St",708,"out",1877,3411,68333
11340,"Non-Migrants",405,"in",57785,130973,2551369
11340,"Non-Migrants",405,"out",57785,130973,2551369
11340,"Non-Migrants",506,"in",57859,131314,2656317
11340,"Non-Migrants",506,"out",57859,131314,2656317
11340,"Non-Migrants",607,"in",58789,133448,2804736
11340,"Non-Migrants",607,"out",58789,133448,2804736
11340,"Non-Migrants",708,"in",61725,138836,3018053
11340,"Non-Migrants",708,"out",61725,138836,3018053
11340,"Tot Mig-Diff St",405,"in",1482,3163,63540
11340,"Tot Mig-Diff St",405,"out",1106,2203,40716
11340,"Tot Mig-Diff St",506,"in",1690,3591,79751
11340,"Tot Mig-Diff St",506,"out",1121,2223,44395
11340,"Tot Mig-Diff St",607,"in",1790,3713,85696
11340,"Tot Mig-Diff St",607,"out",1156,2277,46110
11340,"Tot Mig-Diff St",708,"in",1857,3880,80077
11340,"Tot Mig-Diff St",708,"out",1202,2260,44566
11340,"Tot Mig-Foreign",405,"in",25,38,627
11340,"Tot Mig-Foreign",405,"out",32,65,1387
11340,"Tot Mig-Foreign",506,"in",23,45,426
11340,"Tot Mig-Foreign",506,"out",29,58,1375
11340,"Tot Mig-Foreign",607,"in",21,39,966
11340,"Tot Mig-Foreign",607,"out",21,33,517
11340,"Tot Mig-Foreign",708,"in",32,64,1416
11340,"Tot Mig-Foreign",708,"out",21,42,769
11340,"Tot Mig-Same St",405,"in",1909,3857,66522
11340,"Tot Mig-Same St",405,"out",1828,3602,67050
11340,"Tot Mig-Same St",506,"in",2053,4101,75686
11340,"Tot Mig-Same St",506,"out",1877,3662,64088
11340,"Tot Mig-Same St",607,"in",2030,4130,80471
11340,"Tot Mig-Same St",607,"out",1883,3677,66303
11340,"Tot Mig-Same St",708,"in",2081,4276,85868
11340,"Tot Mig-Same St",708,"out",2018,3854,71453
11460,"Non-Migrants",405,"in",110363,236722,7887334
11460,"Non-Migrants",405,"out",110363,236722,7887334
11460,"Non-Migrants",506,"in",110426,236634,8176429
11460,"Non-Migrants",506,"out",110426,236634,8176429
11460,"Non-Migrants",607,"in",110917,237361,8363859
11460,"Non-Migrants",607,"out",110917,237361,8363859
11460,"Non-Migrants",708,"in",113485,240542,8855144
11460,"Non-Migrants",708,"out",113485,240542,8855144
11460,"Tot Mig-Diff St",405,"in",4157,6987,217873
11460,"Tot Mig-Diff St",405,"out",5326,8885,331900
11460,"Tot Mig-Diff St",506,"in",3821,6296,201360
11460,"Tot Mig-Diff St",506,"out",5723,9472,322889
11460,"Tot Mig-Diff St",607,"in",3993,6608,220860
11460,"Tot Mig-Diff St",607,"out",5944,9954,361688
