"county","pmsa","cntyname","pmsaname","pop2k","afact"
"48043"," ","Brewster TX"," ",8866,1 
"48045"," ","Briscoe TX"," ",1790,1 
"48047"," ","Brooks TX"," ",7976,1 
"48049"," ","Brown TX"," ",37674,1 
"48051"," ","Burleson TX"," ",16470,1 
"48053"," ","Burnet TX"," ",34147,1 
"48055"," ","Caldwell TX"," ",32194,1 
"48057"," ","Calhoun TX"," ",20647,1 
"48059"," ","Callahan TX"," ",12905,1 
"48061"," ","Cameron TX"," ",335227,1 
"48063"," ","Camp TX"," ",11549,1 
"48065"," ","Carson TX"," ",6516,1 
"48067"," ","Cass TX"," ",30438,1 
"48069"," ","Castro TX"," ",8285,1 
"48071","3360","Chambers TX","Houston, TX (P)",26031,1 
"48073"," ","Cherokee TX"," ",46659,1 
"48075"," ","Childress TX"," ",7688,1 
"48077"," ","Clay TX"," ",11006,1 
"48079"," ","Cochran TX"," ",3730,1 
"48081"," ","Coke TX"," ",3864,1 
"48083"," ","Coleman TX"," ",9235,1 
"48085","1920","Collin TX","Dallas, TX (P)",491675,1 
"48087"," ","Collingsworth TX"," ",3206,1 
"48089"," ","Colorado TX"," ",20390,1 
"48091"," ","Comal TX"," ",78021,1 
"48093"," ","Comanche TX"," ",14026,1 
"48095"," ","Concho TX"," ",3966,1 
"48097"," ","Cooke TX"," ",36363,1 
"48099"," ","Coryell TX"," ",74978,1 
"48101"," ","Cottle TX"," ",1904,1 
"48103"," ","Crane TX"," ",3996,1 
"48105"," ","Crockett TX"," ",4099,1 
"48107"," ","Crosby TX"," ",7072,1 
"48109"," ","Culberson TX"," ",2975,1 
"48111"," ","Dallam TX"," ",6222,1 
"48113","1920","Dallas TX","Dallas, TX (P)",2218899,1 
"48115"," ","Dawson TX"," ",14985,1 
"48117"," ","Deaf Smith TX"," ",18561,1 
"48119"," ","Delta TX"," ",5327,1 
"48121","1920","Denton TX","Dallas, TX (P)",432976,1 
"48123"," ","DeWitt TX"," ",20013,1 
"48125"," ","Dickens TX"," ",2762,1 
"48127"," ","Dimmit TX"," ",10248,1 
"48129"," ","Donley TX"," ",3828,1 
"48131"," ","Duval TX"," ",13120,1 
"48133"," ","Eastland TX"," ",18297,1 
"48135"," ","Ector TX"," ",121123,1 
"48137"," ","Edwards TX"," ",2162,1 
"48139","1920","Ellis TX","Dallas, TX (P)",111360,1 
"48141"," ","El Paso TX"," ",679622,1 
"48143"," ","Erath TX"," ",33001,1 
"48145"," ","Falls TX"," ",18576,1 
"48147"," ","Fannin TX"," ",31242,1 
"48149"," ","Fayette TX"," ",21804,1 
"48151"," ","Fisher TX"," ",4344,1 
"48153"," ","Floyd TX"," ",7771,1 
"48155"," ","Foard TX"," ",1622,1 
"48157","3360","Fort Bend TX","Houston, TX (P)",354452,1 
"48159"," ","Franklin TX"," ",9458,1 
"48161"," ","Freestone TX"," ",17867,1 
"48163"," ","Frio TX"," ",16252,1 
"48165"," ","Gaines TX"," ",14467,1 
"48167","2920","Galveston TX","Galveston-Texas City, TX (P)",250158,1 
"48169"," ","Garza TX"," ",4872,1 
"48171"," ","Gillespie TX"," ",20814,1 
"48173"," ","Glasscock TX"," ",1406,1 
"48175"," ","Goliad TX"," ",6928,1 
"48177"," ","Gonzales TX"," ",18628,1 
"48179"," ","Gray TX"," ",22744,1 
"48181"," ","Grayson TX"," ",110595,1 
"48183"," ","Gregg TX"," ",111379,1 
"48185"," ","Grimes TX"," ",23552,1 
"48187"," ","Guadalupe TX"," ",89023,1 
"48189"," ","Hale TX"," ",36602,1 
"48191"," ","Hall TX"," ",3782,1 
"48193"," ","Hamilton TX"," ",8229,1 
"48195"," ","Hansford TX"," ",5369,1 
"48197"," ","Hardeman TX"," ",4724,1 
"48199"," ","Hardin TX"," ",48073,1 
"48201","3360","Harris TX","Houston, TX (P)",3400578,1 
"48203"," ","Harrison TX"," ",62110,1 
"48205"," ","Hartley TX"," ",5537,1 
"48207"," ","Haskell TX"," ",6093,1 
"48209"," ","Hays TX"," ",97589,1 
"48211"," ","Hemphill TX"," ",3351,1 
"48213","1920","Henderson TX","Dallas, TX (P)",73277,1 
"48215"," ","Hidalgo TX"," ",569463,1 
"48217"," ","Hill TX"," ",32321,1 
"48219"," ","Hockley TX"," ",22716,1 
"48221","2800","Hood TX","Fort Worth-Arlington, TX (P)",41100,1 
"48223"," ","Hopkins TX"," ",31960,1 
"48225"," ","Houston TX"," ",23185,1 
"48227"," ","Howard TX"," ",33627,1 
"48229"," ","Hudspeth TX"," ",3344,1 
"48231","1920","Hunt TX","Dallas, TX (P)",76596,1 
"48233"," ","Hutchinson TX"," ",23857,1 
"48235"," ","Irion TX"," ",1771,1 
"48237"," ","Jack TX"," ",8763,1 
"48239"," ","Jackson TX"," ",14391,1 
"48241"," ","Jasper TX"," ",35604,1 
"48243"," ","Jeff Davis TX"," ",2207,1 
"48245"," ","Jefferson TX"," ",252051,1 
"48247"," ","Jim Hogg TX"," ",5281,1 
"48249"," ","Jim Wells TX"," ",39326,1 
"48251","2800","Johnson TX","Fort Worth-Arlington, TX (P)",126811,1 
"48253"," ","Jones TX"," ",20785,1 
"48255"," ","Karnes TX"," ",15446,1 
"48257","1920","Kaufman TX","Dallas, TX (P)",71313,1 
"48259"," ","Kendall TX"," ",23743,1 
"48261"," ","Kenedy TX"," ",414,1 
"48263"," ","Kent TX"," ",859,1 
"48265"," ","Kerr TX"," ",43653,1 
"48267"," ","Kimble TX"," ",4468,1 
"48269"," ","King TX"," ",356,1 
"48271"," ","Kinney TX"," ",3379,1 
"48273"," ","Kleberg TX"," ",31549,1 
"48275"," ","Knox TX"," ",4253,1 
"48277"," ","Lamar TX"," ",48499,1 
"48279"," ","Lamb TX"," ",14709,1 
"48281"," ","Lampasas TX"," ",17762,1 
"48283"," ","La Salle TX"," ",5866,1 
"48285"," ","Lavaca TX"," ",19210,1 
"48287"," ","Lee TX"," ",15657,1 
"48289"," ","Leon TX"," ",15335,1 
"48291","3360","Liberty TX","Houston, TX (P)",70154,1 
"48293"," ","Limestone TX"," ",22051,1 
"48295"," ","Lipscomb TX"," ",3057,1 
"48297"," ","Live Oak TX"," ",12309,1 
"48299"," ","Llano TX"," ",17044,1 
"48301"," ","Loving TX"," ",67,1 
"48303"," ","Lubbock TX"," ",242628,1 
"48305"," ","Lynn TX"," ",6550,1 
"48307"," ","McCulloch TX"," ",8205,1 
"48309"," ","McLennan TX"," ",213517,1 
"48311"," ","McMullen TX"," ",851,1 
"48313"," ","Madison TX"," ",12940,1 
"48315"," ","Marion TX"," ",10941,1 
"48317"," ","Martin TX"," ",4746,1 
"48319"," ","Mason TX"," ",3738,1 
"48321"," ","Matagorda TX"," ",37957,1 
"48323"," ","Maverick TX"," ",47297,1 
"48325"," ","Medina TX"," ",39304,1 
"48327"," ","Menard TX"," ",2360,1 
"48329"," ","Midland TX"," ",116009,1 
"48331"," ","Milam TX"," ",24238,1 
"48333"," ","Mills TX"," ",5151,1 
"48335"," ","Mitchell TX"," ",9698,1 
"48337"," ","Montague TX"," ",19117,1 
"48339","3360","Montgomery TX","Houston, TX (P)",293768,1 
"48341"," ","Moore TX"," ",20121,1 
"48343"," ","Morris TX"," ",13048,1 
"48345"," ","Motley TX"," ",1426,1 
"48347"," ","Nacogdoches TX"," ",59203,1 
"48349"," ","Navarro TX"," ",45124,1 
"48351"," ","Newton TX"," ",15072,1 
"48353"," ","Nolan TX"," ",15802,1 
"48355"," ","Nueces TX"," ",313645,1 
"48357"," ","Ochiltree TX"," ",9006,1 
"48359"," ","Oldham TX"," ",2185,1 
"48361"," ","Orange TX"," ",84966,1 
"48363"," ","Palo Pinto TX"," ",27026,1 
"48365"," ","Panola TX"," ",22756,1 
"48367","2800","Parker TX","Fort Worth-Arlington, TX (P)",88495,1 
"48369"," ","Parmer TX"," ",10016,1 
"48371"," ","Pecos TX"," ",16809,1 
"48373"," ","Polk TX"," ",41133,1 
"48375"," ","Potter TX"," ",113546,1 
"48377"," ","Presidio TX"," ",7304,1 
"48379"," ","Rains TX"," ",9139,1 
"48381"," ","Randall TX"," ",104312,1 
"48383"," ","Reagan TX"," ",3326,1 
"48385"," ","Real TX"," ",3047,1 
"48387"," ","Red River TX"," ",14314,1 
"48389"," ","Reeves TX"," ",13137,1 
"48391"," ","Refugio TX"," ",7828,1 
"48393"," ","Roberts TX"," ",887,1 
"48395"," ","Robertson TX"," ",16000,1 
"48397","1920","Rockwall TX","Dallas, TX (P)",43080,1 
"48399"," ","Runnels TX"," ",11495,1 
"48401"," ","Rusk TX"," ",47372,1 
"48403"," ","Sabine TX"," ",10469,1 
"48405"," ","San Augustine TX"," ",8946,1 
"48407"," ","San Jacinto TX"," ",22246,1 
"48409"," ","San Patricio TX"," ",67138,1 
"48411"," ","San Saba TX"," ",6186,1 
"48413"," ","Schleicher TX"," ",2935,1 
"48415"," ","Scurry TX"," ",16361,1 
"48417"," ","Shackelford TX"," ",3302,1 
"48419"," ","Shelby TX"," ",25224,1 
"48421"," ","Sherman TX"," ",3186,1 
"48423"," ","Smith TX"," ",174706,1 
"48425"," ","Somervell TX"," ",6809,1 
"48427"," ","Starr TX"," ",53597,1 
"48429"," ","Stephens TX"," ",9674,1 
"48431"," ","Sterling TX"," ",1393,1 
"48433"," ","Stonewall TX"," ",1693,1 
"48435"," ","Sutton TX"," ",4077,1 
"48437"," ","Swisher TX"," ",8378,1 
"48439","2800","Tarrant TX","Fort Worth-Arlington, TX (P)",1446219,1 
"48441"," ","Taylor TX"," ",126555,1 
"48443"," ","Terrell TX"," ",1081,1 
"48445"," ","Terry TX"," ",12761,1 
"48447"," ","Throckmorton TX"," ",1850,1 
"48449"," ","Titus TX"," ",28118,1 
"48451"," ","Tom Green TX"," ",104010,1 
"48453"," ","Travis TX"," ",812280,1 
"48455"," ","Trinity TX"," ",13779,1 
"48457"," ","Tyler TX"," ",20871,1 
"48459"," ","Upshur TX"," ",35291,1 
"48461"," ","Upton TX"," ",3404,1 
"48463"," ","Uvalde TX"," ",25926,1 
"48465"," ","Val Verde TX"," ",44856,1 
"48467"," ","Van Zandt TX"," ",48140,1 
"48469"," ","Victoria TX"," ",84088,1 
"48471"," ","Walker TX"," ",61758,1 
"48473","3360","Waller TX","Houston, TX (P)",32663,1 
"48475"," ","Ward TX"," ",10909,1 
"48477"," ","Washington TX"," ",30373,1 
"48479"," ","Webb TX"," ",193117,1 
"48481"," ","Wharton TX"," ",41188,1 
"48483"," ","Wheeler TX"," ",5284,1 
"48485"," ","Wichita TX"," ",131664,1 
"48487"," ","Wilbarger TX"," ",14676,1 
"48489"," ","Willacy TX"," ",20082,1 
"48491"," ","Williamson TX"," ",249967,1 
"48493"," ","Wilson TX"," ",32408,1 
"48495"," ","Winkler TX"," ",7173,1 
"48497"," ","Wise TX"," ",48793,1 
"48499"," ","Wood TX"," ",36752,1 
"48501"," ","Yoakum TX"," ",7322,1 
"48503"," ","Young TX"," ",17943,1 
"48505"," ","Zapata TX"," ",12182,1 
"48507"," ","Zavala TX"," ",11600,1 
"49001"," ","Beaver UT"," ",6005,1 
"49003"," ","Box Elder UT"," ",42745,1 
"49005"," ","Cache UT"," ",91391,1 
"49007"," ","Carbon UT"," ",20422,1 
"49009"," ","Daggett UT"," ",921,1 
"49011"," ","Davis UT"," ",238994,1 
"49013"," ","Duchesne UT"," ",14371,1 
"49015"," ","Emery UT"," ",10860,1 
"49017"," ","Garfield UT"," ",4735,1 
"49019"," ","Grand UT"," ",8485,1 
"49021"," ","Iron UT"," ",33779,1 
"49023"," ","Juab UT"," ",8238,1 
"49025"," ","Kane UT"," ",6046,1 
"49027"," ","Millard UT"," ",12405,1 
"49029"," ","Morgan UT"," ",7129,1 
"49031"," ","Piute UT"," ",1435,1 
"49033"," ","Rich UT"," ",1961,1 
"49035"," ","Salt Lake UT"," ",898387,1 
"49037"," ","San Juan UT"," ",14413,1 
"49039"," ","Sanpete UT"," ",22763,1 
"49041"," ","Sevier UT"," ",18842,1 
"49043"," ","Summit UT"," ",29736,1 
"49045"," ","Tooele UT"," ",40735,1 
"49047"," ","Uintah UT"," ",25224,1 
"49049"," ","Utah UT"," ",368536,1 
"49051"," ","Wasatch UT"," ",15215,1 
"49053"," ","Washington UT"," ",90354,1 
"49055"," ","Wayne UT"," ",2509,1 
"49057"," ","Weber UT"," ",196533,1 
"50001"," ","Addison VT"," ",35974,1 
"50003"," ","Bennington VT"," ",36994,1 
"50005"," ","Caledonia VT"," ",29702,1 
"50007"," ","Chittenden VT"," ",146571,1 
"50009"," ","Essex VT"," ",6459,1 
"50011"," ","Franklin VT"," ",45417,1 
"50013"," ","Grand Isle VT"," ",6901,1 
"50015"," ","Lamoille VT"," ",23233,1 
"50017"," ","Orange VT"," ",28226,1 
"50019"," ","Orleans VT"," ",26277,1 
"50021"," ","Rutland VT"," ",63400,1 
"50023"," ","Washington VT"," ",58039,1 
"50025"," ","Windham VT"," ",44216,1 
"50027"," ","Windsor VT"," ",57418,1 
"51001"," ","Accomack VA"," ",38305,1 
"51003"," ","Albemarle VA"," ",79236,1 
"51005"," ","Alleghany VA"," ",12926,1 
"51007"," ","Amelia VA"," ",11400,1 
"51009"," ","Amherst VA"," ",31894,1 
"51011"," ","Appomattox VA"," ",13705,1 
"51013","8840","Arlington VA","Washington, DC-MD-VA-WV (P)",189453,1 
"51015"," ","Augusta VA"," ",65615,1 
"51017"," ","Bath VA"," ",5048,1 
"51019"," ","Bedford VA"," ",60371,1 
"51021"," ","Bland VA"," ",6871,1 
"51023"," ","Botetourt VA"," ",30496,1 
"51025"," ","Brunswick VA"," ",18419,1 
"51027"," ","Buchanan VA"," ",26978,1 
"51029"," ","Buckingham VA"," ",15623,1 
"51031"," ","Campbell VA"," ",51078,1 
"51033"," ","Caroline VA"," ",22121,1 
"51035"," ","Carroll VA"," ",29245,1 
"51036"," ","Charles City VA"," ",6926,1 
"51037"," ","Charlotte VA"," ",12472,1 
"51041"," ","Chesterfield VA"," ",259903,1 
"51043","8840","Clarke VA","Washington, DC-MD-VA-WV (P)",12652,1 
"51045"," ","Craig VA"," ",5091,1 
"51047","8840","Culpeper VA","Washington, DC-MD-VA-WV (P)",34262,1 
"51049"," ","Cumberland VA"," ",9017,1 
"51051"," ","Dickenson VA"," ",16395,1 
"51053"," ","Dinwiddie VA"," ",24533,1 
"51057"," ","Essex VA"," ",9989,1 
"51059","8840","Fairfax VA","Washington, DC-MD-VA-WV (P)",969749,1 
"51061","8840","Fauquier VA","Washington, DC-MD-VA-WV (P)",55139,1 
"51063"," ","Floyd VA"," ",13874,1 
"51065"," ","Fluvanna VA"," ",20047,1 
"51067"," ","Franklin VA"," ",47286,1 
"51069"," ","Frederick VA"," ",59209,1 
"51071"," ","Giles VA"," ",16657,1 
"51073"," ","Gloucester VA"," ",34780,1 
"51075"," ","Goochland VA"," ",16863,1 
"51077"," ","Grayson VA"," ",17917,1 
"51079"," ","Greene VA"," ",15244,1 
"51081"," ","Greensville VA"," ",11560,1 
"51083"," ","Halifax VA"," ",37355,1 
"51085"," ","Hanover VA"," ",86320,1 
"51087"," ","Henrico VA"," ",262300,1 
"51089"," ","Henry VA"," ",57930,1 
"51091"," ","Highland VA"," ",2536,1 
"51093"," ","Isle of Wight VA"," ",29728,1 
"51095"," ","James City VA"," ",48102,1 
"51097"," ","King and Queen VA"," ",6630,1 
"51099","8840","King George VA","Washington, DC-MD-VA-WV (P)",16803,1 
"51101"," ","King William VA"," ",13146,1 
"51103"," ","Lancaster VA"," ",11567,1 
"51105"," ","Lee VA"," ",23589,1 
"51107","8840","Loudoun VA","Washington, DC-MD-VA-WV (P)",169599,1 
"51109"," ","Louisa VA"," ",25627,1 
"51111"," ","Lunenburg VA"," ",13146,1 
"51113"," ","Madison VA"," ",12520,1 
"51115"," ","Mathews VA"," ",9207,1 
