"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Louisville","KY-IN MSA",595,552,2,24,17,3
"Lubbock","TX MSA",238,97,38,27,76,9
"Lynchburg","VA MSA",96,90,2,4,0,0
"Macon","GA MSA",325,194,22,9,100,8
"Madison","WI MSA",351,182,8,19,142,10
"Mansfield","OH MSA",16,12,0,4,0,0
"McAllen-Edinburg-Mission","TX MSA",580,487,8,21,64,4
"Medford-Ashland","OR MSA",169,158,2,4,5,1
"Melbourne-Titusville-Palm Bay","FL MSA",559,449,2,0,108,4
"Memphis","TN-AR-MS MSA",636,624,2,0,10,1
"Merced","CA MSA",167,167,0,0,0,0
"Miami-Fort Lauderdale","FL CMSA",1290,910,14,21,345,21
"Milwaukee-Racine","WI CMSA",483,358,14,44,67,6
"Minneapolis-St. Paul","MN-WI MSA",1860,1435,44,49,332,18
"Missoula","MT MSA",52,43,6,3,0,0
"Mobile","AL MSA",373,333,4,0,36,3
"Modesto","CA MSA",314,309,0,0,5,1
"Monroe","LA MSA",28,28,0,0,0,0
"Montgomery","AL MSA",211,171,0,0,40,5
"Muncie","IN MSA",44,24,8,0,12,2
"Myrtle Beach","SC MSA",328,194,2,0,132,5
"Naples","FL MSA",693,233,0,0,460,20
"Nashville","TN MSA",1191,1099,6,12,74,8
"New London-Norwich","CT-RI MSA",65,63,2,0,0,0
"New Orleans","LA MSA",357,337,10,0,10,1
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",4106,1838,674,341,1253,46
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",664,628,4,0,32,3
"Ocala","FL MSA",480,477,0,3,0,0
"Odessa-Midland","TX MSA",33,33,0,0,0,0
"Oklahoma City","OK MSA",875,577,0,0,298,9
"Omaha","NE-IA MSA",412,345,4,0,63,1
"Orlando","FL MSA",1656,1619,4,4,29,3
"Owensboro","KY MSA",55,53,2,0,0,0
"Panama City","FL MSA",633,91,0,0,542,1
"Parkersburg-Marietta","WV-OH MSA",23,23,0,0,0,0
"Pensacola","FL MSA",324,324,0,0,0,0
"Peoria-Pekin","IL MSA",110,70,0,0,40,2
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1463,1349,44,25,45,9
"Phoenix-Mesa","AZ MSA",3885,3714,12,11,148,10
"Pine Bluff","AR MSA",58,10,0,0,48,1
"Pittsburgh","PA MSA",490,396,16,15,63,7
