"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf","Monthly_Coverage_Percent"
"Detroit-Warren-Livonia","MI",180,131,8,29,12,2,100
"Dothan","AL",24,24,0,0,0,0,87
"Dover","DE",184,56,0,0,128,3,100
"Dubuque","IA",13,13,0,0,0,0,84
"Duluth","MN-WI",38,31,2,0,5,1,69
"Durham","NC",257,199,4,0,54,2,100
"Eau Claire","WI",14,10,0,4,0,0,92
"El Centro","CA",26,18,0,0,8,1,85
"El Paso","TX",272,272,0,0,0,0,90
"Elizabethtown","KY",19,19,0,0,0,0,59
"Elkhart-Goshen","IN",29,29,0,0,0,0,97
"Elmira","NY",0,0,0,0,0,0,20
"Erie","PA",19,15,0,4,0,0,57
"Eugene-Springfield","OR",61,59,2,0,0,0,100
"Evansville","IN-KY",38,38,0,0,0,0,88
"Fairbanks","AK",10,8,2,0,0,0,100
"Fargo","ND-MN",95,11,0,0,84,2,79
"Farmington","NM",31,31,0,0,0,0,100
"Fayetteville","NC",236,164,0,0,72,3,96
"Fayetteville-Springdale-Rogers","AR-MO",190,122,18,3,47,5,91
"Flagstaff","AZ",34,24,0,0,10,1,93
"Flint","MI",4,4,0,0,0,0,61
"Florence","SC",35,35,0,0,0,0,97
"Florence-Muscle Shoals","AL",29,23,0,0,6,1,94
"Fond du Lac","WI",7,2,0,0,5,1,56
"Fort Collins-Loveland","CO",171,67,4,11,89,2,100
"Fort Smith","AR-OK",49,31,18,0,0,0,90
"Fort Walton Beach-Crestview-Destin","FL",25,25,0,0,0,0,55
"Fort Wayne","IN",56,56,0,0,0,0,100
"Fresno","CA",152,141,0,6,5,1,76
"Gadsden","AL",8,8,0,0,0,0,62
"Gainesville","FL",94,56,0,0,38,2,99
"Gainesville","GA",35,35,0,0,0,0,82
"Glens Falls","NY",22,14,0,3,5,1,84
"Goldsboro","NC",25,25,0,0,0,0,83
"Grand Forks","ND-MN",1,1,0,0,0,0,988
"Grand Junction","CO",72,70,2,0,0,0,100
"Grand Rapids-Wyoming","MI",81,81,0,0,0,0,100
"Great Falls","MT",16,14,2,0,0,0,62
"Greeley","CO",84,84,0,0,0,0,100
"Green Bay","WI",51,46,0,0,5,1,80
"Greensboro-High Point","NC",431,236,0,3,192,11,100
"Greenville","NC",102,68,26,0,8,1,99
"Greenville","SC",269,197,16,0,56,3,100
"Gulfport-Biloxi","MS",524,194,18,12,300,8,96
"Hagerstown-Martinsburg","MD-WV",125,109,4,0,12,1,91
"Hanford-Corcoran","CA",23,18,0,0,5,1,82
"Harrisburg-Carlisle","PA",87,87,0,0,0,0,67
"Harrisonburg","VA",39,37,2,0,0,0,100
"Hartford-West Hartford-East Hartford","CT",155,99,4,0,52,6,84
"Hattiesburg","MS",29,4,0,0,25,1,80
"Hickory-Lenoir-Morganton","NC",70,68,2,0,0,0,97
"Hinesville-Fort Stewart","GA",3,3,0,0,0,0,35
"Holland-Grand Haven","MI",26,26,0,0,0,0,79
"Honolulu","HI",89,55,0,0,34,1,100
"Hot Springs","AR",6,6,0,0,0,0,100
"Houma-Bayou Cane-Thibodaux","LA",53,53,0,0,0,0,91
"Houston-Sugar Land-Baytown","TX",5110,2950,8,95,2057,95,100
"Huntington-Ashland","WV-KY-OH",5,5,0,0,0,0,0
"Huntsville","AL",255,255,0,0,0,0,98
"Idaho Falls","ID",45,45,0,0,0,0,99
"Indianapolis-Carmel","IN",443,410,4,18,11,2,100
"Iowa City","IA",41,41,0,0,0,0,94
"Ithaca","NY",83,2,2,0,79,3,65
"Jackson","MI",4,4,0,0,0,0,59
"Jackson","MS",169,155,2,0,12,1,93
"Jackson","TN",50,46,0,4,0,0,94
"Jacksonville","FL",787,464,4,0,319,14,100
"Jacksonville","NC",146,146,0,0,0,0,90
"Janesville","WI",35,24,6,0,5,1,83
"Jefferson City","MO",14,9,0,0,5,1,68
"Johnson City","TN",426,50,0,4,372,14,100
"Johnstown","PA",0,0,0,0,0,0,8
"Jonesboro","AR",39,39,0,0,0,0,93
"Joplin","MO",10,5,0,0,5,1,52
"Kalamazoo-Portage","MI",32,32,0,0,0,0,69
"Kankakee-Bradley","IL",3,3,0,0,0,0,23
"Kansas City","MO-KS",478,337,10,11,120,7,100
"Kennewick-Pasco-Richland","WA",60,60,0,0,0,0,90
"Killeen-Temple-Fort Hood","TX",199,169,30,0,0,0,83
"Kingsport-Bristol-Bristol","TN-VA",51,38,0,0,13,2,70
"Kingston","NY",7,7,0,0,0,0,50
"Knoxville","TN",181,158,0,0,23,1,83
"Kokomo","IN",5,5,0,0,0,0,57
"La Crosse","WI-MN",25,20,2,3,0,0,0
"Lafayette","IN",47,47,0,0,0,0,89
"Lafayette","LA",95,71,2,0,22,1,87
"Lake Charles","LA",29,23,0,0,6,1,67
"Lake Havasu City-Kingman","AZ",54,40,2,7,5,1,99
"Lakeland-Winter Haven","FL",167,167,0,0,0,0,100
"Lancaster","PA",97,75,0,22,0,0,58
"Lansing-East Lansing","MI",24,19,0,0,5,1,78
"Laredo","TX",102,80,0,6,16,1,100
"Las Cruces","NM",84,69,2,4,9,1,100
"Las Vegas-Paradise","NV",527,414,0,0,113,2,100
"Lawrence","KS",25,15,2,3,5,1,94
"Lawton","OK",19,19,0,0,0,0,80
"Lebanon","PA",30,30,0,0,0,0,91
"Lewiston","ID-WA",6,6,0,0,0,0,72
"Lewiston-Auburn","ME",13,7,0,0,6,1,74
"Lexington-Fayette","KY",118,118,0,0,0,0,97
"Lima","OH",1,1,0,0,0,0,20
"Lincoln","NE",77,75,2,0,0,0,88
"Little Rock-North Little Rock","AR",152,139,2,0,11,1,90
"Logan","UT-ID",18,18,0,0,0,0,6
"Longview","TX",26,12,0,0,14,1,78
"Longview","WA",14,14,0,0,0,0,77
"Los Angeles-Long Beach-Santa Ana","CA",681,347,44,9,281,29,100
"Lubbock","TX",77,77,0,0,0,0,92
"Lynchburg","VA",54,54,0,0,0,0,81
"Macon","GA",18,18,0,0,0,0,50
"Madera","CA",19,19,0,0,0,0,78
"Madison","WI",188,53,10,0,125,4,100
"Manchester-Nashua","NH",43,36,2,0,5,1,89
"Mansfield","OH",4,4,0,0,0,0,87
"McAllen-Edinburg-Mission","TX",344,294,22,28,0,0,100
"Medford","OR",33,33,0,0,0,0,100
"Memphis","TN-MS-AR",352,313,0,6,33,2,100
"Merced","CA",16,16,0,0,0,0,85
"Miami-Fort Lauderdale-Miami Beach","FL",980,354,16,10,600,23,100
"Midland","TX",64,64,0,0,0,0,100
"Milwaukee-Waukesha-West Allis","WI",152,111,4,11,26,3,100
"Minneapolis-St. Paul-Bloomington","MN-WI",501,271,4,6,220,4,100
"Mobile","AL",154,154,0,0,0,0,98
"Modesto","CA",29,29,0,0,0,0,92
"Monroe","LA",27,20,0,0,7,1,68
"Monroe","MI",8,8,0,0,0,0,56
"Montgomery","AL",64,56,0,0,8,1,96
"Morgantown","WV",2,2,0,0,0,0,23
"Morristown","TN",10,10,0,0,0,0,87
"Mount Vernon-Anacortes","WA",38,35,0,3,0,0,80
"Muncie","IN",3,3,0,0,0,0,78
"Muskegon-Norton Shores","MI",5,5,0,0,0,0,55
"Myrtle Beach-North Myrtle Beach-Conway","SC",295,215,0,0,80,4,100
"Napa","CA",11,11,0,0,0,0,86
"Naples-Marco Island","FL",39,35,0,4,0,0,100
"Nashville-Davidson--Murfreesboro","TN",674,536,16,0,122,4,100
"New Orleans-Metairie-Kenner","LA",434,308,40,0,86,12,100
"New York-Northern New Jersey-Long Island","NY-NJ-PA",2788,763,262,194,1569,88,100
"Norwich-New London","CT",35,33,2,0,0,0,87
"Ocala","FL",127,123,4,0,0,0,100
"Ocean City","NJ",46,44,2,0,0,0,100
"Odessa","TX",21,21,0,0,0,0,100
"Ogden-Clearfield","UT",117,89,0,10,18,3,86
"Oklahoma City","OK",368,322,0,4,42,5,100
"Olympia","WA",121,113,8,0,0,0,93
"Omaha-Council Bluffs","NE-IA",215,210,0,0,5,1,100
"Orlando-Kissimmee","FL",736,621,0,4,111,8,100
"Oshkosh-Neenah","WI",23,21,2,0,0,0,87
"Owensboro","KY",41,15,2,0,24,4,96
"Oxnard-Thousand Oaks-Ventura","CA",82,42,4,4,32,3,97
"Palm Bay-Melbourne-Titusville","FL",99,84,0,3,12,1,100
"Palm Coast","FL",18,18,0,0,0,0,100
"Panama City-Lynn Haven","FL",43,43,0,0,0,0,98
"Parkersburg-Marietta-Vienna","WV-OH",8,8,0,0,0,0,0
"Pascagoula","MS",85,60,0,3,22,2,98
"Pensacola-Ferry Pass-Brent","FL",131,115,16,0,0,0,100
"Peoria","IL",43,43,0,0,0,0,50
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",1023,551,6,10,456,30,100
"Pine Bluff","AR",10,10,0,0,0,0,88
"Pittsburgh","PA",343,260,2,0,81,7,100
"Pittsfield","MA",1,1,0,0,0,0,9
"Pocatello","ID",21,21,0,0,0,0,93
"Port St. Lucie","FL",121,98,0,0,23,2,100
"Portland-South Portland-Biddeford","ME",85,73,4,3,5,1,88
"Portland-Vancouver-Beaverton","OR-WA",778,368,14,0,396,10,100
"Prescott","AZ",93,47,0,0,46,1,87
"Providence-New Bedford-Fall River","RI-MA",136,90,22,24,0,0,83
"Provo-Orem","UT",158,112,0,8,38,3,98
"Pueblo","CO",36,34,2,0,0,0,100
"Punta Gorda","FL",36,27,2,0,7,1,100
"Racine","WI",17,17,0,0,0,0,59
"Raleigh-Cary","NC",1094,614,0,0,480,20,100
"Rapid City","SD",34,34,0,0,0,0,97
"Reading","PA",35,33,2,0,0,0,63
"Redding","CA",17,17,0,0,0,0,83
"Reno-Sparks","NV",98,84,0,4,10,1,100
"Richmond","VA",714,450,2,0,262,18,100
"Riverside-San Bernardino-Ontario","CA",714,639,8,3,64,9,100
"Rochester","MN",34,24,0,0,10,1,89
"Rochester","NY",71,67,0,4,0,0,62
"Rockford","IL",19,19,0,0,0,0,97
"Rocky Mount","NC",38,36,2,0,0,0,94
"Rome","GA",8,8,0,0,0,0,100
"Sacramento--Arden-Arcade--Roseville","CA",307,271,0,0,36,6,100
"Salem","OR",75,69,6,0,0,0,74
"Salinas","CA",76,32,0,44,0,0,74
"Salisbury","MD",33,18,0,0,15,1,80
"Salt Lake City","UT",273,172,2,0,99,6,100
"San Angelo","TX",38,38,0,0,0,0,100
"San Antonio","TX",646,496,0,0,150,11,100
"San Diego-Carlsbad-San Marcos","CA",591,164,8,0,419,2,100
"San Francisco-Oakland-Fremont","CA",590,221,18,15,336,18,100
"San Jose-Sunnyvale-Santa Clara","CA",193,58,0,0,135,5,100
"San Luis Obispo-Paso Robles","CA",44,32,0,0,12,1,68
"Sandusky","OH",0,0,0,0,0,0,1
"Santa Barbara-Santa Maria","CA",14,9,0,0,5,1,64
"Santa Cruz-Watsonville","CA",13,13,0,0,0,0,51
"Santa Fe","NM",13,13,0,0,0,0,100
"Santa Rosa-Petaluma","CA",53,47,0,6,0,0,89
"Savannah","GA",167,131,0,36,0,0,81
"Scranton--Wilkes-Barre","PA",16,16,0,0,0,0,26
"Seattle-Tacoma-Bellevue","WA",1502,703,58,85,656,12,100
"Sebastian-Vero Beach","FL",63,63,0,0,0,0,100
"Sheboygan","WI",3,3,0,0,0,0,59
"Sherman-Denison","TX",1,1,0,0,0,0,4
"Shreveport-Bossier City","LA",75,75,0,0,0,0,94
"Sioux City","IA-NE-SD",15,15,0,0,0,0,98
"Sioux Falls","SD",106,61,2,15,28,2,82
"South Bend-Mishawaka","IN-MI",36,28,0,8,0,0,99
"Spartanburg","SC",100,100,0,0,0,0,94
"Spokane","WA",93,73,0,3,17,2,75
"Springfield","IL",33,15,2,16,0,0,54
"Springfield","MA",39,27,8,4,0,0,62
"Springfield","MO",163,68,62,0,33,2,78
"Springfield","OH",7,7,0,0,0,0,100
"St. Cloud","MN",12,12,0,0,0,0,74
"St. George","UT",44,44,0,0,0,0,96
"St. Joseph","MO-KS",6,4,2,0,0,0,50
"St. Louis","MO-IL",486,445,6,22,13,2,100
"State College","PA",28,28,0,0,0,0,69
"Stockton","CA",85,81,0,4,0,0,100
"Sumter","SC",35,35,0,0,0,0,100
"Syracuse","NY",42,42,0,0,0,0,63
"Tallahassee","FL",136,98,0,3,35,2,100
"Tampa-St. Petersburg-Clearwater","FL",428,337,12,21,58,9,100
"Texarkana","TX-TexarkanaAR",8,8,0,0,0,0,100
"Toledo","OH",57,53,4,0,0,0,88
"Topeka","KS",37,37,0,0,0,0,86
"Trenton-Ewing","NJ",101,41,0,0,60,1,100
"Tucson","AZ",451,317,4,4,126,2,100
"Tulsa","OK",629,293,0,0,336,13,100
"Tuscaloosa","AL",145,52,0,0,93,5,94
"Tyler","TX",22,16,0,0,6,1,74
"Utica-Rome","NY",0,0,0,0,0,0,5
"Valdosta","GA",57,46,2,0,9,1,91
"Vallejo-Fairfield","CA",5,5,0,0,0,0,82
"Victoria","TX",6,6,0,0,0,0,60
"Vineland-Millville-Bridgeton","NJ",33,33,0,0,0,0,100
"Virginia Beach-Norfolk-Newport News","VA-NC",405,293,12,4,96,4,100
"Waco","TX",29,27,2,0,0,0,69
"Warner Robins","GA",41,41,0,0,0,0,70
"Washington-Arlington-Alexandria","DC-VA-MD-WV",1336,837,12,0,487,10,100
"Wausau","WI",24,10,2,0,12,1,67
"Weirton-Steubenville","WV-OH",3,3,0,0,0,0,0
"Wenatchee","WA",23,23,0,0,0,0,70
"Wheeling","WV-OH",0,0,0,0,0,0,57
"Wichita Falls","TX",12,9,0,3,0,0,75
"Wichita","KS",131,102,4,0,25,2,91
"Williamsport","PA",0,0,0,0,0,0,9
"Wilmington","NC",503,369,6,0,128,5,100
"Winchester","VA-WV",55,55,0,0,0,0,91
"Winston-Salem","NC",288,120,0,0,168,7,89
"Worcester","MA",42,37,2,3,0,0,72
"Yakima","WA",23,23,0,0,0,0,45
"York-Hanover","PA",104,98,2,4,0,0,79
"Youngstown-Warren-Boardman","OH-PA",36,24,0,0,12,2,97
"Yuba City","CA",17,17,0,0,0,0,95
"Yuma","AZ",55,55,0,0,0,0,91
