"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Scranton--Wilkes-Barre--Hazleton","PA MSA",69,61,0,3,5,1
"Seattle-Tacoma-Bremerton WA CMSA","2443",1679,70,75,619,27,NA
"Sharon","PA MSA",17,14,0,3,0,0
"Sheboygan","WI MSA",7,7,0,0,0,0
"Sherman-Denison","TX MSA",17,15,2,0,0,0
"Shreveport-Bossier City","LA MSA",98,98,0,0,0,0
"Sioux City","IA-NE MSA",12,12,0,0,0,0
"Sioux Falls","SD MSA",200,190,2,8,0,0
"South Bend","IN MSA",113,95,2,0,16,1
"Spokane","WA MSA",192,155,2,4,31,1
"Springfield","IL MSA",80,54,16,0,10,1
"Springfield","MA MSA",71,65,6,0,0,0
"Springfield","MO MSA",249,202,4,0,43,4
"St. Cloud","MN MSA",129,66,0,3,60,3
"St. Joseph","MO MSA",17,13,4,0,0,0
"St. Louis","MO-IL MSA",1247,1147,26,22,52,3
"State College","PA MSA",35,35,0,0,0,0
"Steubenville-Weirton","OH-WV MSA",7,7,0,0,0,0
"Stockton-Lodi","CA MSA",508,498,4,6,0,0
"Sumter","SC MSA",35,31,4,0,0,0
"Syracuse","NY MSA",105,95,2,3,5,1
"Tallahassee","FL MSA",127,75,4,0,48,6
"Tampa-St. Petersburg-Clearwater","FL MSA",2463,1794,58,34,577,31
"Terre Haute","IN MSA",12,12,0,0,0,0
"Texarkana TX-Texarkana","AR MSA",151,29,26,0,96,6
"Toledo","OH MSA",237,196,6,0,35,2
"Topeka","KS MSA",73,73,0,0,0,0
"Tucson","AZ MSA",564,553,6,0,5,1
"Tulsa","OK MSA",358,338,2,4,14,2
"Tuscaloosa","AL MSA",71,71,0,0,0,0
"Tyler","TX MSA",39,33,0,0,6,1
"Utica-Rome","NY MSA",10,10,0,0,0,0
"Victoria","TX MSA",13,13,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",216,194,14,8,0,0
"Waco","TX MSA",48,48,0,0,0,0
"Washington-Baltimore DC-MD-VA-WV CMSA","4109",3149,2,11,947,37,NA
"Waterloo-Cedar Falls","IA MSA",27,19,2,0,6,1
"Wausau","WI MSA",66,62,4,0,0,0
"West Palm Beach-Boca Raton","FL MSA",1051,958,2,12,79,8
"Wheeling","WV-OH MSA",2,2,0,0,0,0
"Wichita Falls","TX MSA",29,29,0,0,0,0
"Wichita","KS MSA",142,138,4,0,0,0
"Wilmington","NC MSA",695,349,14,4,328,15
"Yakima","WA MSA",48,36,8,4,0,0
"York","PA MSA",149,141,4,4,0,0
"Youngstown-Warren","OH MSA",159,93,12,43,11,2
"Yuba City","CA MSA",154,154,0,0,0,0
"Yuma","AZ MSA",140,140,0,0,0,0
