"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf","Monthly_Coverage_Percent"
"New Haven-Milford","CT",27,14,2,0,11,2,85
"New Orleans-Metairie-Kenner","LA",230,194,26,0,10,1,100
"New York-Northern New Jersey-Long Island","NY-NJ-PA",1122,455,134,45,488,37,100
"Niles-Benton Harbor","MI",1,1,0,0,0,0,35
"Norwich-New London","CT",87,16,0,0,71,2,94
"Ocala","FL",24,24,0,0,0,0,100
"Ocean City","NJ",26,18,8,0,0,0,100
"Odessa","TX",15,15,0,0,0,0,100
"Ogden-Clearfield","UT",97,83,2,0,12,2,84
"Oklahoma City","OK",242,220,6,6,10,1,100
"Olympia","WA",95,85,2,8,0,0,82
"Omaha-Council Bluffs","NE-IA",172,170,2,0,0,0,100
"Orlando-Kissimmee","FL",699,235,8,0,456,15,100
"Oshkosh-Neenah","WI",21,21,0,0,0,0,83
"Owensboro","KY",20,20,0,0,0,0,97
"Oxnard-Thousand Oaks-Ventura","CA",23,16,2,0,5,1,97
"Palm Bay-Melbourne-Titusville","FL",46,46,0,0,0,0,100
"Palm Coast","FL",9,9,0,0,0,0,100
"Panama City-Lynn Haven-Panama City Beach","FL",23,23,0,0,0,0,97
"Parkersburg-Marietta-Vienna","WV-OH",12,12,0,0,0,0,0
"Pascagoula","MS",74,68,0,0,6,1,98
"Pensacola-Ferry Pass-Brent","FL",92,92,0,0,0,0,100
"Peoria","IL",24,24,0,0,0,0,59
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",476,369,8,6,93,3,100
"Phoenix-Mesa-Scottsdale","AZ",544,456,0,3,85,6,100
"Pine Bluff","AR",3,1,2,0,0,0,89
"Pittsburgh","PA",229,160,2,7,60,10,100
"Pittsfield","MA",1,1,0,0,0,0,19
"Pocatello","ID",11,11,0,0,0,0,92
"Port St. Lucie","FL",40,32,0,3,5,1,100
"Portland-South Portland-Biddeford","ME",59,57,2,0,0,0,89
"Portland-Vancouver-Beaverton","OR-WA",251,214,4,3,30,5,100
"Poughkeepsie-Newburgh-Middletown","NY",31,26,0,0,5,1,52
"Prescott","AZ",26,26,0,0,0,0,84
"Providence-New Bedford-Fall River","RI-MA",122,66,0,9,47,1,86
"Provo-Orem","UT",84,78,2,4,0,0,98
"Pueblo","CO",15,11,0,4,0,0,100
"Punta Gorda","FL",25,21,0,4,0,0,100
"Racine","WI",10,10,0,0,0,0,69
"Raleigh-Cary","NC",302,296,6,0,0,0,100
"Rapid City","SD",22,22,0,0,0,0,98
"Reading","PA",12,12,0,0,0,0,48
"Redding","CA",19,17,2,0,0,0,93
"Reno-Sparks","NV",53,53,0,0,0,0,100
"Richmond","VA",175,172,0,3,0,0,100
"Riverside-San Bernardino-Ontario","CA",488,361,2,6,119,7,100
"Roanoke","VA",33,33,0,0,0,0,97
"Rochester","MN",20,20,0,0,0,0,87
"Rochester","NY",58,51,2,0,5,1,62
"Rockford","IL",13,11,2,0,0,0,97
"Rocky Mount","NC",28,28,0,0,0,0,78
"Rome","GA",11,11,0,0,0,0,99
"Sacramento--Arden-Arcade--Roseville","CA",197,197,0,0,0,0,100
"Saginaw-Saginaw Township North","MI",5,5,0,0,0,0,40
"Salem","OR",34,32,2,0,0,0,85
"Salinas","CA",30,3,0,0,27,2,92
"Salisbury","MD",13,6,0,0,7,1,67
"Salt Lake City","UT",157,108,2,3,44,5,100
"San Angelo","TX",16,16,0,0,0,0,100
"San Antonio","TX",460,456,4,0,0,0,100
"San Diego-Carlsbad-San Marcos","CA",517,136,4,3,374,9,100
